curve_id,true_class,som_node,posthoc_predicted_class
SYN-0001,IFO-Hill,2,IFO-Hill
SYN-0002,IFO-Hill,2,IFO-Hill
SYN-0003,IFO-Slope,1,IFO-Slope
SYN-0004,IFO-Bridge,0,IFO-Bridge
SYN-0005,IFO-Hill,2,IFO-Hill
SYN-0006,IFO-Hill,2,IFO-Hill
SYN-0007,IFO-Bridge,0,IFO-Bridge
SYN-0008,IFO-Hill,2,IFO-Hill
SYN-0009,IFO-Slope,1,IFO-Slope
SYN-0010,IFO-Valley,3,IFO-Valley
SYN-0011,IFO-Bridge,0,IFO-Bridge
SYN-0012,IFO-Hill,2,IFO-Hill
SYN-0013,IFO-Slope,1,IFO-Slope
SYN-0014,IFO-Hill,2,IFO-Hill
SYN-0015,IFO-Bridge,0,IFO-Bridge
SYN-0016,IFO-Valley,3,IFO-Valley
SYN-0017,IFO-Valley,3,IFO-Valley
SYN-0018,IFO-Slope,1,IFO-Slope
SYN-0019,IFO-Valley,3,IFO-Valley
SYN-0020,IFO-Bridge,0,IFO-Bridge
SYN-0021,IFO-Slope,1,IFO-Slope
SYN-0022,IFO-Bridge,0,IFO-Bridge
SYN-0023,IFO-Slope,1,IFO-Slope
SYN-0024,IFO-Bridge,0,IFO-Bridge
SYN-0025,IFO-Bridge,0,IFO-Bridge
SYN-0026,IFO-Slope,1,IFO-Slope
SYN-0027,IFO-Hill,2,IFO-Hill
SYN-0028,IFO-Valley,3,IFO-Valley
SYN-0029,IFO-Valley,3,IFO-Valley
SYN-0030,IFO-Slope,1,IFO-Slope
SYN-0031,IFO-Slope,1,IFO-Slope
SYN-0032,IFO-Hill,2,IFO-Hill
SYN-0033,IFO-Slope,1,IFO-Slope
SYN-0034,IFO-Valley,3,IFO-Valley
SYN-0035,IFO-Bridge,0,IFO-Bridge
SYN-0036,IFO-Hill,2,IFO-Hill
SYN-0037,IFO-Slope,1,IFO-Slope
SYN-0038,IFO-Valley,3,IFO-Valley
SYN-0039,IFO-Bridge,0,IFO-Bridge
SYN-0040,IFO-Slope,1,IFO-Slope
SYN-0041,IFO-Hill,2,IFO-Hill
SYN-0042,IFO-Valley,3,IFO-Valley
SYN-0043,IFO-Valley,3,IFO-Valley
SYN-0044,IFO-Bridge,0,IFO-Bridge
SYN-0045,IFO-Slope,1,IFO-Slope
SYN-0046,IFO-Bridge,0,IFO-Bridge
SYN-0047,IFO-Valley,3,IFO-Valley
SYN-0048,IFO-Bridge,0,IFO-Bridge
SYN-0049,IFO-Valley,3,IFO-Valley
SYN-0050,IFO-Bridge,0,IFO-Bridge
SYN-0051,IFO-Bridge,0,IFO-Bridge
SYN-0052,IFO-Bridge,0,IFO-Bridge
SYN-0053,IFO-Hill,2,IFO-Hill
SYN-0054,IFO-Bridge,0,IFO-Bridge
SYN-0055,IFO-Bridge,0,IFO-Bridge
SYN-0056,IFO-Valley,3,IFO-Valley
SYN-0057,IFO-Bridge,0,IFO-Bridge
SYN-0058,IFO-Hill,2,IFO-Hill
SYN-0059,IFO-Hill,2,IFO-Hill
SYN-0060,IFO-Hill,2,IFO-Hill
SYN-0061,IFO-Valley,3,IFO-Valley
SYN-0062,IFO-Hill,2,IFO-Hill
SYN-0063,IFO-Valley,3,IFO-Valley
SYN-0064,IFO-Hill,2,IFO-Hill
SYN-0065,IFO-Slope,1,IFO-Slope
SYN-0066,IFO-Valley,3,IFO-Valley
SYN-0067,IFO-Bridge,0,IFO-Bridge
SYN-0068,IFO-Valley,3,IFO-Valley
SYN-0069,IFO-Slope,1,IFO-Slope
SYN-0070,IFO-Hill,2,IFO-Hill
SYN-0071,IFO-Hill,2,IFO-Hill
SYN-0072,IFO-Bridge,0,IFO-Bridge
SYN-0073,IFO-Valley,3,IFO-Valley
SYN-0074,IFO-Slope,1,IFO-Slope
SYN-0075,IFO-Valley,3,IFO-Valley
SYN-0076,IFO-Bridge,0,IFO-Bridge
SYN-0077,IFO-Bridge,0,IFO-Bridge
SYN-0078,IFO-Hill,2,IFO-Hill
SYN-0079,IFO-Hill,2,IFO-Hill
SYN-0080,IFO-Bridge,0,IFO-Bridge
SYN-0081,IFO-Hill,2,IFO-Hill
SYN-0082,IFO-Bridge,0,IFO-Bridge
SYN-0083,IFO-Hill,2,IFO-Hill
SYN-0084,IFO-Slope,1,IFO-Slope
SYN-0085,IFO-Hill,2,IFO-Hill
SYN-0086,IFO-Slope,1,IFO-Slope
SYN-0087,IFO-Bridge,0,IFO-Bridge
SYN-0088,IFO-Slope,1,IFO-Slope
SYN-0089,IFO-Valley,3,IFO-Valley
SYN-0090,IFO-Bridge,0,IFO-Bridge
