curve_id,included_strict_150h,exclusion_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points_after_mean,duplicate_x_rows_aggregated_by_mean,x_min_hours_before_rezero,x_max_hours_before_rezero,duration_hours
图片1_8cff72a9ff,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_1__Series_1.csv,图片1,samples_test__unknown__unknown__图片1__Series_1__Series_1,Thermal cycles,,Normalized PCE,,,64,0,,,
图片1_a0090d31b6,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_2__Series_2.csv,图片1,samples_test__unknown__unknown__图片1__Series_2__Series_2,Thermal cycles,,Normalized PCE,,,64,0,,,
图片116_65eb56ddd1,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_1__Series_1.csv,图片116,samples_test__unknown__unknown__图片116__Series_1__Series_1,Times,(h),Normalized MPPT,,,43,0,,,
图片116_1a8fb0bddd,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_2__Series_2.csv,图片116,samples_test__unknown__unknown__图片116__Series_2__Series_2,Times,(h),Normalized MPPT,,,55,0,,,
图片116_1c8227d681,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_3__Series_3.csv,图片116,samples_test__unknown__unknown__图片116__Series_3__Series_3,Times,(h),Normalized MPPT,,,56,0,,,
图片116_4ac59c593b,False,y_axis_not_explicit_pce_or_efficiency,lab-v2/som_references/accepted/samples_test/图片116/accepted/samples_test__unknown__unknown__图片116__Series_4__Series_4.csv,图片116,samples_test__unknown__unknown__图片116__Series_4__Series_4,Times,(h),Normalized MPPT,,,52,0,,,
图片120_640f71ecdd,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片120/accepted/samples_test__unknown__unknown__图片120__Series_1__Series_1.csv,图片120,samples_test__unknown__unknown__图片120__Series_1__Series_1,Impact cycles,,Normalized PCE,,,40,0,,,
图片120_6dbb4b7c60,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片120/accepted/samples_test__unknown__unknown__图片120__Series_2__Series_2.csv,图片120,samples_test__unknown__unknown__图片120__Series_2__Series_2,Impact cycles,,Normalized PCE,,,40,0,,,
图片122_fb8750c673,False,time_unit_not_explicit_hour_or_day,lab-v2/som_references/accepted/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__OCT-doped__Series_2.csv,图片122,samples_test__unknown__unknown__图片122__OCT-doped__Series_2,Time,( h ),PCE,( % ),,53,0,,,
图片122_631af03b05,False,time_unit_not_explicit_hour_or_day,lab-v2/som_references/accepted/samples_test/图片122/accepted/samples_test__unknown__unknown__图片122__Pristine__Series_1.csv,图片122,samples_test__unknown__unknown__图片122__Pristine__Series_1,Time,( h ),PCE,( % ),,39,0,,,
图片125_f4d7fc9cfa,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片125/accepted/samples_test__unknown__unknown__图片125__Series_1__Series_1.csv,图片125,samples_test__unknown__unknown__图片125__Series_1__Series_1,,,,,,58,0,,,
图片125_28e2b9e997,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片125/accepted/samples_test__unknown__unknown__图片125__Series_2__Series_2.csv,图片125,samples_test__unknown__unknown__图片125__Series_2__Series_2,,,,,,58,0,,,
图片133_e5b56a9a8a,False,duration_shorter_than_150h,lab-v2/som_references/accepted/samples_test/图片133/accepted/samples_test__unknown__unknown__图片133__Bare_PVSK_film__Series_2.csv,图片133,samples_test__unknown__unknown__图片133__Bare_PVSK_film__Series_2,Heating time,(h),PCE,(%),1.0,28,0,0.8667943811706849,39.42068470727212,38.55389032610144
图片133_16d78e6f78,False,duration_shorter_than_150h,lab-v2/som_references/accepted/samples_test/图片133/accepted/samples_test__unknown__unknown__图片133__PVSKfilm_with_PFI__Series_1.csv,图片133,samples_test__unknown__unknown__图片133__PVSKfilm_with_PFI__Series_1,Heating time,(h),PCE,(%),1.0,28,0,1.152378753956622,39.70626908005806,38.55389032610144
图片134_a458279fbc,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_1__Series_1.csv,图片134,samples_test__unknown__unknown__图片134__Series_1__Series_1,,,,,,44,6,,,
图片134_5e2f25a536,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_2__Series_2.csv,图片134,samples_test__unknown__unknown__图片134__Series_2__Series_2,,,,,,39,0,,,
图片134_cd0efab7ba,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_3__Series_3.csv,图片134,samples_test__unknown__unknown__图片134__Series_3__Series_3,,,,,,39,0,,,
图片140_5b3885bece,False,record_140_implausible_hour_scale,lab-v2/som_references/accepted/samples_test/图片140/accepted/samples_test__unknown__unknown__图片140__Series_1__Series_1.csv,图片140,samples_test__unknown__unknown__图片140__Series_1__Series_1,Time,(h),Normalized PCE,,1.0,37,0,-4673945.075648515,37814849.389512666,42488794.46516118
