curve_id,source_file,record,series_name,x_name,x_unit,y_name,y_unit,anonymous_som_node,node_x,node_y
图片102_3dfd74212a,lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Control__Series_1.csv,图片102,samples_test__unknown__unknown__图片102__Control__Series_1,Time,(h),Normalized PCE,,0,0,0
图片102_d8c245ba7a,lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Target__Series_2.csv,图片102,samples_test__unknown__unknown__图片102__Target__Series_2,Time,(h),Normalized PCE,,3,1,1
图片103_2b72774534,lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,图片103,samples_test__unknown__unknown__图片103__Control__Series_2,Time,(h),Normalized PCE,,3,1,1
图片103_bcfcaf0360,lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,图片103,samples_test__unknown__unknown__图片103__。Target__Series_1,Time,(h),Normalized PCE,,1,0,1
图片105_32d68f1b45,lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,图片105,samples_test__unknown__unknown__图片105__Series_2__Series_2,Time,(h),Normalized PCE,,1,0,1
图片105_457cd7852f,lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,图片105,samples_test__unknown__unknown__图片105__Series_1__Series_1,Time,(h),Normalized PCE,,3,1,1
图片107_b2f4df4336,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,图片107,samples_test__unknown__unknown__图片107__Series_1__Series_1,Time,(h),PCE,(norm.),2,1,0
图片107_f3230ee0e8,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,图片107,samples_test__unknown__unknown__图片107__Series_2__Series_2,Time,(h),PCE,(norm.),2,1,0
图片113_5031dc5ac2,lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_1__Series_1.csv,图片113,samples_test__unknown__unknown__图片113__Series_1__Series_1,Time (h),h,Normalized PCE,,1,0,1
图片113_5b5ce508bd,lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv,图片113,samples_test__unknown__unknown__图片113__Series_2__Series_2,Time (h),h,Normalized PCE,,3,1,1
图片114_22f5dc923d,lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_1__Series_1.csv,图片114,samples_test__unknown__unknown__图片114__Series_1__Series_1,Time,hr,Normalized PCE,,0,0,0
图片114_2c13d60cfd,lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_3__Series_3.csv,图片114,samples_test__unknown__unknown__图片114__Series_3__Series_3,Time,hr,Normalized PCE,,1,0,1
图片114_5d05de147f,lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_2__Series_2.csv,图片114,samples_test__unknown__unknown__图片114__Series_2__Series_2,Time,hr,Normalized PCE,,1,0,1
图片115_01afabb0c0,lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_1__Series_1.csv,图片115,samples_test__unknown__unknown__图片115__Series_1__Series_1,Time,(h),PCE,(norm.),2,1,0
图片115_8cc5d1e2b8,lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_2__Series_2.csv,图片115,samples_test__unknown__unknown__图片115__Series_2__Series_2,Time,(h),PCE,(norm.),2,1,0
图片11_803413880f,lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_2__Series_2.csv,图片11,samples_test__unknown__unknown__图片11__Series_2__Series_2,Time,(h),Normalized PCE,,2,1,0
图片11_fe30bf81d3,lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_1__Series_1.csv,图片11,samples_test__unknown__unknown__图片11__Series_1__Series_1,Time,(h),Normalized PCE,,3,1,1
图片121_09e036200a,lab-v2/som_references/accepted/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__2PaCz__Series_1.csv,图片121,samples_test__unknown__unknown__图片121__2PaCz__Series_1,Time,hours,PCE,%,1,0,1
图片121_6f2a55d713,lab-v2/som_references/accepted/samples_test/图片121/accepted/samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2.csv,图片121,samples_test__unknown__unknown__图片121__Poly-2PACz__Series_2,Time,hours,PCE,%,1,0,1
图片127_90c3584dc3,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_2__Series_2.csv,图片127,samples_test__unknown__unknown__图片127__Series_2__Series_2,Time,(h),Normal. PCE,,1,0,1
图片127_cfb6747cd0,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_1__Series_1.csv,图片127,samples_test__unknown__unknown__图片127__Series_1__Series_1,Time,(h),Normal. PCE,,3,1,1
图片127_fae8afb771,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_3__Series_3.csv,图片127,samples_test__unknown__unknown__图片127__Series_3__Series_3,Time,(h),Normal. PCE,,2,1,0
图片12_8ead6ff972,lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Target__Series_2.csv,图片12,samples_test__unknown__unknown__图片12__Target__Series_2,Time,(h),Normalized PCE,,1,0,1
图片12_c4564666ed,lab-v2/som_references/accepted/samples_test/图片12/accepted/samples_test__unknown__unknown__图片12__Control__Series_1.csv,图片12,samples_test__unknown__unknown__图片12__Control__Series_1,Time,(h),Normalized PCE,,1,0,1
图片132_1d81c7ef0c,lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2.csv,图片132,samples_test__unknown__unknown__图片132__SnO2-FBA__Series_2,Time,(h),Normalized PCE,,1,0,1
图片132_55073daea0,lab-v2/som_references/accepted/samples_test/图片132/accepted/samples_test__unknown__unknown__图片132__Sn_{$__Series_1.csv,图片132,samples_test__unknown__unknown__图片132__Sn_{$__Series_1,Time,(h),Normalized PCE,,3,1,1
图片135_416420e73b,lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_2__Series_2.csv,图片135,samples_test__unknown__unknown__图片135__Series_2__Series_2,Time,h,Normalized PCE,,3,1,1
图片135_d4e290896b,lab-v2/som_references/accepted/samples_test/图片135/accepted/samples_test__unknown__unknown__图片135__Series_1__Series_1.csv,图片135,samples_test__unknown__unknown__图片135__Series_1__Series_1,Time,h,Normalized PCE,,1,0,1
