doi,title,publication_year,journal,landing_page_url,pdf_source_url,local_pdf,download_status,download_error,title_abstract_nonmonotonic_flag,title_abstract_nonmonotonic_hits,parse_status,parse_error,pdf_pages,extracted_characters,graph_evidence_pages,shape_evidence_pages,graph_evidence_excerpt,shape_evidence_excerpt,machine_curve_figure_evidence,machine_nonmonotonic_shape_evidence
10.1038/s41467-025-63176-w,Photo-homogenization assisted segregation easing technique (PHASET) for highly efficient and stable wide-bandgap perovskite solar cells,2025,Nature Communications,https://doi.org/10.1038/s41467-025-63176-w,https://www.nature.com/articles/s41467-025-63176-w.pdf,/Users/shunhao/Desktop/ML/lab-v2/literature_k_som_search/08_recent_literature_review/oa_pdfs/10.1038_s41467-025-63176-w.pdf,downloaded_pdf,,True,non[- ]?monotonic|metastab;light[- ]soak|light soaking,full_text_machine_reviewed,,11,59713,2;4;6;7;8,1;2;3;4;5;6;7;9;10,"stabilizes mobile ions. Using PHASET, we achieve a signiﬁcant improvement in the efﬁciency of 1.79 eV WBG PSCs, increasing from 16.71% to 20.23%. Additionally, device stability is greatly enhanced, with unencapsulated WBG-PSCs maintaining 97% of their initial PCE after 1200 h of continuous light soaking in nitrogen. These advancements enable the fabrication of all-perovskite TSCs with a champion efﬁciency of 28.64% with good operational stability, main- taining 77% of their initial PCE after 1200 h of continuous operation under 1-sun illumination. These ﬁndings provide a detailed under- standing of phase segregation mechanisms and highlight PHASET as a promising strategy for fabricating high || red- shifted, suggesting more pronounced phase segregation. We then fabricated devices with an ITO/NiOX/Me-4PACz/perovskite/C60/BCP/ Ag structure, using perovskite ﬁlms subjected to different light soaking durations and subsequent dark recovery (Supplementary Fig. 14). The current density-voltage (J–V) curves of champion PSCs light soaked from 0 to 8 h and dark recovery overnight are shown in Fig. 1g, Sup- plementary Figs. 15 and 16 and Supplementary Table 1. The statistical distributions of PCEs and other key photovoltaic parameters are pre- sented in Supplementary Fig. 17, revealing that performance improvements were primarily driven by increases in open-circuit vol- tage (VOC) and ﬁll fac || suppression of nonradiative recombination near the light-facing side, possibly bene- ﬁted by light soaking, while improvement at longer wavelengths is due to reduced defective sites in the perovskite bulk and the 2D perovskite passivation at its top surface. Figure 4e illustrates the stabilized power output at the maximum power point (MPP) voltage, where the PHASET device maintained its PCE without degradation over 600 s, beneﬁting from the enhanced phase stability. In contrast, the pristine device Fig. 4 | Device performance of pristine, light soaking-treated, and PHASET WBG PSCs. a Cross-sectional SEM image of a representative PHASET device. b J–V curves of the best-performing WBG PSCs und","olar cells (TSCs), but phase segregation under continuous illumination limits their stability. Using in-situ microscopic characterizations, we investigate the dynamics of photon-induced phase seg- regation. Initial light soaking drives iodide diffusion into a metastable state, but continued redistribution increases the phase separation energy barrier, resulting in a more stable, segregation-resistant state. Inspired by stabilization methods in silicon photovoltaics, we develop the Photo-Homogenization Assisted Segregation || could enhance charge extraction and reduce carrier recombination38. The reversion to the pristine stage implies that phase segregation is predominantly reversible, with the initial topography and surface potential distribution being favored and existing in a metastable state. Interestingly, after extended storage, we conducted another light and dark cycle, ﬁnding that both the topo- graphy and surface potential remained almost unchanged (Supple- mentary Figs. 7 and 8). After this cycle, the iodine ions and vacancies were || 160 s for the ﬁlm with 5% PbI2 excess), a new emission peak emerged at ~770 nm, increasing in intensity while the original 695 nm peak per- sisted. These results conﬁrmed the presence of phase segregation, consistent with a previous report41. Following a 24 h light soaking (State III), the emission peaks of all three ﬁlms completely red shifted to ~770 nm (Supplementary Fig. 11). After dark storage for 240 h (State IV), the peaks shifted back to ~705 nm (0% PbI2), ~699 nm (5% PbI2), and ~703 nm (10% PbI2), Fig. 1 | Dynamic proc",True,True
10.1002/anie.202317446,Accelerated Redox Reactions Enable Stable Tin‐Lead Mixed Perovskite Solar Cells,2023,Angewandte Chemie International Edition,https://doi.org/10.1002/anie.202317446,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202317446,,download_failed,curl: (56) The requested URL returned error: 403,True,recover|reversib|regenerat|self[- ]heal;light[- ]soak|light soaking,not_reviewed_no_pdf,,,0,,,,,False,False
10.1038/s41560-023-01421-6,"Multifunctional sulfonium-based treatment for perovskite solar cells with less than 1% efficiency loss over 4,500-h operational stability tests",2024,Nature Energy,https://doi.org/10.1038/s41560-023-01421-6,https://www.nature.com/articles/s41560-023-01421-6.pdf,/Users/shunhao/Desktop/ML/lab-v2/literature_k_som_search/08_recent_literature_review/oa_pdfs/10.1038_s41560-023-01421-6.pdf,downloaded_pdf,,True,light[- ]soak|light soaking,full_text_machine_reviewed,,14,74911,5;6;7;8;9,1;2;3;7;8;11,"ml–1 5 mg ml–1 10 mg ml–1 Charge extraction eﬀiciency Charge extraction eﬀiciency Suppression of surface recombination ∆EF (eV) a b c 0.0 0.2 0.4 0.6 0.8 1.0 1.2 0 5 10 15 20 25 Current density (mA cm–2 ) Voltage (V) Control DMPESI d JSC (mA cm –2) VOC (V) FF PCE (%) RS 25.42 1.107 0.769 21.65 FS 25.44 1.103 0.748 20.98 RS 25.53 1.136 0.805 23.32 FS 25.39 1.135 0.803 23.14 0 100 200 300 400 500 15 18 21 24 DMPESI PCE (%) Time (s) MPPT ambient air 0.1 0.4 1.0 0.95 1.00 1.05 1.10 1.15 Control DMPESI VOC (V) ln (I I0 –1) 1.38 kBT/q 1.74 kBT/q e f Fig. 3 | Optoelectronic properties of perovskite films and photovoltaic devices performance. a, Transient PL decays of reference and DMPESI- passivate || ptoelectronic properties of perovskite films and devices To investigate the optoelectronic properties of the DMPESI-treated perovskite films with and without hole-transporting layer (HTL), time-resolved PL-decay measurements have been carried out, as shown in Fig. 3a and Supplementary Fig. 16, respectively. Evidently, moderate quantities of DMPESI result in effective prolongation of charge-carrier lifetime under high-injection regime, indicating high quality of the perovskite films with notably reduced non-radiative recombination. To disentangle between different competing processes leading to Fresh After 67 days a Ambient 0 10 20 30 40 50 60 70 0 0.2 0.4 0.6 0.8 1.0 Normalized PCE (%) Norma || amount (10 mg ml−1) of DMPESI results in inferior values in all PV parameters, which we attribute to the blocked charge transfer upon aggregation and formation of a thick interlayer between perovskite and HTL, as observed in cross-section SEM in Supplementary Fig. 20. This result is also in agreement with the time-resolved PL measurement discussed above. Both VOC and FF are substantially increased by introducing moderate quantities, especially 3 mg ml−1 of DMPESI, leading to the best reverse PCE of 23.32% and forward PCE of 23.14%, as summarized in the table in Fig. 3d. The PCE is stabilized at 23.3% under maximum power point, as shown in Fig. 3e. Incident photon-to-current conversion effici","he durability of perovskite solar cells. Here we introduced a sulfonium-based molecule, dimethylphenethylsulfonium iodide (DMPESI), for the post-deposition treatment of formamidinium lead iodide perovskite films. The treated films show improved stability upon light soaking and remains in the black α phase after two years ageing under ambient condition without encapsulation. The DMPESI-treated perovskite solar cells show less than 1% performance loss after more than 4,500 h at maximum power point tracking, yielding a theoretical || 024 | 172–183 173 Article https://doi.org/10.1038/s41560-023-01421-6 of the perovskite surface, which inhibits ion migration and impedes ambient-induced degradation mechanisms. Consequently, the DMPESI-treated FAPbI3 film exhibits much improved stability upon light soaking and remains in the black phase after two years ageing under ambient condition. Moreover, the resulting high-efficiency (PCE > 23%) PSCs exhibit long-term stability, showing: a negligible PCE drop (less than 1%) after more than 4,500 h maximum power point trac || ensity function theory (DFT) calculations (Supplementary Note 1), showing a high polarity region close to the ammonium group in PEA+, which is lacking in DMPES+. Similarly, solvation free energies and water interaction energies calcu- lated for both cations clearly show a reduced tendency to bind water for DMPES+ against PEA+. We deposit a layer of 1–10 mg ml−1 of DMPESI on top of a 3D per- ovskite film, where formamidinium lead triiodide (FAPbI3) is selected, owing to its favourable bandgap suitable for high-performance PSCs22,23. The morphologies of the perovskite films a",True,True
10.1002/adma.202400852,Dynamic Reversible Oxidation‐Reduction of Iodide Ions for Operationally Stable Perovskite Solar Cells under ISOS‐L‐3 Protocol,2024,Advanced Materials,https://doi.org/10.1002/adma.202400852,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202400852,,download_failed,curl: (56) The requested URL returned error: 403,True,recover|reversib|regenerat|self[- ]heal,not_reviewed_no_pdf,,,0,,,,,False,False
10.1002/advs.202306110,Towards Long‐Term Stable Perovskite Solar Cells: Degradation Mechanisms and Stabilization Techniques,2023,Advanced Science,https://doi.org/10.1002/advs.202306110,https://doi.org/10.1002/advs.202306110,,download_failed,curl: (56) The requested URL returned error: 403,True,light[- ]soak|light soaking,not_reviewed_no_pdf,,,0,,,,,False,False
10.1038/s41467-024-49395-7,Silver coordination-induced n-doping of PCBM for stable and efficient inverted perovskite solar cells,2024,Nature Communications,https://doi.org/10.1038/s41467-024-49395-7,https://doi.org/10.1038/s41467-024-49395-7,,not_a_pdf,downloaded_bytes=437662,True,recover|reversib|regenerat|self[- ]heal,not_reviewed_no_pdf,,,0,,,,,False,False
10.1038/s41467-023-36224-6,Orientated crystallization of FA-based perovskite via hydrogen-bonded polymer network for efficient and stable solar cells,2023,Nature Communications,https://doi.org/10.1038/s41467-023-36224-6,https://www.nature.com/articles/s41467-023-36224-6.pdf,/Users/shunhao/Desktop/ML/lab-v2/literature_k_som_search/08_recent_literature_review/oa_pdfs/10.1038_s41467-023-36224-6.pdf,downloaded_pdf,,True,light[- ]soak|light soaking,full_text_machine_reviewed,,11,61445,3;6;7,1;3,"boundaries of perovskite as a hydrogen-bonding network, which can efﬁciently stabilize α-FAPbI3 under operational conditions of PSCs. The planar PSCs based on FTPA exhibited a high PCE of 24.10% with pho- tovoltage (VOC) of 1.182 V and ﬁll-factor (FF) of 83.45%. Meanwhile, the unencapsulated device exhibited a prominent improvement in operation stability, maintaining the initial efﬁciency of >95% for 1000 h under continuous sunlight soaking and for 2000 h under air ambient of ~50% humid, respectively. It is noticeable that the perovskite with the polymer network can keep black-phase of FAPbI3 for more than 5 min after immersing the unencapsulated ﬁlm into the water. Results Hydrogen-bonded i || Cs showed a high VOC of 1.182 V, which was 93% of the Shockley–Queisser limit VOC (1.27 V) for the absorption threshold of 1.55 eV (Supplementary Fig. 21). The non-radiative recombination losses (ΔVOC loss) was calculated to be only 0.10 eV36,37(Supplementary Fig. 22). Moreover, the Urbach energy (Eu) of the BS-FTPA device (Fig. 4d) was 14.5 meV, which was among the lowest values in reported high-performance PSCs, sug- gesting very low defect density in the BS-FTPA perovskite ﬁlm6,38. Electrochemical impedance spectra (EIS) in Supplementary Fig. 23 and Supplementary Table 2 showed that the BS-FTPA PSCs had a smaller charge-transfer resistance (Rct) and a larger carrier recombination resistan || m in water represented a signiﬁcant progress in stabilizing α-FAPbI3 against moisture and liquid water. We have tracked the XRD patterns to esti- mate the morphological degradation of the control, B-FTPA and BS- FTPA perovskite ﬁlms under 85 °C (Supplementary Fig. 26). The con- trol ﬁlm exhibited obvious deterioration after 500 h manifested by a signiﬁcant increase of the PbI2 peak, whereas the XRD pattern of the B-FTPA ﬁlm showed only few of PbI2 peak, and no apparent impurity Control BS-FTPA Spiro-OMeTAD Spiro-OMeTAD Spiro-OMeTAD Spiro-OMeTAD F- PbI3 - FTPA FTPA B-FTPA B-FTPA Perovskite B-FTPA SnO2 SnO2 FTO FTO 500nm 500nm N BS-FTPA B-FTPA Control 21 22 23 24 25 PCE 䠄% 䠅 Au Au FTPA a b e f","emarkably, the polymerized additives endow a strongly hydrophobic effect to the bare perovskite ﬁlm against liquid water for 5 min. The unen- capsulated devices achieve 24.10% efﬁciency and maintain >95% of the initial efﬁciency for 1000 h under continuous sunlight soaking and for 2000 h at air ambient of ~50% humid, respectively. Formamidinium lead iodide (FAPbI3) based perovskite solar cells (PSCs) have attracted much attention during the past decade and reached a recorded power-conversion efﬁciency (PCE) of 25.7%1, owing to || ed a high PCE of 24.10% with pho- tovoltage (VOC) of 1.182 V and ﬁll-factor (FF) of 83.45%. Meanwhile, the unencapsulated device exhibited a prominent improvement in operation stability, maintaining the initial efﬁciency of >95% for 1000 h under continuous sunlight soaking and for 2000 h under air ambient of ~50% humid, respectively. It is noticeable that the perovskite with the polymer network can keep black-phase of FAPbI3 for more than 5 min after immersing the unencapsulated ﬁlm into the water. Results Hydrogen-bonded inter",True,True
10.1126/science.ade9463,Lead-chelating hole-transport layers for efficient and stable perovskite minimodules,2023,Science,https://doi.org/10.1126/science.ade9463,https://www.osti.gov/servlets/purl/2337955,/Users/shunhao/Desktop/ML/lab-v2/literature_k_som_search/08_recent_literature_review/oa_pdfs/10.1126_science.ade9463.pdf,downloaded_pdf,,True,light[- ]soak|light soaking,full_text_machine_reviewed,,17,41968,3;6;7,1;6;7;8;16,"e (TL) at different ratios for BCP and TSA, or blade-coated onto the PTAA layers for insoluble LCMs, including VC, MDSA and EDTA (details in Methods). The 25 perovskite composition of FA0.9Cs0.1PbI3 was used for device fabrication because of its reported high operational stability (5, 26-28). Both HTL and perovskite layers were coated in ambient condition by using nitrogen knife-assisted blading (29). We conducted steady-state PL and PL lifetime measurement to understand how LCMs blended in PTAA impacted the perovskites/HTL interfaces. Several prior studies showed that the 30 embedded perovskite/HTL interface could be even more defective than the top perovskite surface depending on the proce || ght sources impacted solar cell stability. Our study shows that UV light in the solar spectrum did accelerate perovskite device degradation, but filtering UV light of solar spectrum made perovskites as stable as those measured 35 under white LED light source (figure S18). The degradation of these devices was similar (figure S19) and showed only minor spectral differences for the three light sources on the stability of perovskite solar cells when the deep UV light was filtered. The small-area device stability was tested by soaking the devices at open circuit condition by the light source LS2. The devices were heated to 55° to 61°C by illumination during the stability testing, and no additiona || ndicating the perovskite films were very uniform. The minimodules with BCP:PTAA HTL had a VOC of 1.17 V, the same as small area cells. The photocurrent density from each 6-mm wide subcell in the minimodule was 23.6 mA cm-2, which is near the calculated value (figure S27A). Notably, the minimodule with this large area had a large FF of 0.803, which was also the highest FF reported for perovskite 30 minimodules. Calculation result in figure S27B also showed that the FF of 0.803 already reached the theoretical upper limit based on the attainable small area device performance, indicating there is negligible PCE loss caused by nonuniformity of device performance. The minimodule stability was eval","power conversion efficiency (PCE) of 21.8% (stabilized at 21.1%) certified by NREL, which corresponds to a minimal small cell efficiency of 24.6% (stabilized 24.1%) throughout the module area. Small-area cells and large area minimodules with LCMs in HTL had a light soaking stability of 3010 and 2130 hours, 20 respectively, at an efficiency loss of 10% from initial value under 1-Sun illumination at open- circuit voltage condition. One-Sentence Summary: Addition of lead chelation molecules into hole transport layer enhances the p || tested by soaking the devices at open circuit condition by the light source LS2. The devices were heated to 55° to 61°C by illumination during the stability testing, and no additional temperature 40 control was applied. Typical J-V curves of the devices after light soaking for different durations are shown in figure S20, and average PCEs over time for the control and target devices are shown in Fig. 4D. For the control devices, the PCE reduced to 90% of its initial efficiency (T90 lifetime) after light soaking for 1890 hours (h || ring the testing process. Instead of using higher testing temperature, the actual module operation temperature was used to keep the underlying photochemistry the same as real operation conditions. Typical J-V curves of the control and target minimodules after light soaking for different durations are shown in figure S28. The average T90 lifetime of the mini-modules with BCP:PTAA HTL reached ~2130 40 hr, whereas the control minimodules only had a T90 lifetime of ~1380 hr (Fig. 5E). Discussion",True,True
10.1002/adfm.202211955,Tailoring Multifunctional Self‐Assembled Hole Transporting Molecules for Highly Efficient and Stable Inverted Perovskite Solar Cells,2023,Advanced Functional Materials,https://doi.org/10.1002/adfm.202211955,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202211955,,download_failed,curl: (56) The requested URL returned error: 403,True,light[- ]soak|light soaking,not_reviewed_no_pdf,,,0,,,,,False,False
10.1038/s41467-025-68219-w,Insights into the operational stability of wide-bandgap perovskite and tandem solar cells under rapid thermal cycling,2026,Nature Communications,https://doi.org/10.1038/s41467-025-68219-w,https://www.nature.com/articles/s41467-025-68219-w_reference.pdf,/Users/shunhao/Desktop/ML/lab-v2/literature_k_som_search/08_recent_literature_review/oa_pdfs/10.1038_s41467-025-68219-w.pdf,downloaded_pdf,,True,burn[- ]in,full_text_machine_reviewed,,36,60593,4;7;9;11;23;28;31,3;5;8;9;10;12;15;16;33,"lt in ion migration, phase transition, crystal disorder, delamination, and device failure.31, 32, 33, 34 However, these pioneering studies have primarily focused on the mid-bandgap PSCs (around 1.5 eV) under thermal cycling, 32, 34, 35 leaving the thermal and operational stability of WBG PSCs and perovskite/Si TSCs, especially under thermal cycling, largely unexplored. In particular, the cycling duration is not specified in the International Summit on Organic Photovoltaic Stability (ISOS) protocols for thermal cycling (ISOS-T) and solar-thermal cycling (ISOS-LT). These protocols define only parameters such as temperature range, environmental atmosphere, and l || , the device with dual passivation displays superior performance, achieving a PCE of 24.31%, a JSC of 22.34 mA/cm2, a VOC of 1.29 V, and an FF of 84.36%. In addition, the statistical photovoltaic parameters for all three PSCs types are compared (Supplementary Figure 6), in which the DP devices demonstrate the highest VOC (average of 1.279 V) and FF (average of 79.68%), suggesting reduced non-radiative recombination and better energy alignment after passivation, ultimately contributing to the highest PCE among all the devices. Furthermore, the integrated JSC extracted from the external quantum efficiency (EQE, Fig. 1c, Supplementary Figure 7) measurements are 21.2, 21.0, 21.2 mA/cm2, showing  || nal stability under rapid thermal cycling To concurrently track the structural evolution and changes in device performance of WBG PSCs under rapid thermal cycling conditions, operando GIWAXS measurements are performed during device operation, as mapped out in Figure 2a. As the degradation behavior is quite similar in all types of PSCs, only the evolution of photovoltaic parameters for devices with dual passivation is shown in Figure 2b-e and Supplementary Figure 11. Overall, the average PCE of DP devices decreases to 42% of its original PCE after 1 h of solar-thermal cycling, originating from the combined degradation of JSC (9%), VOC (22%), and FF (41%). Similarly, the control devices (Suppl","sion efficiency (PCE) of 24.31% and extend the study to TSCs. We find that degradation during device operation under rapid solar-thermal cycling (temperature change rate of 10 ℃/min) is independent of passivation and occurs in two distinct regimes: an initial burn-in phase, which accounts for a rapid 60% relative loss in performance, followed by a steady degradation characterized by temperature-dependent fluctuations in photovoltaic parameters. By operando grazing-incidence wide-angle X-ray scattering and photoluminescenc || investigate the solar cell behavior of WBG PSCs under rapid solar-thermal cycling conditions with concurrently analyzing their structural evolution by GIWAXS. We find that the degradation of WBG PSCs universally follows two characteristic regimes, an initial burn-in phase followed by steady degradation, regardless of their initial performance or passivation strategy. The degradation behavior is driven by the accumulation of non-radiative recombination centers, temperature-induced phase transitions, and strain, collective || temperature-dependent J- V measurement and rapid thermal cycling conditions. In addition, the 𝛾LT values are −0.26%K-1 and −0.13% K-1 for control and DP device, respectively, showcasing better stability at low temperatures with dual passivation. Overall, the metastability of high-",True,True
