source,source_query,source_rank,openalex_id,doi,title,abstract,publication_year,publication_date,document_type,journal,publisher,authors,cited_by_count,landing_page_url,pdf_url,is_oa,metadata_sources,query_hits,best_source_rank,screen_status,screen_score,abstract_available,frontier_2024_2026,review_title_flag,perovskite_hits,pv_hits,stability_hits,curve_evidence_hits,nonmonotonic_recovery_hits,nonmonotonic_recovery_flag
OpenAlex,oa_mppt,198,https://openalex.org/W4413831920,10.1038/s41467-025-63176-w,Photo-homogenization assisted segregation easing technique (PHASET) for highly efficient and stable wide-bandgap perovskite solar cells,"Wide-bandgap (WBG) perovskite solar cells (PSCs) can exceed the Shockley–Queisser limit in tandem solar cells (TSCs), but phase segregation under continuous illumination limits their stability. Using in-situ microscopic characterizations, we investigate the dynamics of photon-induced phase segregation. Initial light soaking drives iodide diffusion into a metastable state, but continued redistribution increases the phase separation energy barrier, resulting in a more stable, segregation-resistant state. Inspired by stabilization methods in silicon photovoltaics, we develop the Photo-Homogenization Assisted Segregation Easing Technique (PHASET), which combines light soaking with 2-ThEABr surface passivation to suppress halide segregation. PHASET enhances efficiency and stability, enabling an efficiency of 20.23% for 1.79 eV WBG-PSCs, with 97% of the initial efficiency retained after 1200 hours of continuous illumination. Integration with a 1.25 eV narrow-bandgap subcell results in a two-terminal all-perovskite TSC with 28.64% efficiency, retaining 77% of its initial performance after 1200 hours of maximum power point tracking. Wide-bandgap perovskite solar cells often suffer from phase segregation under continuous illumination. Here, authors combine light soaking with small-molecule surface passivation to suppress halide segregation, achieving efficiency of 28.64% in stable two-terminal all-perovskite tandem solar cells.",2025,2025-08-29,article,Nature Communications,Nature Portfolio,Liming Du; Fangfang Cao; Rui Meng; Yueying Zhang; Junchuan Zhang; Zhiyu Gao; Cong Chen; Can Li; Dewei Zhao; Jichun Ye; Zhen Li; Chuanxiao Xiao,34,https://doi.org/10.1038/s41467-025-63176-w,https://www.nature.com/articles/s41467-025-63176-w.pdf,True,OpenAlex,oa_mppt,198,A_curve_likely_original,26,True,True,False,\bperovskit;\bpsc(?:s)?\b,solar cell;photovoltaic,stabilit,maximum power point|\bmpp(?:t)?\b;tracking;continuous (?:illumination|operation);\bhours?\b|\bhrs?\b;light soaking,non[- ]?monotonic|metastab;light[- ]soak|light soaking,True
OpenAlex,oa_mppt,160,https://openalex.org/W4389153107,10.1002/anie.202317446,Accelerated Redox Reactions Enable Stable Tin‐Lead Mixed Perovskite Solar Cells,"Abstract The facile oxidation of Sn 2+ to Sn 4+ poses an inherent challenge that limits the efficiency and stability of tin‐lead mixed (Sn−Pb) perovskite solar cells (PSCs) and all‐perovskite tandem devices. In this work, we discover the sustainable redox reactions enabling self‐healing Sn−Pb perovskites, where their intractable oxidation degradation can be recovered to their original state under light soaking. Quantitative and operando spectroscopies are used to investigate the redox chemistry, revealing that metallic Pb 0 from the photolysis of perovskite reacts with Sn 4+ to regenerate Pb 2+ and Sn 2+ spontaneously. Given the sluggish redox reaction kinetics, V 3+ /V 2+ ionic pair is designed as an effective redox shuttle to accelerate the recovery of Sn−Pb perovskites from oxidation. The target Sn−Pb PSCs enabled by V 3+ /V 2+ ionic pair deliver an improved power conversion efficiency (PCE) of 21.22 % and excellent device lifespan, retaining nearly 90 % of its initial PCE after maximum power point tracking under light for 1,000 hours.",2023,2023-11-29,article,Angewandte Chemie International Edition,Wiley,Dongxu He; Peng Chen; Mengmeng Hao; Miaoqiang Lyu; Zhiliang Wang; Shanshan Ding; Tongen Lin; Chengxi Zhang; Xin Wu; Evan G. Moore; Julian A. Steele; Ebinazar B. Namdas; Yang Bai; Lianzhou Wang,37,https://doi.org/10.1002/anie.202317446,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202317446,True,OpenAlex,oa_mppt,160,A_curve_likely_original,26,True,False,False,\bperovskit;\bpsc(?:s)?\b,solar cell;power conversion efficien;\bpce\b,stabilit;degrad,maximum power point|\bmpp(?:t)?\b;tracking;\bhours?\b|\bhrs?\b;light soaking,recover|reversib|regenerat|self[- ]heal;light[- ]soak|light soaking,True
OpenAlex,oa_operational_stability,5,https://openalex.org/W4390587786,10.1038/s41560-023-01421-6,"Multifunctional sulfonium-based treatment for perovskite solar cells with less than 1% efficiency loss over 4,500-h operational stability tests","Abstract The stabilization of grain boundaries and surfaces of the perovskite layer is critical to extend the durability of perovskite solar cells. Here we introduced a sulfonium-based molecule, dimethylphenethylsulfonium iodide (DMPESI), for the post-deposition treatment of formamidinium lead iodide perovskite films. The treated films show improved stability upon light soaking and remains in the black α phase after two years ageing under ambient condition without encapsulation. The DMPESI-treated perovskite solar cells show less than 1% performance loss after more than 4,500 h at maximum power point tracking, yielding a theoretical T 80 of over nine years under continuous 1-sun illumination. The solar cells also display less than 5% power conversion efficiency drops under various ageing conditions, including 100 thermal cycles between 25 °C and 85 °C and an 1,050-h damp heat test.",2024,2024-01-04,article,Nature Energy,Nature Portfolio,Jiajia Suo; Bowen Yang; Edoardo Mosconi; Dmitry Bogachuk; Tiarnan A. S. Doherty; Kyle Frohna; Dominik J. Kubicki; Fan Fu; YeonJu Kim; Oussama Er‐raji; Tiankai Zhang; Lorenzo Baldinelli; Lukas Wagner; Ayodhya N. Tiwari; Feng Gao; Andreas Hinsch; Samuel D. Stranks; Filippo De Angelis; Anders Hagfeldt,213,https://doi.org/10.1038/s41560-023-01421-6,https://www.nature.com/articles/s41560-023-01421-6.pdf,True,OpenAlex,oa_mppt;oa_operational_stability,5,A_curve_likely_original,23,True,True,False,\bperovskit,solar cell;power conversion efficien,stabilit;durab;ageing|aging;operational,"maximum power point|\bmpp(?:t)?\b;tracking;\b\d[\d,\.]*\s*h\b;light soaking;operational stabilit",light[- ]soak|light soaking,True
OpenAlex,oa_operational_stability,99,https://openalex.org/W4393971126,10.1002/adma.202400852,Dynamic Reversible Oxidation‐Reduction of Iodide Ions for Operationally Stable Perovskite Solar Cells under ISOS‐L‐3 Protocol,"Abstract Despite rapid advancements in the photovoltaic efficiencies of perovskite solar cells (PSCs), their operational stability remains a significant challenge for commercialization. This instability mainly arises from light‐induced halide ion migration and subsequent oxidation into iodine (I 2 ). The situation is exacerbated when considering the heat effects at elevated temperatures, leading to the volatilization of I 2 and resulting in irreversible device degradation. Mercaptoethylammonium iodide (ESAI) is thus incorporated into perovskite as an additive to inhibit the oxidation of iodide anion (I − ) and the light‐induced degradation pathway of FAPbI 3 →FAI+PbI 2 . Additionally, the formation of a thiol‐disulfide/I − ‐I 2 redox pair within the perovskite film provides a dynamic mechanism for the continuous reduction of I 2 under light and thermal stresses, facilitating the healing of iodine‐induced degradations. This approach significantly enhances the operational stability of PSCs. Under the ISOS‐L‐3 testing protocol (maximum power point (MPP) tracking in an environment with relative humidity of ≈50% at ≈65 °C), the treated PSCs maintain 97% of their original power conversion efficieney (PCE) after 300 h of aging. In contrast, control devices exhibit almost complete degradation, primarily due to rapid thermal‐induced I 2 volatilization. These results demonstrate a promising strategy to overcome critical stability challenges in PSCs, particularly in scenarios involving thermal effects.",2024,2024-04-05,article,Advanced Materials,,Xiaoyi Lü; Kexuan Sun; Yaohua Wang; Chang Liu; Yuanyuan Meng; Xiting Lang; Chuanxiao Xiao; Ruijia Tian; Zhenhua Song; Zewei Zhu; Ming Yang; Yang Bai; Ziyi Ge,94,https://doi.org/10.1002/adma.202400852,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202400852,True,OpenAlex,oa_mppt;oa_operational_stability,69,A_curve_likely_original,23,True,True,False,\bperovskit;\bpsc(?:s)?\b,solar cell;photovoltaic;power conversion efficien;\bpce\b,stabilit;degrad;ageing|aging;operational,"maximum power point|\bmpp(?:t)?\b;tracking;\b\d[\d,\.]*\s*h\b;operational stabilit",recover|reversib|regenerat|self[- ]heal,True
OpenAlex,oa_mppt,105,https://openalex.org/W4404473983,10.1002/adma.202410779,Universal Approach for Managing Iodine Migration in Inverted Single‐Junction and Tandem Perovskite Solar Cells,"Abstract Despite significant progress in the power‐conversion efficiency (PCE) of perovskite solar cells (PSCs), the instability of devices remains a considerable obstacle for commercial applications. This instability primarily originates from the migration of halide ions—particularly iodide ions (I − ). Under light exposure and thermal stress, I − migrates and transforms into I 2 , leading to irreversible degradation and performance loss. To address this issue, we introduced the additive 2,1,3‐benzothiadiazole,5,6‐difluoro‐4,7‐bis(4,4,5,5‐tetramethyl‐1,3,2‐dioxaborolan‐2‐yl) (BT2F‐2B) into the perovskite. The strong coordination between the unhybridized p orbital and lone‐pair electrons from I − inhibits the deprotonation of MAI/FAI and the subsequent conversion of I − to I₂. The highly electronegative fluorine enhances its electrostatic interaction with I − . Consequently, the synergistic effect of BT2F‐2B effectively suppresses the decomposition of perovskite and the defect density of the iodide vacancies. This approach delivers a PCE over 26% for inverted single‐junction PSCs, with exceptional operational stability. According to the ISOS‐L‐3 testing protocol (maximum power point tracking at 85 °C and 50% relative humidity), treated PSCs retain 85% of their original PCE after 1000 h of aging. When the BT2F‐2B is applied to a wide‐bandgap (1.77 eV) perovskite system, the PCE of all‐perovskite tandem solar cells reaches 27.8%, confirming the universality of the proposed strategy.",2024,2024-11-18,article,Advanced Materials,,Zhenhua Song; Kexuan Sun; Yuanyuan Meng; Zewei Zhu; Yaohua Wang; Wei Zhang; Bai Yang; Xiaoyi Lü; Ruijia Tian; Chang Liu; Ziyi Ge,61,https://doi.org/10.1002/adma.202410779,,False,OpenAlex,oa_mppt,105,A_curve_likely_original,23,True,True,False,\bperovskit;\bpsc(?:s)?\b,solar cell;\bpce\b,stabilit;degrad;ageing|aging;operational,"maximum power point|\bmpp(?:t)?\b;tracking;\b\d[\d,\.]*\s*h\b;operational stabilit",recover|reversib|regenerat|self[- ]heal,True
OpenAlex,oa_operational_stability,36,https://openalex.org/W4388982470,10.1002/advs.202306110,Towards Long‐Term Stable Perovskite Solar Cells: Degradation Mechanisms and Stabilization Techniques,"Abstract It is certain that perovskite materials must be a game‐changer in the solar industry as long as their stability reaches a level comparable with the lifetime of a commercialized Si photovoltaic. However, the operational stability of perovskite solar cells and modules still remains unresolved, especially when devices operate in practical energy‐harvesting modes represented by maximum power point tracking under 1 sun illumination at ambient conditions. This review article covers from fundamental aspects of perovskite instability including chemical decomposition pathways under light soaking and electrical bias, to recent advances and techniques that effectively prevent such degradation of perovskite solar cells and modules. In particular, fundamental causes for permanent degradation due to ion migration and trapped charges are overviewed and explain their interplay between ions and charges. Based on the degradation mechanism, recent advances on the strategies are discussed to slow down the degradation during operation for a practical use of perovskite‐based solar devices.",2023,2023-11-23,article,Advanced Science,Wiley,Namyoung Ahn; Mansoo Choi,177,https://doi.org/10.1002/advs.202306110,https://doi.org/10.1002/advs.202306110,True,Crossref;OpenAlex,cr_reversible;oa_mppt;oa_operational_stability,17,A_curve_likely_original,23,True,False,False,\bperovskit,solar cell;photovoltaic,stabilit;degrad;lifetime;operational,maximum power point|\bmpp(?:t)?\b;tracking;light soaking;operational stabilit,light[- ]soak|light soaking,True
OpenAlex,oa_mppt,170,https://openalex.org/W4313555865,10.1002/solr.202201099,Effective Inhibition of Phase Segregation in Wide‐Bandgap Perovskites with Alkali Halides Additives to Improve the Stability of Solar Cells,"Wide‐bandgap perovskites have attracted much attention due to their potential application in perovskite‐based tandem solar cells, which can surpass the theoretical efficiency up‐limit of single‐junction solar cells. However, photoinduced phase segregation remains one of the most intractable impediments that deteriorate the operational stability of wide‐bandgap perovskites solar cells. Herein, the effect of a series of alkali halides additives on the photoinduced phase segregation of wide‐bandgap perovskites with the composition of FA0.8Cs0.2Pb(I0.7Br0.3)3 (FA is formamidinium) is systematically studied. By coupling in situ time‐dependent photoluminescence technique, potassium chloride (KCl) is demonstrated to be the best in suppressing the photoinduced phase segregation. The reduced iodine vacancy defects owing to supplemented chloride ions and the coupling of potassium ions with the accumulated iodide ions at the grain boundaries lead to effective suppression phase segregation. As a consequence, the KCl‐modified wide‐bandgap perovskite solar cells present a champion efficiency of 19.34%, and the devices can maintain 93% of the initial efficiency after light soaking for 500 h with maximum power point tracking under 1 sun equivalent white light‐emitting diode illumination, much superior to the reference device without KCl modification only retaining 72% of its initial efficiency.",2023,2023-01-06,article,Solar RRL,Wiley,Xin Meng; Jianan Wang; Haixin Wang; Mengjie Li; Derun Sun; Xiaodong Hu; Jizhou He; Yu Peng; Jing Zhou; Rui Chen; Fumeng Ren; Sanwan Liu; Shasha Zhang; Yiqiang Zhang; Zhiguo Zhao; Zonghao Liu; Wei Chen,33,https://doi.org/10.1002/solr.202201099,,False,OpenAlex,oa_mppt,170,A_curve_likely_original,23,True,False,False,\bperovskit,solar cell,stabilit;operational,"maximum power point|\bmpp(?:t)?\b;tracking;\b\d[\d,\.]*\s*h\b;light soaking;operational stabilit",light[- ]soak|light soaking,True
Crossref,cr_operational_stability,182,,10.1002/eom2.12508,Enhancing FAPbI 3 Perovskite Solar Cell Performance and Stability Through Bespoke Graphene Quantum Dots,"ABSTRACT A novel approach to enhancing the efficiency and long‐term stability of perovskite solar cells (PSCs) is presented through strategic interfacial modification using bespoke graphene quantum dots (GQDs). GQDs with controlled alkylamine chain lengths, such as butylamine (C4), octylamine (C8), and dodecylamine (C12), were customized to have the proper optical and electronic properties toward specific interfaces within the PSCs. The incorporation of C4‐GQDs significantly improved the energy level alignment and conductivity of the SnO 2 electron transport layer (ETL), while C12‐GQDs effectively reduced trap density on the perovskite surface, leading to enhanced defect passivation. These modifications resulted in a substantial increase in power conversion efficiency of 24.41% in a unit cell and 18.91% in a mini‐module, respectively. Notably, the maximum power point tracked perovskite mini‐module retained 89% of its initial efficiency during 1000 h of continuous light soaking condition at 25°C under 35% relative humidity. This work highlights the potential of bespoke GQDs to advance both the performance and durability of PSCs, providing a scalable approach for future photovoltaic applications. image",2025,2025-01,journal-article,EcoMat,Wiley,Jin Kyoung Park; Yunmi Song; Hyong Joon Lee; Kyung Ho Kim; Jin Hyuck Heo; Sang Hyuk Im,7,https://doi.org/10.1002/eom2.12508,,,Crossref,cr_nonmonotonic;cr_operational_stability;cr_pce_hours,155,A_curve_likely_original,21,True,True,False,\bperovskit;\bpsc(?:s)?\b,solar cell;photovoltaic;power conversion efficien,stabilit;durab,"maximum power point|\bmpp(?:t)?\b;\b\d[\d,\.]*\s*h\b;light soaking",light[- ]soak|light soaking,True
OpenAlex,oa_operational_stability,186,https://openalex.org/W4399500807,10.1038/s41467-024-49395-7,Silver coordination-induced n-doping of PCBM for stable and efficient inverted perovskite solar cells,"Abstract The bidirectional migration of halides and silver causes irreversible chemical corrosion to the electrodes and perovskite layer, affecting long-term operation stability of perovskite solar cells. Here we propose a silver coordination-induced n-doping of [6,6]-phenyl-C 61 -butyric acid methyl ester strategy to safeguard Ag electrode against corrosion and impede the migration of iodine within the PSCs. Meanwhile, the coordination between DCBP and silver induces n-doping in the PCBM layer, accelerating electron extraction from the perovskite layer. The resultant PSCs demonstrate an efficiency of 26.03% (certified 25.51%) with a minimal non-radiative voltage loss of 126 mV. The PCE of resulting devices retain 95% of their initial value after 2500 h of continuous maximum power point tracking under one-sun irradiation, and > 90% of their initial value even after 1500 h of accelerated aging at 85 °C and 85% relative humidity.",2024,2024-06-10,article,Nature Communications,Nature Portfolio,Cheng Gong; Jing Li; Huaxin Wang; Cong Zhang; Qixin Zhuang; Awen Wang; Zhiyuan Xu; Wensi Cai; Ru Li; Xiong Li; Zhigang Zang,140,https://doi.org/10.1038/s41467-024-49395-7,https://doi.org/10.1038/s41467-024-49395-7,True,OpenAlex,oa_mppt;oa_operational_stability,30,A_curve_likely_original,21,True,True,False,\bperovskit;\bpsc(?:s)?\b,solar cell;\bpce\b,stabilit;ageing|aging,"maximum power point|\bmpp(?:t)?\b;tracking;\b\d[\d,\.]*\s*h\b",recover|reversib|regenerat|self[- ]heal,True
Crossref,cr_mppt,40,,10.1002/aenm.71358,Maximum Stability Point Tracking Stabilizes Wide‐Bandgap Mixed‐Halide Perovskite Solar Cells,"ABSTRACT Mixed‐halide wide‐bandgap (WBG) perovskites with bandgaps above 1.65 eV are essential top‐cell absorbers for tandem photovoltaics. However, bromide‐rich WBG perovskites suffer from photo‐induced halide segregation, while its origin under operating conditions remains unclear. Here, we identify trapped‐charge accumulation as a key factor triggering phase segregation during operation and develop a practical operational strategy to mitigate this process. Time‐evolving photoluminescence and depth‐profiling x‐ray photoelectron spectroscopy reveal that trapped‐charge accumulation accelerates ionic redistribution and halide segregation under illumination. Based on this insight, we introduce a maximum stability point tracking (MSPT) strategy that periodically relieves charge accumulation during device operation. WBG perovskite solar cells (PSCs) operated under MSPT retain approximately 90% of their initial power after 700 h of continuous operation, whereas devices operated under conventional maximum power point tracking (MPPT) rapidly degrade during the early stages of operation. Post‐operational analyses further reveal that MSPT preserves the alloyed perovskite phase, whereas MPPT induces pronounced phase segregation. As an operation‐stage strategy that mitigates charge accumulation without altering material composition, MSPT is compatible with existing material approaches and offers a route toward more stable perovskite photovoltaics. These findings provide an operational guideline for stabilizing WBG PSCs and advancing tandem photovoltaic technologies.",2026,2026-07-27,journal-article,Advanced Energy Materials,Wiley,Seongheon Kim; Geon Kim; Taeeon Kim; Kwang Seop Shin; Jongchan Kim; Mansoo Choi; Yun Seog Lee; Namyoung Ahn,0,https://doi.org/10.1002/aenm.71358,,,Crossref,cr_mppt,40,A_curve_likely_original,20,True,True,False,\bperovskit;\bpsc(?:s)?\b,solar cell;photovoltaic,stabilit;degrad;operational,"maximum power point|\bmpp(?:t)?\b;tracking;continuous (?:illumination|operation);\b\d[\d,\.]*\s*h\b",,False
