curve_id,axis_valid,audit_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points,duration_hours
图片1_8cff72a9ff,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_1__Series_1.csv,图片1,samples_test__unknown__unknown__图片1__Series_1__Series_1,Thermal cycles,,Normalized PCE,,,64,
图片1_a0090d31b6,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_2__Series_2.csv,图片1,samples_test__unknown__unknown__图片1__Series_2__Series_2,Thermal cycles,,Normalized PCE,,,64,
图片120_640f71ecdd,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片120/accepted/samples_test__unknown__unknown__图片120__Series_1__Series_1.csv,图片120,samples_test__unknown__unknown__图片120__Series_1__Series_1,Impact cycles,,Normalized PCE,,,40,
图片120_6dbb4b7c60,False,x_axis_is_cycles_not_time,lab-v2/som_references/accepted/samples_test/图片120/accepted/samples_test__unknown__unknown__图片120__Series_2__Series_2.csv,图片120,samples_test__unknown__unknown__图片120__Series_2__Series_2,Impact cycles,,Normalized PCE,,,40,
图片125_f4d7fc9cfa,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片125/accepted/samples_test__unknown__unknown__图片125__Series_1__Series_1.csv,图片125,samples_test__unknown__unknown__图片125__Series_1__Series_1,,,,,,58,
图片125_28e2b9e997,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片125/accepted/samples_test__unknown__unknown__图片125__Series_2__Series_2.csv,图片125,samples_test__unknown__unknown__图片125__Series_2__Series_2,,,,,,58,
图片134_a458279fbc,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_1__Series_1.csv,图片134,samples_test__unknown__unknown__图片134__Series_1__Series_1,,,,,,44,
图片134_5e2f25a536,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_2__Series_2.csv,图片134,samples_test__unknown__unknown__图片134__Series_2__Series_2,,,,,,39,
图片134_cd0efab7ba,False,x_axis_or_unit_unverified,lab-v2/som_references/accepted/samples_test/图片134/accepted/samples_test__unknown__unknown__图片134__Series_3__Series_3.csv,图片134,samples_test__unknown__unknown__图片134__Series_3__Series_3,,,,,,39,
图片140_5b3885bece,False,implausible_duration_over_100000h,lab-v2/som_references/accepted/samples_test/图片140/accepted/samples_test__unknown__unknown__图片140__Series_1__Series_1.csv,图片140,samples_test__unknown__unknown__图片140__Series_1__Series_1,Time,(h),Normalized PCE,,1.0,37,42488794.46516118
图片140_54cfe16e6f,False,implausible_duration_over_100000h,lab-v2/som_references/accepted/samples_test/图片140/accepted/samples_test__unknown__unknown__图片140__Series_2__Series_2.csv,图片140,samples_test__unknown__unknown__图片140__Series_2__Series_2,Time,(h),Normalized PCE,,1.0,36,41308550.17446226
