candidate_id,window_hours,sigma,learning_rate,iterations,som_x,som_y,seed,n_curves,input_dimensions,quantization_error,quantization_error_per_sqrt_dimension,topographic_error,silhouette,occupied_nodes,min_cluster_size_including_empty,cluster_0_size,cluster_1_size,cluster_2_size,cluster_3_size,all_four_nodes_occupied,initial_unsupervised_rank
25,300,0.5,0.1,50000,2,2,0,116,1800,0.9585517145,0.02259328058,0,0.5918688424,4,2,2,62,21,31,True,1
22,300,0.4,0.1,50000,2,2,0,116,1800,0.9585517161,0.02259328062,0,0.5918688424,4,2,2,62,21,31,True,2
19,300,0.3,0.1,50000,2,2,0,116,1800,0.9585517161,0.02259328062,0,0.5918688424,4,2,2,62,31,21,True,3
26,300,0.5,0.2,50000,2,2,0,116,1800,0.963407206,0.02270772561,0,0.5918688424,4,2,2,62,21,31,True,4
23,300,0.4,0.2,50000,2,2,0,116,1800,0.9634072091,0.02270772569,0,0.5918688424,4,2,2,62,21,31,True,5
20,300,0.3,0.2,50000,2,2,0,116,1800,0.9634072091,0.02270772569,0,0.5918688424,4,2,2,62,31,21,True,6
27,300,0.5,0.3,50000,2,2,0,116,1800,0.9755075452,0.02299293334,0,0.5918270426,4,2,2,63,21,30,True,7
24,300,0.4,0.3,50000,2,2,0,116,1800,0.975507549,0.02299293343,0,0.5918270426,4,2,2,63,21,30,True,8
21,300,0.3,0.3,50000,2,2,0,116,1800,0.975507549,0.02299293343,0,0.5918270426,4,2,2,63,30,21,True,9
10,200,0.3,0.1,50000,2,2,0,124,1200,0.7126863217,0.02057348198,0,0.5857152902,4,3,22,64,35,3,True,10
13,200,0.4,0.1,50000,2,2,0,124,1200,0.7126863217,0.02057348198,0,0.5857152902,4,3,22,64,35,3,True,11
16,200,0.5,0.1,50000,2,2,0,124,1200,0.7126863342,0.02057348234,0,0.5857152902,4,3,35,64,22,3,True,12
11,200,0.3,0.2,50000,2,2,0,124,1200,0.725680097,0.02094857997,0,0.5827448975,4,3,22,66,33,3,True,13
14,200,0.4,0.2,50000,2,2,0,124,1200,0.725680097,0.02094857997,0,0.5827448975,4,3,22,66,33,3,True,14
17,200,0.5,0.2,50000,2,2,0,124,1200,0.725680109,0.02094858031,0,0.5827448975,4,3,33,66,22,3,True,15
7,150,0.5,0.1,50000,2,2,0,130,900,0.5646398655,0.01882132885,0,0.5809047983,4,7,24,7,35,64,True,16
4,150,0.4,0.1,50000,2,2,0,130,900,0.5646398672,0.01882132891,0,0.5809047983,4,7,24,7,35,64,True,17
1,150,0.3,0.1,50000,2,2,0,130,900,0.5646398672,0.01882132891,0,0.5809047983,4,7,24,7,35,64,True,18
2,150,0.3,0.2,50000,2,2,0,130,900,0.5757739594,0.01919246531,0,0.5809047983,4,7,24,7,35,64,True,19
5,150,0.4,0.2,50000,2,2,0,130,900,0.5757739594,0.01919246531,0,0.5809047983,4,7,24,7,35,64,True,20
8,150,0.5,0.2,50000,2,2,0,130,900,0.5757739601,0.01919246534,0,0.5809047983,4,7,24,7,64,35,True,21
9,150,0.5,0.3,50000,2,2,0,130,900,0.5886493377,0.01962164459,0,0.5809047983,4,7,24,7,64,35,True,22
12,200,0.3,0.3,50000,2,2,0,124,1200,0.7290798213,0.02104672155,0,0.5806981803,4,3,22,67,32,3,True,23
15,200,0.4,0.3,50000,2,2,0,124,1200,0.7290798213,0.02104672155,0,0.5806981803,4,3,32,67,3,22,True,24
18,200,0.5,0.3,50000,2,2,0,124,1200,0.729079835,0.02104672195,0,0.5806981803,4,3,32,67,3,22,True,25
3,150,0.3,0.3,50000,2,2,0,130,900,0.623195698,0.02077318993,0,0.5756946033,4,4,26,4,36,64,True,26
6,150,0.4,0.3,50000,2,2,0,130,900,0.623195698,0.02077318993,0,0.5756946033,4,4,26,4,36,64,True,27
40,750,0.4,0.1,50000,2,2,0,87,4500,1.791060163,0.02669954851,0,0.5233988639,4,8,13,19,47,8,True,28
43,750,0.5,0.1,50000,2,2,0,87,4500,1.777359493,0.02649531098,0,0.519069786,4,8,20,13,46,8,True,29
37,750,0.3,0.1,50000,2,2,0,87,4500,1.777359501,0.0264953111,0,0.519069786,4,8,13,20,46,8,True,30
44,750,0.5,0.2,50000,2,2,0,87,4500,1.779575498,0.02652834523,0,0.519069786,4,8,20,13,46,8,True,31
41,750,0.4,0.2,50000,2,2,0,87,4500,1.77957551,0.02652834541,0,0.519069786,4,8,13,20,46,8,True,32
38,750,0.3,0.2,50000,2,2,0,87,4500,1.77957551,0.02652834541,0,0.519069786,4,8,13,20,46,8,True,33
45,750,0.5,0.3,50000,2,2,0,87,4500,1.778271618,0.02650890813,0,0.5164049502,4,8,22,13,44,8,True,34
42,750,0.4,0.3,50000,2,2,0,87,4500,1.778271636,0.02650890841,0,0.5164049502,4,8,13,22,44,8,True,35
39,750,0.3,0.3,50000,2,2,0,87,4500,1.778271636,0.02650890841,0,0.5164049502,4,8,13,22,44,8,True,36
34,500,0.5,0.1,50000,2,2,0,104,3000,1.413568716,0.02580811574,0,0.4941741749,4,15,47,15,25,17,True,37
31,500,0.4,0.1,50000,2,2,0,104,3000,1.413568726,0.02580811592,0,0.4941741749,4,15,47,15,25,17,True,38
28,500,0.3,0.1,50000,2,2,0,104,3000,1.413568726,0.02580811592,0,0.4941741749,4,15,47,15,25,17,True,39
35,500,0.5,0.2,50000,2,2,0,104,3000,1.418659237,0.02590105551,0,0.4931662832,4,15,46,15,26,17,True,40
32,500,0.4,0.2,50000,2,2,0,104,3000,1.418659248,0.02590105573,0,0.4931662832,4,15,46,15,26,17,True,41
29,500,0.3,0.2,50000,2,2,0,104,3000,1.418659248,0.02590105573,0,0.4931662832,4,15,46,15,26,17,True,42
36,500,0.5,0.3,50000,2,2,0,104,3000,1.422140208,0.02596460906,0,0.4931662832,4,15,46,15,26,17,True,43
33,500,0.4,0.3,50000,2,2,0,104,3000,1.422140222,0.02596460931,0,0.4931662832,4,15,46,15,26,17,True,44
30,500,0.3,0.3,50000,2,2,0,104,3000,1.422140222,0.02596460931,0,0.4931662832,4,15,46,15,26,17,True,45
53,1000,0.5,0.2,50000,2,2,0,55,6000,2.036920573,0.02629653152,0,0.4779153307,4,6,12,29,8,6,True,46
50,1000,0.4,0.2,50000,2,2,0,55,6000,2.036920573,0.02629653152,0,0.4779153307,4,6,12,29,8,6,True,47
51,1000,0.4,0.3,50000,2,2,0,55,6000,2.038440362,0.02631615192,0,0.4779153307,4,6,12,29,8,6,True,48
54,1000,0.5,0.3,50000,2,2,0,55,6000,2.038440364,0.02631615194,0,0.4779153307,4,6,12,29,8,6,True,49
46,1000,0.3,0.1,50000,2,2,0,55,6000,2.379894763,0.03072430927,0,0.4565914669,4,1,1,35,8,11,True,50
47,1000,0.3,0.2,50000,2,2,0,55,6000,2.391411387,0.03087298825,0,0.4565914669,4,1,1,35,8,11,True,51
48,1000,0.3,0.3,50000,2,2,0,55,6000,2.408486787,0.03109343072,0,0.4565914669,4,1,1,35,8,11,True,52
