curve_id,som_neuron_id,paper_shape_label,dtw_kmeans_cluster
图片102_3dfd74212a,1,fast_exponential_decay,2
图片102_d8c245ba7a,3,slow_exponential_decay,3
图片103_2b72774534,3,slow_exponential_decay,3
图片103_bcfcaf0360,2,initial_gain,0
图片105_32d68f1b45,2,initial_gain,0
图片105_457cd7852f,3,slow_exponential_decay,3
图片107_b2f4df4336,0,medium_exponential_decay,1
图片107_f3230ee0e8,0,medium_exponential_decay,1
图片113_5031dc5ac2,2,initial_gain,0
图片113_5b5ce508bd,3,slow_exponential_decay,3
图片114_22f5dc923d,1,fast_exponential_decay,1
图片114_2c13d60cfd,2,initial_gain,0
图片114_5d05de147f,2,initial_gain,0
图片115_01afabb0c0,0,medium_exponential_decay,1
图片115_8cc5d1e2b8,0,medium_exponential_decay,1
图片116_1a8fb0bddd,3,slow_exponential_decay,3
图片116_1c8227d681,2,initial_gain,0
图片116_4ac59c593b,3,slow_exponential_decay,3
图片116_65eb56ddd1,0,medium_exponential_decay,1
图片11_803413880f,0,medium_exponential_decay,1
图片11_fe30bf81d3,3,slow_exponential_decay,3
图片121_09e036200a,2,initial_gain,0
图片122_631af03b05,2,initial_gain,0
图片122_fb8750c673,2,initial_gain,0
图片127_90c3584dc3,2,initial_gain,0
图片127_cfb6747cd0,3,slow_exponential_decay,3
图片127_fae8afb771,0,medium_exponential_decay,1
图片12_8ead6ff972,2,initial_gain,0
图片12_c4564666ed,2,initial_gain,0
图片132_1d81c7ef0c,2,initial_gain,0
图片132_55073daea0,3,slow_exponential_decay,3
图片135_416420e73b,3,slow_exponential_decay,3
图片135_d4e290896b,2,initial_gain,0
图片136_4d4220d0f1,2,initial_gain,3
图片141_7315da2cdf,2,initial_gain,0
图片141_939b548eee,2,initial_gain,0
图片141_a8a78a6cbb,2,initial_gain,0
图片141_c22163c53e,2,initial_gain,0
图片159_41ff697bee,3,slow_exponential_decay,3
图片159_c223572492,2,initial_gain,0
图片160_68218de2a7,2,initial_gain,0
图片160_d690ea710f,2,initial_gain,0
图片162_44a16a7876,2,initial_gain,0
图片162_d2a80a5e00,0,medium_exponential_decay,1
图片162_d9ab854a2e,3,slow_exponential_decay,3
图片163_9302500777,3,slow_exponential_decay,3
图片163_c3cef6f5fd,0,medium_exponential_decay,1
图片16_92ce9de464,0,medium_exponential_decay,1
图片16_a271af3c1b,3,slow_exponential_decay,3
图片16_d266b445b6,0,medium_exponential_decay,1
图片172_1500c740de,3,slow_exponential_decay,3
图片17_9cc1fbc4c1,2,initial_gain,0
图片17_b497897586,3,slow_exponential_decay,3
图片180_d5cbad9ce6,3,slow_exponential_decay,0
图片184_507faa5323,2,initial_gain,0
图片184_6dd94ccd86,2,initial_gain,0
图片190_46e98c994b,3,slow_exponential_decay,3
图片193_0c17e012f8,0,medium_exponential_decay,1
图片197_80552e30c2,2,initial_gain,0
图片197_d52078c7d4,2,initial_gain,0
图片19_357d04a2ef,2,initial_gain,0
图片19_b6c1315f5c,2,initial_gain,0
图片202_029296e6ba,0,medium_exponential_decay,1
图片202_24972422a1,2,initial_gain,0
图片203_16a7222a72,3,slow_exponential_decay,3
图片203_d202464f39,2,initial_gain,0
图片204_1ffdd0ff20,2,initial_gain,0
图片204_6b1b2d067d,3,slow_exponential_decay,3
图片205_1de446d485,0,medium_exponential_decay,1
图片205_b3846cfa76,0,medium_exponential_decay,1
图片28_256b0ae51b,3,slow_exponential_decay,1
图片28_9a4cdc85fc,3,slow_exponential_decay,0
图片33_d23b550cfe,1,fast_exponential_decay,2
图片37_f594d68bde,3,slow_exponential_decay,0
图片39_52020a09a1,2,initial_gain,0
图片39_6dfc311fc6,2,initial_gain,0
图片42_f37b3f4894,3,slow_exponential_decay,3
图片42_fc20d8b062,0,medium_exponential_decay,1
图片48_1a4520b70c,2,initial_gain,0
图片48_cf162c1fe3,2,initial_gain,0
图片48_d7adcc3df7,3,slow_exponential_decay,3
图片50_f893c166de,2,initial_gain,0
图片58_365cfd8ab3,2,initial_gain,0
图片58_712607914b,2,initial_gain,0
图片58_7752eda896,2,initial_gain,0
图片59_b33cd1e57a,0,medium_exponential_decay,1
图片59_ff131ffd27,0,medium_exponential_decay,1
图片62_425477c17e,3,slow_exponential_decay,3
图片62_ec636b173b,0,medium_exponential_decay,1
图片63_301f8e7e3d,3,slow_exponential_decay,3
图片63_4b738e48d9,3,slow_exponential_decay,3
图片63_60e94766c3,3,slow_exponential_decay,0
图片68_5e6164edc9,3,slow_exponential_decay,3
图片68_e81edd4f44,2,initial_gain,0
图片70_793ba9d20b,2,initial_gain,0
图片70_e0865bc345,2,initial_gain,0
图片71_c5c3484144,0,medium_exponential_decay,1
图片71_f4e0faab87,3,slow_exponential_decay,3
图片74_041c42f84e,2,initial_gain,0
图片74_8144fcd699,2,initial_gain,0
图片74_8e33f022bd,2,initial_gain,0
图片75_28d00e69a3,3,slow_exponential_decay,3
图片75_64c7ef280b,2,initial_gain,0
图片78_bffccff2c4,0,medium_exponential_decay,1
图片78_c1a766169b,0,medium_exponential_decay,1
图片85_18c67b503a,3,slow_exponential_decay,3
图片87_3ff0e4a7d8,2,initial_gain,0
图片87_7e7efde409,2,initial_gain,3
图片88_07ebc80000,3,slow_exponential_decay,3
图片88_095c90edd9,2,initial_gain,0
图片88_3eac1d8a9e,2,initial_gain,0
图片89_f6c024444a,2,initial_gain,0
图片90_7b529f4afd,2,initial_gain,0
图片98_e5f7bc41cb,3,slow_exponential_decay,3
