top_dir,doi,figure_label,figure_folder,unit_label,max_x_raw,max_x_hours,n_points,csv_file
x_time_h,10.1039/d1na00173f,Fig5_F,Fig5_F_mppt_stability_performance_curve_spectrum,hours,19.07,19.07,7,x_time_h/10.1039_d1na00173f/Fig5_F_mppt_stability_performance_curve_spectrum/accepted/10.1039_d1na00173f__Fig5__F__mppt_stability_performance_curve_spectrum__Pristine_biased_at_0.85_V__Series_2.csv
x_time_h,10.1021/jacs.0c13069,Fig4_C,Fig4_C_stability_performance_curve_pce,hours,38.645,38.645,15,x_time_h/10.1021_jacs.0c13069/Fig4_C_stability_performance_curve_pce/accepted/10.1021_jacs.0c13069__Fig4__C__stability_performance_curve_pce__CsSnI₃__Series_2.csv
x_time_h,10.1016/j.xcrp.2020.100224,Fig5_D,Fig5_D_stability_performance_curve,hours,43.572,43.572,9,x_time_h/10.1016_j.xcrp.2020.100224/Fig5_D_stability_performance_curve/accepted/10.1016_j.xcrp.2020.100224__Fig5__D__stability_performance_curve__control__Series_2.csv
x_time_h,10.1002/adma.201705596,Fig5_D,Fig5_D_stability_performance_curve,hours,44.631,44.631,8,x_time_h/10.1002_adma.201705596/Fig5_D_stability_performance_curve/accepted/10.1002_adma.201705596__Fig5__D__stability_performance_curve__(CsFAMA)Pb(BrI)₃__Series_2.csv
x_time_day,10.1016/j.solmat.2019.110284,Fig3_B,Fig3_B_structure,days,1.889,45.347,5,x_time_day/10.1016_j.solmat.2019.110284/Fig3_B_structure/accepted/10.1016_j.solmat.2019.110284__Fig3__B__structure__Temperature_30_oC__Series_2.csv
x_time_h,10.1039/c5ee03255e,Fig6_D,Fig6_D_stability_performance_curve,hours,46.602,46.602,3,x_time_h/10.1039_c5ee03255e/Fig6_D_stability_performance_curve/accepted/10.1039_c5ee03255e__Fig6__D__stability_performance_curve__FAPbI₃__Series_2.csv
x_time_h,10.1002/solr.201900167,Fig4_D,Fig4_D_stability_performance_curve,hours,46.836,46.836,6,x_time_h/10.1002_solr.201900167/Fig4_D_stability_performance_curve/accepted/10.1002_solr.201900167__Fig4__D__stability_performance_curve__M&C-TiO₂__Series_2.csv
x_time_h,10.1002/aenm.201602120,Fig4_A,Fig4_A_pce,hours,47.725,47.725,24,x_time_h/10.1002_aenm.201602120/Fig4_A_pce/accepted/10.1002_aenm.201602120__Fig4__A__pce__PCBM__Series_2.csv
x_time_h,10.1016/j.nanoen.2022.107818,Fig5_E,Fig5_E_mppt_stability_performance_curve_pce,hours,49.224,49.224,23,x_time_h/10.1016_j.nanoen.2022.107818/Fig5_E_mppt_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2022.107818__Fig5__E__mppt_stability_performance_curve_pce__Control__Series_3.csv
x_time_h,10.1038/ncomms10228,Fig5_A,Fig5_A_stability_performance_curve_pce,hours,54.387,54.387,8,x_time_h/10.1038_ncomms10228/Fig5_A_stability_performance_curve_pce/accepted/10.1038_ncomms10228__Fig5__A__stability_performance_curve_pce__0_mg_ml⁻¹__Series_3.csv
x_time_h,10.1002/adfm.201807850,Fig7_F,Fig7_F_stability_performance_curve_pce,hours,58.442,58.442,12,x_time_h/10.1002_adfm.201807850/Fig7_F_stability_performance_curve_pce/accepted/10.1002_adfm.201807850__Fig7__F__stability_performance_curve_pce__w_o_NbF₅__Series_2.csv
x_time_h,10.1039/d4ee02427c,Fig4_H,Fig4_H_mppt_stability_performance_curve_pce_eqe,hours,60.949,60.949,12,x_time_h/10.1039_d4ee02427c/Fig4_H_mppt_stability_performance_curve_pce_eqe/accepted/10.1039_d4ee02427c__Fig4__H__mppt_stability_performance_curve_pce_eqe__Control__Series_2.csv
x_time_h,10.1039/d0ta12286f,Fig5_A,Fig5_A_stability_performance_curve_pce,hours,70.884,70.884,13,x_time_h/10.1039_d0ta12286f/Fig5_A_stability_performance_curve_pce/accepted/10.1039_d0ta12286f__Fig5__A__stability_performance_curve_pce__FA₀.₈Cs₀.₂Pb(I₀.₆Br₀.₄)₃-based_tandem__Series_2.csv
x_time_h,10.1039/d0ta12286f,Fig5_B,Fig5_B_stability_performance_curve_pce,hours,71.358,71.358,22,x_time_h/10.1039_d0ta12286f/Fig5_B_stability_performance_curve_pce/accepted/10.1039_d0ta12286f__Fig5__B__stability_performance_curve_pce__FA0.8Cs0.2Pb(1o.6Br0.4)3-based_tandem__Series_2.csv
x_time_h,10.1002/adma.201907623,Fig5_C,Fig5_C_stability_performance_curve_pce,hours,72.461,72.461,40,x_time_h/10.1002_adma.201907623/Fig5_C_stability_performance_curve_pce/accepted/10.1002_adma.201907623__Fig5__C__stability_performance_curve_pce__0%_PHCl__Series_2.csv
x_time_h,10.1039/d0ta01860k,Fig5_B,Fig5_B_mppt_stability_performance_curve_pce,hours,74.134,74.134,16,x_time_h/10.1039_d0ta01860k/Fig5_B_mppt_stability_performance_curve_pce/accepted/10.1039_d0ta01860k__Fig5__B__mppt_stability_performance_curve_pce__doped_Spiro__Series_2.csv
