doi,figure,panels,min_hours,max_hours,source_dirs,unit
10.1002/adma.201705596,Fig5,_D,44.63,44.63,x_time_h,hours
10.1016/j.solmat.2019.110284,Fig3,_B,45.35,45.35,x_time_day,days
10.1039/c5ee03255e,Fig6,_D,46.6,46.6,x_time_h,hours
10.1002/solr.201900167,Fig4,_D,46.84,46.84,x_time_h,hours
10.1002/aenm.201602120,Fig4,_A,47.72,47.72,x_time_h,hours
10.1016/j.nanoen.2022.107818,Fig5,_E,49.22,49.22,x_time_h,hours
10.1038/ncomms10228,Fig5,_A,54.39,54.39,x_time_h,hours
10.1002/adfm.201807850,Fig7,_F,58.44,58.44,x_time_h,hours
10.1039/d4ee02427c,Fig4,_H,60.95,60.95,x_time_h,hours
10.1039/d0ta12286f,Fig5,"_A, _B",70.88,71.36,x_time_h,hours
10.1039/d0ta01860k,Fig5,_B,74.13,74.13,x_time_h,hours
10.1016/j.xcrp.2020.100224,Fig5,"_B, _D",43.57,74.49,x_time_h,hours
10.1002/adfm.202002964,Fig5,_C,78.31,78.31,x_time_h,hours
10.1021/jacs.6b10227,Fig3,_D,79.31,79.31,x_time_h,hours
10.1021/acs.chemmater.5b03137,Fig3,_B,81.53,81.53,x_time_day,days
10.1002/aenm.202301218,Fig3,_E,88.75,88.75,x_time_h,hours
10.1016/j.nanoen.2015.10.010,Fig7,_D,88.88,88.88,x_time_h,hours
10.1002/smll.201907283,Fig6,_D,94.68,94.68,x_time_h,hours
10.1039/d0ra09294k,Fig5,_C,94.64,95.14,x_time_day,days
10.1016/j.nanoen.2021.105751,Fig4,_B,95.25,95.25,x_time_h,hours
10.1021/acsaem.0c01796,Fig10,Fig10,95.28,95.28,x_time_h,hours
10.1039/d3ee03687a,Fig5,_B,99.0,99.0,x_time_h,hours
10.1002/eem2.12089,Fig5,_B,99.52,99.52,x_time_h,hours
10.1021/acsenergylett.7b00375,Fig4,_C,100.01,100.01,x_time_h,hours
10.1002/pssr.202000062,Fig4,_B,100.06,100.06,x_time_h,hours
10.1016/j.orgel.2018.09.019,Fig4,_A,99.5,100.39,x_time_h,hours
10.1002/smll.201904399,Fig6,_C,101.57,101.57,x_time_h,hours
10.1016/j.nanoen.2016.09.041,Fig2,_A,102.59,103.16,x_time_h,hours
10.1016/j.jpowsour.2021.230534,Fig4,_C,104.38,104.67,x_time_h,hours
10.1021/acsami.0c02751,Fig9,_A,104.5,104.81,x_time_h,hours
10.1016/j.nanoen.2021.106157,Fig3,_G,105.25,105.25,x_time_h,hours
10.1016/j.cej.2021.130685,Fig5,_F,105.8,105.8,x_time_h,hours
10.1021/acsami.9b11229,Fig5,"_B, _C, _D",106.01,106.97,x_time_h,hours
10.3390/coatings11060627,Fig3,_A,107.31,107.31,x_time_h,hours
10.1002/aenm.201700226,Fig4,_A,107.51,107.51,x_time_day,days
10.1002/advs.201901241,Fig5,"_C, _D",84.24,108.97,x_time_h,hours
10.1002/adfm.202101163,Fig7,_B,109.1,109.1,x_time_h,hours
10.1039/d4ee02427c,Fig3,_M,109.29,109.29,x_time_h,hours
10.1002/solr.201700245,Fig6,Fig6,110.75,110.75,x_time_day,days
10.1016/j.nanoen.2014.12.022,Fig4,_A,115.58,115.58,x_time_h,hours
10.1039/c9ta08314f,Fig5,_D,117.13,117.13,x_time_h,hours
10.1016/j.nanoen.2019.103964,Fig4,_B,117.34,117.34,x_time_h,hours
10.1016/j.solener.2016.10.005,Fig7,Fig7,117.42,117.42,x_time_day,days
10.1016/j.orgel.2019.03.036,Fig5,"_C, _D",117.42,117.49,x_time_h,hours
10.1016/j.jechem.2021.08.021,Fig5,_G,117.7,117.7,x_time_h,hours
10.1002/aenm.201803287,Fig6,_B,117.96,117.96,x_time_h,hours
10.1039/c5ta09080f,Fig6,_C,118.05,118.05,x_time_h,hours
10.1002/adem.202000990,Fig5,_C,118.07,118.07,x_time_h,hours
10.1016/j.electacta.2018.07.028,Fig2,_A,117.98,118.2,x_time_day,days
10.1126/science.aam6620,Fig4,_A,118.32,118.32,x_time_h,hours
10.1002/aenm.201802774,Fig3,_C,118.38,118.38,x_time_h,hours
10.1007/s40820-022-00995-2,Fig5,_F,118.53,118.53,x_time_h,hours
10.1021/acsenergylett.1c01446,Fig5,Fig5,118.58,118.58,x_time_h,hours
10.1039/d1na00172h,Fig6,_B,118.5,118.67,x_time_h,hours
10.1016/j.jpowsour.2021.229781,Fig4,_B,116.87,118.74,x_time_h,hours
10.1002/solr.201900319,Fig4,_F,118.99,118.99,x_time_h,hours
