cluster_i,cluster_j,pearson_correlation,centroid_rmse
0,0,1.0,0.0
0,1,0.9768868807307722,0.11661026315445033
0,2,0.9976099725530028,0.06421873089841071
0,3,0.9964096784839821,0.06517801715144536
0,4,0.9586664897222243,0.5109730586713629
0,5,0.9873727716315547,0.3074009931484511
0,6,0.998269079504504,0.16718882091461348
1,0,0.9768868807307723,0.11661026315445033
1,1,1.0,0.0
1,2,0.9870447094584476,0.052472857223022945
1,3,0.9561766110953319,0.1811388302354123
1,4,0.8767936079414773,0.6253731812648377
1,5,0.9322235734474217,0.4230056765003694
1,6,0.9644542410666302,0.2836871248249582
2,0,0.9976099725530028,0.06421873089841071
2,1,0.9870447094584477,0.052472857223022945
2,2,1.0,0.0
2,3,0.9893876694905113,0.12902083473360945
2,4,0.9396537636083921,0.5741583951331642
2,5,0.9759217512042873,0.3711729430431942
2,6,0.9929912383145644,0.23136634450149496
3,0,0.9964096784839821,0.06517801715144536
3,1,0.956176611095332,0.1811388302354123
3,2,0.9893876694905113,0.12902083473360945
3,3,1.0,0.0
3,4,0.9789063818696225,0.4458764320378093
3,5,0.9964754792336878,0.2423025965925069
3,6,0.9992419799624548,0.10284152598873356
4,0,0.9586664897222243,0.5109730586713629
4,1,0.8767936079414773,0.6253731812648377
4,2,0.9396537636083921,0.5741583951331642
4,3,0.9789063818696224,0.4458764320378093
4,4,1.0,0.0
4,5,0.9905088693623694,0.20531427146296763
4,6,0.9724536574444628,0.34711411449344853
5,0,0.9873727716315547,0.3074009931484511
5,1,0.9322235734474218,0.4230056765003694
5,2,0.9759217512042873,0.3711729430431942
5,3,0.9964754792336878,0.2423025965925069
5,4,0.9905088693623693,0.20531427146296763
5,5,0.9999999999999999,0.0
5,6,0.9941940908514657,0.1421525164071246
6,0,0.9982690795045039,0.16718882091461348
6,1,0.9644542410666304,0.2836871248249582
6,2,0.9929912383145643,0.23136634450149496
6,3,0.9992419799624548,0.10284152598873356
6,4,0.9724536574444629,0.34711411449344853
6,5,0.9941940908514656,0.1421525164071246
6,6,0.9999999999999998,0.0
