raw_cluster_id,som_node_x,som_node_y,n_curves,fraction,pce_norm_0h_mean,pce_norm_10h_mean,pce_norm_50h_mean,pce_norm_100h_mean,pce_norm_150h_mean,pce_norm_200h_mean,delta_0_200h_mean,slope_0_10h_per_h,slope_100_200h_per_h,auc_0_200h,mean_bmu_distance,median_bmu_distance,suggested_shape_name,ordered_class_id,class_label
0,0,0,47,0.03259361997226075,0.9992422772053675,0.9291301767889634,0.7102636907285047,0.5213410727988033,0.37988267033916,0.2805994696965247,-0.7186428075088428,-0.0070112100416404146,-0.0024074160310227854,111.5040207969298,2.5096210533902106,2.2998815309723595,initial_drop_rapid_loss,9,class_09
1,0,1,21,0.014563106796116505,1.0,0.8539823349720423,0.6335903287636241,0.6120593881209344,0.6129447085196995,0.5775179030119008,-0.42248209698809924,-0.014601766502795765,-0.00034541485109033655,128.91141545197524,3.0776832783065204,2.1738340936751044,initial_drop_rapid_loss,6,class_06
2,0,2,85,0.05894590846047157,0.997989444921609,0.967503765198238,0.8535422579787962,0.7390570107962627,0.642348934475476,0.5429927154493253,-0.45499672947228376,-0.0030485679723371018,-0.001960642953469375,149.93923693112714,1.530333477787896,1.5000250238582613,initial_drop_rapid_loss,7,class_07
3,0,3,173,0.11997226074895978,0.9956408486063695,0.9836365761815472,0.9318713057831324,0.8690405435476908,0.8079918974812607,0.7466155737771745,-0.249025274829195,-0.001200427242482227,-0.0012242496977051631,173.98767103975405,0.8678321096268463,0.7988834014223521,no_initial_change_moderate_loss,4,class_04
4,0,4,242,0.1678224687933426,0.9946947243568065,0.9881353188479238,0.9562956148884831,0.9151464921982023,0.8761841715993449,0.8346988813058042,-0.15999584305100234,-0.0006559405508882677,-0.0008044761089239815,183.07389126286165,0.7313741387146898,0.6317807722825248,no_initial_change_moderate_loss,3,class_03
5,1,0,17,0.011789181692094313,1.0,0.870339777759492,0.5137223798395665,0.3013099952807024,0.17576263596979178,0.13331220616969783,-0.8666877938303021,-0.0129660222240508,-0.0016799778911100458,74.88141316361364,2.592562653152944,2.5190310400100095,initial_drop_rapid_loss,10,class_10
6,1,1,47,0.03259361997226075,0.9975734075490972,0.9743587433681099,0.8511137587329779,0.6837311082450771,0.507999155997635,0.35704283903366435,-0.6405305685154328,-0.002321466418098728,-0.0032668826921141273,136.15551773544468,1.8402334932695434,1.8697294027853795,initial_drop_rapid_loss,8,class_08
7,1,2,127,0.08807212205270458,0.9972803650371725,0.9715759560123638,0.8877397671447078,0.8066075705580338,0.7399099529059188,0.6815498993308575,-0.315730465706315,-0.002570440902480875,-0.0012505767122717626,163.39647138990338,1.1556635701695601,1.0451730841938431,initial_drop_moderate_loss,5,class_05
8,1,3,382,0.26490984743411927,0.9850773255700163,0.987915182506422,0.9894795353402838,0.9841008786559947,0.9749883771188176,0.9623314825576674,-0.022745843012348832,0.00028378569364057027,-0.00021769396098327286,196.23956033324043,0.4560685833705224,0.3870890924443196,no_initial_change_stable,1,class_01
9,1,4,301,0.2087378640776699,0.9935308456552835,0.990534234257955,0.9753450604761945,0.9533178088868056,0.9305929937765607,0.9026247147057745,-0.09090613094950895,-0.00029966113973285414,-0.0005069309418103108,190.4171843604846,0.5218760204475336,0.47721461383670144,no_initial_change_stable,2,class_02
