cluster_i,cluster_j,pearson_correlation,centroid_rmse
0,0,1.0,0.0
0,1,0.9969169109828451,0.23732035163733445
0,2,0.9970165422243766,0.302018556390767
0,3,0.9759701138776748,0.4138350664437048
0,4,0.9901488237058218,0.1808297561575339
0,5,0.992514738308324,0.14393310445128513
0,6,0.989648086119168,0.3673535555660119
0,7,0.359315976171554,0.4509645629191214
1,0,0.9969169109828451,0.23732035163733445
1,1,1.0,0.0
1,2,0.9995349831271434,0.06485890747879733
1,3,0.9870716530190166,0.17668394366093457
1,4,0.9794230645412972,0.41529095008995087
1,5,0.9979547773851104,0.0965136199891649
1,6,0.9958758493891672,0.13017211238490273
1,7,0.4222588825429116,0.21406966157230645
2,0,0.9970165422243766,0.302018556390767
2,1,0.9995349831271434,0.06485890747879733
2,2,1.0,0.0
2,3,0.9892619779580927,0.11192120346631482
2,4,0.9776559592516814,0.47965196085052136
2,5,0.9987054021578204,0.16067509316894876
2,6,0.9974258569230895,0.06536343760216774
2,7,0.4287114683318495,0.14955323790579675
3,0,0.9759701138776748,0.4138350664437048
3,1,0.9870716530190166,0.17668394366093457
3,2,0.9892619779580927,0.11192120346631482
3,3,0.9999999999999999,0.0
3,4,0.9367531250924036,0.5907845929709732
3,5,0.9948508379050646,0.27233710499361163
3,6,0.9970183934268374,0.04664358571493958
3,7,0.5527730898933968,0.03850789298734706
4,0,0.9901488237058217,0.1808297561575339
4,1,0.9794230645412972,0.41529095008995087
4,2,0.9776559592516815,0.47965196085052136
4,3,0.9367531250924037,0.5907845929709732
4,4,1.0,0.0
4,5,0.9666975070213394,0.3242361030406458
4,6,0.9604364790646482,0.5447229377241564
4,7,0.23139761056000205,0.6271440279623238
5,0,0.9925147383083239,0.14393310445128513
5,1,0.9979547773851104,0.0965136199891649
5,2,0.9987054021578203,0.16067509316894876
5,3,0.9948508379050647,0.27233710499361163
5,4,0.9666975070213394,0.3242361030406458
5,5,1.0,0.0
5,6,0.9994501257674828,0.22572263969218748
5,7,0.46992303047645384,0.3099906058354629
6,0,0.9896480861191681,0.3673535555660119
6,1,0.9958758493891671,0.13017211238490273
6,2,0.9974258569230895,0.06536343760216774
6,3,0.9970183934268374,0.04664358571493958
6,4,0.9604364790646482,0.5447229377241564
6,5,0.9994501257674828,0.22572263969218748
6,6,1.0,0.0
6,7,0.48843846243634836,0.08469297209308538
7,0,0.359315976171554,0.4509645629191214
7,1,0.4222588825429116,0.21406966157230645
7,2,0.42871146833184953,0.14955323790579675
7,3,0.5527730898933968,0.03850789298734706
7,4,0.23139761056000205,0.6271440279623238
7,5,0.4699230304764539,0.3099906058354629
7,6,0.4884384624363483,0.08469297209308538
7,7,0.9999999999999998,0.0
