raw_cluster_id,som_node_x,som_node_y,n_curves,fraction,pce_norm_0h_mean,pce_norm_10h_mean,pce_norm_50h_mean,pce_norm_100h_mean,pce_norm_150h_mean,pce_norm_200h_mean,delta_0_200h_mean,slope_0_10h_per_h,slope_100_200h_per_h,auc_0_200h,mean_bmu_distance,median_bmu_distance,suggested_shape_name,ordered_class_id,class_label
0,0,0,301,0.16862745098039217,0.9789762077282957,0.9828471356618478,0.9909659908640602,0.9916354516493714,0.9875538421339405,0.9790133795359666,3.717180767082162e-05,0.00038709279335520376,-0.00012622072113404825,197.59093033793638,0.4948693867085488,0.41086137286788293,no_initial_change_stable,1,class_01
1,0,1,257,0.14397759103641455,0.9943476465668762,0.9907631107957618,0.9748583113901214,0.951462962613781,0.9291002111765966,0.9035049073076473,-0.09084273925922892,-0.0003584535771114394,-0.0004795805530613373,190.24254847179614,0.43706803857928106,0.36562653155890906,no_initial_change_stable,3,class_03
2,0,2,190,0.10644257703081232,0.9956063958903661,0.9904258471333688,0.9635041590917686,0.9266292595084645,0.8920260592371771,0.8529262590268071,-0.14268013686355907,-0.000518054875699736,-0.0007370300048165745,185.3485235531037,0.501486507424645,0.47255259110233605,no_initial_change_moderate_loss,5,class_05
3,0,3,68,0.0380952380952381,0.9893356814463691,0.9869466048295947,0.9698171516046097,0.9214016242446548,0.8413345667043807,0.7597259265792019,-0.22960975486716717,-0.00023890766167743437,-0.0016167569766545287,180.55110907196422,0.7529721496060624,0.6613884263729226,no_initial_change_moderate_loss,7,class_07
4,1,0,348,0.1949579831932773,0.9949888695442796,0.9951851758072875,0.9878949403832396,0.975606368213025,0.9610412936602142,0.9449674751744631,-0.05002139436981645,1.963062630079282e-05,-0.00030638893038561934,194.80574026409087,0.32522598348629034,0.31081460554306556,no_initial_change_stable,2,class_02
5,1,1,117,0.06554621848739496,0.9982214485383221,0.9849623775790989,0.934455448424357,0.8834808797561093,0.8506982548751444,0.8177408995333483,-0.1804805490049738,-0.0013259070959223186,-0.0006573998022276106,178.7135692603315,0.61923176605613,0.5746230543666307,no_initial_change_moderate_loss,6,class_06
6,1,2,128,0.07170868347338935,0.995057418231238,0.9854105432695887,0.9318437592271607,0.8606714689821162,0.7931684573875419,0.730243274887498,-0.26481414334374,-0.0009646874961649288,-0.0013042819409461825,172.4753589150111,0.7084721247065549,0.6241208008721452,no_initial_change_moderate_loss,8,class_08
7,1,3,58,0.032492997198879554,0.998914428686536,0.9864448293102769,0.9242548028156228,0.8199823928230445,0.6948257473684775,0.5708008563816723,-0.4281135723048637,-0.0012469599376259133,-0.002491815364413722,161.4899082833593,1.1350078559401213,1.105521692754481,no_initial_change_rapid_loss,11,class_11
8,2,0,97,0.05434173669467787,0.9969039858528873,0.9646123348803539,0.8719487527478073,0.800092648432271,0.7585523027183579,0.7221409441956348,-0.2747630416572525,-0.003229165097253339,-0.0007795170423663622,163.99105521309784,0.9642686612736656,0.8687016060429874,initial_drop_moderate_loss,9,class_09
9,2,1,21,0.011764705882352941,1.0,0.881064752003302,0.5362074393373643,0.3281872331827877,0.195468231410561,0.13587461872007195,-0.8641253812799281,-0.011893524799669796,-0.0019231261446271575,78.78328167908121,2.7883479961926714,2.444125268857069,initial_drop_rapid_loss,16,class_16
10,2,2,28,0.01568627450980392,0.9980266524800866,0.9607568916249,0.8003647823707215,0.5704026130913217,0.3563809116818136,0.21211106484212072,-0.7859155876379659,-0.003726976085518663,-0.0035829154824920093,116.51336118770135,2.3103148396636555,2.295684936796742,initial_drop_rapid_loss,15,class_15
11,2,3,69,0.03865546218487395,0.9975278720038766,0.9587933619369686,0.8301092934317926,0.7252700506209336,0.6546380441900256,0.5930787413700178,-0.4044491306338588,-0.003873451006690798,-0.0013219130925091582,149.60579127767443,1.2678821296665603,1.1699073029763272,initial_drop_rapid_loss,10,class_10
12,3,0,4,0.002240896358543417,0.9852728091321226,0.8150931427305177,0.4982106074385386,0.6786537575066812,0.8664436617596127,0.8602244530027899,-0.12504835612933263,-0.017017966640160486,0.001815706954961087,140.1732184268341,6.84032403062468,7.103742555122475,initial_drop_moderate_loss,4,class_04
13,3,1,30,0.01680672268907563,1.0,0.8948367193992929,0.6569480964106718,0.5205122335877975,0.44578114599502766,0.3848255679040309,-0.6151744320959691,-0.010516328060070712,-0.0013568666568376665,113.61448530120617,1.774570513941774,1.6770186324730525,initial_drop_rapid_loss,13,class_13
14,3,2,34,0.01904761904761905,0.9998299314413752,0.9372094894368792,0.7526289253764217,0.6366333241657746,0.5559400303014443,0.4874899067461307,-0.5123400246952445,-0.006262044200449601,-0.0014914341741964388,133.48901742121345,1.566978777725123,1.3643499231296587,initial_drop_rapid_loss,12,class_12
15,3,3,35,0.0196078431372549,0.9974586541451413,0.9802506965472642,0.890469410106166,0.7286878166448884,0.541856477669155,0.3653792489068267,-0.6320794052383146,-0.0017207957597877189,-0.0036330856773806163,142.2602020686092,1.6893688264535711,1.6727158156192552,no_initial_change_rapid_loss,14,class_14
