cluster_i,cluster_j,pearson_correlation,centroid_rmse
0,0,1.0,0.0
0,1,0.972571615239736,0.2775856126029417
0,2,0.9806156476979697,0.12115194615715452
0,3,0.934191353437681,0.5151892903023632
1,0,0.9725716152397359,0.2775856126029417
1,1,0.9999999999999998,0.0
1,2,0.9989000177274805,0.15648789211864275
1,3,0.9914237031208166,0.23944393090177207
2,0,0.9806156476979697,0.12115194615715452
2,1,0.9989000177274805,0.15648789211864275
2,2,1.0,0.0
2,3,0.9853141783124417,0.3947415244469955
3,0,0.934191353437681,0.5151892903023632
3,1,0.9914237031208166,0.23944393090177207
3,2,0.9853141783124417,0.3947415244469955
3,3,0.9999999999999999,0.0
