n_nodes,topology,raw_cluster_id,ordered_class_id,class_label,n_curves,fraction,pce_norm_200h_mean,suggested_shape_name
2,1x2,0,1,class_01,1219,0.8453536754507628,0.8639808265226195,no_initial_change_moderate_loss
2,1x2,1,2,class_02,223,0.1546463245492371,0.4230683922803366,initial_drop_rapid_loss
3,1x3,0,1,class_01,947,0.6567267683772539,0.9059922991752216,no_initial_change_stable
3,1x3,1,2,class_02,375,0.2600554785020804,0.6700862359592072,initial_drop_moderate_loss
3,1x3,2,3,class_03,120,0.0832177531206657,0.3189986100495862,initial_drop_rapid_loss
4,2x2,0,1,class_01,831,0.5762829403606102,0.9204055701875958,no_initial_change_stable
4,2x2,1,3,class_03,159,0.1102635228848821,0.4878306249863697,initial_drop_rapid_loss
4,2x2,2,2,class_02,393,0.2725381414701803,0.7414127533297158,no_initial_change_moderate_loss
4,2x2,3,4,class_04,59,0.0409153952843273,0.2328740466488948,initial_drop_rapid_loss
5,1x5,0,5,class_05,49,0.0339805825242718,0.214053207300265,initial_drop_rapid_loss
5,1x5,1,3,class_03,243,0.1685159500693481,0.6854897763922514,initial_drop_moderate_loss
5,1x5,2,1,class_01,638,0.4424410540915395,0.9405395124383976,no_initial_change_stable
5,1x5,3,2,class_02,375,0.2600554785020804,0.8224486099068229,no_initial_change_moderate_loss
5,1x5,4,4,class_04,137,0.09500693481276,0.4524950258233706,initial_drop_rapid_loss
6,2x3,0,2,class_02,365,0.2531206657420249,0.8348187879816871,no_initial_change_moderate_loss
6,2x3,1,4,class_04,126,0.087378640776699,0.5231605087115062,initial_drop_rapid_loss
6,2x3,2,6,class_06,26,0.0180305131761442,0.1421783378697518,initial_drop_rapid_loss
6,2x3,3,1,class_01,607,0.4209431345353675,0.9432323610811176,no_initial_change_stable
6,2x3,4,3,class_03,244,0.1692094313453536,0.7140343573405172,no_initial_change_moderate_loss
6,2x3,5,5,class_05,74,0.0513176144244105,0.3573882992795196,initial_drop_rapid_loss
7,1x7,0,3,class_03,229,0.1588072122052704,0.7613163980533729,no_initial_change_moderate_loss
7,1x7,1,1,class_01,500,0.3467406380027739,0.9523962894236326,no_initial_change_stable
7,1x7,2,2,class_02,366,0.2538141470180305,0.868296338740739,no_initial_change_moderate_loss
7,1x7,3,4,class_04,147,0.1019417475728155,0.6739054657966005,initial_drop_moderate_loss
7,1x7,4,7,class_07,22,0.015256588072122,0.1327684506532552,initial_drop_rapid_loss
7,1x7,5,6,class_06,65,0.0450762829403606,0.3278895448551635,initial_drop_rapid_loss
7,1x7,6,5,class_05,113,0.0783633841886269,0.4947167200210748,initial_drop_rapid_loss
8,2x4,0,6,class_06,72,0.0499306518723994,0.4336914281583491,initial_drop_rapid_loss
8,2x4,1,4,class_04,148,0.102635228848821,0.667566245725924,initial_drop_moderate_loss
8,2x4,2,3,class_03,232,0.1608876560332871,0.7601822141309735,no_initial_change_moderate_loss
8,2x4,3,1,class_01,500,0.3467406380027739,0.9523962894236326,no_initial_change_stable
8,2x4,4,5,class_05,45,0.0312066574202496,0.5788425229329474,initial_drop_rapid_loss
8,2x4,5,7,class_07,55,0.0381414701803051,0.2939178892985577,initial_drop_rapid_loss
8,2x4,6,8,class_08,22,0.015256588072122,0.1511037544214549,initial_drop_rapid_loss
8,2x4,7,2,class_02,368,0.2552011095700416,0.8679706341953064,no_initial_change_moderate_loss
9,3x3,0,1,class_01,402,0.2787794729542302,0.9604431132525224,no_initial_change_stable
9,3x3,1,2,class_02,311,0.2156726768377253,0.8979997007822368,no_initial_change_stable
9,3x3,2,4,class_04,191,0.1324549237170596,0.7315885897040235,no_initial_change_moderate_loss
9,3x3,3,3,class_03,249,0.1726768377253814,0.8198622991651727,no_initial_change_moderate_loss
9,3x3,4,5,class_05,104,0.0721220527045769,0.6441843552217356,initial_drop_moderate_loss
9,3x3,5,7,class_07,66,0.0457697642163661,0.4194858313273166,initial_drop_rapid_loss
9,3x3,6,6,class_06,42,0.029126213592233,0.5740643593772865,initial_drop_rapid_loss
9,3x3,7,9,class_09,22,0.015256588072122,0.1511037544214549,initial_drop_rapid_loss
9,3x3,8,8,class_08,55,0.0381414701803051,0.2939178892985577,initial_drop_rapid_loss
10,2x5,0,9,class_09,47,0.0325936199722607,0.2805994696965247,initial_drop_rapid_loss
10,2x5,1,6,class_06,21,0.0145631067961165,0.5775179030119008,initial_drop_rapid_loss
10,2x5,2,7,class_07,85,0.0589459084604715,0.5429927154493253,initial_drop_rapid_loss
10,2x5,3,4,class_04,173,0.1199722607489597,0.7466155737771745,no_initial_change_moderate_loss
10,2x5,4,3,class_03,242,0.1678224687933426,0.8346988813058042,no_initial_change_moderate_loss
10,2x5,5,10,class_10,17,0.0117891816920943,0.1333122061696978,initial_drop_rapid_loss
10,2x5,6,8,class_08,47,0.0325936199722607,0.3570428390336643,initial_drop_rapid_loss
10,2x5,7,5,class_05,127,0.0880721220527045,0.6815498993308575,initial_drop_moderate_loss
10,2x5,8,1,class_01,382,0.2649098474341192,0.9623314825576674,no_initial_change_stable
10,2x5,9,2,class_02,301,0.2087378640776699,0.9026247147057744,no_initial_change_stable
