curve_id,sample_id,source_absolute_path,source_relative_path,top_dir,doi_dir,doi,figure_folder,series_id,unit_factor_to_hours,unit_label,unit_source,y_axis_name,y_axis_unit,n_raw_points,n_unique_points_0_200h,start_time_absolute_h,end_time_absolute_h,duration_h,global_max_pce_time_relative_h,global_max_pce_value,duration_ge_200h,global_max_pce_by_200h,paper_selected_min4,main_selected_min10,selection_or_exclusion_reasons,n_unique_points_total_recomputed,n_unique_points_0_200h_recomputed,n_duplicate_points_recomputed,max_support_gap_h,endpoint_bracket_time_h_recomputed,endpoint_gap_after_200h,raw_y_min_support,raw_y_max_support,axis_label_status,strict_selected,strict_selection_reasons
x_time_day/10.1016_j.orgel.2021.106428/Fig9_whole_stability/accepted/10.1016_j.orgel.2021.106428__Fig9__whole__stability__NiOx__Series_3.csv,10.1016/j.orgel.2021.106428|Fig9_whole_stability|10.1016_j.orgel.2021.106428__Fig9__whole__stability__NiOx__Series_3,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2021.106428/Fig9_whole_stability/accepted/10.1016_j.orgel.2021.106428__Fig9__whole__stability__NiOx__Series_3.csv,x_time_day/10.1016_j.orgel.2021.106428/Fig9_whole_stability/accepted/10.1016_j.orgel.2021.106428__Fig9__whole__stability__NiOx__Series_3.csv,x_time_day,10.1016_j.orgel.2021.106428,10.1016/j.orgel.2021.106428,Fig9_whole_stability,Series_3,24.0,day,validation.axis.x.unit,Normalized PCE,,78,14,27.58628458038161,945.6299679055384,918.0436833251568,55.97827337348519,1.0017327589853529,True,True,True,True,included,78,14,0,44.782618698788134,201.52178414454656,1.521784144546558,0.9016879988486024,1.0017327589853529,pce_like,False,max_support_gap_gt_40h
x_time_day/10.1016_j.synthmet.2017.02.022/Fig1_B_stability_performance_curve_pce/accepted/10.1016_j.synthmet.2017.02.022__Fig1__B__stability_performance_curve_pce__Series_1__Series_1.csv,10.1016/j.synthmet.2017.02.022|Fig1_B_stability_performance_curve_pce|10.1016_j.synthmet.2017.02.022__Fig1__B__stability_performance_curve_pce__Series_1__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.synthmet.2017.02.022/Fig1_B_stability_performance_curve_pce/accepted/10.1016_j.synthmet.2017.02.022__Fig1__B__stability_performance_curve_pce__Series_1__Series_1.csv,x_time_day/10.1016_j.synthmet.2017.02.022/Fig1_B_stability_performance_curve_pce/accepted/10.1016_j.synthmet.2017.02.022__Fig1__B__stability_performance_curve_pce__Series_1__Series_1.csv,x_time_day,10.1016_j.synthmet.2017.02.022,10.1016/j.synthmet.2017.02.022,Fig1_B_stability_performance_curve_pce,Series_1,24.0,day,validation.axis.x.unit,PCE (%),(%),56,12,-4.631858200851035,711.0681807108427,715.7000389116938,0.0,11.004532041858084,True,True,True,True,included,56,12,0,47.71333592744625,202.78167769164656,2.781677691646564,7.764659136872069,11.004532041858084,pce_like,False,max_support_gap_gt_40h
x_time_h/10.1002_anie.201800816/Fig2_D_jv_curve_stability_performance/accepted/10.1002_anie.201800816__Fig2__D__jv_curve_stability_performance__e-LiTFSI__Series_2.csv,10.1002/anie.201800816|Fig2_D_jv_curve_stability_performance|10.1002_anie.201800816__Fig2__D__jv_curve_stability_performance__e-LiTFSI__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_anie.201800816/Fig2_D_jv_curve_stability_performance/accepted/10.1002_anie.201800816__Fig2__D__jv_curve_stability_performance__e-LiTFSI__Series_2.csv,x_time_h/10.1002_anie.201800816/Fig2_D_jv_curve_stability_performance/accepted/10.1002_anie.201800816__Fig2__D__jv_curve_stability_performance__e-LiTFSI__Series_2.csv,x_time_h,10.1002_anie.201800816,10.1002/anie.201800816,Fig2_D_jv_curve_stability_performance,Series_2,1.0,h,validation.axis.x.unit,Power Conversion Efficiency,%,25,15,-1.3840509430268213,572.9266408244865,574.3106917675134,0.0,17.2718437300091,True,True,True,True,included,25,15,0,259.80721770435133,451.2441149601891,251.2441149601891,0.9199211802470089,17.2718437300091,pce_like,False,max_support_gap_gt_40h
x_time_h/10.1002_solr.202100087/Fig5_D_stability_performance_curve/accepted/10.1002_solr.202100087__Fig5__D__stability_performance_curve__Spiro-OMeTAD__Series_1.csv,10.1002/solr.202100087|Fig5_D_stability_performance_curve|10.1002_solr.202100087__Fig5__D__stability_performance_curve__Spiro-OMeTAD__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_solr.202100087/Fig5_D_stability_performance_curve/accepted/10.1002_solr.202100087__Fig5__D__stability_performance_curve__Spiro-OMeTAD__Series_1.csv,x_time_h/10.1002_solr.202100087/Fig5_D_stability_performance_curve/accepted/10.1002_solr.202100087__Fig5__D__stability_performance_curve__Spiro-OMeTAD__Series_1.csv,x_time_h,10.1002_solr.202100087,10.1002/solr.202100087,Fig5_D_stability_performance_curve,Series_1,1.0,hour,validation.axis.x.unit,Normalized PCE,,23,21,-0.2765384271333602,210.9135813540201,211.19011978115344,117.327844322863,1.0627190450881938,True,True,True,True,included,23,21,0,84.47604791246135,206.49700600823888,6.497006008238884,0.05656446758671252,1.0627190450881938,pce_like,False,max_support_gap_gt_40h
x_time_h/10.1016_j.nanoen.2019.05.072/Fig7_B_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2019.05.072__Fig7__B__stability_performance_curve_pce__GO__Series_2.csv,10.1016/j.nanoen.2019.05.072|Fig7_B_stability_performance_curve_pce|10.1016_j.nanoen.2019.05.072__Fig7__B__stability_performance_curve_pce__GO__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2019.05.072/Fig7_B_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2019.05.072__Fig7__B__stability_performance_curve_pce__GO__Series_2.csv,x_time_h/10.1016_j.nanoen.2019.05.072/Fig7_B_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2019.05.072__Fig7__B__stability_performance_curve_pce__GO__Series_2.csv,x_time_h,10.1016_j.nanoen.2019.05.072,10.1016/j.nanoen.2019.05.072,Fig7_B_stability_performance_curve_pce,Series_2,1.0,h,validation.axis.x.unit,PCE (Normalized),,73,30,10.696779770021209,489.05690048311845,478.3601207130972,0.0,0.9973588307611886,True,True,True,True,included,73,30,0,51.43657211968788,200.6026312667827,0.6026312667827085,0.9276200446069756,0.9973588307611886,pce_like,False,max_support_gap_gt_40h
x_time_h/10.1016_j.nanoen.2019.103962/Fig5_A_stability_performance_curve/accepted/10.1016_j.nanoen.2019.103962__Fig5__A__stability_performance_curve__FAMA__Series_2.csv,10.1016/j.nanoen.2019.103962|Fig5_A_stability_performance_curve|10.1016_j.nanoen.2019.103962__Fig5__A__stability_performance_curve__FAMA__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2019.103962/Fig5_A_stability_performance_curve/accepted/10.1016_j.nanoen.2019.103962__Fig5__A__stability_performance_curve__FAMA__Series_2.csv,x_time_h/10.1016_j.nanoen.2019.103962/Fig5_A_stability_performance_curve/accepted/10.1016_j.nanoen.2019.103962__Fig5__A__stability_performance_curve__FAMA__Series_2.csv,x_time_h,10.1016_j.nanoen.2019.103962,10.1016/j.nanoen.2019.103962,Fig5_A_stability_performance_curve,Series_2,1.0,h,validation.axis.x.unit,Normalized PCE,(%),22,10,18.45625947690052,298.79888825327095,280.3426287763704,0.0,0.9867225209173434,True,True,True,True,included,22,10,0,162.07308226133915,201.49626443301625,1.4962644330162505,0.5489929481402939,0.9867225209173434,pce_like,False,max_support_gap_gt_40h
x_time_h/10.1016_j.orgel.2021.106310/Fig6_B_stability_performance_curve/accepted/10.1016_j.orgel.2021.106310__Fig6__B__stability_performance_curve__0_mg__Series_2.csv,10.1016/j.orgel.2021.106310|Fig6_B_stability_performance_curve|10.1016_j.orgel.2021.106310__Fig6__B__stability_performance_curve__0_mg__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.orgel.2021.106310/Fig6_B_stability_performance_curve/accepted/10.1016_j.orgel.2021.106310__Fig6__B__stability_performance_curve__0_mg__Series_2.csv,x_time_h/10.1016_j.orgel.2021.106310/Fig6_B_stability_performance_curve/accepted/10.1016_j.orgel.2021.106310__Fig6__B__stability_performance_curve__0_mg__Series_2.csv,x_time_h,10.1016_j.orgel.2021.106310,10.1016/j.orgel.2021.106310,Fig6_B_stability_performance_curve,Series_2,1.0,h,validation.axis.x.unit,Normalized PCE (a.u.),(a.u.),66,11,60.3549278004742,1077.773228756807,1017.4183009563328,59.8481353503725,0.9979297620184834,True,True,True,True,included,66,11,0,59.84813535037259,209.46847372630387,9.46847372630387,0.9718964854247734,0.9979297620184834,pce_like,False,max_support_gap_gt_40h
x_time_h/10.1021_acsomega.0c04593/Fig10_D_stability_performance_curve_pce/accepted/10.1021_acsomega.0c04593__Fig10__D__stability_performance_curve_pce__MAPbI₃₋ᵧClᵧ__Series_3.csv,10.1021/acsomega.0c04593|Fig10_D_stability_performance_curve_pce|10.1021_acsomega.0c04593__Fig10__D__stability_performance_curve_pce__MAPbI₃₋ᵧClᵧ__Series_3,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsomega.0c04593/Fig10_D_stability_performance_curve_pce/accepted/10.1021_acsomega.0c04593__Fig10__D__stability_performance_curve_pce__MAPbI₃₋ᵧClᵧ__Series_3.csv,x_time_h/10.1021_acsomega.0c04593/Fig10_D_stability_performance_curve_pce/accepted/10.1021_acsomega.0c04593__Fig10__D__stability_performance_curve_pce__MAPbI₃₋ᵧClᵧ__Series_3.csv,x_time_h,10.1021_acsomega.0c04593,10.1021/acsomega.0c04593,Fig10_D_stability_performance_curve_pce,Series_3,1.0,h,validation.axis.x.unit,PCE,(%),19,12,-3.3691020774654703,293.5149431635152,296.8840452409807,0.0,16.698705825746792,True,True,True,True,included,19,12,0,109.9570537929558,230.90981296520718,30.90981296520718,8.247966786941943,16.698705825746792,pce_like,False,max_support_gap_gt_40h
x_time_h/10.1038_s41467-023-43016-5/Fig5_D_mppt_stability_performance_curve_pce/accepted/10.1038_s41467-023-43016-5__Fig5__D__mppt_stability_performance_curve_pce__WBG_FAMA_NBG__Series_2.csv,10.1038/s41467-023-43016-5|Fig5_D_mppt_stability_performance_curve_pce|10.1038_s41467-023-43016-5__Fig5__D__mppt_stability_performance_curve_pce__WBG_FAMA_NBG__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1038_s41467-023-43016-5/Fig5_D_mppt_stability_performance_curve_pce/accepted/10.1038_s41467-023-43016-5__Fig5__D__mppt_stability_performance_curve_pce__WBG_FAMA_NBG__Series_2.csv,x_time_h/10.1038_s41467-023-43016-5/Fig5_D_mppt_stability_performance_curve_pce/accepted/10.1038_s41467-023-43016-5__Fig5__D__mppt_stability_performance_curve_pce__WBG_FAMA_NBG__Series_2.csv,x_time_h,10.1038_s41467-023-43016-5,10.1038/s41467-023-43016-5,Fig5_D_mppt_stability_performance_curve_pce,Series_2,1.0,h,validation.axis.x.unit,Normalized PCE,,19,18,-1.30959218990931,281.0882084327917,282.397800622701,0.0,1.0021599749701653,True,True,True,True,included,19,18,0,145.23315460596058,282.397800622701,82.39780062270103,0.7618352451696171,1.0021599749701653,pce_like,False,max_support_gap_gt_40h
x_time_h/10.1038_s41467-024-45228-9/Fig6_A_mppt_stability_performance_curve_image/accepted/10.1038_s41467-024-45228-9__Fig6__A__mppt_stability_performance_curve_image__PEDAI__Series_2.csv,10.1038/s41467-024-45228-9|Fig6_A_mppt_stability_performance_curve_image|10.1038_s41467-024-45228-9__Fig6__A__mppt_stability_performance_curve_image__PEDAI__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1038_s41467-024-45228-9/Fig6_A_mppt_stability_performance_curve_image/accepted/10.1038_s41467-024-45228-9__Fig6__A__mppt_stability_performance_curve_image__PEDAI__Series_2.csv,x_time_h/10.1038_s41467-024-45228-9/Fig6_A_mppt_stability_performance_curve_image/accepted/10.1038_s41467-024-45228-9__Fig6__A__mppt_stability_performance_curve_image__PEDAI__Series_2.csv,x_time_h,10.1038_s41467-024-45228-9,10.1038/s41467-024-45228-9,Fig6_A_mppt_stability_performance_curve_image,Series_2,1.0,h,validation.axis.x.unit,Normalized PCE,,74,13,-6.147400024271519,1022.8592869261817,1029.006686950453,97.338470387205,0.968737048195002,True,True,True,True,included,73,13,1,41.71648730880216,208.58243654401076,8.582436544010761,0.16839414601116254,0.968737048195002,pce_like,False,max_support_gap_gt_40h
