curve_id,sample_id,source_absolute_path,source_relative_path,top_dir,doi_dir,doi,figure_folder,series_id,unit_factor_to_hours,unit_label,unit_source,y_axis_name,y_axis_unit,n_raw_points,n_unique_points_0_200h,start_time_absolute_h,end_time_absolute_h,duration_h,global_max_pce_time_relative_h,global_max_pce_value,duration_ge_200h,global_max_pce_by_200h,paper_selected_min4,main_selected_min10,selection_or_exclusion_reasons,n_unique_points_total_recomputed,n_unique_points_0_200h_recomputed,n_duplicate_points_recomputed,max_support_gap_h,endpoint_bracket_time_h_recomputed,endpoint_gap_after_200h,raw_y_min_support,raw_y_max_support,axis_label_status,strict_selected,strict_selection_reasons
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,x_time_day,10.1002_adfm.201705545,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,Series_1,24.0,day,validation.axis.x.unit,Normalised PCE,,58,11,19.907543196834112,1080.5322531448196,1060.6247099479856,130.2521573620333,0.9901769280905162,True,True,True,True,included,58,11,0,18.607451051719067,204.68196156890951,4.681961568909514,0.8972813472035234,0.9901769280905162,pce_like,True,included
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,x_time_day,10.1002_adfm.201705545,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,Series_3,24.0,day,validation.axis.x.unit,Normalised PCE,,58,11,19.907543196834112,1080.5322531448196,1060.6247099479856,186.07451051719045,1.000498659300182,True,True,True,True,included,58,11,0,18.607451051719067,204.68196156890951,4.681961568909514,0.8095466319213634,1.000498659300182,pce_like,True,included
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,x_time_day,10.1002_adfm.201705545,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,Series_4,24.0,day,validation.axis.x.unit,Normalised PCE,,57,11,19.907543196834112,1061.9248020931004,1042.0172588962664,111.64470631031428,1.000498659300182,True,True,True,True,included,57,11,0,18.607451051719067,204.68196156890951,4.681961568909514,0.9205052424252715,1.000498659300182,pce_like,True,included
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,x_time_day,10.1002_adfm.201705545,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,Series_2,24.0,day,validation.axis.x.unit,Normalised PCE,,43,11,16.18605298649031,779.091546106971,762.9054931204807,55.82235315515716,0.9927573608929324,True,True,True,True,included,42,11,1,18.607451051719067,204.68196156890946,4.681961568909458,0.8663161535745257,0.9927573608929325,pce_like,True,included
x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,10.1002/adfm.201801654|Fig4_F_stability_performance_curve_pce|10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,x_time_day,10.1002_adfm.201801654,10.1002/adfm.201801654,Fig4_F_stability_performance_curve_pce,Series_1,24.0,day,validation.axis.x.unit,Normalized PCE,,47,20,-0.233796274082529,472.1406535947548,472.3744498688373,0.0,1.0035646390205453,True,True,True,True,included,47,20,0,10.269009779757369,205.3801955951466,5.380195595146603,0.7893689092733076,1.0035646390205453,pce_like,True,included
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,x_time_day,10.1002_adfm.201804128,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,Series_3,24.0,day,validation.axis.x.unit,Normalized,,46,18,-0.5062992759078213,470.4128144101403,470.91911368604815,22.42471969933564,1.0021300391283965,True,True,True,True,included,43,18,3,11.21235984966782,201.82247729402062,1.822477294020615,0.9801185381769026,1.000499557576434,pce_like,True,included
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,x_time_day,10.1002_adfm.201804128,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,Series_4,24.0,day,validation.axis.x.unit,Normalized,,43,18,-0.5062992759078213,470.4128144101403,470.91911368604815,0.0,1.003760520680359,True,True,True,True,included,43,18,0,11.21235984966782,201.82247729402062,1.822477294020615,0.9532155925695214,1.003760520680359,pce_like,True,included
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,x_time_day,10.1002_adfm.201804128,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,Series_2,24.0,day,validation.axis.x.unit,Normalized,,45,18,-0.5062992759078213,481.6251742598081,482.13147353571594,0.0,0.9988690760244716,True,True,True,True,included,44,18,1,11.21235984966782,201.82247729402062,1.822477294020615,0.8032112897889709,0.9988690760244715,pce_like,True,included
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,x_time_day,10.1002_adfm.201804128,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,Series_1,24.0,day,validation.axis.x.unit,Normalized,,42,18,1.7361726940257682,461.442926530406,459.70675383638024,0.0,1.0021300391283965,True,True,True,True,included,42,18,0,11.212359849667848,201.8224772940206,1.8224772940205867,0.8439733285880335,1.0021300391283965,pce_like,True,included
x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,10.1002/adfm.201807556|Fig6_A_stability_performance_curve_ff|10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,x_time_day,10.1002_adfm.201807556,10.1002/adfm.201807556,Fig6_A_stability_performance_curve_ff,Series_2,24.0,days,validation.axis.x.unit,PCE,(%),56,16,-4.160357613393522,714.4579120924284,718.618269705822,0.0,13.656828618271105,True,True,True,True,included,56,16,0,13.06578672192407,209.05258755078458,9.05258755078458,12.1157948526913,13.656828618271103,pce_like,True,included
