curve_id,array_row,n_unique_points_0_200h,n_duplicate_points,max_support_gap_h,endpoint_bracket_time_h,akima_raw_knot_rmse,pchip_raw_knot_rmse,linear_raw_knot_rmse,akima_below_support_normalized,akima_above_support_normalized,pchip_below_support_normalized,pchip_above_support_normalized,linear_below_support_normalized,linear_above_support_normalized,akima_vs_pchip_rmse,pchip_vs_linear_rmse,akima_smoothing_rmse
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,0,11,0,18.607451051719067,204.68196156890951,0.0,0.0,0.0,0.0,0.00036836638856803123,0.0,0.0,0.0,0.0,0.0006267425638834435,0.0006003380010317046,6.119252669838741e-06
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,1,11,0,18.607451051719067,204.68196156890951,0.0,0.0,0.0,6.264304353534589e-05,1.3557986029247261e-05,0.0,0.0,0.0,0.0,0.0005588057131641612,0.001237965031085162,1.4109465896165553e-05
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,2,11,0,18.607451051719067,204.68196156890951,0.0,0.0,0.0,0.0,0.00019101069501008947,0.0,0.0,0.0,0.0,0.0002702618550484915,0.0004495521500803281,3.5598677851243456e-06
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,3,11,1,18.607451051719067,204.68196156890946,0.0,0.0,0.0,0.0,0.00018630412248568762,0.0,0.0,0.0,0.0,0.000934201009132898,0.0011677940477449174,2.329493195221481e-05
x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,4,20,0,10.269009779757369,205.3801955951466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.50216836759102e-05,0.00013613685407453578,2.584250189611868e-05
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,5,18,3,11.21235984966782,201.82247729402062,0.0,0.0,0.0,7.758688655314452e-05,0.0,0.0,0.0,0.0,0.0,0.00021378377989529878,0.0004725746409352983,9.249343722324408e-05
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,6,18,0,11.21235984966782,201.82247729402062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25033543751989e-05,6.315281470051717e-05,8.255053108448467e-06
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,7,18,1,11.21235984966782,201.82247729402062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.65774520852302e-05,9.69772726655773e-05,1.3599211341664553e-05
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,8,18,0,11.212359849667848,201.8224772940206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9732506623005114e-05,8.11940041477658e-05,1.114960867182851e-05
x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,9,16,0,13.06578672192407,209.05258755078458,0.0,0.0,0.0,0.0004002242163712039,0.0,0.0,0.0,0.0,0.0,0.00021415461261785804,0.00025441334830927914,1.564062791705491e-05
