array_row,curve_id,pce_0h,pce_10h,pce_20h,pce_50h,pce_100h,pce_150h,pce_200h,slope_0_10h,slope_10_50h,slope_50_100h,slope_100_200h,peak_time_h,peak_value,initial_gain,minimum_time_h,minimum_value,recovery_to_200h,maximum_post_min_recovery,max_drop_rate_per_h,max_drop_time_h,auc_mean_0_200h,endpoint_change,mean_abs_derivative,rule_shape_category
0,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,0.9061830704461094,0.9089841340409575,0.9117736232511875,0.9248636855838896,0.9783296532953394,0.9915594948472237,0.956370276832397,0.00028010635948481075,0.0003969887885733048,0.0010693193542289947,-0.00021959376462942436,130.0,0.9999981033107007,0.09381503286459136,0.0,0.9061830704461094,0.0501872063862876,0.09381503286459136,-0.0007580095825455713,161.0,0.9578010114627185,0.0501872063862876,0.0006861366682173819,initial_gain
1,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,0.8168806414421831,0.8137304580595505,0.8114608949246668,0.8226734794941885,0.9302624927978316,0.9925848261680923,0.9969292977570354,-0.0003150183382632621,0.0002235755358659497,0.0021517802660728624,0.0006666680495920385,186.0,1.0,0.1831193585578169,37.0,0.8091437715667297,0.18778552619030575,0.19085622843327033,-0.00039175249452239047,200.0,0.9143310732249784,0.18004865631485234,0.0010049773769061313,initial_gain
2,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,0.9200464527050308,0.9356221548933716,0.9504593358550242,0.9862445078109283,0.998611945494149,0.9999842500294156,0.9867270506288386,0.0015575702188340812,0.001265558822938917,0.0002473487536644137,-0.00011884894865310414,112.0,1.0,0.07995354729496917,0.0,0.9200464527050308,0.06668059792380776,0.07995354729496917,-0.00045101333718100545,200.0,0.986357878676241,0.06668059792380776,0.0004688916545248213,initial_gain
3,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,0.9454155817749541,0.9543164804961501,0.9653195311156986,0.9985823619773532,0.9718178981493207,0.9185136858308725,0.8774639474542669,0.0008900898721196038,0.0011066470370300757,-0.0005352892765606487,-0.0009435395069505382,56.0,0.999998375971578,0.05458279419662393,200.0,0.8774639474542669,0.0,0.0,-0.0025509798800728567,123.0,0.9520393971346883,-0.06795163432068718,0.0008982049728321032,initial_gain
4,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,1.0,0.9923310186085877,0.9820403030524166,0.9563352940291914,0.9085493333030336,0.8524843136279237,0.7934678036346178,-0.0007668981391412255,-0.0008998931144849093,-0.0009557192145231563,-0.0011508152966841578,0.0,1.0,0.0,200.0,0.7934678036346178,0.0,0.0,-0.0013995260070500115,98.0,0.9037325401263572,-0.20653219636538223,0.0010323457122599874,moderate_decay
5,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,0.9967406651215077,0.9887215800201065,0.9900263195939576,0.9885756445722134,0.9983703325607539,0.9967406651215077,0.9951109976822616,-0.0008019085101401257,-3.6483861973274357e-06,0.00019589375977081103,-3.2593348784922816e-05,57.0,1.0,0.0032593348784922815,45.0,0.9796400777865688,0.015470919895692825,0.020359922213431192,-0.0011474897432409703,0.0,0.9948678428813982,-0.0016296674392460853,0.00022920470931418283,stable
6,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,1.0,0.9986063044511682,0.9957252774785922,0.9887614028268226,0.9742740595267156,0.9614110892900734,0.9499084635747447,-0.00013936955488318413,-0.0002461225406086398,-0.0002897468660021385,-0.00024365595951970963,0.0,1.0,0.0,200.0,0.9499084635747447,0.0,0.0,-0.00033634972620388837,17.0,0.974826542745674,-0.05009153642525532,0.00024977314639255466,stable
7,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,1.0,0.9928548717837989,0.9829528530562521,0.9540609889141107,0.9045663372416342,0.8552996184600613,0.8059779395531682,-0.0007145128216201058,-0.0009698470717422053,-0.0009898930334495315,-0.0009858839768846594,0.0,1.0,0.0,200.0,0.8059779395531682,0.0,0.0,-0.0010739482691225488,19.0,0.9045227306731727,-0.1940220604468318,0.0009693046957438515,moderate_decay
8,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,1.0,0.9912086394202656,0.9839332021615509,0.9615092041783829,0.9226106239142128,0.8824687757323944,0.8435017440031572,-0.0008791360579734397,-0.0007424858810470669,-0.000777971605283403,-0.0007910887991105553,0.0,1.0,0.0,200.0,0.8435017440031572,0.0,0.0,-0.0009372742945565893,0.0,0.9216546327067079,-0.15649825599684275,0.0007827346567417276,moderate_decay
9,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,1.0,0.99166453181787,0.9809824559544107,0.9461861244141949,0.9082017938286735,0.8971252491953384,0.8871602032467409,-0.0008335468182130046,-0.0011369601850918759,-0.0007596866117104284,-0.00021041590581932556,0.0,1.0,0.0,196.0,0.8871602032467409,0.0,0.0,-0.0012762183608923117,57.0,0.9227392234246576,-0.11283979675325906,0.0005632133165702233,moderate_decay
10,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1.csv,1.0,0.9973412493410361,0.9946824986820721,0.9862949274725551,0.9770577134818923,0.967100526098011,0.961346193316411,-0.00026587506589639267,-0.0002761580467120245,-0.00018474427981325593,-0.00015711520165481274,0.0,1.0,0.0,200.0,0.961346193316411,0.0,0.0,-0.0006182767669152822,111.0,0.9773112113266142,-0.038653806683588976,0.0002277134855189819,stable
11,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__TFB-controlled__Series_3.csv,1.0,1.0,0.9989519498711166,0.9929410560294922,0.9781433530477237,0.9633281892866183,0.9511042523821578,0.0,-0.00017647359926269423,-0.00029595405963537045,-0.0002703910066556592,0.0,1.0,0.0,200.0,0.9511042523821578,0.0,0.0,-0.00045072847839300323,85.0,0.9774495571519961,-0.04889574761784221,0.00024374458601521438,stable
12,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__AD-SnO₂__Series_1.csv,1.0,0.9944017148553812,0.9870810733485104,0.9636901976595759,0.9258212947921737,0.8902642420638522,0.8367591170220822,-0.0005598285144618797,-0.0007677879298951335,-0.0007573780573480438,-0.0008906217777009151,0.0,1.0,0.0,200.0,0.8367591170220822,0.0,0.0,-0.001231622074218508,162.0,0.924753999594413,-0.16324088297791783,0.0008162079227053311,moderate_decay
13,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__TA-SnO2__Series_2.csv,1.0,0.9982040802927997,0.9945297683829801,0.9853454410394635,0.9761730213291476,0.9716312087369344,0.9635936538628843,-0.00017959197072002774,-0.0003214659813334048,-0.0001834483942063181,-0.00012579367466263313,0.0,1.0,0.0,191.0,0.9635936538628843,0.0,0.0,-0.0005051701882401449,52.0,0.9786550201759668,-0.036406346137115686,0.00018138925895336595,stable
14,x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__F-PEAI__Series_2.csv,1.0,1.0,1.0,0.9999751104477456,0.9849650507765699,0.979464659001523,0.9801373994633812,0.0,-6.222388063609197e-07,-0.0003002011934235127,-4.8276513131887414e-05,0.0,1.0,0.0,162.0,0.9777903538778907,0.0023470455854904815,0.0023470455854904815,-0.0005805516298953983,89.0,0.9886407569658726,-0.019862600536618813,0.0001223247593410321,stable
15,x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__PEAI__Series_1.csv,1.0,0.9977107868901215,0.9947308437042519,0.9812112175865734,0.9472080955845723,0.912764959386514,0.8946938104122639,-0.00022892131098785075,-0.00041248923258870306,-0.0006800624400400213,-0.0005251428517230838,0.0,1.0,0.0,200.0,0.8946938104122639,0.0,0.0,-0.0009577789765152223,120.0,0.9476742186685121,-0.10530618958773608,0.0005253212742834855,moderate_decay
16,x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2.csv,0.9977134429558168,1.0,1.0,0.9730832483833814,0.8165572601905351,0.6003692817486677,0.32892235819867477,0.0002286557044183235,-0.0006729187904154638,-0.003130519763856927,-0.0048763490199186035,8.0,1.0,0.002286557044183235,200.0,0.32892235819867477,0.0,0.0,-0.0077700119269075996,170.0,0.7636553925251519,-0.668791084757142,0.00335615978882804,rapid_decay
17,x_time_day/10.1002_adfm.202001418/Fig6_A_stability_performance_curve_pce/accepted/10.1002_adfm.202001418__Fig6__A__stability_performance_curve_pce__T—ITO_PCgBM__Series_1.csv,1.0,0.9974718186118675,0.9942268716988589,0.9814910204222012,0.9584604213826099,0.9357387736579472,0.9177028964389167,-0.0002528181388132489,-0.0003995199547416589,-0.0004606119807918252,-0.00040757524943693224,0.0,1.0,0.0,200.0,0.9177028964389167,0.0,0.0,-0.0005019881459607523,112.0,0.9588060485239446,-0.08229710356108333,0.00041084180429132517,stable
18,x_time_day/10.1002_adfm.202001557/Fig4_B_pce/accepted/10.1002_adfm.202001557__Fig4__B__pce__perovskite__Series_1.csv,0.9389547847880664,0.9505733877552562,0.965075023114391,0.9999895736353116,0.9452935486656225,0.8315617143401103,0.8245244725129666,0.0011618602967189862,0.0012354046470013842,-0.0010939204993937813,-0.0012076907615265597,50.0,0.9999895736353116,0.061034788847245225,200.0,0.8245244725129666,0.0,0.0,-0.0035896315414146174,197.0,0.917337444465665,-0.11443031227509981,0.0013063455854777078,initial_gain
