array_row,curve_id,sample_id,source_absolute_path,source_relative_path,doi,figure_folder,series_id,n_unique_points_0_200h,max_support_gap_h,endpoint_bracket_time_h,akima_max_pce,pchip_max_pce,linear_max_pce,cluster_id,som_node_x,som_node_y,bmu_distance,rule_shape_category
0,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,Series_1,11,18.607451051719067,204.68196156890951,0.9905418103999388,0.9901766833514074,0.9901431562742913,2,1,0,0.584354394172944,initial_gain
1,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,Series_3,11,18.607451051719067,204.68196156890951,1.00051222423094,1.0004985904497758,1.0004883263759061,2,1,0,1.2939990925266738,initial_gain
2,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,Series_4,11,18.607451051719067,204.68196156890951,1.0006898017547046,1.000498659300182,1.000498659300182,2,1,0,0.44592390027297757,initial_gain
3,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,10.1002/adfm.201705545,Fig11_B_stability_performance_curve,Series_2,11,18.607451051719067,204.68196156890946,0.9929423501461554,0.9927573546863784,0.9927512700829955,2,1,0,0.3682885779777227,initial_gain
4,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,10.1002/adfm.201801654|Fig4_F_stability_performance_curve_pce|10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,10.1002/adfm.201801654,Fig4_F_stability_performance_curve_pce,Series_1,20,10.269009779757369,205.3801955951466,1.0035646390205453,1.0035646390205453,1.0035646390205453,3,1,1,0.3412838414832735,moderate_decay
5,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,Series_3,18,11.21235984966782,201.82247729402062,1.000499557576434,1.000499557576434,1.000499557576434,2,1,0,0.30367726215614854,stable
6,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,Series_4,18,11.21235984966782,201.82247729402062,1.003760520680359,1.003760520680359,1.003760520680359,2,1,0,0.1055153052068709,stable
7,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,Series_2,18,11.21235984966782,201.82247729402062,0.9988690760244715,0.9988690760244715,0.9988690760244715,3,1,1,0.3330508049566072,moderate_decay
8,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,10.1002/adfm.201804128,Fig8_C_stability_performance_curve_decay,Series_1,18,11.212359849667848,201.8224772940206,1.0021300391283965,1.0021300391283965,1.0021300391283965,2,1,0,0.31682941581758317,moderate_decay
9,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,10.1002/adfm.201807556|Fig6_A_stability_performance_curve_ff|10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,10.1002/adfm.201807556,Fig6_A_stability_performance_curve_ff,Series_2,16,13.06578672192407,209.05258755078458,13.656828618271103,13.656828618271103,13.656828618271103,2,1,0,0.3270969575200461,moderate_decay
