cluster_id,n_curves,fraction,pce_0h_mean,pce_20h_mean,pce_50h_mean,pce_100h_mean,pce_200h_mean,initial_gain_mean,peak_time_h_median,recovery_mean,dominant_rule_shape,dominant_rule_shape_fraction,mean_bmu_distance,median_bmu_distance
0,357,0.24947589098532494,0.9981325841188021,0.9955272829121139,0.9881426876415045,0.971927226256322,0.9306224714785443,0.0018667322293065567,0.0,0.00025199785473917555,stable,0.7198879551820728,0.2211302249655982,0.20814323807593121
1,189,0.1320754716981132,0.9974536654383628,0.983507740130848,0.9540451039551563,0.8930204995744656,0.7375739874462547,0.002544780497592385,0.0,0.000494387247457556,moderate_decay,0.6772486772486772,0.3201313485536911,0.286173422755359
2,87,0.06079664570230608,0.9984133913586537,0.9543208364300402,0.8739285976124519,0.7047074458576761,0.38140528053017453,0.001583413044299625,0.0,0.0,rapid_decay,0.735632183908046,0.5845490043620958,0.5579680442550161
3,49,0.03424178895877009,1.0,0.864442562057447,0.7639071122792905,0.7011138551927439,0.6028515017142798,0.0,0.0,0.0007011207996619666,early_drop,0.9591836734693877,0.5846215746042159,0.5122376730545899
4,13,0.009084556254367574,1.0,0.6317936041647236,0.5478532215242649,0.44936043713693546,0.44374674959650356,0.0,0.0,0.09251507542853246,early_drop,0.6923076923076923,1.989555840181753,1.4460596994627068
5,63,0.0440251572327044,0.9509131907678424,0.9719227466412412,0.9908144590776727,0.9569044398346458,0.8813374284009666,0.04908207920619911,61.0,0.0014679645070833944,initial_gain,0.8888888888888888,0.5856400476172521,0.5285590226806761
6,371,0.25925925925925924,0.998885366650556,0.9852293810902327,0.9657289767799566,0.9395955940420697,0.9044643667129801,0.0011139198627579895,0.0,0.0019385233503090304,stable,0.5256064690026954,0.2652729457633781,0.22368483338168502
7,194,0.13556953179594688,0.9993905901541446,0.9522870946455371,0.8881272571794581,0.8137498439054275,0.7131425330046307,0.000608262054682762,0.0,0.0009711464280721271,moderate_decay,0.4329896907216495,0.3261459124682271,0.29629125806129386
8,59,0.04122990915443746,0.9268912876596992,0.9556228710633239,0.9747859438619899,0.988223682784354,0.9700799392573183,0.07310539287330202,101.0,0.07672088085585504,initial_gain,0.9152542372881356,0.8784504181044246,0.8494828434717709
9,49,0.03424178895877009,1.0,0.8393906017175561,0.6475810965301961,0.46131372413025296,0.24468191381551088,0.0,0.0,0.0001588471525344867,early_drop,0.9795918367346939,0.7229239975836055,0.6952988696968677
