array_row,curve_id,peak_time_h,peak_value,pce_0h,pce_200h,initial_gain,post_peak_drop,post_peak_nonincrease_fraction_5h,rise_then_fall_broad,rise_then_fall_medium,rise_then_fall_core,rise_then_fall_strong
0,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,126.66666666666666,0.9999935291056551,0.905849039164979,0.9560177458712433,0.09414448994067603,0.04397578323441176,1.0,True,True,False,False
1,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,186.66666666666663,0.9999887824560804,0.8168570590468794,0.9969234364166492,0.18313172340920092,0.003065346039431205,1.0,False,False,False,False
2,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,117.83333333333331,0.9999999999999603,0.9198798430508591,0.9865263572523691,0.08012015694910113,0.013473642747591108,1.0,False,False,False,False
3,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,53.666666666666664,0.9999838912337836,0.9452241072320405,0.8772957309389463,0.054759784001743084,0.12268816029483731,0.9655172413793104,True,True,True,True
4,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,0.0,0.9999956368272089,0.9999956368272089,0.7934762805121591,0.0,0.2065193563150498,1.0,False,False,False,False
5,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,58.0,1.0002763121931741,0.996793980570151,0.9950108218038696,0.0034823316230231383,0.005265490389304572,1.0,False,False,False,False
6,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,0.0,0.9999998633023877,0.9999998633023877,0.9499048949081563,0.0,0.05009496839423133,1.0,False,False,False,False
7,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,0.0,0.9999123906753675,0.9999123906753675,0.8059779395531683,0.0,0.1939344511221992,1.0,False,False,False,False
8,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,0.0,1.0000001141000174,1.0000001141000174,0.8435017440031569,0.0,0.15649837009686052,1.0,False,False,False,False
9,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,0.0,0.9999358972520447,0.9999358972520447,0.8867698154213383,0.0,0.11316608183070642,1.0,False,False,False,False
10,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1.csv,0.0,0.9999999999999998,0.9999999999999998,0.9610810068512071,0.0,0.03891899314879266,0.975,False,False,False,False
11,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__TFB-controlled__Series_3.csv,7.5,0.9999999646456179,0.999469738374289,0.9506409486213684,0.0005302262713289263,0.049359016024249525,1.0,False,False,False,False
12,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__AD-SnO₂__Series_1.csv,0.0,0.9999489541700763,0.9999489541700763,0.8367591170220822,0.0,0.16318983714799418,1.0,False,False,False,False
13,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__TA-SnO2__Series_2.csv,0.0,0.9999999999999991,0.9999999999999991,0.9633676059906585,0.0,0.036632394009340596,1.0,False,False,False,False
14,x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__F-PEAI__Series_2.csv,46.83333333333333,1.0000084064998576,0.9999999999999998,0.9803021197506039,8.406499857782634e-06,0.019706286749253676,1.0,False,False,False,False
15,x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__PEAI__Series_1.csv,0.0,0.9999999999999993,0.9999999999999993,0.894693810412264,0.0,0.1053061895877353,1.0,False,False,False,False
16,x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2.csv,20.833333333333332,0.9999928241295203,0.9974966041632132,0.3289677839778919,0.0024962199663071116,0.6710250401516284,1.0,False,False,False,False
