n_nodes,topology,sigma,learning_rate,iterations,seed,qe,te,target_node,target_node_size,target_target_count,target_precision,target_recall,target_f1,target_centroid_rise_then_fall_broad,target_centroid_rise_then_fall_core,target_centroid_peak_time_h,target_centroid_initial_gain,target_centroid_post_peak_drop,screen_score
36,6x6,0.5,0.3,20000,42,0.5703034124620292,0.3196948682385576,17,11,10,0.9090909090909091,0.17857142857142858,0.2985074626865672,True,True,78.5,0.11929189239554105,0.07776469944556996,0.49876671835627057
36,6x6,0.05,0.05,20000,42,0.6494739394410671,0.6976421636615812,22,10,9,0.9,0.16071428571428573,0.27272727272727276,True,True,69.66666666666666,0.13069143851165144,0.07205255940769073,0.48047077922077924
36,6x6,0.05,0.1,20000,42,0.6172485995464595,0.6983356449375867,22,10,9,0.9,0.16071428571428573,0.27272727272727276,True,True,71.0,0.1223363210542111,0.07917211754880427,0.48047077922077924
36,6x6,0.1,0.05,20000,42,0.6494739394410671,0.6976421636615812,22,10,9,0.9,0.16071428571428573,0.27272727272727276,True,True,69.66666666666666,0.13069143851165144,0.07205255940769073,0.48047077922077924
36,6x6,0.1,0.1,20000,42,0.6172485995464595,0.6983356449375867,22,10,9,0.9,0.16071428571428573,0.27272727272727276,True,True,71.0,0.1223363210542111,0.07917211754880427,0.48047077922077924
36,6x6,0.3,0.05,20000,42,0.652535425520365,0.7108183079056866,22,10,9,0.9,0.16071428571428573,0.27272727272727276,True,True,69.66666666666666,0.13069143851165144,0.07205255940769073,0.48047077922077924
36,6x6,0.3,0.1,20000,42,0.6178364085374902,0.6969486823855756,22,9,8,0.8888888888888888,0.14285714285714285,0.24615384615384617,True,True,71.0,0.1263921691385138,0.07101465789494865,0.46117216117216114
36,6x6,0.05,0.3,20000,42,0.5810008789079755,0.8439667128987517,16,13,10,0.7692307692307693,0.17857142857142858,0.2898550724637681,True,True,61.666666666666664,0.0911186659732014,0.08225537697355156,0.45248248128682916
36,6x6,0.1,0.3,20000,42,0.5810008789079755,0.8439667128987517,16,13,10,0.7692307692307693,0.17857142857142858,0.2898550724637681,True,True,61.666666666666664,0.0911186659732014,0.08225537697355156,0.45248248128682916
20,4x5,0.05,0.1,20000,42,0.7101375361276886,0.7995839112343966,19,18,11,0.6111111111111112,0.19642857142857142,0.2972972972972973,True,True,74.66666666666666,0.09103744111967205,0.07815333462543195,0.41144626769626774
20,4x5,0.1,0.1,20000,42,0.7101375361276886,0.7995839112343966,19,18,11,0.6111111111111112,0.19642857142857142,0.2972972972972973,True,True,74.66666666666666,0.09103744111967205,0.07815333462543195,0.41144626769626774
36,6x6,0.5,0.1,20000,42,0.5803085312551376,0.4646324549237171,5,16,10,0.625,0.17857142857142858,0.2777777777777778,True,True,68.66666666666666,0.08889656238401544,0.0732965414851906,0.4031746031746032
25,5x5,0.3,0.05,20000,42,0.6541337349062936,0.8897364771151179,14,23,12,0.5217391304347826,0.21428571428571427,0.30379746835443033,True,True,64.66666666666666,0.05656793128051474,0.08642726357715114,0.39056333045050706
25,5x5,0.05,0.05,20000,42,0.6521072351446323,0.8606102635228848,14,26,12,0.46153846153846156,0.21428571428571427,0.2926829268292683,True,True,56.83333333333333,0.04325084449488903,0.08232805575276325,0.3669458590190297
25,5x5,0.1,0.05,20000,42,0.6521072351446323,0.8606102635228848,14,26,12,0.46153846153846156,0.21428571428571427,0.2926829268292683,True,True,56.83333333333333,0.04325084449488903,0.08232805575276325,0.3669458590190297
20,4x5,0.3,0.05,20000,42,0.7265330104818755,0.7461858529819695,19,37,14,0.3783783783783784,0.25,0.3010752688172043,True,True,52.0,0.03209639659440977,0.10689500746016978,0.35155114792211567
25,5x5,1.2,0.1,20000,42,0.6732915804041316,0.12829403606102635,9,31,12,0.3870967741935484,0.21428571428571427,0.2758620689655172,True,False,110.83333333333331,0.1146877403164408,0.035499590292611516,0.3362029238836802
20,4x5,0.05,0.05,20000,42,0.7353129410976041,0.8162274618585298,19,23,10,0.43478260869565216,0.17857142857142858,0.25316455696202533,True,True,62.33333333333333,0.04622852740518135,0.08096527314804702,0.33380277537542263
20,4x5,0.1,0.05,20000,42,0.7353129410976041,0.8162274618585298,19,23,10,0.43478260869565216,0.17857142857142858,0.25316455696202533,True,True,62.33333333333333,0.04622852740518135,0.08096527314804702,0.33380277537542263
16,4x4,0.05,0.05,20000,42,0.7717792011094246,0.7128987517337032,7,6,4,0.6666666666666666,0.07142857142857142,0.12903225806451613,True,True,112.83333333333331,0.261007865231472,0.05292501317962339,0.3252304147465438
16,4x4,0.1,0.05,20000,42,0.7717792011094246,0.7128987517337032,7,6,4,0.6666666666666666,0.07142857142857142,0.12903225806451613,True,True,112.83333333333331,0.261007865231472,0.05292501317962339,0.3252304147465438
36,6x6,0.3,0.3,20000,42,0.5785087928060796,0.8016643550624133,10,50,15,0.3,0.26785714285714285,0.2830188679245283,True,False,48.166666666666664,0.019989219005507097,0.09977106099053745,0.3216880053908356
36,6x6,0.5,0.05,20000,42,0.6220433230424693,0.7281553398058253,22,18,8,0.4444444444444444,0.14285714285714285,0.21621621621621623,True,False,51.166666666666664,0.027074275134850945,0.10222446523934603,0.31287001287001287
36,6x6,1.2,0.3,20000,42,0.5955742956265405,0.1449375866851595,17,22,9,0.4090909090909091,0.16071428571428573,0.23076923076923078,True,False,55.5,0.0220946122713106,0.1481395038078398,0.312219030969031
25,5x5,1.2,0.3,20000,42,0.6629690328858219,0.15256588072122051,9,24,8,0.3333333333333333,0.14285714285714285,0.2,True,False,110.16666666666666,0.12877431672354378,0.0345977482070573,0.27142857142857146
25,5x5,1.2,0.05,20000,42,0.6672946427126073,0.13384188626907073,3,37,10,0.2702702702702703,0.17857142857142858,0.2150537634408602,True,False,122.0,0.10058091365610866,0.025830372172794158,0.26539367708722544
36,6x6,1.2,0.05,20000,42,0.5948735622584381,0.16435506241331485,4,33,9,0.2727272727272727,0.16071428571428573,0.20224719101123598,True,False,111.16666666666666,0.10880909100274072,0.027750329954149833,0.25704892018094266
16,4x4,0.5,0.3,20000,42,0.7833663773944444,0.2593619972260749,12,10,4,0.4,0.07142857142857142,0.12121212121212122,True,False,122.83333333333331,0.21417675874680508,0.028207322857652706,0.24132034632034632
36,6x6,1.2,0.1,20000,42,0.587943696234422,0.14424410540915394,17,39,10,0.2564102564102564,0.17857142857142858,0.21052631578947367,False,False,46.166666666666664,0.00982339456392678,0.11765545883501316,0.20897194910352804
20,4x5,1.2,0.3,20000,42,0.7177014305964576,0.047156726768377254,1,26,6,0.23076923076923078,0.10714285714285714,0.14634146341463414,True,False,126.16666666666666,0.12360188847765852,0.022574390409397793,0.20847292950951485
20,4x5,0.8,0.3,20000,42,0.6960974064562103,0.15880721220527047,19,15,4,0.26666666666666666,0.07142857142857142,0.11267605633802816,True,False,124.16666666666666,0.16954185198103444,0.026256523957152944,0.1970523138832998
2,1x2,0.3,0.1,20000,42,2.2471604759076182,0.0,0,1224,53,0.04330065359477124,0.9464285714285714,0.08281250000000001,False,False,0.0,0.0,0.12884864171076593,0.19636073179271707
2,1x2,0.5,0.1,20000,42,2.247160449136047,0.0,0,1224,53,0.04330065359477124,0.9464285714285714,0.08281250000000001,False,False,0.0,0.0,0.12884864171076593,0.19636073179271707
2,1x2,0.5,0.3,20000,42,2.250155195285229,0.0,0,1226,53,0.0432300163132137,0.9464285714285714,0.08268330733229329,False,False,0.0,0.0,0.12911653154282732,0.19627494427439646
25,5x5,0.3,0.3,20000,42,0.6542680614862684,0.9105409153952844,13,25,5,0.2,0.08928571428571429,0.1234567901234568,True,False,114.16666666666666,0.08634492961207174,0.025692192425029514,0.18512125220458553
25,5x5,0.5,0.05,20000,42,0.6592888895340532,0.38626907073509015,0,57,11,0.19298245614035087,0.19642857142857142,0.19469026548672563,False,False,30.333333333333332,0.002394723065190063,0.12681247110536387,0.18470415529975379
20,4x5,0.05,0.3,20000,42,0.7281244882166692,0.7191400832177531,1,26,5,0.19230769230769232,0.08928571428571429,0.12195121951219513,True,False,118.83333333333331,0.08474265550937143,0.025229618604315274,0.1820607745912624
20,4x5,0.1,0.3,20000,42,0.7281244882166692,0.7191400832177531,1,26,5,0.19230769230769232,0.08928571428571429,0.12195121951219513,True,False,118.83333333333331,0.08474265550937143,0.025229618604315274,0.1820607745912624
20,4x5,0.3,0.3,20000,42,0.7453829252573551,0.8072122052704577,1,26,5,0.19230769230769232,0.08928571428571429,0.12195121951219513,True,False,118.83333333333331,0.08474265550937143,0.025229618604315274,0.1820607745912624
16,4x4,0.05,0.1,20000,42,0.7685014758830201,0.7059639389736477,13,28,5,0.17857142857142858,0.08928571428571429,0.11904761904761905,True,False,113.16666666666666,0.08220508108460856,0.02401283643525487,0.17648809523809522
16,4x4,0.1,0.1,20000,42,0.7685014758830201,0.7059639389736477,13,28,5,0.17857142857142858,0.08928571428571429,0.11904761904761905,True,False,113.16666666666666,0.08220508108460856,0.02401283643525487,0.17648809523809522
16,4x4,0.3,0.1,20000,42,0.7706482195707127,0.6352288488210819,13,28,5,0.17857142857142858,0.08928571428571429,0.11904761904761905,True,False,113.16666666666666,0.08220508108460856,0.02401283643525487,0.17648809523809522
25,5x5,0.05,0.1,20000,42,0.6343220658293763,0.9375866851595007,23,73,12,0.1643835616438356,0.21428571428571427,0.18604651162790697,False,False,31.0,0.0025037446501608995,0.11051951196751364,0.1744811814499613
25,5x5,0.1,0.1,20000,42,0.6343220658293763,0.9375866851595007,23,73,12,0.1643835616438356,0.21428571428571427,0.18604651162790697,False,False,31.0,0.0025037446501608995,0.11051951196751364,0.1744811814499613
