cluster_id,n_curves,fraction,rise_then_fall_core_count,rise_then_fall_core_fraction,centroid_peak_time_h,centroid_initial_gain,centroid_post_peak_drop,centroid_rise_then_fall_broad,centroid_rise_then_fall_core
0,32,0.022191400832177532,0,0.0,0.0,0.0,0.1573045160008708,False,False
1,85,0.05894590846047157,0,0.0,2.333333333333333,4.948863831499839e-05,0.036489282727948935,False,False
2,69,0.0478502080443828,4,0.057971014492753624,0.0,0.0,0.12342606632256847,False,False
3,34,0.023578363384188627,1,0.029411764705882353,0.0,0.0,0.40715969969837396,False,False
4,88,0.06102635228848821,4,0.045454545454545456,11.166666666666666,0.0010044199412515553,0.07131662894795776,False,False
5,46,0.0319001386962552,8,0.17391304347826086,40.83333333333333,0.003504336299124833,0.11575618876951987,False,False
6,26,0.018030513176144243,0,0.0,0.0,0.0,0.050246511470885435,False,False
7,55,0.03814147018030513,4,0.07272727272727272,0.0,0.0,0.15342961900608587,False,False
8,17,0.011789181692094313,0,0.0,0.0,0.0,0.8377769519956275,False,False
9,45,0.031206657420249653,0,0.0,0.0,0.0,0.21927032286408454,False,False
10,88,0.06102635228848821,0,0.0,0.0,0.0,0.08470241499066467,False,False
11,21,0.014563106796116505,1,0.047619047619047616,126.33333333333331,0.07766910167952124,0.019995310708876946,False,False
12,31,0.021497919556171984,0,0.0,0.0,0.0,0.36277665773348655,False,False
13,77,0.05339805825242718,0,0.0,23.5,0.0012772593696505075,0.0208986051199348,False,False
14,55,0.03814147018030513,0,0.0,0.0,0.0,0.11194687460389652,False,False
15,37,0.02565880721220527,1,0.02702702702702703,0.0,0.0,0.46224065983051954,False,False
16,63,0.043689320388349516,0,0.0,0.0,0.0,0.048921432110252905,False,False
17,21,0.014563106796116505,1,0.047619047619047616,0.0,0.0,0.6306231882000721,False,False
18,16,0.011095700416088766,0,0.0,0.0,0.0,0.8666226202215298,False,False
19,27,0.01872399445214979,0,0.0,0.0,0.0,0.6161282029736742,False,False
20,28,0.019417475728155338,0,0.0,0.0,0.0,0.4843507374476872,False,False
21,36,0.024965325936199722,1,0.027777777777777776,0.0,0.0,0.6853498158475232,False,False
22,9,0.0062413314840499305,8,0.8888888888888888,71.0,0.1263921691385138,0.07101465789494865,True,True
23,3,0.0020804438280166435,0,0.0,198.66666666666663,0.40898127026505304,8.082677804277516e-06,False,False
24,54,0.03744798890429958,1,0.018518518518518517,0.0,0.0,0.17958693917955948,False,False
25,53,0.036754507628294034,0,0.0,0.0,0.0,0.3145058545931547,False,False
26,33,0.02288488210818308,0,0.0,0.0,0.0,0.23267804092699607,False,False
27,58,0.04022191400832178,2,0.034482758620689655,0.0,0.0,0.22645742055575746,False,False
28,26,0.018030513176144243,5,0.19230769230769232,5.5,0.000624589740112591,0.21735147781294317,False,False
29,24,0.016643550624133148,0,0.0,0.0,0.0,0.32754316980996834,False,False
30,25,0.017337031900138695,0,0.0,0.0,0.0,0.08570546091728815,False,False
31,26,0.018030513176144243,3,0.11538461538461539,69.5,0.016063905473550966,0.0613275826266646,True,False
32,4,0.0027739251040221915,1,0.25,0.0,0.0,0.12539545619472936,False,False
33,65,0.04507628294036061,8,0.12307692307692308,0.0,0.0,0.2682102150782726,False,False
34,60,0.04160887656033287,0,0.0,84.16666666666666,0.007578288566538971,0.007672746208696846,False,False
35,5,0.0034674063800277394,3,0.6,78.5,0.043633007382736344,0.22154821976468764,True,True
