sample_id,start_time_h,end_time_h,n_points_raw,n_unique_times,has_nan_pce,has_inf_pce,max_pce_raw
10.1002/adem.202000990|Fig5_C_jv_curve_stability_performance_pce|10.1002_adem.202000990__Fig5__C__jv_curve_stability_performance_pce__Pero@Pbl2-70°C__Series_3,-2.3987176067748663,118.07013734201496,20,20,False,False,1.0064995690794185
10.1002/adem.202000990|Fig5_C_jv_curve_stability_performance_pce|10.1002_adem.202000990__Fig5__C__jv_curve_stability_performance_pce__Pero@Pbl₂-300°C__Series_1,-1.764671001781238,378.6632919943971,61,61,False,False,1.0064995690794185
10.1002/adfm.201601119|Fig5_B_stability_performance_curve|10.1002_adfm.201601119__Fig5__B__stability_performance_curve__[spiro-OMeTAD]__Series_2,-12.799259876036617,983.1199609376076,50,50,False,False,15.213402223387508
10.1002/adfm.201605988|Fig7_D_stability_performance_curve_pce|10.1002_adfm.201605988__Fig7__D__stability_performance_curve_pce__FAPbl₃__Series_1,-9.931417585631324,982.6654751301872,55,55,False,False,1.0037826547967226
10.1002/adfm.201702090|Fig4_B_mppt_stability_performance_curve|10.1002_adfm.201702090__Fig4__B__mppt_stability_performance_curve__Mesoporous_Ts_TiO2__Series_2,5.743867313831103,494.2114014123856,82,82,False,False,1.0099350040377526
10.1002/adfm.201705363|Fig4_C_stability_performance_curve_pce|10.1002_adfm.201705363__Fig4__C__stability_performance_curve_pce__withPTT__Series_2,1.2029159152371705,403.2671717139857,53,53,False,False,1.0000255231632431
10.1002/adfm.201705363|Fig4_C_stability_performance_curve_pce|10.1002_adfm.201705363__Fig4__C__stability_performance_curve_pce__without_PTT__Series_1,-0.343485068604167,401.7207707301443,53,53,False,False,1.0000255231632431
10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1,19.907543196834112,1080.5322531448196,58,58,False,False,0.9901769280905162
10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3,19.907543196834112,1080.5322531448196,58,58,False,False,1.000498659300182
10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4,19.907543196834112,1061.9248020931004,57,57,False,False,1.000498659300182
