,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
c0,0.0,1.5600764915849241,6.329368436790702,10.027435921565493,20.928354282389652,1.203430861796387,5.273230153148162,3.706305810648716,9.842508933923694,14.603229860179987
c1,1.5600764915849241,0.0,4.776848888914479,8.468866230460506,19.416275966632725,2.761913170850529,5.329336078777517,2.153960675984464,8.378926887563894,13.060069628176661
c2,6.329368436790702,4.776848888914479,0.0,3.8295140756814288,14.70684436555065,7.525533253044859,7.482299729643823,2.6238135495180672,3.995549656780964,8.290750041831185
c3,10.027435921565493,8.468866230460506,3.8295140756814288,0.0,11.619349712984903,11.228515563449443,10.96731621281562,6.35967409727353,3.6096072409188413,5.058646583572081
c4,20.928354282389652,19.416275966632725,14.70684436555065,11.619349712984903,0.0,22.091355904456485,19.97791202697121,17.282829105961362,11.168536317042973,6.56424089071746
c5,1.203430861796387,2.761913170850529,7.525533253044859,11.228515563449443,22.091355904456485,0.0,5.482675959155358,4.904130510398544,10.978916118570957,15.790445473632609
c6,5.273230153148162,5.329336078777517,7.482299729643823,10.96731621281562,19.97791202697121,5.482675959155358,0.0,5.914566253623683,9.22232932445837,14.385997025133843
c7,3.706305810648716,2.153960675984464,2.6238135495180672,6.35967409727353,17.282829105961362,4.904130510398544,5.914566253623683,0.0,6.321623532677659,10.907253742948264
c8,9.842508933923694,8.378926887563894,3.995549656780964,3.6096072409188413,11.168536317042973,10.978916118570957,9.22232932445837,6.321623532677659,0.0,5.271738661405295
c9,14.603229860179987,13.060069628176661,8.290750041831185,5.058646583572081,6.56424089071746,15.790445473632609,14.385997025133843,10.907253742948264,5.271738661405295,0.0
