raw_cluster_id,n_samples,pce_norm_0h,pce_norm_10h,pce_norm_200h,delta_0_10h,delta_0_200h,slope_100_200h_per_h,suggested_shape_name,naming_basis
0,54,0.9984276723409401,0.9743710224720891,0.40511363343239154,-0.024056649868851032,-0.5933140389085485,-0.0028954302313928177,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.405, slope_0_10h=-0.00241/h, slope_100_200h=-0.00290/h, Δ200h=-0.593, n=54"
1,28,1.0004310339381663,0.8611530223410592,0.4999268574575623,-0.13927801159710718,-0.500504176480604,-0.0004974214445941052,initial_drop_rapid_degradation_decelerating_loss,"PCE@200h=0.500, slope_0_10h=-0.01393/h, slope_100_200h=-0.00050/h, Δ200h=-0.501, n=28"
2,4,0.8136210579661264,0.7730377876166148,0.9664826025709653,-0.04058327034951159,0.15286154460483892,0.0007454795164723051,initial_drop_moderate_degradation_decelerating_loss,"PCE@200h=0.966, slope_0_10h=-0.00406/h, slope_100_200h=0.00075/h, Δ200h=0.153, n=4"
3,53,0.9871357163856724,0.9859946928460456,0.7637844350851991,-0.001141023539626862,-0.22335128130047333,-0.0017541726715305944,no_initial_change_moderate_degradation_steady_loss,"PCE@200h=0.764, slope_0_10h=-0.00011/h, slope_100_200h=-0.00175/h, Δ200h=-0.223, n=53"
4,41,0.9986192117796654,0.9514437776952602,0.2632565997503707,-0.047175434084405166,-0.7353626120292946,-0.002810428568184818,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.263, slope_0_10h=-0.00472/h, slope_100_200h=-0.00281/h, Δ200h=-0.735, n=41"
5,18,0.9998396196312694,0.8734239568864252,0.15027478056245822,-0.12641566274484428,-0.8495648390688112,-0.001650099886595609,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.150, slope_0_10h=-0.01264/h, slope_100_200h=-0.00165/h, Δ200h=-0.850, n=18"
6,103,0.9969277965404775,0.9658508283323077,0.7212514019547437,-0.031076968208169742,-0.2756763945857338,-0.0007886216902234393,initial_drop_moderate_degradation_decelerating_loss,"PCE@200h=0.721, slope_0_10h=-0.00311/h, slope_100_200h=-0.00079/h, Δ200h=-0.276, n=103"
7,245,0.9953319108507784,0.9916041143182943,0.9062725961318364,-0.003727796532484118,-0.08905931471894202,-0.0004593671107905018,no_initial_change_stable_decelerating_loss,"PCE@200h=0.906, slope_0_10h=-0.00037/h, slope_100_200h=-0.00046/h, Δ200h=-0.089, n=245"
8,71,0.9977374046498646,0.956539894211916,0.5961789509529329,-0.041197510437948615,-0.40155845369693166,-0.0012526490105230653,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.596, slope_0_10h=-0.00412/h, slope_100_200h=-0.00125/h, Δ200h=-0.402, n=71"
9,53,0.9988493213958526,0.9871040022040934,0.5638467780954665,-0.01174531919175914,-0.4350025433003861,-0.002551393588115914,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.564, slope_0_10h=-0.00117/h, slope_100_200h=-0.00255/h, Δ200h=-0.435, n=53"
10,190,0.9959088159587018,0.9902839783645881,0.8654462185817716,-0.005624837594113696,-0.13046259737693022,-0.0005784793061476914,initial_drop_moderate_degradation_decelerating_loss,"PCE@200h=0.865, slope_0_10h=-0.00056/h, slope_100_200h=-0.00058/h, Δ200h=-0.130, n=190"
11,364,0.9901823814508189,0.9908045749606107,0.9802224431126686,0.0006221935097917575,-0.009959938338150343,-9.999635779352022e-05,no_initial_change_stable_decelerating_loss,"PCE@200h=0.980, slope_0_10h=0.00006/h, slope_100_200h=-0.00010/h, Δ200h=-0.010, n=364"
12,130,0.9951179861076779,0.9855289006410146,0.7347271936953028,-0.00958908546666326,-0.26039079241237506,-0.0012770341114678513,initial_drop_moderate_degradation_steady_loss,"PCE@200h=0.735, slope_0_10h=-0.00096/h, slope_100_200h=-0.00128/h, Δ200h=-0.260, n=130"
13,138,0.9977292112332996,0.9857159464793975,0.8148017443328804,-0.012013264753902075,-0.18292746690041917,-0.0007086792110903279,initial_drop_moderate_degradation_decelerating_loss,"PCE@200h=0.815, slope_0_10h=-0.00120/h, slope_100_200h=-0.00071/h, Δ200h=-0.183, n=138"
14,298,0.9927514772165561,0.9936372461465119,0.943184134667889,0.0008857689299558436,-0.049567342548667126,-0.0003078300546669702,no_initial_change_stable_decelerating_loss,"PCE@200h=0.943, slope_0_10h=0.00009/h, slope_100_200h=-0.00031/h, Δ200h=-0.050, n=298"
15,22,0.810340831598797,0.8447803089319222,0.9688316825941965,0.034439477333125246,0.1584908509953995,1.5576385395977743e-05,initial_gain_moderate_degradation_decelerating_loss,"PCE@200h=0.969, slope_0_10h=0.00344/h, slope_100_200h=0.00002/h, Δ200h=0.158, n=22"
