sample_id,raw_cluster_id,som_node_x,som_node_y,node_label,bmu_distance,max_pce_0_200h,pce_norm_0h,pce_norm_10h,pce_norm_50h,pce_norm_100h,pce_norm_150h,pce_norm_200h,peak_time_h,qc_status
10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1,4,1,0,node_1_0,1.5065953749859018,,0.9058490391704507,0.9086490702492919,0.9241160018635682,0.9770123569050648,0.9910304454995875,0.9657656967272005,126.66666666666666,included
10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3,4,1,0,node_1_0,3.7094499659563285,,0.8168681341267527,0.8139287965535835,0.8215268593965908,0.9293068984785602,0.9925786953596724,0.9999999999999999,189.16666666666666,included
10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4,4,1,0,node_1_0,0.8432831127783154,,0.9198798430854497,0.9353318841123083,0.9864272146875666,0.9983082224437599,0.9997858571580356,0.9920730271780244,117.83333333333333,included
10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2,0,0,0,node_0_0,0.6903796352638816,,0.9452241072506367,0.9542203760634936,0.9993713566783414,0.9710690230614243,0.9184200158808232,0.8906651862119497,53.666666666666664,included
10.1002/adfm.201801654|Fig4_F_stability_performance_curve_pce|10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1,5,1,1,node_1_1,0.6211672065155256,,0.999995636809852,0.9923268170769515,0.9564187204536065,0.9085505492339647,0.8523489635360872,0.7997812616716091,0.0,included
10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3,4,1,0,node_1_0,0.5450492978664466,,0.9967939805538335,0.9889148515386961,0.9879532632653433,0.9984097631779915,0.9967406651214681,0.9951875005701906,58.0,included
10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4,4,1,0,node_1_0,0.42030257160684437,,0.9999998632993241,0.9986333742667871,0.988761402826783,0.9742740595266768,0.961411089290035,0.9512952290227764,0.0,included
10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2,5,1,1,node_1_1,0.4849951536698838,,0.9999123906585593,0.9929849856032215,0.9539435675997959,0.9045818023859565,0.855299618460027,0.8159295581371162,0.0,included
10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1,5,1,1,node_1_1,0.34472415394691436,,1.0000001140805301,0.9912118409881365,0.9613086188133076,0.9226027176039704,0.8824641166791128,0.8505502561688878,0.0,included
10.1002/adfm.201807024|Fig6_D_pce|10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1,5,1,1,node_1_1,0.43530316943124575,,0.9999893348980226,0.9947869322283119,0.9657309387605757,0.9269433984514102,0.8779386005380778,0.8552686737893741,0.0,included
10.1002/adfm.201807556|Fig6_A_stability_performance_curve_ff|10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2,5,1,1,node_1_1,0.6815663585443693,,0.999935897232982,0.9919442519640018,0.9461965558566577,0.9082947129595315,0.8966373734567076,0.8870096380131774,0.0,included
10.1002/adfm.201807556|Fig6_A_stability_performance_curve_ff|10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1,4,1,0,node_1_0,0.2952332835690419,,0.9999999999941014,0.9973412493409964,0.9866734308870805,0.9768900309457157,0.9670891753741728,0.9618630578506904,0.0,included
