n,raw_cluster_id,n_samples,pce_norm_0h,pce_norm_10h,pce_norm_200h,delta_0_10h,delta_0_200h,slope_100_200h_per_h,suggested_shape_name
4,0,443,0.9942757547610096,0.9804349305709502,0.7653467528749759,-0.0138408241900594,-0.2289290018860338,-0.0010244174560665,initial_drop_moderate_degradation_steady_loss
4,1,188,0.9982945812259209,0.9627100462726677,0.5429330669722633,-0.0355845349532532,-0.4553615142536575,-0.0018516092694731,initial_drop_rapid_degradation_steady_loss
4,2,1103,0.9891373477770738,0.988642668601224,0.93530378652528,-0.0004946791758497,-0.0538335612517939,-0.0003180506669141,no_initial_change_stable_decelerating_loss
4,3,78,0.999291618838386,0.9142379790063552,0.2731146805420634,-0.0850536398320306,-0.7261769382963225,-0.0021747441241771,initial_drop_rapid_degradation_steady_loss
5,0,66,0.9995459840625044,0.9077788009539918,0.2635055256827818,-0.0917671831085126,-0.7360404583797225,-0.0020360587498251,initial_drop_rapid_degradation_steady_loss
5,1,142,0.9981485187335132,0.957058032389594,0.4891747449278295,-0.0410904863439193,-0.5089737738056839,-0.0020687368647723,initial_drop_rapid_degradation_steady_loss
5,2,888,0.9881624505226778,0.988673193220502,0.9512058979077732,0.0005107426978241,-0.0369565526149046,-0.0002473108556211,no_initial_change_stable_decelerating_loss
5,3,445,0.9928706491406472,0.9862813587122076,0.8357027588579379,-0.0065892904284396,-0.1571678902827094,-0.0007754627133643,initial_drop_moderate_degradation_decelerating_loss
5,4,271,0.9966946215855584,0.9758535317470302,0.7026593280276163,-0.0208410898385283,-0.2940352935579422,-0.001224404709191,initial_drop_moderate_degradation_steady_loss
6,0,448,0.9928167235973826,0.986670375552149,0.8508257841941903,-0.0061463480452336,-0.1419909394031923,-0.0007106876717775,initial_drop_moderate_degradation_decelerating_loss
6,1,142,0.9984757251666468,0.9632215215532628,0.5322645818542588,-0.0352542036133839,-0.466211143312388,-0.001961430943867,initial_drop_rapid_degradation_steady_loss
6,2,74,0.9990437776872424,0.9274155272452344,0.3431393795103187,-0.0716282504420078,-0.6559043981769236,-0.0021479620795378,initial_drop_rapid_degradation_steady_loss
6,3,832,0.987691162547401,0.9886816787648912,0.9548525430915702,0.0009905162174903,-0.0328386194558307,-0.0002298740976003,no_initial_change_stable_decelerating_loss
6,4,296,0.9962043113262816,0.978002996541577,0.7240273648455581,-0.0182013147847046,-0.2721769464807235,-0.001149808575594,initial_drop_moderate_degradation_steady_loss
6,5,20,0.9998426951766116,0.8801185869849639,0.1470084765823521,-0.1197241081916475,-0.8528342185942595,-0.0018594041632483,initial_drop_rapid_degradation_steady_loss
7,0,426,0.9938414203525134,0.988589163308484,0.87564278898823,-0.0052522570440293,-0.1181986313642834,-0.000576389136814,initial_drop_moderate_degradation_decelerating_loss
7,1,749,0.9866897841751192,0.9882248178241108,0.9597892999115836,0.0015350336489916,-0.0269004842635356,-0.0002083311582734,no_initial_change_stable_decelerating_loss
7,2,267,0.9941303626853908,0.9835877791515354,0.7694446078315803,-0.0105425835338555,-0.2246857548538106,-0.0010777778210049,initial_drop_moderate_degradation_steady_loss
7,3,121,0.9979888021308378,0.961851832925771,0.4983221727199215,-0.0361369692050668,-0.4996666294109163,-0.0021327863336899,initial_drop_rapid_degradation_steady_loss
7,4,20,0.9998426951766116,0.8801185869849639,0.1470084765823521,-0.1197241081916475,-0.8528342185942595,-0.0018594041632483,initial_drop_rapid_degradation_steady_loss
7,5,64,0.9992775605988596,0.9214385428511704,0.3352648852910187,-0.0778390177476893,-0.6640126753078409,-0.0020850040226233,initial_drop_rapid_degradation_steady_loss
7,6,165,0.9974539327010384,0.970988662746324,0.6775248017030762,-0.0264652699547144,-0.3199291309979624,-0.0012521403672017,initial_drop_moderate_degradation_steady_loss
8,0,392,0.9942163702088166,0.9906963068564144,0.9092212707987368,-0.0035200633524021,-0.0849950994100797,-0.0004431603085069,no_initial_change_stable_decelerating_loss
8,1,242,0.9956461509390452,0.9801674546412618,0.7372516510699998,-0.0154786962977834,-0.2583944998690454,-0.001113846711475,initial_drop_moderate_degradation_steady_loss
8,2,131,0.999576632562271,0.9662828746323364,0.6237484856254052,-0.0332937579299346,-0.3758281469368658,-0.0014487927800949,initial_drop_moderate_degradation_steady_loss
8,3,55,0.9994940130282725,0.9154795060283838,0.3414322752829481,-0.0840145069998885,-0.6580617377453242,-0.0018560815165256,initial_drop_rapid_degradation_steady_loss
8,4,583,0.9845308436224444,0.9871844612885484,0.9691748555248564,0.0026536176661041,-0.0153559880975878,-0.0001625209477456,no_initial_change_stable_decelerating_loss
8,5,304,0.9928506646168944,0.985970427605806,0.8336186735562218,-0.0068802370110884,-0.1592319910606726,-0.0007880161838278,initial_drop_moderate_degradation_decelerating_loss
8,6,85,0.9967791644638304,0.9618249457656948,0.4367619984814069,-0.0349542186981358,-0.5600171659824236,-0.0025647804390373,initial_drop_rapid_degradation_steady_loss
8,7,20,0.9998426951766116,0.8801185869849639,0.1470084765823521,-0.1197241081916475,-0.8528342185942595,-0.0018594041632483,initial_drop_rapid_degradation_steady_loss
9,0,291,0.9947476057846372,0.988284607198235,0.8373489800304856,-0.006462998586402,-0.1573986257541514,-0.0007909576535167,initial_drop_moderate_degradation_decelerating_loss
9,1,140,0.999453469353823,0.9745625270634838,0.6323790586870264,-0.0248909422903391,-0.3670744106667966,-0.0015903225789829,initial_drop_moderate_degradation_steady_loss
9,2,63,0.9992508754321476,0.9288111512732036,0.3094832643885903,-0.070439724158944,-0.6897676110435573,-0.0023950543381374,initial_drop_rapid_degradation_steady_loss
9,3,385,0.9950278468288724,0.991944295224253,0.9117971409840866,-0.0030835516046193,-0.0832307058447857,-0.0004302211386104,no_initial_change_stable_decelerating_loss
9,4,235,0.995410587822912,0.981057912889902,0.7505840776563598,-0.0143526749330099,-0.2448265101665521,-0.0010561025246887,initial_drop_moderate_degradation_steady_loss
9,5,18,0.9998396196312694,0.8734239568864252,0.1502747805624582,-0.1264156627448442,-0.8495648390688112,-0.0016500998865956,initial_drop_rapid_degradation_steady_loss
9,6,569,0.9868542597744618,0.9887352153155607,0.9696983437962882,0.001880955541099,-0.0171559159781736,-0.0001617523390557,no_initial_change_stable_decelerating_loss
9,7,10,0.7500721152690245,0.7610040128253079,0.9765479345931743,0.0109318975562834,0.2264758193241499,0.000597332663941,initial_gain_moderate_degradation_decelerating_loss
9,8,101,0.9975653520731133,0.9524267297173864,0.4997664732513482,-0.0451386223557268,-0.4977988788217649,-0.0018946543591387,initial_drop_rapid_degradation_steady_loss
10,0,387,0.9950215979050522,0.991956141484214,0.911605749137098,-0.0030654564208381,-0.083415848767954,-0.000431196548623,no_initial_change_stable_decelerating_loss
10,1,296,0.994815052898296,0.9882387517819424,0.835693295982404,-0.0065763011163534,-0.1591217569158918,-0.0008003363179877,initial_drop_moderate_degradation_decelerating_loss
10,2,129,0.999484206945342,0.9727533223813346,0.6289740694992269,-0.0267308845640074,-0.3705101374461151,-0.0015267617919599,initial_drop_moderate_degradation_steady_loss
10,3,63,0.9956131566367288,0.9748400398690684,0.4120216102954285,-0.0207731167676603,-0.5835915463413002,-0.0030274769874837,initial_drop_rapid_degradation_steady_loss
10,4,18,0.9998396196312694,0.8734239568864252,0.1502747805624582,-0.1264156627448442,-0.8495648390688112,-0.0016500998865956,initial_drop_rapid_degradation_steady_loss
10,5,569,0.9868542597744618,0.9887352153155607,0.9696983437962882,0.001880955541099,-0.0171559159781736,-0.0001617523390557,no_initial_change_stable_decelerating_loss
10,6,10,0.7500721152690245,0.7610040128253079,0.9765479345931743,0.0109318975562834,0.2264758193241499,0.000597332663941,initial_gain_moderate_degradation_decelerating_loss
10,7,245,0.9956341162211038,0.9807648643568798,0.744841259713781,-0.0148692518642239,-0.2507928565073227,-0.0010824863293005,initial_drop_moderate_degradation_steady_loss
10,8,41,1.0001886487132978,0.9132476451390296,0.5724864901481022,-0.0869410035742683,-0.4277021585651956,-0.0006744030338096,initial_drop_rapid_degradation_decelerating_loss
10,9,54,0.9995436146175,0.9287147464218756,0.3036097540968676,-0.0708288681956242,-0.6959338605206323,-0.0023067772702393,initial_drop_rapid_degradation_steady_loss
16,0,54,0.99842767234094,0.9743710224720892,0.4051136334323915,-0.024056649868851,-0.5933140389085485,-0.0028954302313928,initial_drop_rapid_degradation_steady_loss
16,1,28,1.0004310339381663,0.8611530223410592,0.4999268574575623,-0.1392780115971071,-0.500504176480604,-0.0004974214445941,initial_drop_rapid_degradation_decelerating_loss
16,2,4,0.8136210579661264,0.7730377876166148,0.9664826025709652,-0.0405832703495115,0.1528615446048389,0.0007454795164723,initial_drop_moderate_degradation_decelerating_loss
16,3,53,0.9871357163856724,0.9859946928460456,0.7637844350851991,-0.0011410235396268,-0.2233512813004733,-0.0017541726715305,no_initial_change_moderate_degradation_steady_loss
16,4,41,0.9986192117796654,0.9514437776952602,0.2632565997503707,-0.0471754340844051,-0.7353626120292946,-0.0028104285681848,initial_drop_rapid_degradation_steady_loss
16,5,18,0.9998396196312694,0.8734239568864252,0.1502747805624582,-0.1264156627448442,-0.8495648390688112,-0.0016500998865956,initial_drop_rapid_degradation_steady_loss
16,6,103,0.9969277965404776,0.9658508283323076,0.7212514019547437,-0.0310769682081697,-0.2756763945857338,-0.0007886216902234,initial_drop_moderate_degradation_decelerating_loss
16,7,245,0.9953319108507784,0.9916041143182944,0.9062725961318364,-0.0037277965324841,-0.089059314718942,-0.0004593671107905,no_initial_change_stable_decelerating_loss
16,8,71,0.9977374046498646,0.956539894211916,0.5961789509529329,-0.0411975104379486,-0.4015584536969316,-0.001252649010523,initial_drop_rapid_degradation_steady_loss
16,9,53,0.9988493213958526,0.9871040022040934,0.5638467780954665,-0.0117453191917591,-0.4350025433003861,-0.0025513935881159,initial_drop_rapid_degradation_steady_loss
16,10,190,0.9959088159587018,0.990283978364588,0.8654462185817716,-0.0056248375941136,-0.1304625973769302,-0.0005784793061476,initial_drop_moderate_degradation_decelerating_loss
16,11,364,0.9901823814508188,0.9908045749606108,0.9802224431126686,0.0006221935097917,-0.0099599383381503,-9.999635779352022e-05,no_initial_change_stable_decelerating_loss
16,12,130,0.995117986107678,0.9855289006410146,0.7347271936953028,-0.0095890854666632,-0.260390792412375,-0.0012770341114678,initial_drop_moderate_degradation_steady_loss
16,13,138,0.9977292112332996,0.9857159464793976,0.8148017443328804,-0.012013264753902,-0.1829274669004191,-0.0007086792110903,initial_drop_moderate_degradation_decelerating_loss
16,14,298,0.992751477216556,0.993637246146512,0.943184134667889,0.0008857689299558,-0.0495673425486671,-0.0003078300546669,no_initial_change_stable_decelerating_loss
16,15,22,0.810340831598797,0.8447803089319222,0.9688316825941964,0.0344394773331252,0.1584908509953995,1.5576385395977743e-05,initial_gain_moderate_degradation_decelerating_loss
