sample_id,reason
10.1002/advs.202004662|Fig5_A_stability_performance_curve_pce|10.1002_advs.202004662__Fig5__A__stability_performance_curve_pce__pristine_TiO₂__Series_2,"too few unique time points (3) in [0,200]h"
10.1002/aenm.202000967|Fig4_A_stability_performance_curve_pce|10.1002_aenm.202000967__Fig4__A__stability_performance_curve_pce__MAPbI₃₋yClᵧ-Cu_NiO__Series_2,"too few unique time points (2) in [0,200]h"
10.1002/aenm.202000967|Fig4_A_stability_performance_curve_pce|10.1002_aenm.202000967__Fig4__A__stability_performance_curve_pce__MAPbI₃₋yClᵧ__Series_3,"too few unique time points (2) in [0,200]h"
10.1002/pip.3352|Fig6_H_stability_performance_curve|10.1002_pip.3352__Fig6__H__stability_performance_curve__Control__Series_2,"too few unique time points (2) in [0,200]h"
"10.1016/j.apsusc.2017.02.057|Fig4_D_stability_performance_curve_pce|10.1016_j.apsusc.2017.02.057__Fig4__D__stability_performance_curve_pce__c-Pbl,based__Series_2",curve spans only 124.901 h (< 200 h)
10.1016/j.cej.2020.125010|Fig6_A_stability_performance_curve_pce|10.1016_j.cej.2020.125010__Fig6__A__stability_performance_curve_pce__Reference_PSCs__Series_1,"too few unique time points (3) in [0,200]h"
10.1016/j.electacta.2017.07.040|Fig8_whole_stability_performance_curve_pce|10.1016_j.electacta.2017.07.040__Fig8__whole__stability_performance_curve_pce__MAPbI_3__Series_3,curve spans only 192.682 h (< 200 h)
10.1016/j.jechem.2020.03.082|Fig4_D_ff|10.1016_j.jechem.2020.03.082__Fig4__D__ff__Uncoated_PSCs__Series_1,"too few unique time points (3) in [0,200]h"
10.1016/j.jpowsour.2019.227216|Fig6_A_stability_performance_curve_pce|10.1016_j.jpowsour.2019.227216__Fig6__A__stability_performance_curve_pce__CH₃NH₃PbI₃_w_o_tBP__Series_1,curve spans only 192.213 h (< 200 h)
10.1016/j.matt.2019.04.001|Fig5_E_stability_performance_curve_pce|10.1016_j.matt.2019.04.001__Fig5__E__stability_performance_curve_pce__c-TiO₂__Series_2,"too few unique time points (3) in [0,200]h"
10.1016/j.solmat.2019.110289|Fig4_A_jv_curve_stability_performance_pce_ff|10.1016_j.solmat.2019.110289__Fig4__A__jv_curve_stability_performance_pce_ff__ALD-Al₂O3encapsulation__Series_1,"too few unique time points (2) in [0,200]h"
10.1016/j.solmat.2019.110289|Fig4_A_jv_curve_stability_performance_pce_ff|10.1016_j.solmat.2019.110289__Fig4__A__jv_curve_stability_performance_pce_ff__No_encapsulation__Series_2,"too few unique time points (2) in [0,200]h"
10.1021/acs.nanolett.9b02142|Fig1_C_stability_performance_curve_voc|10.1021_acs.nanolett.9b02142__Fig1__C__stability_performance_curve_voc__Control-HP__Series_2,"too few unique time points (3) in [0,200]h"
10.1021/acs.nanolett.9b02142|Fig1_C_stability_performance_curve_voc|10.1021_acs.nanolett.9b02142__Fig1__C__stability_performance_curve_voc__LD-HP__Series_1,"too few unique time points (3) in [0,200]h"
10.1021/acs.nanolett.9b02142|Fig1_D_stability_performance_curve_pce|10.1021_acs.nanolett.9b02142__Fig1__D__stability_performance_curve_pce__Control-HP__Series_1,"too few unique time points (3) in [0,200]h"
10.1021/acs.nanolett.9b02142|Fig1_D_stability_performance_curve_pce|10.1021_acs.nanolett.9b02142__Fig1__D__stability_performance_curve_pce__LD-HP__Series_2,"too few unique time points (3) in [0,200]h"
10.1021/acsomega.0c03184|Fig3_C_stability_performance_curve|10.1021_acsomega.0c03184__Fig3__C__stability_performance_curve__AZO-IV__Series_3,"too few unique time points (3) in [0,200]h"
10.1039/c8tc01345d|Fig5_whole_pce|10.1039_c8tc01345d__Fig5__whole__pce__H2__Series_2,"too few unique time points (2) in [0,200]h"
10.1039/d2ta02588d|Fig4_A_stability_performance_curve_pce|10.1039_d2ta02588d__Fig4__A__stability_performance_curve_pce__F4-TCNQ__Series_2,"too few unique time points (2) in [0,200]h"
10.1039/d2ta02588d|Fig4_A_stability_performance_curve_pce|10.1039_d2ta02588d__Fig4__A__stability_performance_curve_pce__tBP_LiTFSI_FK2091.2__Series_3,"too few unique time points (1) in [0,200]h"
10.1039/d2ta02588d|Fig4_A_stability_performance_curve_pce|10.1039_d2ta02588d__Fig4__A__stability_performance_curve_pce__tBP_LiTFSI__Series_1,"too few unique time points (2) in [0,200]h"
