raw_cluster_id,n_samples,pce_norm_0h,pce_norm_10h,pce_norm_200h,delta_0_10h,delta_0_200h,slope_100_200h_per_h,suggested_shape_name,naming_basis
0,379,0.9949302348405428,0.9913569156650959,0.911935350880752,-0.0035733191754468985,-0.08299488395979082,-0.00043353977636508825,no_initial_change_stable_decelerating_loss,"PCE@200h=0.912, slope_0_10h=-0.00036/h, slope_100_200h=-0.00043/h, Δ200h=-0.083, n=379"
1,214,0.9962457870611892,0.984709907781072,0.7576568816312068,-0.011535879280117123,-0.23858890542998235,-0.0011292662785401435,initial_drop_moderate_degradation_steady_loss,"PCE@200h=0.758, slope_0_10h=-0.00115/h, slope_100_200h=-0.00113/h, Δ200h=-0.239, n=214"
2,77,0.9967267066752556,0.9758046655273015,0.5284956276377419,-0.02092204114795415,-0.4682310790375137,-0.0022957598088455262,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.528, slope_0_10h=-0.00209/h, slope_100_200h=-0.00230/h, Δ200h=-0.468, n=77"
3,16,1.0,0.8690580755323185,0.14210206518416604,-0.1309419244676815,-0.857897934815834,-0.0015904778731988013,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.142, slope_0_10h=-0.01309/h, slope_100_200h=-0.00159/h, Δ200h=-0.858, n=16"
4,44,1.0,0.9203151097712858,0.3078707192684607,-0.07968489022871417,-0.6921292807315393,-0.0020400113977365915,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.308, slope_0_10h=-0.00797/h, slope_100_200h=-0.00204/h, Δ200h=-0.692, n=44"
5,572,0.984362927379142,0.98703530412047,0.9698126161674017,0.002672376741328031,-0.01455031121174033,-0.0001588870078001369,no_initial_change_stable_decelerating_loss,"PCE@200h=0.970, slope_0_10h=0.00027/h, slope_100_200h=-0.00016/h, Δ200h=-0.015, n=572"
6,279,0.991025290673502,0.9851048570874745,0.8472125009413817,-0.0059204335860274515,-0.1438127897321203,-0.000696871527343876,initial_drop_moderate_degradation_decelerating_loss,"PCE@200h=0.847, slope_0_10h=-0.00059/h, slope_100_200h=-0.00070/h, Δ200h=-0.144, n=279"
7,142,0.997295243937827,0.9710920075574285,0.6907912036989151,-0.026203236380398454,-0.30650404023891187,-0.0011126685908980796,initial_drop_moderate_degradation_steady_loss,"PCE@200h=0.691, slope_0_10h=-0.00262/h, slope_100_200h=-0.00111/h, Δ200h=-0.307, n=142"
8,43,1.0,0.9112146104233999,0.5795799097929205,-0.0887853895766001,-0.4204200902070795,-0.0007008419531208631,initial_drop_rapid_degradation_decelerating_loss,"PCE@200h=0.580, slope_0_10h=-0.00888/h, slope_100_200h=-0.00070/h, Δ200h=-0.420, n=43"
9,46,0.9981759228153166,0.969823951736651,0.3405973870777309,-0.028351971078665605,-0.6575785357375857,-0.0032816852805563406,initial_drop_rapid_degradation_steady_loss,"PCE@200h=0.341, slope_0_10h=-0.00284/h, slope_100_200h=-0.00328/h, Δ200h=-0.658, n=46"
