,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15
c0,0.0,4.929573537308179,11.684223771656795,8.518386828499242,4.523789465141818,11.093145178577783,5.7052986391898655,10.360582992953558,3.1262355167028613,4.16674946457012,9.378983363048164,11.870329968929344,6.795432508798792,8.172569925228892,11.154245462876876,11.494174397965926
c1,4.929573537308179,0.0,10.724054411061386,11.17979503816987,4.654311887360608,8.602919547242543,7.77313286328135,12.564135754945001,5.224614292669415,7.619824637873059,11.623409698105649,13.963813648962596,9.34837126069215,10.43037259991331,13.321301509651615,13.029198984648094
c2,11.684223771656795,10.724054411061386,0.0,8.462376942383914,14.637419227988635,18.915206969099792,7.591180259024428,8.10303240305358,8.873347844322126,9.554545425395759,7.876276502607861,8.532423641418507,8.086362779373228,7.669127981845588,8.355786662917179,6.945838787447887
c3,8.518386828499242,11.17979503816987,8.462376942383914,0.0,12.977993861919606,19.23452324701966,3.4867312415642626,2.080791010392897,6.154132489592288,4.372401641818747,1.3422120813309066,3.5111807748706547,1.9078076991985113,1.2355500051425854,2.806882094989525,3.8282876087929756
c4,4.523789465141818,4.654311887360608,14.637419227988635,12.977993861919606,0.0,6.708712803223546,9.911969030687551,14.73960655601064,7.080869689317829,8.669337623806987,13.751408096096256,16.241852136740953,11.190276430763632,12.524597095495071,15.534557793318628,15.70720037015731
c5,11.093145178577783,8.602919547242543,18.915206969099792,19.23452324701966,6.708712803223546,0.0,15.92609738732522,20.82662331790471,13.108297076754553,15.099233588133103,19.850081747544902,22.286603084755995,17.386359268062318,18.621685379097933,21.608977407580564,21.495596493519432
c6,5.7052986391898655,7.77313286328135,7.591180259024428,3.4867312415642626,9.911969030687551,15.92609738732522,0.0,4.90253617663293,2.8524456719279545,2.344859822307998,3.924790019896805,6.376985526536165,1.6328240327600525,2.6988449463034274,5.6884845996966895,5.955991655700475
c7,10.360582992953558,12.564135754945001,8.10303240305358,2.080791010392897,14.73960655601064,20.82662331790471,4.90253617663293,0.0,7.742401869155527,6.290780966593468,0.9891234913402625,1.510410437916349,3.5654409146278185,2.219640025830134,0.7955691815746108,2.397444999981116
c8,3.1262355167028613,5.224614292669415,8.873347844322126,6.154132489592288,7.080869689317829,13.108297076754553,2.8524456719279545,7.742401869155527,0.0,2.534898080375423,6.758886450299287,9.22566311439564,4.284759441159347,5.526920508673803,8.532349994457181,8.69636770963237
c9,4.16674946457012,7.619824637873059,9.554545425395759,4.372401641818747,8.669337623806987,15.099233588133103,2.344859822307998,6.290780966593468,2.534898080375423,0.0,5.331477194312463,7.794856340917758,2.783633982127654,4.184653961087426,7.075404779666245,7.633696311847488
c10,9.378983363048164,11.623409698105649,7.876276502607861,1.3422120813309066,13.751408096096256,19.850081747544902,3.924790019896805,0.9891234913402625,6.758886450299287,5.331477194312463,0.0,2.4946537560490323,2.5843152832346212,1.2327531954006294,1.7835441267824264,2.893694572430928
c11,11.870329968929344,13.963813648962596,8.532423641418507,3.5111807748706547,16.241852136740953,22.286603084755995,6.376985526536165,1.510410437916349,9.22566311439564,7.794856340917758,2.4946537560490323,0.0,5.0751769537339415,3.7179705266069396,0.721119090101704,2.2508550970234267
c12,6.795432508798792,9.34837126069215,8.086362779373228,1.9078076991985113,11.190276430763632,17.386359268062318,1.6328240327600525,3.5654409146278185,4.284759441159347,2.783633982127654,2.5843152832346212,5.0751769537339415,0.0,1.4028115401181476,4.359693557253719,4.993657409188008
c13,8.172569925228892,10.43037259991331,7.669127981845588,1.2355500051425854,12.524597095495071,18.621685379097933,2.6988449463034274,2.219640025830134,5.526920508673803,4.184653961087426,1.2327531954006294,3.7179705266069396,1.4028115401181476,0.0,3.012936066938366,3.738601381184117
c14,11.154245462876876,13.321301509651615,8.355786662917179,2.806882094989525,15.534557793318628,21.608977407580564,5.6884845996966895,0.7955691815746108,8.532349994457181,7.075404779666245,1.7835441267824264,0.721119090101704,4.359693557253719,3.012936066938366,0.0,2.2506643088154465
c15,11.494174397965926,13.029198984648094,6.945838787447887,3.8282876087929756,15.70720037015731,21.495596493519432,5.955991655700475,2.397444999981116,8.69636770963237,7.633696311847488,2.893694572430928,2.2508550970234267,4.993657409188008,3.738601381184117,2.2506643088154465,0.0
