sample_id,raw_cluster_id,som_node_x,som_node_y,node_label,bmu_distance,max_pce_0_200h,pce_norm_0h,pce_norm_10h,pce_norm_50h,pce_norm_100h,pce_norm_150h,pce_norm_200h,peak_time_h,qc_status
10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1,1,0,1,node_0_1,1.5114878681859338,0.9905418104007486,0.9058490391642384,0.9086490702493281,0.924116001868935,0.9770123569048106,0.9910181344340832,0.965765696727201,126.83333333333333,included
10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3,1,0,1,node_0_1,3.695441092993717,1.000498659300182,0.8168805852276512,0.8139287965535041,0.8215268593590088,0.9293068984779785,0.992578695359712,1.0,186.16666666666666,included
10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4,1,0,1,node_0_1,0.9656423681609134,1.0006898017546701,0.9198707139926898,0.9353318841124872,0.9864272147349797,0.9983082224438272,0.9997947576789952,0.9920730271780241,117.83333333333333,included
10.1002/adfm.201705545|Fig11_B_stability_performance_curve|10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2,0,0,0,node_0_0,1.047591773271778,0.9929423501470365,0.9452394410442884,0.9542203760629923,0.9993713567256807,0.9710690230594299,0.9184240305214247,0.8906651862119495,53.83333333333333,included
10.1002/adfm.201801654|Fig4_F_stability_performance_curve_pce|10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1,2,0,2,node_0_2,0.9823425465034157,1.0035646390205453,1.0,0.9923356941808118,0.9564814275098376,0.9084823184604335,0.8523470997156961,0.799740083192837,0.0,included
10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3,1,0,1,node_0_1,0.7177688663988323,1.000499557576434,0.9967406651215077,0.9889178109611675,0.9879444642923605,0.9984212837937341,0.9967406651215077,0.9951109976822615,56.166666666666664,included
10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4,1,0,1,node_0_1,0.2605559856611005,1.003760520680359,1.0,0.9986295893840909,0.9887614028268226,0.9742740595267154,0.9614110892900734,0.9512688080960581,0.0,included
10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2,2,0,2,node_0_2,1.0345816713606233,0.9988690760244716,1.0,0.9930186644956656,0.9539429762738474,0.9045702629648711,0.8552996184600613,0.8155469822881479,0.0,included
10.1002/adfm.201804128|Fig8_C_stability_performance_curve_decay|10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1,0,0,0,node_0_0,0.5407469492500956,1.0021300391283965,1.0,0.9912150001887782,0.9613083257210248,0.9226152483082595,0.8824645358886016,0.8503145331208545,0.0,included
10.1002/adfm.201807024|Fig6_D_pce|10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1,0,0,0,node_0_0,0.5701170273065421,0.9967099413295936,1.0,0.9947869322286049,0.9657309387606141,0.9269390235771462,0.8779320307477312,0.8552686737893744,0.0,included
10.1002/adfm.201807556|Fig6_A_stability_performance_curve_ff|10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2,0,0,0,node_0_0,0.5061937224121713,13.656828618271105,1.0,0.9919599506905358,0.9461861244141949,0.9082945600789489,0.8966373734567432,0.8871602032467408,0.0,included
10.1002/adfm.201807556|Fig6_A_stability_performance_curve_ff|10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1,1,0,1,node_0_1,0.16043110444863187,14.786920046362956,1.0,0.997341249341036,0.9867062467051803,0.9768863603160403,0.9670891753743075,0.9617874640375222,0.0,included
10.1002/adfm.201807556|Fig6_A_stability_performance_curve_ff|10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__TFB-controlled__Series_3,1,0,1,node_0_1,0.24948993383312504,20.293159053531998,0.9995128780471454,0.9999141277849838,0.9923574679644896,0.9778835058346281,0.9628589309778132,0.9514184414461566,7.5,included
10.1002/adfm.201807604|Fig5_A_stability|10.1002_adfm.201807604__Fig5__A__stability__AD-SnO₂__Series_1,0,0,0,node_0_0,0.4824330793806776,1.0015454534902426,1.0,0.9945498840491719,0.9638336134132782,0.9258212947921736,0.890350874969022,0.8472007466441305,0.0,included
