variant,model,n_nodes,topology,quantisation_error,n_empty_nodes,total_samples,cluster_sizes
no_smooth,n4_2x2,4,2x2,1.2847154982853353,0,1812,"[443, 188, 1103, 78]"
no_smooth,n5_1x5,5,1x5,1.0966085602430824,0,1812,"[66, 142, 888, 445, 271]"
no_smooth,n6_2x3,6,2x3,1.0217761430577175,0,1812,"[448, 142, 74, 832, 296, 20]"
no_smooth,n7_1x7,7,1x7,0.9460972435944339,0,1812,"[426, 749, 267, 121, 20, 64, 165]"
no_smooth,n8_2x4,8,2x4,0.8782027707283557,0,1812,"[392, 242, 131, 55, 583, 304, 85, 20]"
no_smooth,n9_3x3,9,3x3,0.8571079756943332,0,1812,"[291, 140, 63, 385, 235, 18, 569, 10, 101]"
no_smooth,n10_2x5,10,2x5,0.8146010415581273,0,1812,"[379, 214, 77, 16, 44, 572, 279, 142, 43, 46]"
no_smooth,n16_4x4,16,4x4,0.6928043260155611,0,1812,"[54, 28, 4, 53, 41, 18, 103, 245, 71, 53, 190, 364, 130, 138, 298, 22]"
smooth,main 2x2,4,2x2,1.284634642495829,0,1812,
smooth,n5_1x5,5,1x5,1.0965130646691466,0,1812,"[66, 142, 888, 445, 271]"
smooth,n6_2x3,6,2x3,1.021676663873154,0,1812,"[448, 142, 74, 832, 296, 20]"
smooth,n7_1x7,7,1x7,0.9459914184369772,0,1812,"[426, 749, 267, 121, 20, 64, 165]"
smooth,n8_2x4,8,2x4,0.8781003780552745,0,1812,"[392, 242, 131, 55, 583, 304, 85, 20]"
smooth,n9_3x3,9,3x3,0.8570044673447073,0,1812,"[291, 140, 63, 385, 235, 18, 569, 10, 101]"
smooth,n10_2x5,10,2x5,0.8360120527961429,0,1812,"[387, 296, 129, 63, 18, 569, 10, 245, 41, 54]"
smooth,n16_4x4,16,4x4,0.6926838749923336,0,1812,"[54, 28, 4, 53, 41, 18, 103, 245, 71, 53, 190, 364, 130, 138, 298, 22]"
