curve_id,qc_status,qc_reason,n_points_original,pce_max,doi,figure_label,series_id,unit_label
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,included,,10.0,0.9905418103999388,10.1002/adfm.201705545,Fig11_B,Series_1,days
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,included,,10.0,0.997881136915001,10.1002/adfm.201705545,Fig11_B,Series_3,days
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,included,,10.0,1.0006898017547046,10.1002/adfm.201705545,Fig11_B,Series_4,days
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,included,,10.0,0.9929423501461554,10.1002/adfm.201705545,Fig11_B,Series_2,days
x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,included,,19.0,0.9956314638447217,10.1002/adfm.201801654,Fig4_F,Series_1,days
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,included,,17.0,1.000499557576434,10.1002/adfm.201804128,Fig8_C,Series_3,days
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,included,,17.0,1.0021300391283965,10.1002/adfm.201804128,Fig8_C,Series_4,days
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,included,,17.0,0.990716668264659,10.1002/adfm.201804128,Fig8_C,Series_2,days
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,included,,18.0,1.0021300391283965,10.1002/adfm.201804128,Fig8_C,Series_1,days
x_time_day/10.1002_adfm.201807024/Fig6_D_pce/accepted/10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1.csv,excluded,"Too few unique time points (7) in [0,200]h window (data spans 76% of window)",7.0,,10.1002/adfm.201807024,Fig6_D,Series_1,days
x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,included,,15.0,13.502725241713122,10.1002/adfm.201807556,Fig6_A,Series_2,days
x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1.csv,included,,15.0,14.735552254176964,10.1002/adfm.201807556,Fig6_A,Series_1,days
x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__TFB-controlled__Series_3.csv,included,,15.0,20.28327381026425,10.1002/adfm.201807556,Fig6_A,Series_3,days
x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__AD-SnO₂__Series_1.csv,included,,17.0,0.9946931222591109,10.1002/adfm.201807604,Fig5_A,Series_1,days
x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__TA-SnO2__Series_2.csv,included,,16.0,1.0015454534902426,10.1002/adfm.201807604,Fig5_A,Series_2,days
x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/accepted/10.1002_adfm.201807850__Fig7__E__stability_performance_curve__w_o_NbF₅__Series_1.csv,excluded,"Too few unique time points (8) in [0,200]h window (data spans 81% of window)",8.0,,10.1002/adfm.201807850,Fig7_E,Series_1,days
x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__F-PEAI__Series_2.csv,included,,13.0,1.0052715843146118,10.1002/adfm.201900221,Fig5_D,Series_2,days
x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__PEAI__Series_1.csv,included,,13.0,1.0032418745498535,10.1002/adfm.201900221,Fig5_D,Series_1,days
x_time_day/10.1002_adfm.202000778/Fig6_C_stability_performance_curve/accepted/10.1002_adfm.202000778__Fig6__C__stability_performance_curve__MAPbI₃__Series_1.csv,excluded,"Too few unique time points (8) in [0,200]h window (data spans 92% of window)",8.0,,10.1002/adfm.202000778,Fig6_C,Series_1,days
x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2.csv,included,,25.0,1.0044468535310687,10.1002/adfm.202000778,Fig6_D,Series_2,days
x_time_day/10.1002_adfm.202001418/Fig6_A_stability_performance_curve_pce/accepted/10.1002_adfm.202001418__Fig6__A__stability_performance_curve_pce__T—ITO_PCgBM__Series_1.csv,included,,11.0,1.001511536120638,10.1002/adfm.202001418,Fig6_A,Series_1,days
x_time_day/10.1002_adfm.202001557/Fig4_B_pce/accepted/10.1002_adfm.202001557__Fig4__B__pce__perovskite__Series_1.csv,included,,32.0,107.0689434737301,10.1002/adfm.202001557,Fig4_B,Series_1,days
x_time_day/10.1002_adfm.202004209/Fig11_C_stability_performance_curve_pce/accepted/10.1002_adfm.202004209__Fig11__C__stability_performance_curve_pce__SnO2__Series_2.csv,excluded,"Too few unique time points (4) in [0,200]h window (data spans 92% of window)",4.0,,10.1002/adfm.202004209,Fig11_C,Series_2,days
x_time_day/10.1002_adfm.202008052/Fig7_G_decay/accepted/10.1002_adfm.202008052__Fig7__G__decay__W_MoOx__Series_2.csv,included,,13.0,1.007825524227444,10.1002/adfm.202008052,Fig7_G,Series_2,days
x_time_day/10.1002_adfm.202008052/Fig7_G_decay/accepted/10.1002_adfm.202008052__Fig7__G__decay__W_o_MoOx__Series_1.csv,included,,14.0,0.9994251330081955,10.1002/adfm.202008052,Fig7_G,Series_1,days
x_time_day/10.1002_adfm.202101568/Fig6_F_stability_performance_curve_pce/accepted/10.1002_adfm.202101568__Fig6__F__stability_performance_curve_pce__Without_HOCP__Series_2.csv,included,,12.0,17.13756203656498,10.1002/adfm.202101568,Fig6_F,Series_2,days
x_time_day/10.1002_adfm.202106560/Fig4_A_stability_performance_curve_pce/accepted/10.1002_adfm.202106560__Fig4__A__stability_performance_curve_pce__FASnl-based_perovskite_with_HTL__Series_1.csv,included,,11.0,1.0290488616126423,10.1002/adfm.202106560,Fig4_A,Series_1,days
x_time_day/10.1002_adfm.202111116/Fig5_A_stability_performance_curve/accepted/10.1002_adfm.202111116__Fig5__A__stability_performance_curve__optimized_device__Series_1.csv,excluded,"Too few unique time points (5) in [0,200]h window (data spans 82% of window)",5.0,,10.1002/adfm.202111116,Fig5_A,Series_1,days
x_time_day/10.1002_adfm.202204450/Fig1_E_stability_performance_curve_pce/accepted/10.1002_adfm.202204450__Fig1__E__stability_performance_curve_pce__Control__Series_2.csv,excluded,"Too few unique time points (7) in [0,200]h window (data spans 83% of window)",7.0,,10.1002/adfm.202204450,Fig1_E,Series_2,days
x_time_day/10.1002_adfm.202204450/Fig1_F_stability/accepted/10.1002_adfm.202204450__Fig1__F__stability__Control__Series_1.csv,included,,22.0,0.9999927697563171,10.1002/adfm.202204450,Fig1_F,Series_1,days
x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/accepted/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__Control__Series_1.csv,included,,10.0,0.9864058484308188,10.1002/adma.201606806,Fig5_A,Series_1,days
x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/accepted/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__PCBM__Series_2.csv,included,,10.0,0.9977397197831412,10.1002/adma.201606806,Fig5_A,Series_2,days
x_time_day/10.1002_adma.201700607/Fig2_F_stability_performance_curve_pce/accepted/10.1002_adma.201700607__Fig2__F__stability_performance_curve_pce__ICBA-mixture__Series_1.csv,included,,16.0,14.344181342398914,10.1002/adma.201700607,Fig2_F,Series_1,days
x_time_day/10.1002_adma.201706975/Fig4_A_stability_performance_curve/accepted/10.1002_adma.201706975__Fig4__A__stability_performance_curve__TiO2__Series_2.csv,included,,26.0,11.869175309963822,10.1002/adma.201706975,Fig4_A,Series_2,days
x_time_day/10.1002_adma.201900605/Fig5_F_stability_performance_curve_pce/accepted/10.1002_adma.201900605__Fig5__F__stability_performance_curve_pce__CsPbl__Series_2.csv,included,,14.0,0.9958575970288297,10.1002/adma.201900605,Fig5_F,Series_2,days
x_time_day/10.1002_adma.201902902/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adma.201902902__Fig6__D__stability_performance_curve_pce__1TSnO₂__Series_1.csv,included,,11.0,0.996758014034471,10.1002/adma.201902902,Fig6_D,Series_1,days
x_time_day/10.1002_adma.201907623/Fig4_D_stability_performance_curve_pce/accepted/10.1002_adma.201907623__Fig4__D__stability_performance_curve_pce__0.0%PHCI__Series_1.csv,excluded,"Too few unique time points (5) in [0,200]h window (data spans 72% of window)",5.0,,10.1002/adma.201907623,Fig4_D,Series_1,days
x_time_day/10.1002_adma.201907864/Fig1_F_stability_performance_curve_pce/accepted/10.1002_adma.201907864__Fig1__F__stability_performance_curve_pce__1%_H₂O__Series_3.csv,included,,12.0,1.0005188959643325,10.1002/adma.201907864,Fig1_F,Series_3,days
x_time_day/10.1002_adma.201907864/Fig1_F_stability_performance_curve_pce/accepted/10.1002_adma.201907864__Fig1__F__stability_performance_curve_pce__Reference__Series_2.csv,included,,12.0,1.0050737635685887,10.1002/adma.201907864,Fig1_F,Series_2,days
x_time_day/10.1002_admi.201800499/Fig6_E_stability_performance_curve_pce/accepted/10.1002_admi.201800499__Fig6__E__stability_performance_curve_pce__Without_CF_film__Series_2.csv,included,,34.0,12.454200428864617,10.1002/admi.201800499,Fig6_E,Series_2,days
