curve_id,raw_cluster_id,som_node_x,som_node_y,bmu_distance,max_pce_0_200h,pce_norm_t0,pce_norm_t10,pce_norm_t50,pce_norm_t100,pce_norm_t150,pce_norm_t200,peak_time_h,qc_status
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,0,0,0,1.5872940668647013,0.9905418103999388,0.9061592977075275,0.9086490702500347,0.9241160018636855,0.9770123569055704,0.9910304455008027,0.9658178546690271,126.66666666666667,included
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,0,0,0,3.4465455705031904,1.0004934927552012,0.8165029551257132,0.8139329996789982,0.8215311017561296,0.9293116974155924,0.9925838210326666,0.9999999999999601,189.0,included
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,0,0,0,1.7188004493470386,1.0006898017547046,0.921635056962256,0.9353318841124177,0.9864272146889645,0.9983082224437531,0.9997858571583353,0.992098821007752,117.83333333333333,included
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,0,0,0,0.841174020077576,0.9929423501461554,0.9460931965795821,0.9542203760638013,0.9993713566816621,0.9710690230602528,0.9184200158810499,0.8907327998571941,53.666666666666664,included
x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,2,1,0,1.606245848017201,1.0035646390205453,0.9992891912329906,0.9923268170778285,0.9564187204543684,0.9085505492336897,0.852348963536175,0.7997848350263963,0.0,included
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,0,0,0,1.685439471846062,1.000499557576434,0.9954432914051266,0.9889148515355934,0.9879532632641427,0.9984097631785804,0.9967406651214681,0.9951350045433481,58.0,included
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,0,0,0,0.8781549019703253,1.003760520680359,0.9999197362121376,0.9986333742672815,0.9887614028267832,0.9742740595266768,0.961411089290035,0.9512767854114847,0.0,included
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,2,1,0,1.6416819960832474,0.9988690760244715,0.9993697153674779,0.9929849856041987,0.9539435675999581,0.9045818023853669,0.8552996184600272,0.815667137672832,0.0,included
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,0,0,0,1.408988787281697,1.0021300391283965,0.9989548730822521,0.991211840987659,0.9613086188134068,0.9226027176045011,0.8824641166793449,0.8503865173031424,0.0,included
x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,0,0,0,1.2083399632349703,13.656828618271103,0.9992134442800888,0.9919442519649928,0.9461965558568964,0.9082947129589214,0.8966373734567076,0.887139119163644,0.0,included
x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1.csv,0,0,0,0.9795433959418101,14.786920046362956,0.9997053960904043,0.9973412493409964,0.9866734308862569,0.9768900309460335,0.9670891753742691,0.9617916806762539,0.0,included
x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__TFB-controlled__Series_3.csv,0,0,0,0.9503541902003078,20.293159053531998,0.9996275470691495,0.9999035629042783,0.9923778696513506,0.9778803388215478,0.9628589309777748,0.9514103973802439,7.5,included
x_time_day/10.1002_adfm.201807604/Fig5_A_stability/10.1002_adfm.201807604__Fig5__A__stability__AD-SnO₂__Series_1.csv,0,0,0,1.3352384981298469,1.0015454534902426,0.9994791731604384,0.9945302980614276,0.9637950734203354,0.9258212947921368,0.8903512425899592,0.8472781986333379,0.0,included
x_time_day/10.1002_adfm.201807604/Fig5_A_stability/10.1002_adfm.201807604__Fig5__A__stability__TA-SnO2__Series_2.csv,0,0,0,1.0353394232861628,1.0038295639006198,0.9998943396956559,0.9982544948276824,0.9854794643007793,0.9763778777665008,0.9713930065504799,0.9636055472225661,0.0,included
x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__F-PEAI__Series_2.csv,0,0,0,1.3845333099738468,1.0052715843146118,0.9999999999999601,0.9999999999999601,0.9999641562274736,0.9849537429194041,0.9793671812865322,0.9798193191270893,46.833333333333336,included
x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__PEAI__Series_1.csv,0,0,0,0.7012282665329368,1.0032418745498535,0.9997923536724632,0.9977402946535789,0.9811886268786768,0.947189067509663,0.9129021690804909,0.8968901125900841,0.0,included
x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2.csv,1,0,1,3.880399221653299,1.0044468535310687,0.9980531056169596,0.9998623668315155,0.9723552900181398,0.816424400759013,0.6002625165040972,0.33217741500828823,20.833333333333332,included
x_time_day/10.1002_adfm.202001418/Fig6_A_stability_performance_curve_pce/10.1002_adfm.202001418__Fig6__A__stability_performance_curve_pce__T—ITO_PCgBM__Series_1.csv,0,0,0,0.4763566214242174,1.001511536120638,0.9997704132159597,0.9976779934278414,0.9814902491003016,0.9584604213825718,0.9357456132847367,0.9196821452273064,0.0,included
x_time_day/10.1002_adfm.202001557/Fig4_B_pce/10.1002_adfm.202001557__Fig4__B__pce__perovskite__Series_1.csv,0,0,0,2.0568539760249536,107.06910044657677,0.9399167307588715,0.9503049112207802,0.9993606223058689,0.9449494708832423,0.8313334030839499,0.8285810164381389,49.0,included
x_time_day/10.1002_adfm.202008052/Fig7_G_decay/10.1002_adfm.202008052__Fig7__G__decay__W_MoOx__Series_2.csv,0,0,0,1.2509535004850532,1.007825524227444,0.9997002510763512,0.9976526857420224,0.9921251192226632,0.9841032727021267,0.9776858654426983,0.9722113067032773,0.0,included
x_time_day/10.1002_adfm.202008052/Fig7_G_decay/10.1002_adfm.202008052__Fig7__G__decay__W_o_MoOx__Series_1.csv,0,0,0,0.6953573037299952,0.9994251330081955,0.9996422064358678,0.9967709733528357,0.9850753998540445,0.9705078784269544,0.9543663413279478,0.9383491842144804,0.0,included
x_time_day/10.1002_adfm.202101568/Fig6_F_stability_performance_curve_pce/10.1002_adfm.202101568__Fig6__F__stability_performance_curve_pce__Without_HOCP__Series_2.csv,0,0,0,0.507019184263505,17.13756203656498,1.0000045688589554,0.9985376686097205,0.9738422544587334,0.9573509402879622,0.9536784229848446,0.934546637062346,0.0,included
x_time_day/10.1002_adfm.202106560/Fig4_A_stability_performance_curve_pce/10.1002_adfm.202106560__Fig4__A__stability_performance_curve_pce__FASnl-based_perovskite_with_HTL__Series_1.csv,0,0,0,0.8548650298979626,1.0290488616126423,0.9846385229770722,0.9882200537560513,0.9991442435045649,0.9769651023293294,0.9540570981222631,0.9373064009949891,55.5,included
x_time_day/10.1002_adfm.202204450/Fig1_F_stability/10.1002_adfm.202204450__Fig1__F__stability__Control__Series_1.csv,0,0,0,1.551993621495915,0.9999927697563171,0.9994032626250614,0.9946145457093767,0.9696706184028769,0.9292231261599441,0.8722163950304656,0.8417526503321142,0.0,included
