curve_id,top_dir,doi,figure_label,series_id,status,reason,n_original_points,pce_max_0_200h,max_x_hours,n_unique_t,t_coverage_pct,unit_label
x_time_day/10.1002_adfm.201807024/Fig6_D_pce/10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1.csv,x_time_day,10.1002/adfm.201807024,Fig6_D,Series_1,excluded,"Too few unique time points (8) in [0,200]h window (data spans 88% of window)",18,,176.8322544207487,8,88.41612721037436,days
x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/10.1002_adfm.201807850__Fig7__E__stability_performance_curve__w_o_NbF₅__Series_1.csv,x_time_day,10.1002/adfm.201807850,Fig7_E,Series_1,excluded,"Too few unique time points (9) in [0,200]h window (data spans 92% of window)",24,,184.66698424670057,9,92.33349212335028,days
x_time_day/10.1002_adfm.202000778/Fig6_C_stability_performance_curve/10.1002_adfm.202000778__Fig6__C__stability_performance_curve__MAPbI₃__Series_1.csv,x_time_day,10.1002/adfm.202000778,Fig6_C,Series_1,excluded,"Too few unique time points (8) in [0,200]h window (data spans 92% of window)",55,,184.1525941085041,8,92.07629705425205,days
x_time_day/10.1002_adfm.202004209/Fig11_C_stability_performance_curve_pce/10.1002_adfm.202004209__Fig11__C__stability_performance_curve_pce__SnO2__Series_2.csv,x_time_day,10.1002/adfm.202004209,Fig11_C,Series_2,excluded,"Too few unique time points (4) in [0,200]h window (data spans 92% of window)",12,,184.52034581023278,4,92.26017290511639,days
x_time_day/10.1002_adfm.202111116/Fig5_A_stability_performance_curve/10.1002_adfm.202111116__Fig5__A__stability_performance_curve__optimized_device__Series_1.csv,x_time_day,10.1002/adfm.202111116,Fig5_A,Series_1,excluded,"Too few unique time points (5) in [0,200]h window (data spans 82% of window)",59,,163.63995477417734,5,81.81997738708867,days
x_time_day/10.1002_adfm.202204450/Fig1_E_stability_performance_curve_pce/10.1002_adfm.202204450__Fig1__E__stability_performance_curve_pce__Control__Series_2.csv,x_time_day,10.1002/adfm.202204450,Fig1_E,Series_2,excluded,"Too few unique time points (8) in [0,200]h window (data spans 96% of window)",52,,192.76976613300155,8,96.38488306650078,days
x_time_day/10.1002_adma.201907623/Fig4_D_stability_performance_curve_pce/10.1002_adma.201907623__Fig4__D__stability_performance_curve_pce__0.0%PHCI__Series_1.csv,x_time_day,10.1002/adma.201907623,Fig4_D,Series_1,excluded,"Too few unique time points (6) in [0,200]h window (data spans 91% of window)",12,,181.11430555970296,6,90.55715277985148,days
x_time_day/10.1002_admi.201800499/Fig6_E_stability_performance_curve_pce/10.1002_admi.201800499__Fig6__E__stability_performance_curve_pce__Without_CF_film__Series_2.csv,x_time_day,10.1002/admi.201800499,Fig6_E,Series_2,excluded,Curve max time 188.5h < 200.0h (curve too short),34,,188.09973173978992,34,94.04986586989496,days
x_time_day/10.1002_advs.201700025/Fig7_whole_stability/10.1002_advs.201700025__Fig7__whole__stability__w_oBDTS-2DPP__Series_2.csv,x_time_day,10.1002/advs.201700025,Fig7,Series_2,excluded,Curve max time 165.1h < 200.0h (curve too short),79,,164.43654585817188,79,82.21827292908594,days
x_time_day/10.1002_advs.202004662/Fig5_A_stability_performance_curve_pce/10.1002_advs.202004662__Fig5__A__stability_performance_curve_pce__pristine_TiO₂__Series_2.csv,x_time_day,10.1002/advs.202004662,Fig5_A,Series_2,excluded,"Too few unique time points (3) in [0,200]h window (data spans 71% of window)",38,,141.3869963379114,3,70.6934981689557,days
