curve_id,status,reason,n_original_points,pce_max_0_200h,pce_min_normalized,max_x_hours,n_unique_t,t_coverage_pct,top_dir,doi,figure_label,series_id,unit_label
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,included,OK,58,0.9905418103999388,0.9058490391649789,186.07451051719045,11,93.03725525859522,x_time_day,10.1002/adfm.201705545,Fig11_B,Series_1,days
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,included,OK,58,1.0004934927552012,0.8090846793629335,186.07451051719045,11,93.03725525859522,x_time_day,10.1002/adfm.201705545,Fig11_B,Series_3,days
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,included,OK,57,1.0006898017547046,0.9198707139926581,186.07451051719045,11,93.03725525859522,x_time_day,10.1002/adfm.201705545,Fig11_B,Series_4,days
x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,included,OK,43,0.9929423501461554,0.8907327998572296,186.07451051719045,11,93.03725525859522,x_time_day,10.1002/adfm.201705545,Fig11_B,Series_2,days
x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,included,OK,47,1.0035646390205453,0.7998969963345981,195.11118581538935,20,97.55559290769467,x_time_day,10.1002/adfm.201801654,Fig4_F,Series_1,days
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,included,OK,46,1.000499557576434,0.9795515701228699,190.61011744435282,18,95.30505872217641,x_time_day,10.1002/adfm.201804128,Fig8_C,Series_3,days
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,included,OK,43,1.003760520680359,0.9512767854115225,190.61011744435282,18,95.30505872217641,x_time_day,10.1002/adfm.201804128,Fig8_C,Series_4,days
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,included,OK,45,0.9988690760244715,0.8156671376728645,190.61011744435282,18,95.30505872217641,x_time_day,10.1002/adfm.201804128,Fig8_C,Series_2,days
x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,included,OK,42,1.0021300391283965,0.8503865173031763,190.6101174443528,18,95.3050587221764,x_time_day,10.1002/adfm.201804128,Fig8_C,Series_1,days
x_time_day/10.1002_adfm.201807024/Fig6_D_pce/10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1.csv,excluded,"Too few unique time points (8) in [0,200]h window (data spans 88% of window)",18,,,176.8322544207487,8,88.41612721037436,x_time_day,10.1002/adfm.201807024,Fig6_D,Series_1,days
x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,included,OK,56,13.656828618271103,0.8872262132009406,195.98680082886057,16,97.99340041443028,x_time_day,10.1002/adfm.201807556,Fig6_A,Series_2,days
x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1.csv,included,OK,56,14.786920046362956,0.9613532522902053,195.98680082886054,16,97.99340041443027,x_time_day,10.1002/adfm.201807556,Fig6_A,Series_1,days
x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__TFB-controlled__Series_3.csv,included,OK,56,20.293159053531998,0.9514334819877779,195.9868008288605,16,97.99340041443025,x_time_day,10.1002/adfm.201807556,Fig6_A,Series_3,days
x_time_day/10.1002_adfm.201807604/Fig5_A_stability/10.1002_adfm.201807604__Fig5__A__stability__AD-SnO₂__Series_1.csv,included,OK,61,1.0015454534902426,0.8472781986333715,190.89569584483354,17,95.44784792241677,x_time_day,10.1002/adfm.201807604,Fig5_A,Series_1,days
x_time_day/10.1002_adfm.201807604/Fig5_A_stability/10.1002_adfm.201807604__Fig5__A__stability__TA-SnO2__Series_2.csv,included,OK,61,1.0038295639006198,0.9636055472226043,190.89569584483354,17,95.44784792241677,x_time_day,10.1002/adfm.201807604,Fig5_A,Series_2,days
x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/10.1002_adfm.201807850__Fig7__E__stability_performance_curve__w_o_NbF₅__Series_1.csv,excluded,"Too few unique time points (9) in [0,200]h window (data spans 92% of window)",24,,,184.66698424670057,9,92.33349212335028,x_time_day,10.1002/adfm.201807850,Fig7_E,Series_1,days
