curve_id,included_strict_150h,exclusion_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points_after_mean,duplicate_x_rows_aggregated_by_mean,x_min_hours_before_rezero,x_max_hours_before_rezero,duration_hours,anonymous_som_node,node_x,node_y
图片107_b2f4df4336,True,,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,图片107,samples_test__unknown__unknown__图片107__Series_1__Series_1,Time,(h),PCE,(norm.),1.0,33,0,14.493093149841345,1324.2144817280746,1309.7213885782332,2,1,0
图片107_f3230ee0e8,True,,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,图片107,samples_test__unknown__unknown__图片107__Series_2__Series_2,Time,(h),PCE,(norm.),1.0,33,0,6.307334471227364,1316.0287230494607,1309.7213885782337,2,1,0
图片115_01afabb0c0,True,,lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_1__Series_1.csv,图片115,samples_test__unknown__unknown__图片115__Series_1__Series_1,Time,(h),PCE,(norm.),1.0,30,0,18.360890874959807,1306.848615735472,1288.4877248605123,2,1,0
图片115_8cc5d1e2b8,True,,lab-v2/som_references/accepted/samples_test/图片115/accepted/samples_test__unknown__unknown__图片115__Series_2__Series_2.csv,图片115,samples_test__unknown__unknown__图片115__Series_2__Series_2,Time,(h),PCE,(norm.),1.0,31,0,5.031707514333846,1337.9500435769328,1332.9183360625989,2,1,0
图片11_803413880f,True,,lab-v2/som_references/accepted/samples_test/图片11/accepted/samples_test__unknown__unknown__图片11__Series_2__Series_2.csv,图片11,samples_test__unknown__unknown__图片11__Series_2__Series_2,Time,(h),Normalized PCE,,1.0,50,0,-0.8167830047531695,275.4154280601935,276.2322110649467,2,1,0
图片127_fae8afb771,True,,lab-v2/som_references/accepted/samples_test/图片127/accepted/samples_test__unknown__unknown__图片127__Series_3__Series_3.csv,图片127,samples_test__unknown__unknown__图片127__Series_3__Series_3,Time,(h),Normal. PCE,,1.0,37,0,0.8922392536749157,2119.0454057357892,2118.153166482114,2,1,0
图片162_d2a80a5e00,True,,lab-v2/som_references/accepted/samples_test/图片162/accepted/samples_test__unknown__unknown__图片162__Series_1__Series_1.csv,图片162,samples_test__unknown__unknown__图片162__Series_1__Series_1,Time,(h),Normal. PCE,,1.0,76,0,6.693371039119853,1483.1288503813762,1476.4354793422565,2,1,0
图片172_7ed83eec00,True,,lab-v2/som_references/accepted/samples_test/图片172/accepted/samples_test__unknown__unknown__图片172__Series_1__Series_1.csv,图片172,samples_test__unknown__unknown__图片172__Series_1__Series_1,Time (h),(h),PCE (Norm.),(Norm.),1.0,42,0,1.132740867468499,162.03470509867685,160.90196423120835,2,1,0
图片180_b28007d4ae,True,,lab-v2/som_references/accepted/samples_test/图片180/accepted/samples_test__unknown__unknown__图片180__Ctrl__Series_1.csv,图片180,samples_test__unknown__unknown__图片180__Ctrl__Series_1,Time,(h),Normalized PCE,,1.0,30,0,0.6751644366064369,199.06012913297616,198.3849646963697,2,1,0
图片183_3ad46164c8,True,,lab-v2/som_references/accepted/samples_test/图片183/accepted/samples_test__unknown__unknown__图片183__Series_2__Series_2.csv,图片183,samples_test__unknown__unknown__图片183__Series_2__Series_2,Time,h,Normalized PCE,,1.0,34,0,-0.4434319186190265,158.01611020374884,158.45954212236785,2,1,0
图片193_0c17e012f8,True,,lab-v2/som_references/accepted/samples_test/图片193/accepted/samples_test__unknown__unknown__图片193__Series_1__Series_1.csv,图片193,samples_test__unknown__unknown__图片193__Series_1__Series_1,Time,(hr),PCE,(%),1.0,40,0,-2.763894833864484,443.4409561379175,446.204850971782,2,1,0
