curve_id,included_strict_150h,exclusion_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points_after_mean,duplicate_x_rows_aggregated_by_mean,x_min_hours_before_rezero,x_max_hours_before_rezero,duration_hours,anonymous_n16_node
图片102_3dfd74212a,True,,lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Control__Series_1.csv,图片102,samples_test__unknown__unknown__图片102__Control__Series_1,Time,(h),Normalized PCE,,1.0,30,0,0.2808468239687869,213.12665721311737,212.8458103891486,10
图片102_d8c245ba7a,True,,lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Target__Series_2.csv,图片102,samples_test__unknown__unknown__图片102__Target__Series_2,Time,(h),Normalized PCE,,1.0,30,0,0.2808468239687869,213.12665721311737,212.8458103891486,2
图片103_2b72774534,True,,lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,图片103,samples_test__unknown__unknown__图片103__Control__Series_2,Time,(h),Normalized PCE,,1.0,63,0,-1.3105387035323872,1000.5625722547218,1001.8731109582542,13
图片103_bcfcaf0360,True,,lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,图片103,samples_test__unknown__unknown__图片103__。Target__Series_1,Time,(h),Normalized PCE,,1.0,65,0,-2.8759654394046663,998.9971455188496,1001.8731109582544,7
图片105_32d68f1b45,True,,lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,图片105,samples_test__unknown__unknown__图片105__Series_2__Series_2,Time,(h),Normalized PCE,,1.0,56,0,-5.193889142878078,1066.2741092307465,1071.4679983736246,3
图片105_457cd7852f,True,,lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,图片105,samples_test__unknown__unknown__图片105__Series_1__Series_1,Time,(h),Normalized PCE,,1.0,27,0,-3.2457655094714823,503.2663791762418,506.5121446857133,2
图片107_b2f4df4336,True,,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,图片107,samples_test__unknown__unknown__图片107__Series_1__Series_1,Time,(h),PCE,(norm.),1.0,33,0,14.493093149841345,1324.2144817280746,1309.7213885782332,9
图片107_f3230ee0e8,True,,lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,图片107,samples_test__unknown__unknown__图片107__Series_2__Series_2,Time,(h),PCE,(norm.),1.0,33,0,6.307334471227364,1316.0287230494607,1309.7213885782337,0
图片113_5031dc5ac2,True,,lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_1__Series_1.csv,图片113,samples_test__unknown__unknown__图片113__Series_1__Series_1,Time (h),h,Normalized PCE,,1.0,50,6,0.351036024886298,996.1977183860802,995.846682361194,15
图片113_5b5ce508bd,True,,lab-v2/som_references/accepted/samples_test/图片113/accepted/samples_test__unknown__unknown__图片113__Series_2__Series_2.csv,图片113,samples_test__unknown__unknown__图片113__Series_2__Series_2,Time (h),h,Normalized PCE,,1.0,49,0,14.577417201474788,990.100697881828,975.5232806803532,11
图片114_22f5dc923d,True,,lab-v2/som_references/accepted/samples_test/图片114/accepted/samples_test__unknown__unknown__图片114__Series_1__Series_1.csv,图片114,samples_test__unknown__unknown__图片114__Series_1__Series_1,Time,hr,Normalized PCE,,1.0,52,0,1.9695087968972729,607.7655803675857,605.7960715706885,10
