download_id,doi,title,year,open_pdf_url,landing_url,relevance_score,download_status,local_file,bytes,sha256
oa_001,10.1038/s41467-018-06204-2,In-situ cross-linking strategy for efficient and operationally stable methylammoniun lead iodide solar cells,2018,https://www.nature.com/articles/s41467-018-06204-2.pdf,https://doi.org/10.1038/s41467-018-06204-2,34,downloaded_open_pdf,07_literature/fulltext_open/oa_001__10.1038_s41467-018-06204-2.pdf,1690251,271daa2aa3d555db823f0656bd5652e974dbb911cdbf25b02f44ff09c54a31e8
oa_002,10.1126/sciadv.abg0633,Efficient and stable inverted perovskite solar cells with very high fill factors via incorporation of star-shaped polymer,2021,https://www.science.org/doi/pdf/10.1126/sciadv.abg0633?download=true,https://doi.org/10.1126/sciadv.abg0633,34,unavailable_after_curl_fallback,,0,
oa_003,10.1038/s41586-024-07705-5,Water- and heat-activated dynamic passivation for perovskite photovoltaics,2024,https://www.nature.com/articles/s41586-024-07705-5.pdf,https://doi.org/10.1038/s41586-024-07705-5,34,downloaded_open_pdf,07_literature/fulltext_open/oa_003__10.1038_s41586-024-07705-5.pdf,2708986,cf5d3bd69430904a7d7d08d29a75439761be9827efa3aa2c80e0a53a72ec32f7
oa_004,10.1002/adma.202400852,Dynamic Reversible Oxidation‐Reduction of Iodide Ions for Operationally Stable Perovskite Solar Cells under ISOS‐L‐3 Protocol,2024,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202400852,https://doi.org/10.1002/adma.202400852,33,unavailable_after_curl_fallback,,0,
oa_005,10.1038/s41467-025-55815-z,Tailoring pyridine bridged chalcogen-concave molecules for defects passivation enables efficient and stable perovskite solar cells,2025,https://www.nature.com/articles/s41467-025-55815-z.pdf,https://doi.org/10.1038/s41467-025-55815-z,33,downloaded_open_pdf,07_literature/fulltext_open/oa_005__10.1038_s41467-025-55815-z.pdf,3559781,571f89e5df0285e4d9904bfaba7b6b1e0c8e027e637062b9e0f3c26eee45f754
oa_006,10.1021/acssuschemeng.0c09015,Impact of P3HT Regioregularity and Molecular Weight on the Efficiency and Stability of Perovskite Solar Cells,2021,https://pubs.acs.org/doi/pdf/10.1021/acssuschemeng.0c09015,https://doi.org/10.1021/acssuschemeng.0c09015,33,unavailable_after_curl_fallback,,0,
oa_007,10.1039/c9ra07048f,Detecting and identifying reversible changes in perovskite solar cells by electrochemical impedance spectroscopy,2019,https://pubs.rsc.org/en/content/articlepdf/2019/ra/c9ra07048f,https://doi.org/10.1039/c9ra07048f,33,unavailable_after_curl_fallback,,0,
oa_008,10.1002/anie.202317446,Accelerated Redox Reactions Enable Stable Tin‐Lead Mixed Perovskite Solar Cells,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202317446,https://doi.org/10.1002/anie.202317446,33,unavailable_after_curl_fallback,,0,
oa_009,10.1002/ente.202000134,An Interlaboratory Study on the Stability of All‐Printable Hole Transport Material–Free Perovskite Solar Cells,2020,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ente.202000134,https://doi.org/10.1002/ente.202000134,33,unavailable_after_curl_fallback,,0,
oa_010,10.1002/aesr.202000065,Crystal Reorientation and Amorphization Induced by Stressing Efficient and Stable P–I–N Vacuum‐Processed MAPbI3 Perovskite Solar Cells,2021,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aesr.202000065,https://doi.org/10.1002/aesr.202000065,33,unavailable_after_curl_fallback,,0,
oa_011,10.1038/s41467-025-63176-w,Photo-homogenization assisted segregation easing technique (PHASET) for highly efficient and stable wide-bandgap perovskite solar cells,2025,https://www.nature.com/articles/s41467-025-63176-w.pdf,https://doi.org/10.1038/s41467-025-63176-w,33,downloaded_open_pdf,07_literature/fulltext_open/oa_011__10.1038_s41467-025-63176-w.pdf,5500875,eaca1afb3c93c15c47152414486a0326b92cd5cab02f4159cabff933b089101f
oa_012,10.1002/aenm.202000454,Perovskite Solar Cells go Outdoors: Field Testing and Temperature Effects on Energy Yield,2020,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202000454,https://doi.org/10.1002/aenm.202000454,32,unavailable_after_curl_fallback,,0,
oa_013,10.1038/s41467-023-40585-3,Stability follows efficiency based on the analysis of a large perovskite solar cells ageing dataset,2023,https://www.nature.com/articles/s41467-023-40585-3.pdf,https://doi.org/10.1038/s41467-023-40585-3,32,downloaded_open_pdf,07_literature/fulltext_open/oa_013__10.1038_s41467-023-40585-3.pdf,1005018,7602977390e78536ea7138fef8bbf9db36fa743e8ca9e0322bb5d6caf6630826
oa_014,10.1002/aenm.202501906,Seasonality in Perovskite Solar Cells: Insights from 4 Years of Outdoor Data,2025,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202501906,https://doi.org/10.1002/aenm.202501906,32,unavailable_after_curl_fallback,,0,
oa_015,10.1038/s41467-025-65341-7,Ambient blade-coated perovskite solar cells with high reverse bias stability enabled by polymeric hole transporter design,2025,https://www.nature.com/articles/s41467-025-65341-7.pdf,https://doi.org/10.1038/s41467-025-65341-7,32,downloaded_open_pdf,07_literature/fulltext_open/oa_015__10.1038_s41467-025-65341-7.pdf,1847401,013b7412bf11de88c8a8fd2984b721dbdbfa333c84dc3216de642590c072e6bf
oa_016,10.1063/1.5086125,In situ investigation of light soaking in organolead halide perovskite films,2019,https://aip.scitation.org/doi/pdf/10.1063/1.5086125,https://doi.org/10.1063/1.5086125,31,unavailable_after_curl_fallback,,0,
oa_017,10.1002/ange.202317446,Accelerated Redox Reactions Enable Stable Tin‐Lead Mixed Perovskite Solar Cells,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ange.202317446,https://doi.org/10.1002/ange.202317446,31,unavailable_after_curl_fallback,,0,
oa_018,10.1038/s41598-023-33473-9,Self-healing perovskite solar cells based on copolymer-templated TiO2 electron transport layer,2023,https://www.nature.com/articles/s41598-023-33473-9.pdf,https://doi.org/10.1038/s41598-023-33473-9,30,downloaded_open_pdf,07_literature/fulltext_open/oa_018__10.1038_s41598-023-33473-9.pdf,3876436,580c1265ab62709181860aa38c041098e0cb7e6760c95e23f5c95e0c5d2c5182
oa_019,10.1002/aenm.202403850,"Ion Migration in Mesoscopic Perovskite Solar Cells: Effects on Electroluminescence, Open Circuit Voltage, and Photovoltaic Quantum Efficiency",2024,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202403850,https://doi.org/10.1002/aenm.202403850,30,unavailable_after_curl_fallback,,0,
oa_020,10.1002/aenm.202403844,Seasonal Effects on Outdoor Stability of Perovskite Solar Cells,2024,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202403844,https://doi.org/10.1002/aenm.202403844,30,unavailable_after_curl_fallback,,0,
oa_021,10.1039/c5ee03874j,"Cesium-containing triple cation perovskite solar cells: improved stability, reproducibility and high efficiency",2016,https://pubs.rsc.org/en/content/articlepdf/2016/ee/c5ee03874j,https://doi.org/10.1039/c5ee03874j,28,unavailable_after_curl_fallback,,0,
oa_022,10.1126/sciadv.aaw2543,Ultrahydrophobic 3D/2D fluoroarene bilayer-based water-resistant perovskite solar cells with efficiencies exceeding 22%,2019,https://advances.sciencemag.org/content/advances/5/6/eaaw2543.full.pdf,https://doi.org/10.1126/sciadv.aaw2543,28,unavailable_after_curl_fallback,,0,
oa_023,10.1038/s41467-020-15338-1,Regulating strain in perovskite thin films through charge-transport layers,2020,https://www.nature.com/articles/s41467-020-15338-1.pdf,https://doi.org/10.1038/s41467-020-15338-1,28,downloaded_open_pdf,07_literature/fulltext_open/oa_023__10.1038_s41467-020-15338-1.pdf,1998969,ab25f6b6b001e6b133e646b7b7b7046aa56f216a0f7efca14992852b3285ca26
oa_024,10.1126/sciadv.1701293,Enhanced photovoltaic performance and stability with a new type of hollow 3D perovskite {en}FASnI 3,2017,https://advances.sciencemag.org/content/advances/3/8/e1701293.full.pdf,https://doi.org/10.1126/sciadv.1701293,28,unavailable_after_curl_fallback,,0,
oa_025,10.1038/s41598-017-04690-w,Investigation of Thermally Induced Degradation in CH3NH3PbI3 Perovskite Solar Cells using In-situ Synchrotron Radiation Analysis,2017,https://www.nature.com/articles/s41598-017-04690-w.pdf,https://doi.org/10.1038/s41598-017-04690-w,28,downloaded_open_pdf,07_literature/fulltext_open/oa_025__10.1038_s41598-017-04690-w.pdf,3097231,7fe09ebe48839e874a94c4a21ba71e557f0efaabb16dec096896bce4361dc2b5
oa_026,10.1038/s41467-019-13998-2,Efficient lateral-structure perovskite single crystal solar cells with high operational stability,2020,https://www.nature.com/articles/s41467-019-13998-2.pdf,https://doi.org/10.1038/s41467-019-13998-2,28,downloaded_open_pdf,07_literature/fulltext_open/oa_026__10.1038_s41467-019-13998-2.pdf,1328969,7ac21e08793aec0764c25f1f89ec8c739c6c2b33ec7ec6dbbd093974ccd15c0e
oa_027,10.1002/adfm.201806779,Scalable Fabrication of Stable High Efficiency Perovskite Solar Cells and Modules Utilizing Room Temperature Sputtered SnO2 Electron Transport Layer,2018,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.201806779,https://doi.org/10.1002/adfm.201806779,28,unavailable_after_curl_fallback,,0,
oa_028,10.1038/ncomms12446,Defective TiO2 with high photoconductive gain for efficient and stable planar heterojunction perovskite solar cells,2016,https://www.nature.com/articles/ncomms12446.pdf,https://doi.org/10.1038/ncomms12446,28,downloaded_open_pdf,07_literature/fulltext_open/oa_028__10.1038_ncomms12446.pdf,823329,f0661d877edeb92a01f5d6d977e1aee6e3f8c09cb2bb2ba4a072aea9ba9a0b8a
oa_029,10.1038/s41467-023-43016-5,Heterojunction formed via 3D-to-2D perovskite conversion for photostable wide-bandgap perovskite solar cells,2023,https://www.nature.com/articles/s41467-023-43016-5.pdf,https://doi.org/10.1038/s41467-023-43016-5,28,downloaded_open_pdf,07_literature/fulltext_open/oa_029__10.1038_s41467-023-43016-5.pdf,2176334,acbec59c38024032b4090d4b508c2c2189cd9162e2b921972519c36c0f16248b
oa_030,10.1002/adfm.202208793,Versatile Hole Selective Molecules Containing a Series of Heteroatoms as Self‐Assembled Monolayers for Efficient p‐i‐n Perovskite and Organic Solar Cells,2022,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adfm.202208793,https://doi.org/10.1002/adfm.202208793,28,unavailable_after_curl_fallback,,0,
oa_031,10.1002/aenm.202204115,Enhancing Photostability of Sn‐Pb Perovskite Solar Cells by an Alkylammonium Pseudo‐Halogen Additive,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202204115,https://doi.org/10.1002/aenm.202204115,28,unavailable_after_curl_fallback,,0,
oa_032,10.1038/s41467-018-06317-8,Gas-solid reaction based over one-micrometer thick stable perovskite films for efficient solar cells and modules,2018,https://www.nature.com/articles/s41467-018-06317-8.pdf,https://doi.org/10.1038/s41467-018-06317-8,28,downloaded_open_pdf,07_literature/fulltext_open/oa_032__10.1038_s41467-018-06317-8.pdf,3329888,effe0eefe434e7ea6223c6471e6e28d784141031a9d6ffeb935cd3a778b91acb
oa_033,10.1002/aenm.202003712,Scalable Fabrication of >90 cm2 Perovskite Solar Modules with >1000 h Operational Stability Based on the Intermediate Phase Strategy,2021,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202003712,https://doi.org/10.1002/aenm.202003712,28,unavailable_after_curl_fallback,,0,
