download_id,doi,title,year,open_pdf_url,landing_url,relevance_score
oa_001,10.1038/s41467-018-06204-2,In-situ cross-linking strategy for efficient and operationally stable methylammoniun lead iodide solar cells,2018,https://www.nature.com/articles/s41467-018-06204-2.pdf,https://doi.org/10.1038/s41467-018-06204-2,34
oa_002,10.1126/sciadv.abg0633,Efficient and stable inverted perovskite solar cells with very high fill factors via incorporation of star-shaped polymer,2021,https://www.science.org/doi/pdf/10.1126/sciadv.abg0633?download=true,https://doi.org/10.1126/sciadv.abg0633,34
oa_003,10.1038/s41586-024-07705-5,Water- and heat-activated dynamic passivation for perovskite photovoltaics,2024,https://www.nature.com/articles/s41586-024-07705-5.pdf,https://doi.org/10.1038/s41586-024-07705-5,34
oa_004,10.1002/adma.202400852,Dynamic Reversible Oxidation‐Reduction of Iodide Ions for Operationally Stable Perovskite Solar Cells under ISOS‐L‐3 Protocol,2024,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202400852,https://doi.org/10.1002/adma.202400852,33
oa_005,10.1038/s41467-025-55815-z,Tailoring pyridine bridged chalcogen-concave molecules for defects passivation enables efficient and stable perovskite solar cells,2025,https://www.nature.com/articles/s41467-025-55815-z.pdf,https://doi.org/10.1038/s41467-025-55815-z,33
oa_006,10.1021/acssuschemeng.0c09015,Impact of P3HT Regioregularity and Molecular Weight on the Efficiency and Stability of Perovskite Solar Cells,2021,https://pubs.acs.org/doi/pdf/10.1021/acssuschemeng.0c09015,https://doi.org/10.1021/acssuschemeng.0c09015,33
oa_007,10.1039/c9ra07048f,Detecting and identifying reversible changes in perovskite solar cells by electrochemical impedance spectroscopy,2019,https://pubs.rsc.org/en/content/articlepdf/2019/ra/c9ra07048f,https://doi.org/10.1039/c9ra07048f,33
oa_008,10.1002/anie.202317446,Accelerated Redox Reactions Enable Stable Tin‐Lead Mixed Perovskite Solar Cells,2023,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/anie.202317446,https://doi.org/10.1002/anie.202317446,33
oa_009,10.1002/ente.202000134,An Interlaboratory Study on the Stability of All‐Printable Hole Transport Material–Free Perovskite Solar Cells,2020,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ente.202000134,https://doi.org/10.1002/ente.202000134,33
oa_010,10.1002/aesr.202000065,Crystal Reorientation and Amorphization Induced by Stressing Efficient and Stable P–I–N Vacuum‐Processed MAPbI3 Perovskite Solar Cells,2021,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aesr.202000065,https://doi.org/10.1002/aesr.202000065,33
oa_011,10.1038/s41467-025-63176-w,Photo-homogenization assisted segregation easing technique (PHASET) for highly efficient and stable wide-bandgap perovskite solar cells,2025,https://www.nature.com/articles/s41467-025-63176-w.pdf,https://doi.org/10.1038/s41467-025-63176-w,33
oa_012,10.1002/aenm.202000454,Perovskite Solar Cells go Outdoors: Field Testing and Temperature Effects on Energy Yield,2020,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202000454,https://doi.org/10.1002/aenm.202000454,32
oa_013,10.1038/s41467-023-40585-3,Stability follows efficiency based on the analysis of a large perovskite solar cells ageing dataset,2023,https://www.nature.com/articles/s41467-023-40585-3.pdf,https://doi.org/10.1038/s41467-023-40585-3,32
oa_014,10.1002/aenm.202501906,Seasonality in Perovskite Solar Cells: Insights from 4 Years of Outdoor Data,2025,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202501906,https://doi.org/10.1002/aenm.202501906,32
