sample,curve_id,csv_path,window_hours,included,reason,duration_hours,first_global_max_time_hours,raw_points
图片1,图片1_a34efe3721,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_1__Series_1.csv,300,False,axis_or_csv:non_time_cycle,,,64
图片1,图片1_897fa4e02c,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片1/accepted/samples_test__unknown__unknown__图片1__Series_2__Series_2.csv,300,False,axis_or_csv:non_time_cycle,,,64
图片102,图片102_ad8854cfa8,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Control__Series_1.csv,300,False,shorter_than_window,212.8458103891486,,30
图片102,图片102_0574c0aefb,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片102/accepted/samples_test__unknown__unknown__图片102__Target__Series_2.csv,300,False,shorter_than_window,212.8458103891486,,30
图片103,图片103_b49966b933,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__Control__Series_2.csv,300,True,included,1001.8731109582542,0.0,63
图片103,图片103_e647eaafac,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片103/accepted/samples_test__unknown__unknown__图片103__。Target__Series_1.csv,300,True,included,1001.8731109582542,0.0,65
图片105,图片105_a0f739dd1e,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_1__Series_1.csv,300,True,included,506.5121446857133,38.96247266813177,27
图片105,图片105_dccad548c1,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片105/accepted/samples_test__unknown__unknown__图片105__Series_2__Series_2.csv,300,True,included,1071.4679983736244,97.40618167032949,56
图片107,图片107_bce0588e91,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_1__Series_1.csv,300,True,included,1309.7213885782332,0.0,33
图片107,图片107_b88bf7baa8,/Users/shunhao/Desktop/ML/lab-v2/som_references/accepted/samples_test/图片107/accepted/samples_test__unknown__unknown__图片107__Series_2__Series_2.csv,300,True,included,1309.7213885782335,0.0,33
