window_hours,n_curves,n_time_points,requested_clusters,occupied_clusters,grid_x,grid_y,sigma,learning_rate,iterations,seed,quantization_error,topographic_error,cluster_sizes,elapsed_seconds,selection_note
150,103,900,2,2,1,2,0.3,0.1,50000,42,0.9175331746703339,0.0,"[26, 77]",0.625838041305542,IFO morphology not used in fitting or selection
150,103,900,3,3,1,3,0.3,0.1,50000,42,0.7538800097126687,0.7475728155339806,"[24, 23, 56]",0.6954841613769531,IFO morphology not used in fitting or selection
150,103,900,4,4,2,2,0.3,0.1,50000,42,0.5423648533725178,0.0,"[49, 4, 22, 28]",0.771888017654419,IFO morphology not used in fitting or selection
150,103,900,5,5,1,5,0.3,0.1,50000,42,0.49623493980707595,0.14563106796116504,"[8, 21, 4, 46, 24]",0.838688850402832,IFO morphology not used in fitting or selection
150,103,900,6,6,2,3,0.3,0.1,50000,42,0.45709059809527125,0.0,"[7, 22, 15, 21, 4, 34]",0.9165120124816895,IFO morphology not used in fitting or selection
150,103,900,7,7,1,7,0.3,0.1,50000,42,0.43427505563323704,0.8155339805825242,"[34, 12, 21, 6, 15, 11, 4]",0.9998700618743896,IFO morphology not used in fitting or selection
150,103,900,8,8,2,4,0.3,0.1,50000,42,0.3787452993244597,0.44660194174757284,"[29, 4, 15, 7, 5, 5, 16, 22]",1.0498430728912354,IFO morphology not used in fitting or selection
150,103,900,9,9,3,3,0.3,0.1,50000,42,0.402141283741064,0.24271844660194175,"[22, 5, 12, 11, 6, 21, 11, 11, 4]",1.1524789333343506,IFO morphology not used in fitting or selection
150,103,900,10,10,2,5,0.3,0.1,50000,42,0.3862760292398345,0.8543689320388349,"[13, 6, 22, 4, 21, 3, 5, 11, 7, 11]",1.2061572074890137,IFO morphology not used in fitting or selection
300,94,1800,2,2,1,2,0.3,0.1,50000,42,1.5475313777577848,0.0,"[75, 19]",0.7617168426513672,IFO morphology not used in fitting or selection
300,94,1800,3,3,1,3,0.3,0.1,50000,42,1.3683336829664372,0.0,"[74, 18, 2]",0.9072110652923584,IFO morphology not used in fitting or selection
300,94,1800,4,4,2,2,0.3,0.1,50000,42,0.9471170752010587,0.0,"[17, 18, 39, 20]",1.0729320049285889,IFO morphology not used in fitting or selection
300,94,1800,5,5,1,5,0.3,0.1,50000,42,0.7947057103619537,0.19148936170212766,"[2, 16, 39, 20, 17]",1.2098100185394287,IFO morphology not used in fitting or selection
300,94,1800,6,6,2,3,0.3,0.1,50000,42,0.7452048101969984,0.6808510638297872,"[33, 2, 16, 9, 14, 20]",1.3440089225769043,IFO morphology not used in fitting or selection
300,94,1800,7,7,1,7,0.3,0.1,50000,42,0.7344847929235969,0.574468085106383,"[2, 8, 31, 16, 2, 15, 20]",1.4677739143371582,IFO morphology not used in fitting or selection
300,94,1800,8,8,2,4,0.3,0.1,50000,42,0.6809402261728316,0.2872340425531915,"[6, 16, 10, 16, 26, 5, 2, 13]",1.5148451328277588,IFO morphology not used in fitting or selection
300,94,1800,9,9,3,3,0.3,0.1,50000,42,0.672341342981083,0.5957446808510638,"[5, 12, 8, 5, 2, 21, 12, 13, 16]",1.6140468120574951,IFO morphology not used in fitting or selection
300,94,1800,10,10,2,5,0.3,0.1,50000,42,0.6365516338116473,0.8297872340425532,"[6, 3, 14, 2, 20, 11, 16, 10, 4, 8]",1.7662909030914307,IFO morphology not used in fitting or selection
500,86,3000,2,2,1,2,0.3,0.1,50000,42,2.14994362681853,0.0,"[24, 62]",0.9671359062194824,IFO morphology not used in fitting or selection
500,86,3000,3,3,1,3,0.3,0.1,50000,42,1.6928855909680187,0.0,"[14, 15, 57]",1.2070560455322266,IFO morphology not used in fitting or selection
500,86,3000,4,4,2,2,0.3,0.1,50000,42,1.3886802053114289,0.0,"[42, 13, 19, 12]",1.4162838459014893,IFO morphology not used in fitting or selection
500,86,3000,5,5,1,5,0.3,0.1,50000,42,1.297780957476063,1.0,"[16, 12, 35, 12, 11]",1.6269140243530273,IFO morphology not used in fitting or selection
500,86,3000,6,6,2,3,0.3,0.1,50000,42,1.103830145680142,0.11627906976744186,"[3, 15, 35, 12, 11, 10]",1.7197418212890625,IFO morphology not used in fitting or selection
500,86,3000,7,7,1,7,0.3,0.1,50000,42,1.1877385216937346,0.3953488372093023,"[14, 18, 12, 13, 12, 5, 12]",1.9600379467010498,IFO morphology not used in fitting or selection
500,86,3000,8,8,2,4,0.3,0.1,50000,42,0.9935251113997775,0.29069767441860467,"[6, 8, 11, 3, 12, 10, 22, 14]",2.163311004638672,IFO morphology not used in fitting or selection
500,86,3000,9,9,3,3,0.3,0.1,50000,42,0.9661296244073013,0.6046511627906976,"[9, 11, 8, 8, 11, 13, 9, 3, 14]",2.3001270294189453,IFO morphology not used in fitting or selection
500,86,3000,10,10,2,5,0.3,0.1,50000,42,0.8450034382062704,0.5813953488372093,"[2, 16, 8, 5, 4, 4, 1, 9, 28, 9]",2.6035451889038086,IFO morphology not used in fitting or selection
