window_hours,n_curves,n_time_points,requested_clusters,occupied_clusters,grid_x,grid_y,sigma,learning_rate,iterations,seed,quantization_error,topographic_error,cluster_sizes,elapsed_seconds,selection_note
150,103,900,2,2,1,2,0.5,0.1,50000,42,0.917533158111676,0.0,"[26, 77]",0.6210818290710449,IFO morphology not used in fitting or selection
150,103,900,3,3,1,3,0.5,0.1,50000,42,0.7582195026001908,0.9029126213592233,"[23, 4, 76]",0.6953270435333252,IFO morphology not used in fitting or selection
150,103,900,4,4,2,2,0.5,0.1,50000,42,0.5423648667375509,0.0,"[49, 4, 28, 22]",0.7723913192749023,IFO morphology not used in fitting or selection
150,103,900,5,5,1,5,0.5,0.1,50000,42,0.49623494070448393,0.9320388349514563,"[24, 21, 4, 8, 46]",0.8405919075012207,IFO morphology not used in fitting or selection
150,103,900,6,6,2,3,0.5,0.1,50000,42,0.4312554497935813,0.0,"[17, 13, 44, 5, 4, 20]",0.9137811660766602,IFO morphology not used in fitting or selection
150,103,900,7,7,1,7,0.5,0.1,50000,42,0.41803234017207497,0.8155339805825242,"[44, 11, 5, 17, 20, 2, 4]",0.9874861240386963,IFO morphology not used in fitting or selection
150,103,900,8,8,2,4,0.5,0.1,50000,42,0.4248998584293148,0.0970873786407767,"[19, 11, 31, 11, 4, 5, 7, 15]",1.069857120513916,IFO morphology not used in fitting or selection
150,103,900,9,9,3,3,0.5,0.1,50000,42,0.368473419502373,0.2524271844660194,"[34, 12, 16, 15, 6, 5, 9, 2, 4]",1.1436538696289062,IFO morphology not used in fitting or selection
150,103,900,10,10,2,5,0.5,0.1,50000,42,0.3523572254996116,0.6116504854368932,"[15, 2, 5, 4, 3, 14, 3, 16, 7, 34]",1.2093479633331299,IFO morphology not used in fitting or selection
300,94,1800,2,2,1,2,0.5,0.1,50000,42,1.5475313536304467,0.0,"[75, 19]",0.7631030082702637,IFO morphology not used in fitting or selection
300,94,1800,3,3,1,3,0.5,0.1,50000,42,1.0724159680095717,0.0,"[53, 23, 18]",0.9063050746917725,IFO morphology not used in fitting or selection
300,94,1800,4,4,2,2,0.5,0.1,50000,42,0.9572733780060666,0.0,"[17, 18, 43, 16]",1.0618228912353516,IFO morphology not used in fitting or selection
300,94,1800,5,5,1,5,0.5,0.1,50000,42,0.8048620202893625,0.40425531914893614,"[2, 16, 16, 43, 17]",1.1192541122436523,IFO morphology not used in fitting or selection
300,94,1800,6,6,2,3,0.5,0.1,50000,42,0.7491877873428477,0.0,"[20, 2, 16, 34, 13, 9]",1.3463821411132812,IFO morphology not used in fitting or selection
300,94,1800,7,7,1,7,0.5,0.1,50000,42,0.7084479559825777,0.5531914893617021,"[14, 32, 13, 3, 2, 16, 14]",1.3933830261230469,IFO morphology not used in fitting or selection
300,94,1800,8,8,2,4,0.5,0.1,50000,42,0.6502608573780467,0.010638297872340425,"[32, 12, 2, 7, 14, 15, 2, 10]",1.5337097644805908,IFO morphology not used in fitting or selection
300,94,1800,9,9,3,3,0.5,0.1,50000,42,0.6354391574568657,0.4574468085106383,"[32, 10, 16, 9, 2, 3, 7, 11, 4]",1.6959290504455566,IFO morphology not used in fitting or selection
300,94,1800,10,10,2,5,0.5,0.1,50000,42,0.6011002240329696,0.0,"[11, 8, 4, 2, 5, 28, 11, 13, 4, 8]",1.7244501113891602,IFO morphology not used in fitting or selection
500,86,3000,2,2,1,2,0.5,0.1,50000,42,2.149943624882955,0.0,"[24, 62]",1.0952460765838623,IFO morphology not used in fitting or selection
500,86,3000,3,3,1,3,0.5,0.1,50000,42,1.6675158610921592,0.0,"[16, 18, 52]",1.2198619842529297,IFO morphology not used in fitting or selection
500,86,3000,4,4,2,2,0.5,0.1,50000,42,1.3886801906924175,0.0,"[42, 13, 19, 12]",1.4130840301513672,IFO morphology not used in fitting or selection
500,86,3000,5,5,1,5,0.5,0.1,50000,42,1.2001279619186942,0.12790697674418605,"[41, 19, 10, 4, 12]",1.7790589332580566,IFO morphology not used in fitting or selection
500,86,3000,6,6,2,3,0.5,0.1,50000,42,1.220982518299166,0.0,"[12, 14, 26, 11, 6, 17]",1.8552188873291016,IFO morphology not used in fitting or selection
500,86,3000,7,7,1,7,0.5,0.1,50000,42,1.1991832738349308,0.20930232558139536,"[14, 7, 25, 11, 8, 9, 12]",2.0612969398498535,IFO morphology not used in fitting or selection
500,86,3000,8,8,2,4,0.5,0.1,50000,42,0.9787936271661124,0.3372093023255814,"[9, 8, 4, 4, 12, 16, 26, 7]",2.2410378456115723,IFO morphology not used in fitting or selection
500,86,3000,9,9,3,3,0.5,0.1,50000,42,0.9568274315532853,0.3488372093023256,"[7, 25, 11, 7, 7, 6, 7, 4, 12]",2.3266119956970215,IFO morphology not used in fitting or selection
500,86,3000,10,10,2,5,0.5,0.1,50000,42,0.8877206824881647,0.36046511627906974,"[4, 4, 8, 7, 8, 10, 3, 11, 25, 6]",2.582962989807129,IFO morphology not used in fitting or selection
