window_hours,requested_clusters,grid_x,grid_y,seed,quantization_error,topographic_error,occupied_clusters,minimum_cluster_size,maximum_cluster_size,elapsed_seconds
150,2,1,2,7,0.917533158111676,0.0,2,26,77,0.6481900215148926
150,2,1,2,19,0.917533158111676,0.0,2,26,77,0.6372251510620117
150,2,1,2,42,0.917533158111676,0.0,2,26,77,0.6936602592468262
150,2,1,2,73,0.917533158111676,0.0,2,26,77,0.6209859848022461
150,2,1,2,101,0.917533158111676,0.0,2,26,77,0.6365711688995361
150,3,1,3,7,0.7661322746658253,0.0,3,19,61,0.7071518898010254
150,3,1,3,19,0.7661322746658253,0.0,3,19,61,0.7146129608154297
150,3,1,3,42,0.7582195026001908,0.9029126213592233,3,4,76,0.7231490612030029
150,3,1,3,73,0.7661322746658253,0.0,3,19,61,0.7058827877044678
150,3,1,3,101,0.7661322746658253,0.0,3,19,61,0.701650857925415
150,4,2,2,7,0.5423648614266462,0.0,4,4,49,0.8076150417327881
150,4,2,2,19,0.5423648614266462,0.0,4,4,49,0.7773160934448242
150,4,2,2,42,0.5423648667375509,0.0,4,4,49,0.770399808883667
150,4,2,2,73,0.5423648667375509,0.0,4,4,49,0.9190471172332764
150,4,2,2,101,0.5423648667375509,0.0,4,4,49,0.7785120010375977
150,5,1,5,7,0.49623494068627727,0.18446601941747573,5,4,46,0.8509681224822998
150,5,1,5,19,0.496234939952002,0.14563106796116504,5,4,46,0.8335051536560059
150,5,1,5,42,0.49623494070448393,0.9320388349514563,5,4,46,1.0076088905334473
150,5,1,5,73,0.49623494070448393,0.9320388349514563,5,4,46,0.842108964920044
150,5,1,5,101,0.49623494098548204,0.3300970873786408,5,4,46,0.8329470157623291
150,6,2,3,7,0.46345657365187753,0.0,6,4,39,0.9053561687469482
150,6,2,3,19,0.46423566852570924,0.06796116504854369,6,4,42,0.9105298519134521
150,6,2,3,42,0.4312554497935813,0.0,6,4,44,0.9000561237335205
150,6,2,3,73,0.4312554497935813,0.0,6,4,44,0.924821138381958
150,6,2,3,101,0.46345657365187753,0.0,6,4,39,0.9086980819702148
150,7,1,7,7,0.4378509212689721,0.32038834951456313,7,4,34,0.9781219959259033
150,7,1,7,19,0.43840063277605174,0.17475728155339806,7,4,34,0.979964017868042
150,7,1,7,42,0.41803234017207497,0.8155339805825242,7,2,44,0.9715418815612793
150,7,1,7,73,0.40045619506673213,0.11650485436893204,7,4,34,0.9906680583953857
150,7,1,7,101,0.4004561967555833,0.42718446601941745,7,4,34,0.9763069152832031
150,8,2,4,7,0.37689612715876736,0.0,8,4,34,1.0570809841156006
150,8,2,4,19,0.3815946260652461,0.0,8,4,34,1.0606410503387451
150,8,2,4,42,0.4248998584293148,0.0970873786407767,8,4,31,1.0572450160980225
150,8,2,4,73,0.38115839729044687,0.0,8,4,34,1.054837703704834
150,8,2,4,101,0.4006715850306503,0.06796116504854369,8,2,42,1.0594000816345215
150,9,3,3,7,0.3685719312233266,0.10679611650485436,9,2,34,1.1386642456054688
150,9,3,3,19,0.3626838110138248,0.27184466019417475,9,3,34,1.1374118328094482
150,9,3,3,42,0.368473419502373,0.2524271844660194,9,2,34,1.1304187774658203
150,9,3,3,73,0.37841287769892507,0.05825242718446602,9,2,34,1.1418240070343018
150,9,3,3,101,0.36699189842144814,0.14563106796116504,9,3,34,1.1373388767242432
150,10,2,5,7,0.3416685102045006,0.04854368932038835,10,2,34,1.2019879817962646
150,10,2,5,19,0.3468855305107703,0.0,10,4,25,1.202693223953247
150,10,2,5,42,0.3523572254996116,0.6116504854368932,10,2,34,1.195887804031372
150,10,2,5,73,0.35245331514031203,0.019417475728155338,10,3,31,1.2008910179138184
150,10,2,5,101,0.351872830914373,0.32038834951456313,10,2,34,1.20060396194458
300,2,1,2,7,1.5475313536304467,0.0,2,19,75,0.7707259654998779
300,2,1,2,19,1.5475313536304467,0.0,2,19,75,0.7472021579742432
