pdf_file,page_count,term,pages_one_based
10.1002_adma.202110239.pdf,11,light-soaking,1;4;8;9;10
10.1002_adma.202110239.pdf,11,light soaking,2
10.1002_adma.202110239.pdf,11,recovery,2;4;5;6;9
10.1002_adma.202110239.pdf,11,dark,1;2;4;5;6;9
10.1002_aenm.202304452.pdf,10,PCE,1;2;3;9
10.1002_aenm.202304452.pdf,10,light-soaking,1;2;4;7;8;9
10.1002_aenm.202304452.pdf,10,recovery,1;2;4;9
10.1002_aenm.202304452.pdf,10,maximum power point,2;3;4
10.1002_aenm.202501906.pdf,10,PCE,1;2;3;5;6;7;8
10.1002_aenm.202501906.pdf,10,light-soaking,1;3;7;8
10.1002_aenm.202501906.pdf,10,light soaking,2
10.1002_aenm.202501906.pdf,10,recovery,7
10.1002_aenm.202501906.pdf,10,maximum power point,1;3
10.1002_aenm.202501906.pdf,10,dark,4;7;8
10.1021_acsaem.1c00588.pdf,21,PCE,3;4;7;11
10.1021_acsaem.1c00588.pdf,21,light-soaking,8;19
10.1021_acsaem.1c00588.pdf,21,light soaking,4;8
10.1021_acsaem.1c00588.pdf,21,recovery,1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;18
10.1021_acsaem.1c00588.pdf,21,dark,2;3;4;5;6;7;8;9;11;12;15;16
10.1038_s41467-022-35400-4.pdf,10,PCE,1;2;3;7
10.1038_s41467-022-35400-4.pdf,10,light soaking,2
10.1038_s41467-022-35400-4.pdf,10,burn-in,2;3
10.1038_s41467-022-35400-4.pdf,10,dark,2;3
10.1038_s41467-023-40585-3.pdf,7,PCE,1;2;3;4;5
10.1038_s41467-023-40585-3.pdf,7,degradation curve,1;2;4;5
10.1038_s41467-023-40585-3.pdf,7,clustering,4;5;6
10.1038_s41467-023-40585-3.pdf,7,self-organizing map,6
10.1038_s41467-023-40585-3.pdf,7,recovery,6
10.1038_s41467-023-40585-3.pdf,7,burn-in,1;2
10.1038_s41467-023-40585-3.pdf,7,maximum power point,1;2;6
10.1038_s41467-023-40585-3.pdf,7,MPPT,1;2;3;4;5;6
10.1038_s41560-023-01421-6.pdf,14,PCE,1;2;5;6;7;8
10.1038_s41560-023-01421-6.pdf,14,light-soaking,2;3;8;9;10
10.1038_s41560-023-01421-6.pdf,14,light soaking,1;2;3;7
10.1038_s41560-023-01421-6.pdf,14,burn-in,7;8
10.1038_s41560-023-01421-6.pdf,14,maximum power point,2;5;6;7;9
10.1038_s41560-023-01421-6.pdf,14,MPPT,5;6;7;8;9
10.1038_s41560-023-01421-6.pdf,14,dark,4;6;9
10.1038_s41560-024-01487-w.pdf,16,PCE,2;3;4;5;6;7
10.1038_s41560-024-01487-w.pdf,16,light soaking,12
10.1038_s41560-024-01487-w.pdf,16,maximum power point,2
10.1038_s41560-024-01487-w.pdf,16,dark,6;7;8;9;10
10.1038_s41586-024-08161-x.pdf,19,PCE,2;3;4;5;6;7;11;12;17;18
10.1038_s41586-024-08161-x.pdf,19,recovery,1;2;3;5
10.1038_s41586-024-08161-x.pdf,19,maximum power point,10
10.1038_s41586-024-08161-x.pdf,19,dark,1;2;3;4;5;6;9
10.1149_2162-8777_ac6f1d.pdf,11,PCE,2
10.1149_2162-8777_ac6f1d.pdf,11,light-soaking,3;5;10;11
10.1149_2162-8777_ac6f1d.pdf,11,recovery,2;10
10.1149_2162-8777_ac6f1d.pdf,11,maximum power point,2;5;8;10
10.1149_2162-8777_ac6f1d.pdf,11,MPPT,2;3;5;6;7;8;9;10;11
10.1149_2162-8777_ac6f1d.pdf,11,dark,3;5;10;11
10.3389_fenrg.2023.1118654.pdf,11,PCE,1;2;3;5;6;7;9;10
10.3389_fenrg.2023.1118654.pdf,11,degradation curve,2
10.3389_fenrg.2023.1118654.pdf,11,burn-in,6;7
10.3389_fenrg.2023.1118654.pdf,11,maximum power point,11
10.3389_fenrg.2023.1118654.pdf,11,dark,5;7;8
