doi,title,publication_year,publication_date,journal,authors,review_category,screening_decision,screening_rationale,is_open_access,oa_status,oa_url,primary_landing_page,primary_pdf_url,openalex_id,cited_by_count
10.3390/asi9060116,On the Sufficiency of Direct Regression for Perovskite Solar Cell Degradation Forecasting,2026,,Applied System Innovation,,frontier_forecasting,include_priority,2026 trajectory forecasting benchmark that reuses SOM-derived degradation modes.,True,,https://www.mdpi.com/2571-5577/9/6/116/pdf,,,,
10.1016/j.egyai.2025.100503,Data-driven analysis of hysteresis and stability in perovskite solar cells using machine learning,2025,2025-03-24,Energy and AI,Sharun Parayil Shaji; Wolfgang Tress,frontier_ml_database,include_priority,2025 open analysis reporting weak stability prediction under non-standardized data.,True,gold,https://doi.org/10.1016/j.egyai.2025.100503,https://doi.org/10.1016/j.egyai.2025.100503,,https://openalex.org/W4408772063,4
10.1016/j.apenergy.2025.126132,Open data sets for assessing photovoltaic system reliability,2025,2025-05-29,Applied Energy,Xin Chen; Baojie Li; Jennifer L. Braid; Brandon Byford; Dylan J. Colvin; Andrew Glaws; Norman Jost; Benjamin G. Pierce; Salil Rabade; Martin Springer; Anubhav Jain,frontier_open_data,include_priority,2025 overview of open datasets for PV reliability and degradation analysis.,True,hybrid,https://doi.org/10.1016/j.apenergy.2025.126132,https://doi.org/10.1016/j.apenergy.2025.126132,,https://openalex.org/W4410849287,16
10.1002/aenm.202501906,Seasonality in Perovskite Solar Cells: Insights from 4 Years of Outdoor Data,2025,2025-07-06,Advanced Energy Materials,Marko Remec; Mark Khenkin; Ulas Erdil; Quiterie Emery; Gopinath Paramasivam; Eva Unger; Rutger Schlatmann; Steve Albrecht; Marko Topič; Carolin Ulbrich,frontier_outdoor_dynamics,include_priority,Four-year outdoor dataset; seasonality and >24 h light-soaking saturation complicate curve interpretation.,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202501906,https://doi.org/10.1002/aenm.202501906,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aenm.202501906,https://openalex.org/W4412066963,23
10.1039/d3ta05966a,Application of large datasets to assess trends in the stability of perovskite photovoltaics through machine learning,2024,2024-01-01,Journal of Materials Chemistry A,Bashayer Alsulami; Tudur Wyn David; A Essien; Samrana Kazim; Shahzada Ahmad; T. Jesper Jacobsson; Andrew Feeney; Jeff Kettle,recent_ml_database,include_priority,2024 large-dataset ML analysis; useful for limitations of heterogeneous literature-derived stability data.,True,hybrid,https://pubs.rsc.org/en/content/articlepdf/2024/ta/d3ta05966a,https://doi.org/10.1039/d3ta05966a,https://pubs.rsc.org/en/content/articlepdf/2024/ta/d3ta05966a,https://openalex.org/W4390536582,19
10.1021/acsenergylett.4c00328,"Artificial Intelligence-Based, Wavelet-Aided Prediction of Long-Term Outdoor Performance of Perovskite Solar Cells",2024,2024-03-19,ACS Energy Letters,Ioannis Kouroudis; Kenedy Tabah Tanko; Masoud Karimipour; Aziz Ben Ali; D. Kishore Kumar; Vediappan Sudhakar; Ritesh Kant Gupta; Iris Visoly‐Fisher; Mónica Lira‐Cantú; Alessio Gagliardi,frontier_forecasting,include_priority,2024 wavelet/ML prediction of long-term outdoor performance from accelerated indoor tests.,True,hybrid,https://pubs.acs.org/doi/pdf/10.1021/acsenergylett.4c00328,https://doi.org/10.1021/acsenergylett.4c00328,https://pubs.acs.org/doi/pdf/10.1021/acsenergylett.4c00328,https://openalex.org/W4392948097,34
10.1021/acsenergylett.4c01943,Diurnal Changes and Machine Learning Analysis of Perovskite Modules Based on Two Years of Outdoor Monitoring,2024,,ACS Energy Letters,,frontier_outdoor_dynamics,include_priority,Two-year outdoor module monitoring with diurnal degradation/recovery and ML analysis.,True,,https://pubs.acs.org/doi/pdf/10.1021/acsenergylett.4c01943,,,,
10.1002/aenm.202304452,From Sunrise to Sunset: Unraveling Metastability in Perovskite Solar Cells by Coupled Outdoor Testing and Energy Yield Modelling,2024,2024-05-09,Advanced Energy Materials,Marko Remec; Špela Tomšič; Mark Khenkin; Quiterie Emery; Jinzhao Li; Florian Scheler; Boštjan Glažar; Marko Jankovec; Marko Jošt; Eva Unger; Steve Albrecht; Rutger Schlatmann; Benjamin Lipovšek; Carolin Ulbrich; Marko Topič,recovery_morphology,include_priority,Long-term outdoor PCE with nighttime loss and light-soaking recovery; directly relevant to valley/rise shapes.,True,hybrid,https://doi.org/10.1002/aenm.202304452,https://doi.org/10.1002/aenm.202304452,,https://openalex.org/W4396779115,31
10.1038/s41560-024-01487-w,Ion-induced field screening as a dominant factor in perovskite solar cell operational stability,2024,2024-03-28,Nature Energy,Jarla Thiesbrummel; Sahil Shah; Emilio Gutierrez‐Partida; Fengshuo Zu; Francisco Peña‐Camargo; Stefan Zeiske; Jonas Diekmann; Fangyuan Ye; Karol Pawel Peters; Kai Oliver Brinkmann; Pietro Caprioglio; Akash Dasgupta; Seongrok Seo; Fatai A. Adeleye; Jonathan Warby; Quentin Jeangros; Felix Lang; Shuo Zhang; Steve Albrecht; Thomas Riedl; Ardalan Armin; Dieter Neher; Norbert Koch; Yongzhen Wu; Vincent M. Le Corre; Henry J. Snaith; Martin Stolterfoht,frontier_degradation_mechanism,include_priority,Ion-induced field screening offers mechanistic context for evolving operational PCE.,True,hybrid,https://www.nature.com/articles/s41560-024-01487-w.pdf,https://doi.org/10.1038/s41560-024-01487-w,https://www.nature.com/articles/s41560-024-01487-w.pdf,https://openalex.org/W4393261943,251
10.1038/s41560-023-01421-6,"Multifunctional sulfonium-based treatment for perovskite solar cells with less than 1% efficiency loss over 4,500-h operational stability tests",2024,2024-01-04,Nature Energy,Jiajia Suo; Bowen Yang; Edoardo Mosconi; Dmitry Bogachuk; Tiarnan A. S. Doherty; Kyle Frohna; Dominik J. Kubicki; Fan Fu; YeonJu Kim; Oussama Er‐raji; Tiankai Zhang; Lorenzo Baldinelli; Lukas Wagner; Ayodhya N. Tiwari; Feng Gao; Andreas Hinsch; Samuel D. Stranks; Filippo De Angelis; Anders Hagfeldt,frontier_long_duration,include_priority,"4,500 h operational test; candidate source of long PCE-hour traces.",True,hybrid,https://www.nature.com/articles/s41560-023-01421-6.pdf,https://doi.org/10.1038/s41560-023-01421-6,https://www.nature.com/articles/s41560-023-01421-6.pdf,https://openalex.org/W4390587786,213
10.1038/s41586-024-08161-x,Strain regulation retards natural operation decay of perovskite solar cells,2024,2024-10-14,Nature,Yunxiu Shen; Tiankai Zhang; Guiying Xu; Julian A. Steele; Xiankai Chen; Weijie Chen; Guanhaojie Zheng; Jiajia Li; Boyu Guo; Heyi Yang; Yeyong Wu; Xia Lin; Thamraa Alshahrani; Wan‐Jian Yin; Jian Zhu; Feng Wang; Aram Amassian; Xingyu Gao; Xiaohong Zhang; Feng Gao; Yaowen Li; Yongfang Li; Yongfang Li; Yongfang Li,frontier_recovery_mechanism,include_priority,Continuous versus day/night cycling shows dark recovery and changing decay rates.,True,hybrid,https://www.nature.com/articles/s41586-024-08161-x.pdf,https://doi.org/10.1038/s41586-024-08161-x,https://www.nature.com/articles/s41586-024-08161-x.pdf,https://openalex.org/W4403393204,161
10.1038/s41467-023-40585-3,Stability follows efficiency based on the analysis of a large perovskite solar cells ageing dataset,2023,2023-08-12,Nature Communications,Noor Titan Putri Hartono; Hans Köbler; Paolo Graniero; Mark Khenkin; Rutger Schlatmann; Carolin Ulbrich; Antonio Abate,core_method,include_priority,"Direct source workflow: full normalized MPPT trajectories, SOM, QE elbow and visual overlap.",True,gold,https://www.nature.com/articles/s41467-023-40585-3.pdf,https://doi.org/10.1038/s41467-023-40585-3,https://www.nature.com/articles/s41467-023-40585-3.pdf,https://openalex.org/W4385782870,111
10.3389/fenrg.2023.1118654,The challenge of studying perovskite solar cells’ stability with machine learning,2023,2023-04-03,Frontiers in Energy Research,Paolo Graniero; Mark Khenkin; Hans Köbler; Noor Titan Putri Hartono; Rutger Schlatmann; Antonio Abate; Eva Unger; T. Jesper Jacobsson; Carolin Ulbrich,data_quality,include_priority,Shows that stability FOM choice changes conclusions and argues for sharing complete ageing curves.,True,gold,https://doi.org/10.3389/fenrg.2023.1118654,https://doi.org/10.3389/fenrg.2023.1118654,,https://openalex.org/W4362587227,27
10.1038/s41467-022-35400-4,Big data driven perovskite solar cell stability analysis,2022,,Nature Communications,,stability_metrics,include_priority,"Large-database analysis of burn-in, TS80/TS80m and heterogeneous reporting constraints.",True,,https://www.nature.com/articles/s41467-022-35400-4.pdf,,,,
10.1002/ente.202200234,High‐Throughput Aging System for Parallel Maximum Power Point Tracking of Perovskite Solar Cells,2022,2022-04-04,Energy Technology,Hans Köbler; Sebastian Neubert; Marko Jankovec; Boštjan Glažar; Martin Haase; Clemens Hilbert; Marko Topič; B. Rech; Antonio Abate,measurement_system,include_priority,High-throughput parallel MPPT setup underlying homogeneous ageing-curve acquisition.,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ente.202200234,https://doi.org/10.1002/ente.202200234,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ente.202200234,https://openalex.org/W4225807675,29
10.1149/2162-8777/ac6f1d,Round-Robin Inter-Comparison of Maximum Power Measurement for Metastable Perovskite Solar Cells,2022,2022-05-01,ECS Journal of Solid State Science and Technology,Hidenori Saito; Masahiro Yoshita; Hiromi Tobita; Daisuke Aoki; Tomoyuki Tobe; Haruya Shimura; Shinichi Magaino,measurement_quality,include_priority,Round-robin maximum-power measurement study for metastable devices.,True,hybrid,https://iopscience.iop.org/article/10.1149/2162-8777/ac6f1d/pdf,https://doi.org/10.1149/2162-8777/ac6f1d,https://iopscience.iop.org/article/10.1149/2162-8777/ac6f1d/pdf,https://openalex.org/W4280651458,5
10.1002/adma.202110239,Self‐Healing and Light‐Soaking in MAPbI3: The Effect of H2O,2022,2022-06-22,Advanced Materials,Davide Raffaele Ceratti; Ron Tenne; Andrea Bartezzaghi; Llorenç Cremonesi; Lior Segev; Vyacheslav Kalchenko; Dan Oron; M. A. C. Potenza; Gary Hodes; David Cahen,recovery_mechanism,include_priority,Self-healing and light-soaking study; relevant physical context for gain/recovery curves.,True,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202110239,https://doi.org/10.1002/adma.202110239,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/adma.202110239,https://openalex.org/W4283311186,32
10.1021/acsaem.1c00588,Bias-Dependent Dynamics of Degradation and Recovery in Perovskite Solar Cells,2021,2021-07-16,ACS Applied Energy Materials,Michela Prete; Mark Khenkin; Damian Głowienka; Bhushan Ramesh Patil; Jonas Sandby Lissau; İlker Doğan; J. Lundsgaard Hansen; Till Leißner; Jacek Fiutowski; Horst‐Günter Rubahn; Brian Julsgaard; Péter Balling; Vida Turkovic; Yulia Galagan; Eugene A. Katz; Morten Madsen,recovery_mechanism,include_priority,Bias-dependent degradation and recovery dynamics support non-monotonic PCE trajectories.,True,green,https://findresearcher.sdu.dk/ws/files/192223977/Draft_Perovskite_CLEAN_Jul01.pdf,https://doi.org/10.1021/acsaem.1c00588,,https://openalex.org/W3183381298,28
10.1038/s41560-019-0529-5,Consensus statement for stability assessment and reporting for perovskite photovoltaics based on ISOS procedures,2020,,Nature Energy,,foundational_protocol,include_priority,"ISOS consensus: non-monotonic PCE, burn-in, recovery, reporting, and light/dark cycling.",True,,https://www.nrel.gov/docs/fy20osti/74047.pdf,,,,
10.1016/j.solmat.2019.110284,Machine learning analysis on stability of perovskite solar cells,2020,,Solar Energy Materials and Solar Cells,,foundational_curve_database,include_priority,Earlier literature-derived database explicitly containing 404 PCE-versus-time profiles.,False,,,,,,
