variant_id,window_hours,cohort,representation,n,dimensions,accepted_input_total,retention_fraction,primary_window_eligible,smoothing_applied,labels_used
w0150_coverage_maxabs_level,150,coverage,maxabs_level,1857,64,2104,0.8826045627376425,False,False,False
w0150_coverage_z_level,150,coverage,z_level,1857,64,2104,0.8826045627376425,False,False,False
w0150_coverage_z_level_d1,150,coverage,z_level_d1,1857,127,2104,0.8826045627376425,False,False,False
w0150_coverage_z_level_d1_d2,150,coverage,z_level_d1_d2,1857,189,2104,0.8826045627376425,False,False,False
w0150_detail_maxabs_level,150,detail,maxabs_level,1103,64,2104,0.5242395437262357,False,False,False
w0150_detail_z_level,150,detail,z_level,1103,64,2104,0.5242395437262357,False,False,False
w0150_detail_z_level_d1,150,detail,z_level_d1,1103,127,2104,0.5242395437262357,False,False,False
w0150_detail_z_level_d1_d2,150,detail,z_level_d1_d2,1103,189,2104,0.5242395437262357,False,False,False
w0150_dense_maxabs_level,150,dense,maxabs_level,422,64,2104,0.2005703422053232,False,False,False
w0150_dense_z_level,150,dense,z_level,422,64,2104,0.2005703422053232,False,False,False
w0150_dense_z_level_d1,150,dense,z_level_d1,422,127,2104,0.2005703422053232,False,False,False
w0150_dense_z_level_d1_d2,150,dense,z_level_d1_d2,422,189,2104,0.2005703422053232,False,False,False
w0200_coverage_maxabs_level,200,coverage,maxabs_level,1770,64,2104,0.841254752851711,False,False,False
w0200_coverage_z_level,200,coverage,z_level,1770,64,2104,0.841254752851711,False,False,False
w0200_coverage_z_level_d1,200,coverage,z_level_d1,1770,127,2104,0.841254752851711,False,False,False
w0200_coverage_z_level_d1_d2,200,coverage,z_level_d1_d2,1770,189,2104,0.841254752851711,False,False,False
w0200_detail_maxabs_level,200,detail,maxabs_level,1269,64,2104,0.6031368821292775,False,False,False
w0200_detail_z_level,200,detail,z_level,1269,64,2104,0.6031368821292775,False,False,False
w0200_detail_z_level_d1,200,detail,z_level_d1,1269,127,2104,0.6031368821292775,False,False,False
w0200_detail_z_level_d1_d2,200,detail,z_level_d1_d2,1269,189,2104,0.6031368821292775,False,False,False
w0200_dense_maxabs_level,200,dense,maxabs_level,522,64,2104,0.24809885931558937,False,False,False
w0200_dense_z_level,200,dense,z_level,522,64,2104,0.24809885931558937,False,False,False
w0200_dense_z_level_d1,200,dense,z_level_d1,522,127,2104,0.24809885931558937,False,False,False
w0200_dense_z_level_d1_d2,200,dense,z_level_d1_d2,522,189,2104,0.24809885931558937,False,False,False
w0300_coverage_maxabs_level,300,coverage,maxabs_level,1590,64,2104,0.7557034220532319,True,False,False
w0300_coverage_z_level,300,coverage,z_level,1590,64,2104,0.7557034220532319,True,False,False
w0300_coverage_z_level_d1,300,coverage,z_level_d1,1590,127,2104,0.7557034220532319,True,False,False
w0300_coverage_z_level_d1_d2,300,coverage,z_level_d1_d2,1590,189,2104,0.7557034220532319,True,False,False
w0300_detail_maxabs_level,300,detail,maxabs_level,1325,64,2104,0.6297528517110266,True,False,False
w0300_detail_z_level,300,detail,z_level,1325,64,2104,0.6297528517110266,True,False,False
w0300_detail_z_level_d1,300,detail,z_level_d1,1325,127,2104,0.6297528517110266,True,False,False
w0300_detail_z_level_d1_d2,300,detail,z_level_d1_d2,1325,189,2104,0.6297528517110266,True,False,False
