curve_id,source_file,relative_source,validation_file,doi,record_id,legend,time_factor_to_hours,n_original_points,duration_hours,covers_window,n_points_in_window,maximum_relative_gap,points_first_quarter,points_last_quarter
C68e568b1c8,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2.csv,x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/accepted/10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce__MAPbI₃__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202000778/Fig6_D_stability_performance_curve_pce/validation_result.json,10.1002/adfm.202000778,10.1002_adfm.202000778__Fig6__D__stability_performance_curve_pce,MAPbI₃,24.0,48,372.82933753035616,True,26,0.039662695481952996,7,7
C766516f994,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202001557/Fig4_B_pce/accepted/10.1002_adfm.202001557__Fig4__B__pce__perovskite__Series_1.csv,x_time_day/10.1002_adfm.202001557/Fig4_B_pce/accepted/10.1002_adfm.202001557__Fig4__B__pce__perovskite__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202001557/Fig4_B_pce/validation_result.json,10.1002/adfm.202001557,10.1002_adfm.202001557__Fig4__B__pce,perovskite,24.0,39,236.50448899586357,True,33,0.03111901170998223,9,8
C3c26fd9c2c,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adma.201706975/Fig4_A_stability_performance_curve/accepted/10.1002_adma.201706975__Fig4__A__stability_performance_curve__TiO2__Series_2.csv,x_time_day/10.1002_adma.201706975/Fig4_A_stability_performance_curve/accepted/10.1002_adma.201706975__Fig4__A__stability_performance_curve__TiO2__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adma.201706975/Fig4_A_stability_performance_curve/validation_result.json,10.1002/adma.201706975,10.1002_adma.201706975__Fig4__A__stability_performance_curve,TiO2,24.0,63,481.05737426959064,True,26,0.03879494953787045,7,6
C63dab6011c,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_advs.201801715/Fig5_A_sem_image_stability_performance_curve_pce/accepted/10.1002_advs.201801715__Fig5__A__sem_image_stability_performance_curve_pce__Control__Series_1.csv,x_time_day/10.1002_advs.201801715/Fig5_A_sem_image_stability_performance_curve_pce/accepted/10.1002_advs.201801715__Fig5__A__sem_image_stability_performance_curve_pce__Control__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_advs.201801715/Fig5_A_sem_image_stability_performance_curve_pce/validation_result.json,10.1002/advs.201801715,10.1002_advs.201801715__Fig5__A__sem_image_stability_performance_curve_pce,Control,24.0,52,358.2557681210091,True,29,0.035123114521667845,8,7
C91d9b0ad28,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_aenm.201502206/Fig7_A_pce/accepted/10.1002_aenm.201502206__Fig7__A__pce__S1__Series_1.csv,x_time_day/10.1002_aenm.201502206/Fig7_A_pce/accepted/10.1002_aenm.201502206__Fig7__A__pce__S1__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_aenm.201502206/Fig7_A_pce/validation_result.json,10.1002/aenm.201502206,10.1002_aenm.201502206__Fig7__A__pce,S1,24.0,79,239.72348019567465,True,65,0.030344744328566407,17,16
C0458415372,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_aenm.201502206/Fig7_A_pce/accepted/10.1002_aenm.201502206__Fig7__A__pce__S3__Series_2.csv,x_time_day/10.1002_aenm.201502206/Fig7_A_pce/accepted/10.1002_aenm.201502206__Fig7__A__pce__S3__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_aenm.201502206/Fig7_A_pce/validation_result.json,10.1002/aenm.201502206,10.1002_aenm.201502206__Fig7__A__pce,S3,24.0,79,236.689005762818,True,66,0.015172372164283417,17,16
C1332f13cec,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_cnma.201800064/Fig6_B_stability_performance_curve/accepted/10.1002_cnma.201800064__Fig6__B__stability_performance_curve__(a)MAPbl₃__Series_1.csv,x_time_day/10.1002_cnma.201800064/Fig6_B_stability_performance_curve/accepted/10.1002_cnma.201800064__Fig6__B__stability_performance_curve__(a)MAPbl₃__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_cnma.201800064/Fig6_B_stability_performance_curve/validation_result.json,10.1002/cnma.201800064,10.1002_cnma.201800064__Fig6__B__stability_performance_curve,(a)MAPbl₃,24.0,77,470.27845457731814,True,32,0.061075123971080315,8,8
C58bf6eca68,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_cssc.201700603/Fig5_B_stability_performance_curve_pce/accepted/10.1002_cssc.201700603__Fig5__B__stability_performance_curve_pce__0__Series_4.csv,x_time_day/10.1002_cssc.201700603/Fig5_B_stability_performance_curve_pce/accepted/10.1002_cssc.201700603__Fig5__B__stability_performance_curve_pce__0__Series_4.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_cssc.201700603/Fig5_B_stability_performance_curve_pce/validation_result.json,10.1002/cssc.201700603,10.1002_cssc.201700603__Fig5__B__stability_performance_curve_pce,0,24.0,33,242.86975255891204,True,27,0.03794839883733033,7,7
Ce4cd8f223d,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_cssc.201700603/Fig5_B_stability_performance_curve_pce/accepted/10.1002_cssc.201700603__Fig5__B__stability_performance_curve_pce__5__Series_1.csv,x_time_day/10.1002_cssc.201700603/Fig5_B_stability_performance_curve_pce/accepted/10.1002_cssc.201700603__Fig5__B__stability_performance_curve_pce__5__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_cssc.201700603/Fig5_B_stability_performance_curve_pce/validation_result.json,10.1002/cssc.201700603,10.1002_cssc.201700603__Fig5__B__stability_performance_curve_pce,5,24.0,32,235.28007279144606,True,27,0.037948398837330186,7,7
C583e16d541,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_cssc.201702265/Fig3_A_pce/accepted/10.1002_cssc.201702265__Fig3__A__pce__MAPbI₃_+_10%_F1_0.5_mmol__Series_1.csv,x_time_day/10.1002_cssc.201702265/Fig3_A_pce/accepted/10.1002_cssc.201702265__Fig3__A__pce__MAPbI₃_+_10%_F1_0.5_mmol__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_cssc.201702265/Fig3_A_pce/validation_result.json,10.1002/cssc.201702265,10.1002_cssc.201702265__Fig3__A__pce,MAPbI₃ + 10% F1 0.5 mmol,24.0,51,307.5439551971657,True,33,0.030754395519716694,9,8
