variant_id,window_hours,cohort,representation,n,dimensions,accepted_input_total,retention_fraction,primary_window_eligible,smoothing_applied,labels_used,elbow_k,elbow_strength,inertia_at_elbow,silhouette_at_elbow,seed_ari_at_elbow,subsample_ari_to_full,min_cluster_fraction_at_elbow,passes_support,rank_silhouette_at_elbow,rank_subsample_ari_to_full,rank_seed_ari_at_elbow,rank_elbow_strength,rank_min_cluster_fraction_at_elbow,rank_n,kmeans_rank_sum,selected_for_som
w0300_coverage_maxabs_level,300,coverage,maxabs_level,1590,64,2104,0.7557034220532319,True,False,False,4,0.5068808712541093,264.4116077877143,0.5208610036225376,0.9558932411254585,0.8782354740227467,0.05408805031446541,True,3.0,17.0,7.0,1.0,2.5,2.5,33.0,True
w0300_coverage_z_level_d1_d2,300,coverage,z_level_d1_d2,1590,189,2104,0.7557034220532319,True,False,False,4,0.3345367691119189,2148.6074156895593,0.05963481431910496,0.9337376764696252,0.9367321065219528,0.05408805031446541,True,37.0,5.0,11.0,34.0,2.5,2.5,92.0,True
w0300_coverage_z_level_d1,300,coverage,z_level_d1,1590,127,2104,0.7557034220532319,True,False,False,5,0.35795923972579524,548.3503045887282,0.17151877436776963,0.8597240856892198,0.8851235311477618,0.03773584905660377,True,25.0,16.0,21.0,28.0,12.0,2.5,104.5,True
w0300_coverage_z_level,300,coverage,z_level,1590,64,2104,0.7557034220532319,True,False,False,5,0.3759361536893582,6958.476452681645,0.30934476131769795,0.8445444300603043,0.8903326685807474,0.028930817610062894,True,13.0,14.0,26.0,23.0,31.0,2.5,109.5,True
w0500_coverage_maxabs_level,500,coverage,maxabs_level,1198,64,2104,0.5693916349809885,True,False,False,4,0.47233946195970566,251.77994168808004,0.5053758376940352,0.9968068258064312,0.9272007652580913,0.045075125208681135,True,7.0,8.0,3.0,7.0,7.0,10.5,42.5,False
w0300_detail_maxabs_level,300,detail,maxabs_level,1325,64,2104,0.6297528517110266,True,False,False,4,0.5052821586744085,237.5451953084684,0.5181011338671297,0.8888984408977662,0.855881498747919,0.05811320754716981,True,5.0,22.0,18.0,2.0,1.0,6.5,54.5,False
w0500_detail_maxabs_level,500,detail,maxabs_level,1102,64,2104,0.5237642585551331,True,False,False,4,0.47686310176056845,228.95690406103168,0.4854829784424048,0.9200596922350964,0.9282982057723362,0.0426497277676951,True,10.0,7.0,12.0,5.0,8.0,14.5,56.5,False
w0750_coverage_maxabs_level,750,coverage,maxabs_level,770,64,2104,0.3659695817490494,True,False,False,4,0.4680980725173831,171.72497122353892,0.4932380925178055,0.9952354788912465,0.9187118658028434,0.03896103896103896,True,8.0,10.0,4.0,8.0,10.0,22.5,62.5,False
w0750_detail_maxabs_level,750,detail,maxabs_level,734,64,2104,0.3488593155893536,True,False,False,4,0.4645356659622364,167.15617266676063,0.48848119616316693,0.987935682792205,0.9268390823542783,0.03814713896457766,True,9.0,9.0,6.0,10.0,11.0,26.5,71.5,False
w0500_dense_maxabs_level,500,dense,maxabs_level,774,64,2104,0.3678707224334601,True,False,False,4,0.4545201873025353,183.63169613366347,0.4616191786977466,0.8590682833130805,0.9132502494603834,0.050387596899224806,True,11.0,13.0,22.0,12.0,4.0,18.5,80.5,False
w0300_dense_maxabs_level,300,dense,maxabs_level,682,64,2104,0.32414448669201523,True,False,False,4,0.48631025654459537,136.03220486012202,0.5200453834149288,0.8417611555792325,0.8873030569492762,0.045454545454545456,True,4.0,15.0,27.0,3.0,5.0,30.5,84.5,False
w1000_detail_maxabs_level,1000,detail,maxabs_level,472,64,2104,0.22433460076045628,True,False,False,4,0.4752897568434393,113.19572683146379,0.5311182938979775,0.9990715168722788,0.9911674052341745,0.023305084745762712,True,1.0,2.0,1.0,6.0,38.5,42.5,91.0,False
w1000_coverage_maxabs_level,1000,coverage,maxabs_level,489,64,2104,0.23241444866920152,True,False,False,4,0.46751547125699133,119.80428904605024,0.5272007399422043,0.9979000543945341,0.9939935359269858,0.022494887525562373,True,2.0,1.0,2.0,9.0,40.0,38.5,92.5,False
w1000_dense_maxabs_level,1000,dense,maxabs_level,379,64,2104,0.18013307984790874,True,False,False,4,0.4823278156063828,88.41824542544505,0.5127160174881604,0.9927229346162442,0.9777796818979976,0.021108179419525065,True,6.0,3.0,5.0,4.0,43.0,46.5,107.5,False
w0500_coverage_z_level_d1,500,coverage,z_level_d1,1198,127,2104,0.5693916349809885,True,False,False,5,0.3638206540887272,448.4659741586679,0.14926846414842487,0.9453474650245305,0.8537271766905855,0.03005008347245409,True,28.0,23.0,8.0,26.0,25.0,10.5,120.5,False
w0750_dense_maxabs_level,750,dense,maxabs_level,576,64,2104,0.2737642585551331,True,False,False,5,0.46271569521037925,96.82536960895814,0.45570592906385776,0.941495770843568,0.9355958823670527,0.015625,True,12.0,6.0,9.0,11.0,48.0,34.5,120.5,False
w0300_detail_z_level_d1,300,detail,z_level_d1,1325,127,2104,0.6297528517110266,True,False,False,5,0.3577717850764557,458.63645237028453,0.16223349006716248,0.7304107361396117,0.9139727221065371,0.03245283018867925,True,27.0,12.0,36.0,29.0,19.0,6.5,129.5,False
w0500_dense_z_level,500,dense,z_level,774,64,2104,0.3678707224334601,True,False,False,4,0.39286074408997695,3563.1879069756224,0.27547951731680476,0.9010862376017366,0.7662511474407676,0.029715762273901807,True,19.0,35.0,15.0,16.0,27.5,18.5,131.0,False
w0500_detail_z_level_d1,500,detail,z_level_d1,1102,127,2104,0.5237642585551331,True,False,False,5,0.34609919051880134,415.9948099004393,0.14791332302094193,0.9376617773271191,0.8453837126872173,0.030852994555353903,True,29.0,24.0,10.0,33.0,23.0,14.5,133.5,False
