variant_id,setting_id,elbow_k,qe_elbow_strength,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,seed_ari,occupied_nodes_median,empty_nodes_median,min_cluster_fraction_median,center_separation_ratio_median,passes_support,rank_silhouette_median,rank_seed_ari,rank_topographic_error_median,rank_center_separation_ratio_median,rank_min_cluster_fraction_median,rank_retention_fraction,rank_qe_elbow_strength,som_rank_sum
w0300_coverage_maxabs_level,sigma0.5_lr0.03_random,4,0.4287732308696632,0.5,0.03,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3009423983870747,0.03761779979838434,0.0,0.4885365313978464,0.9585240620582843,4.0,0.0,0.08238993710691823,2.8200398693519246,True,19.0,70.0,47.5,25.0,37.5,95.5,15.0,309.5
w0300_coverage_maxabs_level,sigma0.8_lr0.3_sequential,4,0.34041526383216053,0.8,0.3,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3070523454129031,0.03838154317661289,0.0,0.4953978644136258,1.0,4.0,0.0,0.08364779874213836,3.1909097094039987,True,16.0,32.0,47.5,10.0,34.0,95.5,78.0,313.0
w0300_coverage_maxabs_level,sigma2_lr0.3_sequential,5,0.44708718779310463,2.0,0.3,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.2886493977660682,0.03608117472075852,0.0,0.4065814262080778,1.0,5.0,0.0,0.1069182389937107,1.5326605996252087,True,47.0,32.0,47.5,81.0,3.5,95.5,8.0,314.5
w0300_coverage_maxabs_level,sigma2_lr0.03_sequential,5,0.45335894965082646,2.0,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.2917795784476636,0.03647244730595795,0.0,0.41023211560011447,1.0,5.0,0.0,0.10377358490566038,1.4838868130563088,True,45.0,32.0,47.5,84.0,6.5,95.5,6.0,316.5
w0300_coverage_maxabs_level,sigma0.8_lr0.1_sequential,4,0.34855527996749175,0.8,0.1,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3014000120731177,0.03767500150913971,0.0,0.4873975037545611,1.0,4.0,0.0,0.0830188679245283,3.001798469175432,True,24.0,32.0,47.5,16.0,35.5,95.5,69.0,319.5
w0300_coverage_maxabs_level,sigma2_lr0.1_sequential,5,0.4259157495130539,2.0,0.1,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.2881376970104375,0.03601721212630469,0.0,0.4115007692075448,1.0,5.0,0.0,0.10377358490566038,1.5845379121693286,True,43.0,32.0,47.5,79.0,6.5,95.5,18.0,321.5
w0300_coverage_maxabs_level,sigma0.8_lr0.03_sequential,4,0.38113210069755404,0.8,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.30264752991613236,0.037830941239516545,0.0,0.4706395404270706,0.9602989733954406,4.0,0.0,0.09874213836477988,2.6423281417817077,True,33.0,69.0,47.5,33.0,13.5,95.5,44.0,335.5
w0300_coverage_maxabs_level,sigma0.8_lr0.03_random,4,0.3976246978819817,0.8,0.03,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3015624707509849,0.037695308843873114,0.0,0.4670395511690414,0.89663652505668,4.0,0.0,0.09874213836477988,2.6527418647770644,True,34.0,80.0,47.5,32.0,13.5,95.5,36.0,338.5
w0300_coverage_maxabs_level,sigma0.5_lr0.03_sequential,4,0.4153398696910178,0.5,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3007449006973385,0.03759311258716731,0.0,0.48821060524621124,0.8489606911027018,4.0,0.0,0.08050314465408805,2.805927760455034,True,23.0,91.0,47.5,27.0,39.5,95.5,25.0,348.5
w0300_coverage_maxabs_level,sigma0.8_lr0.5_sequential,4,0.32717649315653313,0.8,0.5,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3118375006828632,0.0389796875853579,0.0,0.503948961614968,1.0,4.0,0.0,0.07547169811320754,3.1757434736150834,True,11.0,32.0,47.5,11.0,48.5,95.5,105.0,350.5
