variant_id,setting_id,k,seed_ari,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,occupied_nodes_median,empty_nodes_median,min_cluster_fraction_median,minimum_center_rmse_median,median_within_rmse_median,center_separation_ratio_median,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction
w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,2,1.0,0.5031575569339316,0.06289469461674145,0.0,0.6489312700340709,2.0,0.0,0.21572327044025158,0.2608879413176138,0.04943426391714529,5.277471952441726,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,3,0.9939193543192042,0.36599597838493453,0.045749497298116816,0.0,0.585101087191949,3.0,0.0,0.09056603773584905,0.14880353387480766,0.03625348793430927,4.106369522888624,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,4,0.8065392376549712,0.3029286458445633,0.03786608073057041,0.0,0.49692594014272956,4.0,0.0,0.07421383647798742,0.08442290696458431,0.0289506230348359,2.916099831775062,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,5,0.6361335040540702,0.26904883547043723,0.033631104433804654,0.38805031446540883,0.42511702700467574,5.0,0.0,0.042767295597484274,0.045645149636539685,0.025741605630477837,2.1315640747399933,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,6,0.6114188720060098,0.2676952627439706,0.033461907842996325,0.34779874213836476,0.3873529937024617,6.0,0.0,0.01949685534591195,0.03554988029041981,0.020562881112409497,1.7288375152466826,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,7,0.6034778125870869,0.23331913837596663,0.02916489229699583,0.6855345911949685,0.3880487549656084,7.0,0.0,0.03962264150943396,0.039034620892484724,0.020501090425062117,1.738658611833364,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
w0300_coverage_maxabs_level,sigma0.2_lr0.03_sequential,8,0.5768276983344567,0.2341877310913058,0.029273466386413226,0.25471698113207547,0.3298318423556832,8.0,0.0,0.027044025157232705,0.026213829170518357,0.01801396128898152,1.4551951538331107,0.2,0.03,False,300,coverage,maxabs_level,1590,64,0.7557034220532319
w0300_coverage_maxabs_level,sigma0.2_lr0.03_random,2,0.9242413245059383,0.5082282079576252,0.06352852599470316,0.0,0.649601279625475,2.0,0.0,0.21257861635220127,0.25749407564169413,0.051906528778920755,5.18489548354089,0.2,0.03,True,300,coverage,maxabs_level,1590,64,0.7557034220532319
w0300_coverage_maxabs_level,sigma0.2_lr0.03_random,3,0.9839329657641821,0.36643264113757873,0.04580408014219734,0.0,0.5850741199843631,3.0,0.0,0.09056603773584905,0.14669041401009528,0.036506077415446675,4.075038617725375,0.2,0.03,True,300,coverage,maxabs_level,1590,64,0.7557034220532319
w0300_coverage_maxabs_level,sigma0.2_lr0.03_random,4,0.8345705120703487,0.3045179537870649,0.038064744223383115,0.0,0.5006793113342239,4.0,0.0,0.07421383647798742,0.08772249526307634,0.02947295843109774,2.976372238476797,0.2,0.03,True,300,coverage,maxabs_level,1590,64,0.7557034220532319
