curve_id,source_file,relative_source,validation_file,doi,record_id,legend,time_factor_to_hours,n_original_points,duration_hours,covers_window,n_points_in_window,maximum_relative_gap,points_first_quarter,points_last_quarter,cluster,bmu_distance,assignment_margin
C73d189c994,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/validation_result.json,10.1002/adfm.201705545,10.1002_adfm.201705545__Fig11__B__stability_performance_curve,PSC-0.1,24.0,58,1060.6247099479856,True,17,0.0620248368390636,5,4,1,0.32817113815239063,0.6062474079089999
Cf8afa6d046,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/validation_result.json,10.1002/adfm.201705545,10.1002_adfm.201705545__Fig11__B__stability_performance_curve,PSC-0.25,24.0,58,1060.6247099479856,True,17,0.0620248368390636,5,4,1,0.7204318929784584,0.39805837136517047
Cc8461f5a3a,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/validation_result.json,10.1002/adfm.201705545,10.1002_adfm.201705545__Fig11__B__stability_performance_curve,PSC-0.5,24.0,57,1042.0172588962664,True,17,0.0620248368390636,5,4,1,0.2223657040200438,0.7709868209495264
Cfcf07bae26,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/validation_result.json,10.1002/adfm.201705545,10.1002_adfm.201705545__Fig11__B__stability_performance_curve,PSC-0,24.0,42,762.9054931204807,True,17,0.0620248368390638,5,4,3,0.3939891553129782,0.3285506178158518
C4f1d83dce6,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/validation_result.json,10.1002/adfm.201801654,10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce,Control MAPbl,24.0,47,472.3744498688373,True,30,0.0342300325991914,8,8,3,0.31574479837225256,0.6041425287711919
C250c428d40,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807024/Fig6_D_pce/accepted/10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1.csv,x_time_day/10.1002_adfm.201807024/Fig6_D_pce/accepted/10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807024/Fig6_D_pce/validation_result.json,10.1002/adfm.201807024,10.1002_adfm.201807024__Fig6__D__pce,0 MASCN,24.0,18,429.44976073610405,True,12,0.0842058354384519,3,3,3,0.11545707858086865,0.8517658481248249
C76addeb444,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PEDOT_PSS-controlled__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/validation_result.json,10.1002/adfm.201807556,10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff,PEDOT:PSS-controlled,24.0,56,718.618269705822,True,23,0.0435526224064138,6,5,1,0.4390550941309094,0.11049566968822931
Cd1ae103c64,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1.csv,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__PTAA-controlled__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/validation_result.json,10.1002/adfm.201807556,10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff,PTAA-controlled,24.0,56,718.6182697058221,True,23,0.0435526224064136,6,5,1,0.08310427496851258,0.9103492631287646
C683f06fa3d,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__TFB-controlled__Series_3.csv,x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__TFB-controlled__Series_3.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/validation_result.json,10.1002/adfm.201807556,10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff,TFB-controlled,24.0,56,718.6182697058221,True,23,0.0435526224064136,6,5,1,0.03757903847666174,0.9562184739492986
C88a2b0b8bf,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__AD-SnO₂__Series_1.csv,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__AD-SnO₂__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807604/Fig5_A_stability/validation_result.json,10.1002/adfm.201807604,10.1002_adfm.201807604__Fig5__A__stability,AD-SnO₂,24.0,61,715.8588594181258,True,26,0.0397699366343404,7,7,3,0.12454393658068483,0.8393713137621094
Cdf92c87867,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__TA-SnO2__Series_2.csv,x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__TA-SnO2__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807604/Fig5_A_stability/validation_result.json,10.1002/adfm.201807604,10.1002_adfm.201807604__Fig5__A__stability,TA-SnO2,24.0,61,715.8588594181258,True,26,0.0397699366343406,7,7,1,0.09290374406716237,0.9013326609649532
Cca1b9b7a37,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/accepted/10.1002_adfm.201807850__Fig7__E__stability_performance_curve__w_o_NbF₅__Series_1.csv,x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/accepted/10.1002_adfm.201807850__Fig7__E__stability_performance_curve__w_o_NbF₅__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807850/Fig7_E_stability_performance_curve/validation_result.json,10.1002/adfm.201807850,10.1002_adfm.201807850__Fig7__E__stability_performance_curve,w/o NbF₅,24.0,24,646.3344448634521,True,13,0.0769445767694586,4,3,2,0.22655844198540068,0.7344440820620332
C15afa2766d,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__F-PEAI__Series_2.csv,x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__F-PEAI__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/validation_result.json,10.1002/adfm.201900221,10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce,F-PEAI,24.0,59,939.2564445821134,True,19,0.0539802554357538,5,5,1,0.2401292841957905,0.7791872447563754
Cf5f916e7e7,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__PEAI__Series_1.csv,x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/accepted/10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce__PEAI__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201900221/Fig5_D_stability_performance_curve_pce/validation_result.json,10.1002/adfm.201900221,10.1002_adfm.201900221__Fig5__D__stability_performance_curve_pce,PEAI,24.0,59,939.2564445821134,True,19,0.0539802554357538,5,5,1,0.35658501933780135,0.3004444677041813
Cc17ade2fa2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202000778/Fig6_C_stability_performance_curve/accepted/10.1002_adfm.202000778__Fig6__C__stability_performance_curve__MAPbI₃__Series_1.csv,x_time_day/10.1002_adfm.202000778/Fig6_C_stability_performance_curve/accepted/10.1002_adfm.202000778__Fig6__C__stability_performance_curve__MAPbI₃__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202000778/Fig6_C_stability_performance_curve/validation_result.json,10.1002/adfm.202000778,10.1002_adfm.202000778__Fig6__C__stability_performance_curve,MAPbI₃,24.0,55,1420.605725979889,True,12,0.0876917114802402,3,3,1,0.20063041104178003,0.8097037174288536
