seed,quantization_error,qe_per_sqrt_dimension,topographic_error,silhouette,occupied_nodes,empty_nodes,min_cluster_size,min_cluster_fraction,median_within_rmse,minimum_center_rmse,center_separation_ratio,cluster_sizes
3,0.31454744405037177,0.03931843050629647,0.0,0.5251715252047465,4,0,82,0.05157232704402516,0.03253392214130233,0.10384867696777239,3.192012217695168,869;82;423;216
7,0.3159148806833696,0.0394893600854212,0.0,0.5263248374317344,4,0,79,0.04968553459119497,0.032910943676369014,0.10854103441856049,3.2980225508756225,217;415;79;879
11,0.3194332590160043,0.039929157377000535,0.0,0.5279685204487253,4,0,81,0.0509433962264151,0.03294740409220959,0.10584617655379573,3.2125801551573674,209;81;415;885
19,0.3176224950919002,0.03970281188648753,0.0,0.5287193054958569,4,0,80,0.050314465408805034,0.03286213630551221,0.10517235518526227,3.2004113854405905,80;891;209;410
29,0.31520602092723976,0.03940075261590497,0.0,0.521354805945398,4,0,83,0.05220125786163522,0.03192875602937794,0.09932034667609005,3.1106863850753785,850;438;83;219
41,0.3142677143465205,0.039283464293315064,0.0,0.5261863079002999,4,0,86,0.05408805031446541,0.03289294082584847,0.10702091643774544,3.253613503308008,86;883;212;409
53,0.3158460993106302,0.03948076241382877,0.0,0.5231577775189246,4,0,85,0.05345911949685535,0.032477911813119306,0.09949834528572137,3.063569660980048,222;879;85;404
67,0.3153397985465507,0.03941747481831884,0.0,0.5275762762435245,4,0,86,0.05408805031446541,0.03275165507194805,0.11271506784650773,3.4415075389459395,206;86;887;411
79,0.3136150306403747,0.03920187883004684,0.0,0.5235587679539779,4,0,85,0.05345911949685535,0.032272021414974136,0.10237228110329508,3.172168231538866,85;214;861;430
97,0.31690761043710447,0.03961345130463806,0.0,0.5287137163620238,4,0,82,0.05157232704402516,0.03244016096558326,0.10843396598508376,3.3425840918848095,208;892;82;408
