cluster,rank,curve_id,source_file,legend
0,1,C45480119fa,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_admi.201901964/Fig4_D_stability_performance_curve_pce/accepted/10.1002_admi.201901964__Fig4__D__stability_performance_curve_pce__TiO2__Series_1.csv,TiO2
0,2,C7d5b3f379c,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.0c06823/Fig4_A_stability_performance_curve_pce/accepted/10.1021_acsami.0c06823__Fig4__A__stability_performance_curve_pce__Control__Series_3.csv,Control
0,3,C80d179392b,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsenergylett.9b01042/Fig4_F_stability_performance_curve_pce/accepted/10.1021_acsenergylett.9b01042__Fig4__F__stability_performance_curve_pce__LiTFSI__Series_2.csv,LiTFSI
0,4,C545e0110ca,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.xcrp.2021.100395/Fig6_D_stability_performance_curve_pce/accepted/10.1016_j.xcrp.2021.100395__Fig6__D__stability_performance_curve_pce__RH_0%__Series_2.csv,RH 0%
0,5,C8f3458681a,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_adma.202006087/Fig7_A_mppt_stability_performance_curve/accepted/10.1002_adma.202006087__Fig7__A__mppt_stability_performance_curve__Control__Series_2.csv,Control
0,6,C89746262bd,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsaem.9b00603/Fig5_A_stability_performance_curve_pce_2/accepted/10.1021_acsaem.9b00603__Fig5__A__stability_performance_curve_pce_2__Spiro-OMeTAD__Series_2.csv,Spiro-OMeTAD
0,7,C8671b2b64a,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_c6ra09878a/Fig10_whole_figure/accepted/10.1039_c6ra09878a__Fig10__whole__figure__Spiro-OMeTAD__Series_2.csv,Spiro-OMeTAD
0,8,Cbad177f1db,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_adfm.202200174/Fig3_E_stability_performance_curve_pce/accepted/10.1002_adfm.202200174__Fig3__E__stability_performance_curve_pce__Control__Series_2.csv,Control
1,1,C9905c2be28,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.mtener.2021.100853/Fig5_B_stability_performance_curve_pce/accepted/10.1016_j.mtener.2021.100853__Fig5__B__stability_performance_curve_pce__0%GQDs__Series_1.csv,0%GQDs
1,2,C683f06fa3d,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807556/Fig6_A_stability_performance_curve_ff/accepted/10.1002_adfm.201807556__Fig6__A__stability_performance_curve_ff__TFB-controlled__Series_3.csv,TFB-controlled
1,3,Ccf34d3ce12,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.3390_cryst11121588/Fig4_A_stability_performance_curve_pce/accepted/10.3390_cryst11121588__Fig4__A__stability_performance_curve_pce__OABr__Series_2.csv,OABr
1,4,C84442f254f,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2020.106007/Fig5_A_stability_performance_curve_pce/accepted/10.1016_j.orgel.2020.106007__Fig5__A__stability_performance_curve_pce__without__Series_1.csv,without
1,5,C9ecf8f9c3a,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.0c04975/Fig6_A_stability_performance_curve_pce/accepted/10.1021_acsami.0c04975__Fig6__A__stability_performance_curve_pce__4-F__Series_2.csv,4-F
1,6,C5dac094b27,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_adfm.202200473/Fig4_A_stability_performance_curve/accepted/10.1002_adfm.202200473__Fig4__A__stability_performance_curve__FA0.92CS0.08Pbl3__Series_1.csv,FA0.92CS0.08Pbl3
1,7,C3161a5fa39,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acsaem.1c00032/Fig6_F_stability_performance_curve_voc/accepted/10.1021_acsaem.1c00032__Fig6__F__stability_performance_curve_voc__。without_CsBr__Series_1.csv,。without CsBr
1,8,Cbf2f5e47eb,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.202204450/Fig1_E_stability_performance_curve_pce/accepted/10.1002_adfm.202204450__Fig1__E__stability_performance_curve_pce__Control__Series_2.csv,Control
2,1,Cf14a19f338,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2020.105564/Fig6_B_stability_performance_curve/accepted/10.1016_j.nanoen.2020.105564__Fig6__B__stability_performance_curve__Control__Series_1.csv,Control
2,2,C6cf6449a85,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.solener.2019.10.080/Fig6_B_stability_performance_curve_pce/accepted/10.1016_j.solener.2019.10.080__Fig6__B__stability_performance_curve_pce__(a)_Spiro_-0.06mmol__Series_1.csv,(a) Spiro -0.06mmol
2,3,Cea15ef0829,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_adma.202004979/Fig2_F_eqe_mapping_stability_performance_curve_pce/accepted/10.1002_adma.202004979__Fig2__F__eqe_mapping_stability_performance_curve_pce__Control__Series_2.csv,Control
2,4,C38d7fd599e,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.solener.2019.10.080/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.solener.2019.10.080__Fig6__A__stability_performance_curve_pce__(a)_Spiro_-_0.04mmol__Series_2.csv,(a) Spiro - 0.04mmol
2,5,Cfe59ea125e,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.jpowsour.2020.228965/Fig6_D_stability_performance_curve/accepted/10.1016_j.jpowsour.2020.228965__Fig6__D__stability_performance_curve__Control__Series_2.csv,Control
2,6,Ccf990d9e61,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_adfm.202107710/Fig4_F_stability_performance_curve_jsc/accepted/10.1002_adfm.202107710__Fig4__F__stability_performance_curve_jsc__FASnl₃__Series_1.csv,FASnl₃
2,7,Cb044917d9d,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_cssc.201600887/Fig6_whole_stability/accepted/10.1002_cssc.201600887__Fig6__whole__stability__−−D-0_in_glove_box__Series_1.csv,−−D-0 in glove box
2,8,C315cebb6f9,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_cssc.201600887/Fig7_D_photovoltaic_parameter/accepted/10.1002_cssc.201600887__Fig7__D__photovoltaic_parameter__D-0__Series_2.csv,D-0
3,1,C07fce00f7c,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.0c04258/Fig6_A_stability_performance_curve_pce/accepted/10.1021_acsami.0c04258__Fig6__A__stability_performance_curve_pce__control__Series_1.csv,control
3,2,Cdec591d4c5,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acsenergylett.1c00531/Fig6_B_stability_performance_curve_pce/accepted/10.1021_acsenergylett.1c00531__Fig6__B__stability_performance_curve_pce__o-Pristine_PSC__Series_2.csv,o-Pristine PSC
3,3,C9c4f0c5b57,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.0c05632/Fig8_I_stability_performance_curve_pce_pattern/accepted/10.1021_acsami.0c05632__Fig8__I__stability_performance_curve_pce_pattern__MAPbI₃__Series_1.csv,MAPbI₃
3,4,Cf05e2f6668,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.3390_molecules29122758/Fig5_C_stability_performance_curve_pce/accepted/10.3390_molecules29122758__Fig5__C__stability_performance_curve_pce__4-cation__Series_3.csv,4-cation
3,5,C3b92389430,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.orgel.2020.106052/Fig4_F_stability_performance_curve/accepted/10.1016_j.orgel.2020.106052__Fig4__F__stability_performance_curve__Control__Series_2.csv,Control
3,6,C95f5318e20,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.cej.2022.139047/Fig5_H_stability_performance_curve/accepted/10.1016_j.cej.2022.139047__Fig5__H__stability_performance_curve__Pristine__Series_2.csv,Pristine
3,7,Ce9f6c8cc8c,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1039_c9se01133a/Fig6_C_stability_performance_curve_pce/accepted/10.1039_c9se01133a__Fig6__C__stability_performance_curve_pce__r-TiO2CL__Series_2.csv,r-TiO2CL
3,8,C2443e2893c,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.cej.2020.126435/Fig4_F_stability_performance_curve_pce_structure/accepted/10.1016_j.cej.2020.126435__Fig4__F__stability_performance_curve_pce_structure__PSC-T-SnO₂_ETL__Series_1.csv,PSC-T-SnO₂ ETL
