variant_id,setting_id,elbow_k,sigma,learning_rate,random_order,n,silhouette_median,seed_ari_from_search,posthoc_target_type_coverage,posthoc_exact_four,posthoc_names,bridge_count,hill_count,slope_count,valley_count,other_count,primary_som_rank_sum
w0300_coverage_z_level_d1,sigma1.2_lr0.5_sequential,4,1.2,0.5,False,1590,0.1982624769705582,1.0,3,False,Bridge-like;Hill-like;Slope-like,1,1,2,0,0,624.0
w0300_coverage_z_level,sigma0.8_lr0.3_sequential,4,0.8,0.3,False,1590,0.3533953980966201,1.0,2,False,Bridge-like;Slope-like,1,0,3,0,0,603.0
w0300_coverage_z_level,sigma0.3_lr0.5_sequential,5,0.3,0.5,False,1590,0.3340818107026772,1.0,2,False,Bridge-like;Other/mixed;Slope-like,1,0,3,0,1,707.0
w0300_coverage_z_level,sigma0.2_lr0.5_sequential,5,0.2,0.5,False,1590,0.3340818107026772,1.0,2,False,Bridge-like;Other/mixed;Slope-like,1,0,3,0,1,709.0
w0300_coverage_z_level,sigma0.8_lr0.5_sequential,5,0.8,0.5,False,1590,0.3303096173346765,1.0,2,False,Bridge-like;Other/mixed;Slope-like,1,0,3,0,1,650.5
w0300_coverage_z_level,sigma0.8_lr0.1_sequential,4,0.8,0.1,False,1590,0.3290355834145795,1.0,2,False,Bridge-like;Slope-like,1,0,3,0,0,558.0
w0300_coverage_z_level,sigma0.3_lr0.3_sequential,4,0.3,0.3,False,1590,0.3221714092207701,1.0,2,False,Bridge-like;Other/mixed;Slope-like,1,0,2,0,1,658.0
w0300_coverage_z_level,sigma1.2_lr0.3_sequential,4,1.2,0.3,False,1590,0.3161857095614599,1.0,2,False,Bridge-like;Slope-like,1,0,3,0,0,556.5
w0300_coverage_z_level,sigma1.2_lr0.03_sequential,3,1.2,0.03,False,1590,0.3102414233408831,1.0,2,False,Hill-like;Slope-like,0,1,2,0,0,588.0
w0300_coverage_z_level_d1,sigma0.5_lr0.3_sequential,3,0.5,0.3,False,1590,0.224330865498102,1.0,2,False,Bridge-like;Slope-like,1,0,2,0,0,728.0
w0300_coverage_z_level_d1,sigma0.3_lr0.3_sequential,3,0.3,0.3,False,1590,0.224330865498102,1.0,2,False,Bridge-like;Slope-like,1,0,2,0,0,762.0
w0300_coverage_z_level_d1,sigma0.2_lr0.3_sequential,3,0.2,0.3,False,1590,0.224330865498102,1.0,2,False,Bridge-like;Slope-like,1,0,2,0,0,763.0
w0300_coverage_z_level_d1,sigma0.8_lr0.3_sequential,4,0.8,0.3,False,1590,0.202215076375537,1.0,2,False,Bridge-like;Slope-like,1,0,3,0,0,705.5
w0300_coverage_z_level,sigma2_lr0.3_sequential,5,2.0,0.3,False,1590,0.1966569091908601,1.0,2,False,Bridge-like;Slope-like,1,0,4,0,0,564.0
w0300_coverage_z_level_d1,sigma0.2_lr0.1_sequential,4,0.2,0.1,False,1590,0.1900702672573219,1.0,2,False,Bridge-like;Slope-like,1,0,3,0,0,670.0
w0300_coverage_z_level_d1,sigma0.3_lr0.1_sequential,4,0.3,0.1,False,1590,0.1900702672573219,1.0,2,False,Bridge-like;Slope-like,1,0,3,0,0,673.0
w0300_coverage_z_level_d1,sigma1.2_lr0.1_sequential,5,1.2,0.1,False,1590,0.1313027461992987,1.0,2,False,Bridge-like;Slope-like,1,0,4,0,0,784.5
w0300_coverage_z_level_d1,sigma2_lr0.5_sequential,5,2.0,0.5,False,1590,0.1184673737582058,1.0,2,False,Bridge-like;Slope-like,1,0,4,0,0,723.5
w0300_coverage_z_level_d1,sigma2_lr0.3_sequential,5,2.0,0.3,False,1590,0.1051134212650671,1.0,2,False,Bridge-like;Slope-like,1,0,4,0,0,619.5
w0300_coverage_z_level_d1,sigma2_lr0.1_sequential,5,2.0,0.1,False,1590,0.0814440449041297,1.0,2,False,Bridge-like;Slope-like,1,0,4,0,0,573.0
w0300_coverage_z_level_d1_d2,sigma1.2_lr0.3_sequential,3,1.2,0.3,False,1590,0.0737836858116107,1.0,2,False,Bridge-like;Slope-like,1,0,2,0,0,829.0
w0300_coverage_z_level_d1_d2,sigma0.5_lr0.1_sequential,4,0.5,0.1,False,1590,0.0553747364754806,1.0,2,False,Bridge-like;Slope-like,1,0,3,0,0,716.5
w0300_coverage_z_level_d1_d2,sigma0.8_lr0.1_sequential,4,0.8,0.1,False,1590,0.0530096607120365,1.0,2,False,Bridge-like;Slope-like,1,0,3,0,0,764.0
w0300_coverage_z_level_d1_d2,sigma1.2_lr0.5_sequential,5,1.2,0.5,False,1590,0.050721373361841,1.0,2,False,Hill-like;Other/mixed;Slope-like,0,1,3,0,1,950.0
w0300_coverage_z_level_d1_d2,sigma1.2_lr0.1_sequential,5,1.2,0.1,False,1590,0.0409877044778086,1.0,2,False,Bridge-like;Slope-like,1,0,4,0,0,906.5
w0300_coverage_z_level_d1_d2,sigma2_lr0.5_sequential,5,2.0,0.5,False,1590,0.0305844803407351,1.0,2,False,Bridge-like;Slope-like,1,0,4,0,0,834.5
w0300_coverage_z_level_d1_d2,sigma2_lr0.3_sequential,5,2.0,0.3,False,1590,0.0233570305472681,1.0,2,False,Bridge-like;Slope-like,1,0,4,0,0,760.5
w0300_coverage_z_level_d1_d2,sigma2_lr0.1_sequential,5,2.0,0.1,False,1590,0.0210038057553066,1.0,2,False,Bridge-like;Slope-like,1,0,4,0,0,694.0
w0300_coverage_z_level_d1_d2,sigma2_lr0.03_sequential,5,2.0,0.03,False,1590,0.0172389655105198,1.0,2,False,Bridge-like;Slope-like,1,0,4,0,0,652.5
w0300_coverage_z_level_d1,sigma2_lr0.03_sequential,5,2.0,0.03,False,1590,0.0644983872912044,0.995722306213849,2,False,Bridge-like;Slope-like,1,0,4,0,0,600.5
w0300_coverage_z_level,sigma2_lr0.03_sequential,5,2.0,0.03,False,1590,0.1584552861726701,0.993114952806371,2,False,Bridge-like;Slope-like,1,0,4,0,0,577.0
w0300_coverage_z_level,sigma0.8_lr0.03_sequential,4,0.8,0.03,False,1590,0.3015989487830899,0.9500219403856112,2,False,Bridge-like;Slope-like,1,0,3,0,0,530.5
w0300_coverage_z_level,sigma0.2_lr0.3_sequential,5,0.2,0.3,False,1590,0.3304434589842371,0.9236480083830793,2,False,Bridge-like;Other/mixed;Slope-like,1,0,3,0,1,851.5
w0300_coverage_z_level,sigma0.5_lr0.3_sequential,5,0.5,0.3,False,1590,0.3304434589842371,0.92358016186347,2,False,Bridge-like;Other/mixed;Slope-like,1,0,3,0,1,845.5
w0300_coverage_z_level,sigma2_lr0.03_random,5,2.0,0.03,True,1590,0.1664899979958934,0.9075131022647313,2,False,Bridge-like;Slope-like,1,0,4,0,0,578.5
w0300_coverage_z_level_d1,sigma0.5_lr0.1_sequential,4,0.5,0.1,False,1590,0.1900702672573219,0.8983804215249457,2,False,Bridge-like;Slope-like,1,0,3,0,0,726.0
w0300_coverage_z_level_d1,sigma0.2_lr0.1_random,4,0.2,0.1,True,1590,0.1940358290765675,0.8865550055646007,2,False,Bridge-like;Slope-like,1,0,3,0,0,709.5
w0300_coverage_z_level_d1,sigma0.3_lr0.1_random,4,0.3,0.1,True,1590,0.1940358290765675,0.8865550055646007,2,False,Bridge-like;Slope-like,1,0,3,0,0,713.5
w0300_coverage_z_level,sigma1.2_lr0.1_sequential,5,1.2,0.1,False,1590,0.2286322160523085,0.8792512492055448,2,False,Bridge-like;Slope-like,1,0,4,0,0,686.5
w0300_coverage_z_level,sigma1.2_lr0.03_random,3,1.2,0.03,True,1590,0.3121583487765872,0.8775643240047734,2,False,Bridge-like;Slope-like,1,0,2,0,0,647.5
w0300_coverage_z_level,sigma0.8_lr0.3_random,5,0.8,0.3,True,1590,0.2976860873423937,0.8562306709408163,2,False,Bridge-like;Other/mixed;Slope-like,1,0,3,0,1,838.5
w0300_coverage_z_level_d1,sigma2_lr0.03_random,5,2.0,0.03,True,1590,0.0652192347478907,0.848188000701247,2,False,Bridge-like;Slope-like,1,0,4,0,0,618.5
w0300_coverage_z_level_d1,sigma1.2_lr0.03_sequential,5,1.2,0.03,False,1590,0.0996293459630969,0.8456150141495778,2,False,Bridge-like;Slope-like,1,0,4,0,0,754.5
w0300_coverage_z_level,sigma2_lr0.1_random,5,2.0,0.1,True,1590,0.1776466281272304,0.8396311207961817,2,False,Bridge-like;Slope-like,1,0,4,0,0,615.5
w0300_coverage_z_level_d1,sigma1.2_lr0.03_random,5,1.2,0.03,True,1590,0.1098085419945167,0.8363687124948208,2,False,Bridge-like;Slope-like,1,0,4,0,0,733.0
w0300_coverage_z_level_d1,sigma0.5_lr0.03_random,4,0.5,0.03,True,1590,0.1808297690491925,0.8339850517909001,2,False,Bridge-like;Slope-like,1,0,3,0,0,663.0
w0300_coverage_z_level_d1,sigma0.8_lr0.3_random,3,0.8,0.3,True,1590,0.2224849103323287,0.8331522596534428,2,False,Bridge-like;Slope-like,1,0,2,0,0,712.5
w0300_coverage_z_level_d1,sigma0.8_lr0.1_random,4,0.8,0.1,True,1590,0.1908895812690748,0.82824511824411,2,False,Bridge-like;Slope-like,1,0,3,0,0,702.5
w0300_coverage_z_level_d1,sigma0.8_lr0.5_random,3,0.8,0.5,True,1590,0.2248295905449134,0.8091557005829036,2,False,Bridge-like;Slope-like,1,0,2,0,0,737.5
w0300_coverage_z_level_d1,sigma0.5_lr0.5_random,3,0.5,0.5,True,1590,0.2253427588246755,0.8064368855865647,2,False,Bridge-like;Slope-like,1,0,2,0,0,722.5
w0300_coverage_z_level_d1,sigma0.3_lr0.5_random,3,0.3,0.5,True,1590,0.2253427588246755,0.8064368855865647,2,False,Bridge-like;Slope-like,1,0,2,0,0,729.5
w0300_coverage_z_level_d1,sigma0.2_lr0.5_random,3,0.2,0.5,True,1590,0.2253427588246755,0.8064368855865647,2,False,Bridge-like;Slope-like,1,0,2,0,0,730.5
w0300_coverage_z_level,sigma0.8_lr0.03_random,4,0.8,0.03,True,1590,0.3057904118309419,0.8016106092760943,2,False,Bridge-like;Slope-like,1,0,3,0,0,577.5
w0300_coverage_z_level_d1,sigma1.2_lr0.1_random,5,1.2,0.1,True,1590,0.1288084820936423,0.7972751033362484,2,False,Bridge-like;Slope-like,1,0,4,0,0,869.5
w0300_coverage_z_level_d1,sigma1.2_lr0.3_random,3,1.2,0.3,True,1590,0.2196067438620516,0.7922342626656098,2,False,Bridge-like;Slope-like,1,0,2,0,0,723.5
w0300_coverage_z_level_d1_d2,sigma2_lr0.03_random,5,2.0,0.03,True,1590,0.0175867210521621,0.7903361014768443,2,False,Bridge-like;Slope-like,1,0,4,0,0,724.0
w0300_coverage_z_level_d1_d2,sigma0.5_lr0.1_random,4,0.5,0.1,True,1590,0.0597086303282304,0.7825644481422837,2,False,Bridge-like;Slope-like,1,0,3,0,0,824.5
w0300_coverage_z_level,sigma2_lr0.3_random,5,2.0,0.3,True,1590,0.2206402639989322,0.7542460401667617,2,False,Bridge-like;Slope-like,1,0,4,0,0,616.5
w0300_coverage_z_level_d1,sigma1.2_lr0.5_random,3,1.2,0.5,True,1590,0.2232659617518372,0.7496002108216117,2,False,Bridge-like;Slope-like,1,0,2,0,0,756.5
w0300_coverage_z_level,sigma0.2_lr0.03_random,4,0.2,0.03,True,1590,0.3163516510297438,0.7477279235620676,2,False,Bridge-like;Slope-like,1,0,3,0,0,614.5
w0300_coverage_z_level,sigma0.3_lr0.03_random,4,0.3,0.03,True,1590,0.3163516510297438,0.7477279235620676,2,False,Bridge-like;Slope-like,1,0,3,0,0,616.5
w0300_coverage_z_level,sigma1.2_lr0.1_random,5,1.2,0.1,True,1590,0.2337519126447461,0.7429828389035347,2,False,Bridge-like;Slope-like,1,0,4,0,0,739.0
w0300_coverage_z_level_d1,sigma0.5_lr0.03_sequential,4,0.5,0.03,False,1590,0.1802571753321268,0.7299053813135457,2,False,Bridge-like;Slope-like,1,0,3,0,0,673.0
w0300_coverage_z_level_d1_d2,sigma0.2_lr0.1_random,3,0.2,0.1,True,1590,0.0815230122642515,0.7254737889566666,2,False,Bridge-like;Slope-like,1,0,2,0,0,783.5
w0300_coverage_z_level_d1_d2,sigma0.3_lr0.1_random,3,0.3,0.1,True,1590,0.0815230122642515,0.7254737889566666,2,False,Bridge-like;Slope-like,1,0,2,0,0,816.5
w0300_coverage_z_level,sigma0.5_lr0.03_random,4,0.5,0.03,True,1590,0.3141139529933136,0.7182479997100746,2,False,Bridge-like;Slope-like,1,0,3,0,0,627.5
w0300_coverage_z_level_d1_d2,sigma0.8_lr0.03_sequential,4,0.8,0.03,False,1590,0.0491529475551944,0.7126895762986895,2,False,Bridge-like;Slope-like,1,0,3,0,0,756.5
w0300_coverage_z_level_d1_d2,sigma0.8_lr0.03_random,4,0.8,0.03,True,1590,0.049089713827673,0.7074784007343257,2,False,Bridge-like;Slope-like,1,0,3,0,0,795.5
w0300_coverage_z_level_d1_d2,sigma0.3_lr0.03_random,3,0.3,0.03,True,1590,0.0799813661647507,0.6941003362149264,2,False,Bridge-like;Slope-like,1,0,2,0,0,728.5
w0300_coverage_z_level_d1,sigma2_lr0.1_random,5,2.0,0.1,True,1590,0.0767740432641724,0.6886424939847341,2,False,Bridge-like;Slope-like,1,0,4,0,0,706.0
w0300_coverage_z_level,sigma0.5_lr0.1_random,5,0.5,0.1,True,1590,0.2969894111144843,0.6786883807638437,2,False,Bridge-like;Other/mixed;Slope-like,1,0,3,0,1,884.0
w0300_coverage_z_level_d1_d2,sigma0.2_lr0.03_random,3,0.2,0.03,True,1590,0.080344916704321,0.6549573250656219,2,False,Bridge-like;Slope-like,1,0,2,0,0,733.5
w0300_coverage_z_level_d1_d2,sigma2_lr0.1_random,5,2.0,0.1,True,1590,0.017960959538622,0.6549061063191141,2,False,Bridge-like;Slope-like,1,0,4,0,0,787.0
w0300_coverage_z_level_d1_d2,sigma0.8_lr0.1_random,4,0.8,0.1,True,1590,0.0571399186733378,0.644962998597345,2,False,Bridge-like;Slope-like,1,0,3,0,0,859.0
w0300_coverage_z_level,sigma2_lr0.5_random,5,2.0,0.5,True,1590,0.2462849361982582,0.5967304788132122,2,False,Bridge-like;Slope-like,1,0,4,0,0,646.0
w0300_coverage_z_level_d1_d2,sigma1.2_lr0.03_random,5,1.2,0.03,True,1590,0.0347328776677918,0.5837082587847187,2,False,Bridge-like;Slope-like,1,0,4,0,0,972.0
w0300_coverage_z_level_d1,sigma2_lr0.3_random,5,2.0,0.3,True,1590,0.0834852181795966,0.5418276844159019,2,False,Bridge-like;Slope-like,1,0,4,0,0,759.0
w0300_coverage_z_level_d1_d2,sigma1.2_lr0.1_random,5,1.2,0.1,True,1590,0.0371385823292009,0.5338324124535856,2,False,Bridge-like;Slope-like,1,0,4,0,0,1012.5
w0300_coverage_z_level_d1,sigma0.8_lr0.03_sequential,5,0.8,0.03,False,1590,0.1379212580903858,0.5324428252164105,2,False,Bridge-like;Slope-like,1,0,4,0,0,922.0
w0300_coverage_z_level_d1_d2,sigma0.3_lr0.03_sequential,7,0.3,0.03,False,1590,0.0094119037649089,0.5295280095366088,2,False,Bridge-like;Slope-like,1,0,6,0,0,
w0300_coverage_z_level_d1_d2,sigma0.5_lr0.03_random,4,0.5,0.03,True,1590,0.0530342299186892,0.5135112206925468,2,False,Bridge-like;Slope-like,1,0,3,0,0,724.5
w0300_coverage_z_level_d1_d2,sigma1.2_lr0.03_sequential,5,1.2,0.03,False,1590,0.0323791870739215,0.508599086274169,2,False,Bridge-like;Slope-like,1,0,4,0,0,962.0
w0300_coverage_z_level_d1_d2,sigma0.5_lr0.03_sequential,4,0.5,0.03,False,1590,0.0549424050600835,0.5002690210203061,2,False,Bridge-like;Slope-like,1,0,3,0,0,732.5
w0300_coverage_z_level_d1,sigma2_lr0.5_random,5,2.0,0.5,True,1590,0.0879959409648908,0.479545697463822,2,False,Bridge-like;Slope-like,1,0,4,0,0,818.5
w0300_coverage_z_level_d1,sigma0.8_lr0.03_random,5,0.8,0.03,True,1590,0.1498063649410528,0.4659145896378311,2,False,Bridge-like;Slope-like,1,0,4,0,0,947.5
w0300_coverage_z_level_d1_d2,sigma0.3_lr0.1_sequential,3,0.3,0.1,False,1590,0.0807668263240448,0.4440644477678927,2,False,Bridge-like;Slope-like,1,0,2,0,0,823.0
w0300_coverage_z_level_d1_d2,sigma0.2_lr0.1_sequential,3,0.2,0.1,False,1590,0.0807668263240448,0.4440644477678927,2,False,Bridge-like;Slope-like,1,0,2,0,0,864.5
w0300_coverage_z_level,sigma1.2_lr0.5_random,5,1.2,0.5,True,1590,0.2681965470206396,0.4434532117354154,2,False,Bridge-like;Slope-like,2,0,3,0,0,876.5
w0300_coverage_z_level_d1_d2,sigma2_lr0.3_random,5,2.0,0.3,True,1590,0.0183496448199523,0.4226365904953402,2,False,Bridge-like;Slope-like,1,0,4,0,0,836.5
w0300_coverage_z_level_d1_d2,sigma1.2_lr0.3_random,4,1.2,0.3,True,1590,0.0499225958985007,0.4217214978504879,2,False,Bridge-like;Slope-like,1,0,3,0,0,870.0
w0300_coverage_z_level_d1_d2,sigma1.2_lr0.5_random,4,1.2,0.5,True,1590,0.0484708824641739,0.4163935769941499,2,False,Bridge-like;Slope-like,1,0,3,0,0,783.5
w0300_coverage_z_level_d1_d2,sigma2_lr0.5_random,5,2.0,0.5,True,1590,0.020769265880347,0.3985098330005714,2,False,Bridge-like;Slope-like,1,0,4,0,0,894.0
w0300_coverage_maxabs_level,sigma0.5_lr0.1_sequential,4,0.5,0.1,False,1590,0.5149244532411018,1.0,1,False,Slope-like,0,0,4,0,0,362.0
w0300_coverage_maxabs_level,sigma0.8_lr0.5_sequential,4,0.8,0.5,False,1590,0.503948961614968,1.0,1,False,Slope-like,0,0,4,0,0,350.5
w0300_coverage_maxabs_level,sigma0.8_lr0.3_sequential,4,0.8,0.3,False,1590,0.4953978644136258,1.0,1,False,Slope-like,0,0,4,0,0,313.0
w0300_coverage_maxabs_level,sigma0.8_lr0.1_sequential,4,0.8,0.1,False,1590,0.4873975037545611,1.0,1,False,Slope-like,0,0,4,0,0,319.5
w0300_coverage_maxabs_level,sigma0.3_lr0.3_sequential,5,0.3,0.3,False,1590,0.4872859343700689,1.0,1,False,Slope-like,0,0,5,0,0,658.0
w0300_coverage_maxabs_level,sigma0.2_lr0.3_sequential,5,0.2,0.3,False,1590,0.4872859343700689,1.0,1,False,Slope-like,0,0,5,0,0,659.0
w0300_coverage_maxabs_level,sigma0.3_lr0.5_sequential,5,0.3,0.5,False,1590,0.4845450449233659,1.0,1,False,Slope-like,0,0,5,0,0,566.5
w0300_coverage_maxabs_level,sigma0.2_lr0.5_sequential,5,0.2,0.5,False,1590,0.4845450449233659,1.0,1,False,Slope-like,0,0,5,0,0,648.5
w0300_coverage_maxabs_level,sigma0.5_lr0.5_sequential,5,0.5,0.5,False,1590,0.4845450449233659,1.0,1,False,Slope-like,0,0,5,0,0,658.5
w0300_coverage_maxabs_level,sigma1.2_lr0.5_sequential,5,1.2,0.5,False,1590,0.4546883853200223,1.0,1,False,Slope-like,0,0,5,0,0,428.5
w0300_coverage_maxabs_level,sigma1.2_lr0.3_sequential,5,1.2,0.3,False,1590,0.4363055009516139,1.0,1,False,Slope-like,0,0,5,0,0,403.5
w0300_coverage_maxabs_level,sigma1.2_lr0.1_sequential,5,1.2,0.1,False,1590,0.4266529816535802,1.0,1,False,Slope-like,0,0,5,0,0,372.5
w0300_coverage_maxabs_level,sigma2_lr0.1_sequential,5,2.0,0.1,False,1590,0.4115007692075448,1.0,1,False,Slope-like,0,0,5,0,0,321.5
w0300_coverage_maxabs_level,sigma2_lr0.03_sequential,5,2.0,0.03,False,1590,0.4102321156001144,1.0,1,False,Slope-like,0,0,5,0,0,316.5
w0300_coverage_maxabs_level,sigma2_lr0.3_sequential,5,2.0,0.3,False,1590,0.4065814262080778,1.0,1,False,Slope-like,0,0,5,0,0,314.5
w0300_coverage_maxabs_level,sigma2_lr0.5_sequential,5,2.0,0.5,False,1590,0.3814895624361971,1.0,1,False,Slope-like,0,0,5,0,0,364.0
w0300_coverage_z_level,sigma0.5_lr0.5_sequential,4,0.5,0.5,False,1590,0.365297560257917,1.0,1,False,Other/mixed;Slope-like,0,0,3,0,1,562.0
w0300_coverage_z_level,sigma0.5_lr0.1_sequential,4,0.5,0.1,False,1590,0.3518173545516391,1.0,1,False,Other/mixed;Slope-like,0,0,2,0,2,607.5
w0300_coverage_z_level,sigma1.2_lr0.5_sequential,5,1.2,0.5,False,1590,0.2382804850566807,1.0,1,False,Other/mixed;Slope-like,0,0,4,0,1,679.0
w0300_coverage_z_level_d1,sigma0.5_lr0.5_sequential,3,0.5,0.5,False,1590,0.2248865800845435,1.0,1,False,Other/mixed;Slope-like,0,0,2,0,1,794.0
w0300_coverage_z_level_d1,sigma0.3_lr0.5_sequential,3,0.3,0.5,False,1590,0.2248865800845435,1.0,1,False,Other/mixed;Slope-like,0,0,2,0,1,796.5
w0300_coverage_z_level_d1,sigma0.2_lr0.5_sequential,3,0.2,0.5,False,1590,0.2248865800845435,1.0,1,False,Other/mixed;Slope-like,0,0,2,0,1,797.5
w0300_coverage_z_level_d1,sigma0.8_lr0.5_sequential,3,0.8,0.5,False,1590,0.221694346568077,1.0,1,False,Other/mixed;Slope-like,0,0,2,0,1,698.5
w0300_coverage_z_level,sigma2_lr0.5_sequential,5,2.0,0.5,False,1590,0.2159922643302149,1.0,1,False,Other/mixed;Slope-like,0,0,4,0,1,556.5
w0300_coverage_z_level_d1,sigma0.8_lr0.1_sequential,4,0.8,0.1,False,1590,0.1910158428793728,1.0,1,False,Other/mixed;Slope-like,0,0,3,0,1,625.5
w0300_coverage_z_level,sigma2_lr0.1_sequential,5,2.0,0.1,False,1590,0.1851864237911309,1.0,1,False,Other/mixed;Slope-like,0,0,4,0,1,546.5
w0300_coverage_z_level_d1,sigma1.2_lr0.3_sequential,5,1.2,0.3,False,1590,0.1677720579140496,1.0,1,False,Other/mixed;Slope-like,0,0,4,0,1,843.0
w0300_coverage_z_level_d1_d2,sigma0.5_lr0.3_sequential,3,0.5,0.3,False,1590,0.0805953851305027,1.0,1,False,Other/mixed;Slope-like,0,0,2,0,1,862.0
w0300_coverage_z_level_d1_d2,sigma0.2_lr0.5_sequential,3,0.2,0.5,False,1590,0.0794551672994407,1.0,1,False,Other/mixed;Slope-like,0,0,2,0,1,767.0
w0300_coverage_z_level_d1_d2,sigma0.3_lr0.5_sequential,3,0.3,0.5,False,1590,0.0794551672994407,1.0,1,False,Other/mixed;Slope-like,0,0,2,0,1,823.0
