variant_id,setting_id,elbow_k,qe_elbow_strength,sigma,learning_rate,random_order,window_hours,cohort,representation,n,dimensions,retention_fraction,quantization_error_median,topographic_error_median,silhouette_median,seed_ari,empty_nodes_median,min_cluster_fraction_median,center_separation_ratio_median,primary_window_eligible,passes_support,rank_silhouette_median,rank_seed_ari,rank_topographic_error_median,rank_center_separation_ratio_median,rank_min_cluster_fraction_median,rank_retention_fraction,rank_qe_elbow_strength,rank_sum
w0300_detail_maxabs_level,paper_sigma03_lr01_seq,4,0.3790001862164016,0.3,0.1,False,300,detail,maxabs_level,1325,64,0.6297528517110266,0.33126440561521253,0.0,0.5191128979574132,1.0,0.0,0.05811320754716981,3.027794054708941,True,True,6.0,56.0,82.0,20.0,83.0,36.5,11.0,294.5
w0300_coverage_maxabs_level,paper_sigma05_lr01_seq,4,0.33998222426068797,0.5,0.1,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.31202863738530756,0.0,0.5149244532411018,1.0,0.0,0.05786163522012579,3.323216768685349,True,True,10.5,56.0,82.0,4.0,85.5,12.5,57.0,307.5
w0300_detail_maxabs_level,paper_sigma05_lr01_seq,4,0.38207711897087765,0.5,0.1,False,300,detail,maxabs_level,1325,64,0.6297528517110266,0.3294012688775307,0.0,0.5170819355890992,0.9995569207478034,0.0,0.05886792452830188,3.0288736922173713,True,True,8.0,114.0,82.0,19.0,80.5,36.5,7.0,347.0
w0300_detail_maxabs_level,paper_sigma05_lr03_seq,3,0.4242721590566245,0.5,0.3,False,300,detail,maxabs_level,1325,64,0.6297528517110266,0.397599783398289,0.11320754716981132,0.5797339517193933,1.0,0.0,0.07622641509433963,3.268687359812118,True,True,1.0,56.0,223.0,7.0,47.5,36.5,3.0,374.0
w0500_detail_maxabs_level,detail_sigma12_lr05_seq,4,0.34257558678306516,1.2,0.5,False,500,detail,maxabs_level,1102,64,0.5237642585551331,0.3598217558392204,0.0,0.4366268735642788,1.0,0.0,0.1161524500907441,2.5601459859623983,True,True,54.0,56.0,82.0,41.0,20.0,84.0,52.0,389.0
w0300_detail_maxabs_level,random_sigma05_lr01,4,0.3620555173053865,0.5,0.1,True,300,detail,maxabs_level,1325,64,0.6297528517110266,0.3288520528011534,0.0,0.5178355206563233,0.9016339087769055,0.0,0.05886792452830188,3.172172098860072,True,True,7.0,157.0,82.0,10.0,80.5,36.5,21.0,394.0
w0300_detail_maxabs_level,detail_sigma12_lr05_seq,4,0.33283176195924175,1.2,0.5,False,300,detail,maxabs_level,1325,64,0.6297528517110266,0.3404163179642369,0.0,0.44843756730792156,1.0,0.0,0.09962264150943397,2.0455332280232783,True,True,48.0,56.0,82.0,79.0,29.0,36.5,65.0,395.5
w0300_coverage_maxabs_level,paper_sigma03_lr01_seq,4,0.3395590565222046,0.3,0.1,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3120236660888328,0.0,0.5149244532411018,0.9186370274641691,0.0,0.05786163522012579,3.3232170503618694,True,True,10.5,149.0,82.0,3.0,85.5,12.5,58.0,400.5
w0300_coverage_maxabs_level,detail_sigma12_lr05_seq,5,0.3083904539312097,1.2,0.5,False,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.28114201189019156,0.0,0.45468838532002237,1.0,0.0,0.06477987421383648,2.891849317188219,True,True,44.0,56.0,82.0,25.0,67.0,12.5,114.0,400.5
w0300_coverage_maxabs_level,random_sigma05_lr01,4,0.34265808626247624,0.5,0.1,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3129446755812196,0.0,0.515985060280854,0.9041487652860275,0.0,0.05660377358490566,3.269590440433564,True,True,9.0,156.0,82.0,6.0,89.0,12.5,51.0,405.5
w0300_coverage_maxabs_level,random_sigma12_lr03,4,0.344734438472216,1.2,0.3,True,300,coverage,maxabs_level,1590,64,0.7557034220532319,0.3109297179394085,0.0,0.4719579973795257,0.7873809860151971,0.0,0.09685534591194969,2.6323412449835875,True,True,34.0,186.0,82.0,35.0,31.0,12.5,48.0,428.5
w0500_coverage_maxabs_level,detail_sigma12_lr05_seq,4,0.3074601489074054,1.2,0.5,False,500,coverage,maxabs_level,1198,64,0.5693916349809885,0.35827150126171603,0.0,0.4065746487236603,1.0,0.0,0.167779632721202,2.201283123220329,True,True,66.0,56.0,82.0,65.0,4.0,60.5,117.0,450.5
w0300_dense_maxabs_level,detail_sigma12_lr05_seq,4,0.3535191891113561,1.2,0.5,False,300,dense,maxabs_level,682,64,0.3241444866920152,0.3557737147388509,0.0,0.46402020689496487,1.0,0.0,0.10263929618768329,2.413485750361402,True,True,38.0,56.0,82.0,52.0,27.0,177.0,29.0,461.0
w0500_coverage_maxabs_level,random_sigma12_lr03,4,0.3489209453377173,1.2,0.3,True,500,coverage,maxabs_level,1198,64,0.5693916349809885,0.35602312603852093,0.0,0.43287627456163774,0.8638083057111042,0.0,0.14357262103505844,2.4715483558028373,True,True,56.0,169.0,82.0,49.0,11.0,60.5,39.0,466.5
w0500_dense_maxabs_level,paper_sigma05_lr03_seq,4,0.36280500992867765,0.5,0.3,False,500,dense,maxabs_level,774,64,0.3678707224334601,0.3923715668157444,0.0,0.4525796748780128,1.0,0.0,0.050387596899224806,2.431877691523206,True,True,45.0,56.0,82.0,50.0,110.5,107.0,20.0,470.5
w0300_dense_maxabs_level,paper_sigma05_lr01_seq,4,0.3459528184009116,0.5,0.1,False,300,dense,maxabs_level,682,64,0.3241444866920152,0.3550453475912715,0.0,0.47847741513612435,1.0,0.0,0.0718475073313783,2.845826562493294,True,True,30.0,56.0,82.0,27.0,55.0,177.0,45.0,472.0
w0500_coverage_maxabs_level,paper_sigma05_lr01_seq,4,0.3140013318298614,0.5,0.1,False,500,coverage,maxabs_level,1198,64,0.5693916349809885,0.35473559080974804,0.0,0.5036271757786666,1.0,0.0,0.045909849749582635,3.0533419461518134,True,True,18.0,56.0,82.0,17.0,134.0,60.5,106.0,473.5
w0750_coverage_maxabs_level,paper_sigma05_lr01_seq,4,0.3448739545006087,0.5,0.1,False,750,coverage,maxabs_level,770,64,0.3659695817490494,0.36774165124915814,0.0,0.4876687464208553,1.0,0.0,0.048051948051948054,2.7348676739406823,True,True,23.0,56.0,82.0,29.0,120.5,130.5,47.0,488.0
w0750_detail_maxabs_level,paper_sigma05_lr01_seq,4,0.3432804312670054,0.5,0.1,False,750,detail,maxabs_level,734,64,0.3488593155893536,0.36923120821213046,0.0,0.48204797406521954,1.0,0.0,0.05449591280653951,2.8573414808074595,True,True,27.0,56.0,82.0,26.0,96.5,154.0,50.0,491.5
w0300_detail_maxabs_level,random_sigma12_lr03,4,0.31739480276596216,1.2,0.3,True,300,detail,maxabs_level,1325,64,0.6297528517110266,0.33527947357813914,0.0,0.45222243943874296,0.8811898120630163,0.0,0.11396226415094339,2.338614332953129,True,True,46.0,165.0,82.0,56.0,22.0,36.5,98.0,505.5
w0500_coverage_maxabs_level,random_sigma05_lr01,4,0.35608371850214143,0.5,0.1,True,500,coverage,maxabs_level,1198,64,0.5693916349809885,0.35378710217008413,0.0,0.5035467232487402,0.7717214706990946,0.0,0.04674457429048414,3.0376523388562355,True,True,19.0,192.0,82.0,18.0,126.0,60.5,26.0,523.5
w0500_detail_maxabs_level,paper_sigma05_lr03_seq,4,0.31420692731842276,0.5,0.3,False,500,detail,maxabs_level,1102,64,0.5237642585551331,0.36569789804025166,0.0,0.48007963396366604,1.0,0.0,0.043557168784029036,2.929973980178644,True,True,29.0,56.0,82.0,23.0,146.0,84.0,104.0,524.0
w0500_detail_maxabs_level,random_sigma12_lr03,4,0.34925654673554835,1.2,0.3,True,500,detail,maxabs_level,1102,64,0.5237642585551331,0.3580521682239623,0.0,0.4285968619193595,0.7400516984622078,0.0,0.11978221415607986,2.4244001672670974,True,True,58.0,197.0,82.0,51.0,17.0,84.0,38.0,527.0
w0750_coverage_maxabs_level,random_sigma05_lr01,4,0.35657938981755016,0.5,0.1,True,750,coverage,maxabs_level,770,64,0.3659695817490494,0.36514631138150055,0.0,0.48690784560835776,0.9387045649281364,0.0,0.053246753246753244,2.6901349686297737,True,True,25.0,140.0,82.0,30.0,100.0,130.5,23.0,530.5
w0500_dense_maxabs_level,detail_sigma12_lr05_seq,4,0.298784071031234,1.2,0.5,False,500,dense,maxabs_level,774,64,0.3678707224334601,0.3969133376642297,0.0,0.42456600923830323,1.0,0.0,0.08914728682170543,2.194516780109259,True,True,59.0,56.0,82.0,66.0,37.0,107.0,135.0,542.0
w1000_detail_maxabs_level,detail_sigma12_lr05_seq,4,0.35056612696434325,1.2,0.5,False,1000,detail,maxabs_level,472,64,0.2243346007604562,0.39440485878370857,0.0,0.44052089648868803,1.0,0.0,0.11864406779661017,2.378484076144746,True,True,53.0,56.0,82.0,53.0,19.0,247.5,36.0,546.5
w0750_detail_maxabs_level,paper_sigma03_lr01_seq,4,0.3257341566942052,0.3,0.1,False,750,detail,maxabs_level,734,64,0.3488593155893536,0.37219668529447564,0.0,0.4858996299898248,1.0,0.0,0.04632152588555858,2.9042492893126117,True,True,26.0,56.0,82.0,24.0,128.5,154.0,82.0,552.5
w0300_dense_maxabs_level,paper_sigma03_lr01_seq,4,0.3340674558936301,0.3,0.1,False,300,dense,maxabs_level,682,64,0.3241444866920152,0.3599087636258659,0.0,0.4890139554817755,0.9696608206215949,0.0,0.06598240469208211,2.9855163032215493,True,True,22.0,129.0,82.0,21.0,62.0,177.0,63.0,556.0
w0300_dense_maxabs_level,random_sigma12_lr03,4,0.37029569993587313,1.2,0.3,True,300,dense,maxabs_level,682,64,0.3241444866920152,0.3584013033433859,0.0,0.4503852000000266,0.8477408839282746,0.0,0.13049853372434017,2.3053782789861246,True,True,47.0,172.0,82.0,58.0,13.0,177.0,14.0,563.0
w0300_detail_z_level,paper_sigma05_lr01_seq,4,0.3401287667896546,0.5,0.1,False,300,detail,z_level,1325,64,0.6297528517110266,1.7127296069177718,0.0,0.31940414940736317,1.0,0.0,0.04,2.039854220507465,True,True,85.0,56.0,82.0,80.0,171.0,36.5,55.0,565.5
w0300_dense_maxabs_level,random_sigma05_lr01,4,0.34688167567300937,0.5,0.1,True,300,dense,maxabs_level,682,64,0.3241444866920152,0.3572929318487862,0.0,0.4775463240601364,0.8833352855997081,0.0,0.07331378299120235,2.9702184338056243,True,True,31.0,164.0,82.0,22.0,50.0,177.0,43.0,569.0
w0750_detail_maxabs_level,random_sigma05_lr01,4,0.3526322082849371,0.5,0.1,True,750,detail,maxabs_level,734,64,0.3488593155893536,0.37075942282519014,0.0,0.4810744555902924,0.9216078048792568,0.0,0.05449591280653951,2.680567146523486,True,True,28.0,148.0,82.0,33.0,96.5,154.0,30.0,571.5
w0750_dense_maxabs_level,detail_sigma12_lr05_seq,5,0.34576541415206186,1.2,0.5,False,750,dense,maxabs_level,576,64,0.2737642585551331,0.3386138770714818,0.0,0.3918328212130214,1.0,0.0,0.07291666666666667,2.192146771256185,True,True,72.0,56.0,82.0,67.0,51.0,200.0,46.0,574.0
w1000_coverage_maxabs_level,detail_sigma12_lr05_seq,4,0.32608086934187047,1.2,0.5,False,1000,coverage,maxabs_level,489,64,0.2324144486692015,0.3903242596906342,0.0,0.4063417460880176,1.0,0.0,0.15950920245398773,2.279687159782381,True,True,68.0,56.0,82.0,60.0,6.0,223.5,80.0,575.5
w1000_dense_maxabs_level,detail_sigma12_lr05_seq,4,0.3474812430054814,1.2,0.5,False,1000,dense,maxabs_level,379,64,0.1801330798479087,0.388962564080703,0.0,0.40874476791704784,1.0,0.0,0.158311345646438,2.183097216511173,True,True,64.0,56.0,82.0,68.0,7.0,271.0,40.0,588.0
w0500_dense_maxabs_level,random_sigma05_lr01,4,0.33305408758184357,0.5,0.1,True,500,dense,maxabs_level,774,64,0.3678707224334601,0.3841483590520448,0.0,0.4594807753831871,0.8966664106867799,0.0,0.05167958656330749,2.686217157135428,True,True,40.0,160.0,82.0,32.0,106.5,107.0,64.0,591.5
w0500_coverage_maxabs_level,paper_sigma05_lr03_seq,4,0.26146499614048796,0.5,0.3,False,500,coverage,maxabs_level,1198,64,0.5693916349809885,0.3644334897480307,0.0,0.5054670678504963,1.0,0.0,0.038397328881469114,3.296893570616737,True,True,17.0,56.0,82.0,5.0,185.0,60.5,193.0,598.5
w0300_coverage_z_level,paper_sigma05_lr01_seq,4,0.28795096972445305,0.5,0.1,False,300,coverage,z_level,1590,64,0.7557034220532319,1.7628279333401018,0.0,0.35181735455163915,1.0,0.0,0.04213836477987421,2.1100028670985744,True,True,74.0,56.0,82.0,74.0,159.0,12.5,155.0,612.5
w0750_dense_maxabs_level,paper_sigma03_lr01_seq,4,0.34008690938770375,0.3,0.1,False,750,dense,maxabs_level,576,64,0.2737642585551331,0.38478548179017236,0.0,0.473428869389759,1.0,0.0,0.043402777777777776,2.577273929247238,True,True,32.0,56.0,82.0,39.0,148.0,200.0,56.0,613.0
w1000_detail_maxabs_level,paper_sigma05_lr01_seq,4,0.3304711303634508,0.5,0.1,False,1000,detail,maxabs_level,472,64,0.2243346007604562,0.3952740218511146,0.0,0.512692981127662,1.0,0.0,0.04449152542372881,3.1920203357645502,True,True,13.0,56.0,82.0,8.0,143.0,247.5,71.0,620.5
w0750_coverage_maxabs_level,paper_sigma03_lr01_seq,4,0.336668592504586,0.3,0.1,False,750,coverage,maxabs_level,770,64,0.3659695817490494,0.37227854525441073,0.0,0.4919518504120274,0.9764846622485376,0.0,0.03766233766233766,2.7742749527050536,True,True,21.0,128.0,82.0,28.0,187.0,130.5,59.0,635.5
w0750_coverage_maxabs_level,detail_sigma12_lr05_seq,5,0.31159231791706943,1.2,0.5,False,750,coverage,maxabs_level,770,64,0.3659695817490494,0.33739855585039846,0.0,0.4059688034073763,1.0,0.0,0.06233766233766234,1.6774835006131954,True,True,70.0,56.0,82.0,122.0,71.0,130.5,108.0,639.5
w0500_detail_z_level,paper_sigma05_lr01_seq,4,0.37983557166242526,0.5,0.1,False,500,detail,z_level,1102,64,0.5237642585551331,1.7285138883535707,0.0,0.29413118744726857,1.0,0.0,0.032667876588021776,1.9270286927529383,True,True,102.0,56.0,82.0,93.0,218.5,84.0,10.0,645.5
w0300_coverage_z_level_d1,paper_sigma03_lr01_seq,4,0.3167885279250973,0.3,0.1,False,300,coverage,z_level_d1,1590,127,0.7557034220532319,0.5490909846670232,0.0,0.19007026725732198,1.0,0.0,0.04905660377358491,1.243781422568429,True,True,146.5,56.0,82.0,146.0,113.5,12.5,99.0,655.5
w0500_dense_maxabs_level,paper_sigma03_lr01_seq,4,0.28795357067189803,0.3,0.1,False,500,dense,maxabs_level,774,64,0.3678707224334601,0.3889047865206623,0.0,0.4592383156658735,0.9982651180305457,0.0,0.050387596899224806,2.494717609180858,True,True,41.0,116.0,82.0,45.0,110.5,107.0,154.0,655.5
w1000_coverage_maxabs_level,paper_sigma05_lr03_seq,3,0.3256321718503459,0.5,0.3,False,1000,coverage,maxabs_level,489,64,0.2324144486692015,0.454218626962981,0.8098159509202454,0.5402038602512143,1.0,0.0,0.12269938650306748,3.488487534143663,True,True,2.0,56.0,273.0,2.0,16.0,223.5,83.0,655.5
w0750_coverage_maxabs_level,random_sigma12_lr03,5,0.3612074916530955,1.2,0.3,True,750,coverage,maxabs_level,770,64,0.3659695817490494,0.32691574830049863,0.0,0.40601950312353813,0.8190963982788463,0.0,0.048051948051948054,2.304765983899777,True,True,69.0,177.0,82.0,59.0,120.5,130.5,22.0,660.0
w1000_coverage_maxabs_level,random_sigma12_lr03,4,0.34698357902382854,1.2,0.3,True,1000,coverage,maxabs_level,489,64,0.2324144486692015,0.3929313949529852,0.0,0.4298514569185218,0.8133161402460383,0.0,0.12883435582822086,2.2048620952872504,True,True,57.0,178.0,82.0,64.0,15.0,223.5,42.0,661.5
w0500_detail_z_level,paper_sigma05_lr03_seq,4,0.3812233705860804,0.5,0.3,False,500,detail,z_level,1102,64,0.5237642585551331,1.7508085966365614,0.0,0.293838928484744,1.0,0.0,0.03176043557168784,1.8335858291387195,True,True,103.0,56.0,82.0,103.0,227.5,84.0,9.0,664.5
