variant_id,setting_id,elbow_k,window_hours,cohort,representation,n,seed_ari,silhouette_median,label_blind_rank_sum,target_type_coverage,exact_four,names
w0200_detail_z_level_d1,paper_sigma05_lr03_seq,4,200,detail,z_level_d1,1269,1.0,0.2339083152108338,,3,False,Bridge-like;Hill-like;Slope-like
w0300_coverage_z_level_d1,detail_sigma12_lr05_seq,4,300,coverage,z_level_d1,1590,1.0,0.19826247697055827,731.5,3,False,Bridge-like;Hill-like;Slope-like
w0300_dense_z_level_d1,paper_sigma05_lr03_seq,5,300,dense,z_level_d1,682,1.0,0.166959228857289,1280.0,3,False,Bridge-like;Hill-like;Slope-like
w0300_detail_z_level_d1,detail_sigma12_lr05_seq,5,300,detail,z_level_d1,1325,1.0,0.1507456615709312,1091.0,3,False,Bridge-like;Hill-like;Slope-like
w0300_dense_z_level_d1_d2,paper_sigma05_lr03_seq,5,300,dense,z_level_d1_d2,682,1.0,0.05495182937330825,1412.5,3,False,Bridge-like;Hill-like;Slope-like
w0500_dense_z_level_d1,paper_sigma05_lr03_seq,5,500,dense,z_level_d1,774,0.9667720729739623,0.14883690077122672,1229.0,3,False,Bridge-like;Hill-like;Slope-like
w0300_detail_z_level_d1,paper_sigma03_lr01_seq,5,300,detail,z_level_d1,1325,0.8863884501421507,0.16795360696106115,1118.0,3,False,Bridge-like;Hill-like;Slope-like
w0200_detail_z_level_d1,paper_sigma03_lr01_seq,4,200,detail,z_level_d1,1269,0.7366501446719895,0.22648845045760274,,3,False,Bridge-like;Hill-like;Slope-like
w0300_dense_z_level_d1,paper_sigma03_lr01_seq,5,300,dense,z_level_d1,682,0.7171956330457988,0.1619892666527856,1351.0,3,False,Bridge-like;Hill-like;Slope-like
w0200_detail_z_level_d1_d2,random_sigma05_lr01,4,200,detail,z_level_d1_d2,1269,0.7156697857526724,0.06783426366427686,,3,False,Bridge-like;Hill-like;Slope-like
w0500_dense_z_level_d1,paper_sigma05_lr01_seq,5,500,dense,z_level_d1,774,0.6524116576213763,0.14733255361742872,1392.0,3,False,Bridge-like;Hill-like;Slope-like
w0500_dense_z_level_d1,random_sigma05_lr01,5,500,dense,z_level_d1,774,0.6305855005786064,0.1468549291489026,1389.0,3,False,Bridge-like;Hill-like;Slope-like
w0300_dense_z_level_d1_d2,random_sigma05_lr01,6,300,dense,z_level_d1_d2,682,0.5959194678720117,0.043317820197106637,1669.0,3,False,Bridge-like;Hill-like;Slope-like
w0500_dense_z_level_d1,paper_sigma03_lr01_seq,6,500,dense,z_level_d1,774,0.45671213597875654,0.1178693940210756,1447.0,3,False,Bridge-like;Hill-like;Slope-like
w0150_coverage_z_level,paper_sigma05_lr01_seq,4,150,coverage,z_level,1857,1.0,0.41138194070537876,,2,False,Hill-like;Other/mixed;Slope-like
w0150_coverage_z_level,paper_sigma03_lr01_seq,4,150,coverage,z_level,1857,1.0,0.4103167242251159,,2,False,Bridge-like;Other/mixed;Slope-like
w0150_coverage_z_level,paper_sigma05_lr03_seq,4,150,coverage,z_level,1857,1.0,0.40112795053625416,,2,False,Bridge-like;Other/mixed;Slope-like
w0200_coverage_z_level,paper_sigma05_lr03_seq,4,200,coverage,z_level,1770,1.0,0.392327514627175,,2,False,Bridge-like;Other/mixed;Slope-like
w0200_detail_z_level,paper_sigma05_lr03_seq,3,200,detail,z_level,1269,1.0,0.38411526876539737,,2,False,Bridge-like;Slope-like
w0200_coverage_z_level,detail_sigma12_lr05_seq,3,200,coverage,z_level,1770,1.0,0.36718367167336324,,2,False,Bridge-like;Slope-like
w0200_detail_z_level,paper_sigma05_lr01_seq,3,200,detail,z_level,1269,1.0,0.33249799407718683,,2,False,Bridge-like;Slope-like
w0200_detail_z_level,detail_sigma12_lr05_seq,4,200,detail,z_level,1269,1.0,0.3200028307780044,,2,False,Bridge-like;Slope-like
w0300_detail_z_level,paper_sigma05_lr01_seq,4,300,detail,z_level,1325,1.0,0.31940414940736317,565.5,2,False,Bridge-like;Slope-like
w1000_coverage_z_level,detail_sigma12_lr05_seq,3,1000,coverage,z_level,489,1.0,0.31835197433318474,777.0,2,False,Slope-like;Valley-like
w0200_dense_z_level,detail_sigma12_lr05_seq,4,200,dense,z_level,522,1.0,0.31326765796913214,,2,False,Hill-like;Slope-like
w0200_dense_z_level,paper_sigma05_lr01_seq,4,200,dense,z_level,522,1.0,0.3100963993885874,,2,False,Bridge-like;Slope-like
w0200_dense_z_level,paper_sigma05_lr03_seq,4,200,dense,z_level,522,1.0,0.3038919413616349,,2,False,Bridge-like;Slope-like
w0300_detail_z_level,paper_sigma05_lr03_seq,5,300,detail,z_level,1325,1.0,0.300361705871326,940.5,2,False,Bridge-like;Other/mixed;Slope-like
w0300_dense_z_level,paper_sigma05_lr01_seq,4,300,dense,z_level,682,1.0,0.2991099227602389,806.0,2,False,Bridge-like;Slope-like
w0300_dense_z_level,paper_sigma05_lr03_seq,4,300,dense,z_level,682,1.0,0.28351011181524016,815.5,2,False,Bridge-like;Slope-like
w0150_dense_z_level,detail_sigma12_lr05_seq,4,150,dense,z_level,422,1.0,0.2712870831319733,,2,False,Hill-like;Slope-like
