curve_id,included,exclusion_reason,source_file,relative_source,validation_file,doi,record_id,legend,x_axis_name,x_axis_unit,y_axis_name,y_axis_unit,time_factor_to_hours,time_factor_source,n_original_points,duration_hours,raw_min,raw_max,normalizer,smoothing_applied
C73d189c994,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.1__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/validation_result.json,10.1002/adfm.201705545,10.1002_adfm.201705545__Fig11__B__stability_performance_curve,PSC-0.1,Time,(Day),Normalised PCE,,24.0,axis_metadata:day,58,1060.6247099479856,0.6237554701473779,0.9901769280905162,0.9900720225137308,False
Cf8afa6d046,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.25__Series_3.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/validation_result.json,10.1002/adfm.201705545,10.1002_adfm.201705545__Fig11__B__stability_performance_curve,PSC-0.25,Time,(Day),Normalised PCE,,24.0,axis_metadata:day,58,1060.6247099479856,0.8095466319213634,1.000498659300182,0.9930736539573155,False
Cc8461f5a3a,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0.5__Series_4.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/validation_result.json,10.1002/adfm.201705545,10.1002_adfm.201705545__Fig11__B__stability_performance_curve,PSC-0.5,Time,(Day),Normalised PCE,,24.0,axis_metadata:day,57,1042.0172588962664,0.6934271558126225,1.000498659300182,1.000498659300182,False
Cfcf07bae26,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/accepted/10.1002_adfm.201705545__Fig11__B__stability_performance_curve__PSC-0__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201705545/Fig11_B_stability_performance_curve/validation_result.json,10.1002/adfm.201705545,10.1002_adfm.201705545__Fig11__B__stability_performance_curve,PSC-0,Time,(Day),Normalised PCE,,24.0,axis_metadata:day,42,762.9054931204807,0.1025080440592516,0.9927573608929324,0.9926588184876552,False
C4f1d83dce6,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/accepted/10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce__Control_MAPbl__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201801654/Fig4_F_stability_performance_curve_pce/validation_result.json,10.1002/adfm.201801654,10.1002_adfm.201801654__Fig4__F__stability_performance_curve_pce,Control MAPbl,Time,(day),Normalized PCE,,24.0,axis_metadata:day,47,472.3744498688373,0.4191540677348719,1.0035646390205453,1.0035646390205453,False
Cad65a857b0,False,not_identified_as_PCE,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__FF__Series_3.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/validation_result.json,10.1002/adfm.201804128,10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay,FF,Time,(Day),Normalized,,24.0,axis_metadata:day,0,,,,,False
C6ca1ddd1bb,False,not_identified_as_PCE,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__J_sc__Series_4.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/validation_result.json,10.1002/adfm.201804128,10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay,J_sc,Time,(Day),Normalized,,24.0,axis_metadata:day,0,,,,,False
Cbc5925dc20,False,not_identified_as_PCE,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__PCE__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/validation_result.json,10.1002/adfm.201804128,10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay,PCE,Time,(Day),Normalized,,24.0,axis_metadata:day,0,,,,,False
Cba05534f42,False,not_identified_as_PCE,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/accepted/10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay__V_oc__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201804128/Fig8_C_stability_performance_curve_decay/validation_result.json,10.1002/adfm.201804128,10.1002_adfm.201804128__Fig8__C__stability_performance_curve_decay,V_oc,Time,(Day),Normalized,,24.0,axis_metadata:day,0,,,,,False
C250c428d40,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807024/Fig6_D_pce/accepted/10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1.csv,x_time_day/10.1002_adfm.201807024/Fig6_D_pce/accepted/10.1002_adfm.201807024__Fig6__D__pce__0_MASCN__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807024/Fig6_D_pce/validation_result.json,10.1002/adfm.201807024,10.1002_adfm.201807024__Fig6__D__pce,0 MASCN,Storage time of the precursor solution,days,Normalized PCE,,24.0,axis_metadata:day,18,429.44976073610405,0.5879870116377441,0.9967099413295936,0.9967099413295936,False
