setting,k,seed_ari_mean,quantization_error_median,qe_per_sqrt_dimension_median,topographic_error_median,silhouette_median,occupied_nodes_median,empty_nodes_median,min_cluster_size_median,min_cluster_fraction_median,minimum_center_rmse_median,median_within_rmse_median,center_overlap_ratio_median,source,sigma,learning_rate,random_order,layout
paper_main,2,1.0,1.5688757858857671,0.07009220092005766,0.0,0.6426701954019225,2.0,0.0,244.0,0.20299500831946754,0.3016656634472512,0.058750978863336994,5.134649145911818,paper,0.5,0.1,False,1x2
paper_main,3,1.0,1.2533856878780354,0.05599714283019003,0.14226289517470883,0.569446835828803,3.0,0.0,81.0,0.06738768718801996,0.18415765538326803,0.04795908384437576,3.839891018681814,paper,0.5,0.1,False,1x3
paper_main,4,1.0,1.0154319433671624,0.04536615354475109,0.0,0.5107879071976336,4.0,0.0,51.0,0.042429284525790346,0.1127804735677328,0.03800567458320669,2.967464064289991,paper,0.5,0.1,False,2x2
paper_main,5,0.9995980714518561,0.8887803241737336,0.03970777649589861,0.3286189683860233,0.46469367568800135,5.0,0.0,37.0,0.030782029950083195,0.0793153214629605,0.03148374566269751,2.519246578817457,paper,0.5,0.1,False,1x5
paper_main,6,0.8862069416932847,0.8257152128627336,0.03689023511191917,0.0,0.3984741044572185,6.0,0.0,30.0,0.024958402662229616,0.06103739106544919,0.028224797924035767,2.1625448239477203,paper,0.5,0.1,False,2x3
paper_main,7,0.9921973188954384,0.7596128421718672,0.03393699898612833,0.23460898502495842,0.3811183499041374,7.0,0.0,20.0,0.016638935108153077,0.051474818387044055,0.026637769292908065,1.9323997392689547,paper,0.5,0.1,False,1x7
paper_main,8,0.8980851691014647,0.7048785816448414,0.03149165256636376,0.0,0.34128767385984643,8.0,0.0,20.0,0.016638935108153077,0.037986791039759986,0.022327392160822385,1.7013536171443502,paper,0.5,0.1,False,2x4
paper_main,9,0.8969180554104621,0.6828658251273053,0.03050819513365163,0.23044925124792012,0.33458062507520514,9.0,0.0,18.0,0.014975041597337771,0.0369849916328062,0.021589906041938528,1.688440157704063,paper,0.5,0.1,False,3x3
paper_main,10,0.7584795391995693,0.6610559720492512,0.02953380275808136,0.08153078202995008,0.3088347473892273,10.0,0.0,18.0,0.014975041597337771,0.035715538023971594,0.01984173949365616,1.800444383785952,paper,0.5,0.1,False,2x5
paper_sigma_sensitivity,2,1.0,1.5688758068779387,0.07009220185791872,0.0,0.6426701954019225,2.0,0.0,244.0,0.20299500831946754,0.3016656821295707,0.058750977314318414,5.134649599282768,paper,0.3,0.1,False,1x2
paper_sigma_sensitivity,3,1.0,1.2533859807601888,0.055997155915199645,0.14226289517470883,0.569446835828803,3.0,0.0,81.0,0.06738768718801996,0.18415766428107053,0.04795908390260699,3.839891200824628,paper,0.3,0.1,False,1x3
paper_sigma_sensitivity,4,1.0,1.0154335911790917,0.04536622716355882,0.0,0.5107879071976336,4.0,0.0,51.0,0.042429284525790346,0.11278047826369732,0.038005676245881345,2.967464058028748,paper,0.3,0.1,False,2x2
paper_sigma_sensitivity,5,0.9826597350508524,0.8889374674898038,0.03971479714149868,0.6747088186356073,0.46466253841218236,5.0,0.0,37.0,0.030782029950083195,0.07931532325209616,0.0314575393156539,2.5213454381699183,paper,0.3,0.1,False,1x5
paper_sigma_sensitivity,6,1.0,0.8275855966297869,0.036973797696017496,0.1913477537437604,0.4475925630075402,6.0,0.0,20.0,0.016638935108153077,0.07010900806593988,0.03030484172338723,2.3134589747591727,paper,0.3,0.1,False,2x3
paper_sigma_sensitivity,7,0.7726082518428969,0.7601668204535713,0.03396174891048555,0.7063227953410982,0.38198867502683764,7.0,0.0,18.0,0.014975041597337771,0.05147481982500053,0.02663776992634258,1.932399745376723,paper,0.3,0.1,False,1x7
paper_sigma_sensitivity,8,0.7935321216569685,0.706842775153566,0.031579406260631965,0.49750415973377704,0.34426428873169607,8.0,0.0,17.0,0.014143094841930116,0.03849620125023547,0.022695123082464557,1.6962323186642432,paper,0.3,0.1,False,2x4
paper_sigma_sensitivity,9,0.7769246378883645,0.6820440303352903,0.03047148005002603,0.3227953410981697,0.33298110077105264,9.0,0.0,17.0,0.014143094841930116,0.03689678333980848,0.02175083194473621,1.7103154430637464,paper,0.3,0.1,False,3x3
paper_sigma_sensitivity,10,0.8229528254948069,0.6697540024750015,0.029922402098892947,0.6148086522462562,0.3373071243168116,10.0,0.0,13.0,0.010815307820299502,0.03697990134916261,0.021389441158483142,1.7144205439113063,paper,0.3,0.1,False,2x5
paper_lr_sensitivity,2,1.0,1.624156742267851,0.07256197190935132,0.0,0.6492765290716451,2.0,0.0,216.0,0.17970049916805325,0.34778699382275013,0.05901501341849662,5.893195200187022,paper,0.5,0.3,False,1x2
paper_lr_sensitivity,3,1.0,1.260210062991957,0.05630203342506193,0.0,0.5635798657001623,3.0,0.0,86.0,0.07154742096505824,0.16650605804718913,0.048977583200604274,3.399638103044153,paper,0.5,0.3,False,1x3
paper_lr_sensitivity,4,1.0,1.0395192046869703,0.046442293016869154,0.0,0.5098416577230439,4.0,0.0,50.0,0.04159733777038269,0.09429150005991638,0.03705871559181671,2.5443812218411965,paper,0.5,0.3,False,2x2
paper_lr_sensitivity,5,1.0,0.9736237754947741,0.04349830235539995,0.0,0.498283699973942,5.0,0.0,19.0,0.015806988352745424,0.09433596775170727,0.037282073166513496,2.530330524481371,paper,0.5,0.3,False,1x5
paper_lr_sensitivity,6,1.0,0.8721646215242127,0.038965441647585156,0.0,0.44486455742393516,6.0,0.0,18.0,0.014975041597337771,0.06335278349204639,0.03147714795630133,2.0126595833264274,paper,0.5,0.3,False,2x3
paper_lr_sensitivity,7,1.0,0.8244276611529591,0.03683271154380218,0.06073211314475874,0.39535080286833807,7.0,0.0,18.0,0.014975041597337771,0.049658639191707134,0.028716118795506437,1.7292949490705039,paper,0.5,0.3,False,1x7
paper_lr_sensitivity,8,1.0,0.729429569813044,0.03258850982616273,0.0,0.35299855644291495,8.0,0.0,17.0,0.014143094841930116,0.03475229334580806,0.024407391769126083,1.4238429764684577,paper,0.5,0.3,False,2x4
paper_lr_sensitivity,9,0.7035924073172518,0.7757281566478308,0.03465697813954577,0.17470881863560733,0.3954232418087887,9.0,0.0,17.0,0.014143094841930116,0.04965864032550822,0.028448427613527554,1.745567136376613,paper,0.5,0.3,False,3x3
paper_lr_sensitivity,10,0.8940565361810652,0.677918937786402,0.03028718450645802,0.07487520798668885,0.33938775849112063,10.0,0.0,17.0,0.014143094841930116,0.035493745342829425,0.022718116280531542,1.562354292077018,paper,0.5,0.3,False,2x5
optimized_random_order,2,0.9496034154669555,1.528272709894582,0.0682781892653748,0.0,0.6374830115620843,2.0,0.0,264.0,0.21963394342762063,0.2818755477697617,0.057341192123608456,4.866122213578643,optimization,0.5,0.1,True,1x2
optimized_random_order,3,0.9477418223300669,1.2524329274918966,0.055954576635329545,0.0,0.5712749615748582,3.0,0.0,81.0,0.06738768718801996,0.18972303086800513,0.048104305011033355,3.9748495085759665,optimization,0.5,0.1,True,1x3
optimized_random_order,4,0.9249971245136456,1.003436125800288,0.044830219940152176,0.0,0.5063683757214779,4.0,0.0,53.0,0.04409317803660566,0.11406998905226921,0.03737767461725126,3.12370210334337,optimization,0.5,0.1,True,2x2
optimized_random_order,5,0.9203863925875749,0.8861078590056901,0.03958837955753321,0.30782029950083195,0.4709318604054155,5.0,0.0,35.0,0.029118136439267885,0.0959479179875524,0.03299394538755545,2.9365238589535405,optimization,0.5,0.1,True,1x5
optimized_random_order,6,0.7094954444466497,0.817318129358601,0.03651508108799377,0.0,0.3992424250854143,6.0,0.0,25.0,0.020798668885191347,0.06225988795503597,0.0286470038583369,2.2060506643308266,optimization,0.5,0.1,True,2x3
optimized_random_order,7,0.9363345692494736,0.7557066956479577,0.03376248522956444,0.28369384359401,0.3800392414349274,7.0,0.0,19.0,0.015806988352745424,0.0587972705029426,0.026534415354817414,2.22407784267642,optimization,0.5,0.1,True,1x7
optimized_random_order,8,0.8034289600787063,0.717542963331306,0.03205745541301475,0.0,0.34372969116701924,8.0,0.0,18.0,0.014975041597337771,0.03946101396780135,0.023097282891202824,1.7367344037847778,optimization,0.5,0.1,True,2x4
