curve_id,included,exclusion_reason,source_file,relative_source,validation_file,doi,record_id,legend,x_axis_name,x_axis_unit,y_axis_name,y_axis_unit,time_factor_to_hours,time_factor_source,n_original_points,duration_hours,raw_min,raw_max,normalizer,smoothing_applied,cluster,bmu_distance,assignment_margin,uncertain_bottom_10pct_margin
C9dd6df78f5,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adma.201900605/Fig5_F_stability_performance_curve_pce/accepted/10.1002_adma.201900605__Fig5__F__stability_performance_curve_pce__CsPbl__Series_2.csv,x_time_day/10.1002_adma.201900605/Fig5_F_stability_performance_curve_pce/accepted/10.1002_adma.201900605__Fig5__F__stability_performance_curve_pce__CsPbl__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adma.201900605/Fig5_F_stability_performance_curve_pce/validation_result.json,10.1002/adma.201900605,10.1002_adma.201900605__Fig5__F__stability_performance_curve_pce,CsPbl,Time,(day),Normalized PCE,,24.0,axis_metadata:day,38,534.9509867515566,0.0873742700858586,1.0041416395237504,1.0041416395237504,False,2,3.4452131799509997,0.17232899721210432,True
Ce163695e24,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_cssc.201600887/Fig6_whole_stability/accepted/10.1002_cssc.201600887__Fig6__whole__stability__D-0_in_ambient_atm__Series_3.csv,x_time_day/10.1002_cssc.201600887/Fig6_whole_stability/accepted/10.1002_cssc.201600887__Fig6__whole__stability__D-0_in_ambient_atm__Series_3.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_cssc.201600887/Fig6_whole_stability/validation_result.json,10.1002/cssc.201600887,10.1002_cssc.201600887__Fig6__whole__stability,D-0 in ambient atm,Time,day,PCE/initial PCE,,24.0,axis_metadata:day,53,706.1709198497038,0.0036954322573687,0.9718513151205798,0.9718513151205798,False,2,4.539405449557441,0.5309706726411808,False
C9c0d5b2c9a,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jallcom.2020.158079/Fig7_D_pce/accepted/10.1016_j.jallcom.2020.158079__Fig7__D__pce__CH3NH3PbI3_Control_TiO2__Series_1.csv,x_time_day/10.1016_j.jallcom.2020.158079/Fig7_D_pce/accepted/10.1016_j.jallcom.2020.158079__Fig7__D__pce__CH3NH3PbI3_Control_TiO2__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.jallcom.2020.158079/Fig7_D_pce/validation_result.json,10.1016/j.jallcom.2020.158079,10.1016_j.jallcom.2020.158079__Fig7__D__pce,CH3NH3PbI3/ Control TiO2,Time,day,Normalized PCE,,24.0,axis_metadata:day,49,713.2530807607574,0.0602762277881689,0.9983513849308772,0.9983513849308772,False,2,2.5374983196398873,0.379110091011186,False
C74720ab8b4,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.nanoen.2016.10.036/Fig7_D_xrd_pattern_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2016.10.036__Fig7__D__xrd_pattern_stability_performance_curve_pce__MAPbI₃__Series_2.csv,x_time_day/10.1016_j.nanoen.2016.10.036/Fig7_D_xrd_pattern_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2016.10.036__Fig7__D__xrd_pattern_stability_performance_curve_pce__MAPbI₃__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.nanoen.2016.10.036/Fig7_D_xrd_pattern_stability_performance_curve_pce/validation_result.json,10.1016/j.nanoen.2016.10.036,10.1016_j.nanoen.2016.10.036__Fig7__D__xrd_pattern_stability_performance_curve_pce,MAPbI₃,Time (Day),(Day),Normalized PCE,,24.0,axis_metadata:day,43,506.5205802043981,0.154983904087641,1.006405532036059,1.006405532036059,False,2,2.0253507013171737,0.5486813036167242,False
C290dac6f78,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.nanoen.2017.12.028/Fig5_B_stability_performance_curve_pattern/accepted/10.1016_j.nanoen.2017.12.028__Fig5__B__stability_performance_curve_pattern__PCDTBT8__Series_3.csv,x_time_day/10.1016_j.nanoen.2017.12.028/Fig5_B_stability_performance_curve_pattern/accepted/10.1016_j.nanoen.2017.12.028__Fig5__B__stability_performance_curve_pattern__PCDTBT8__Series_3.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.nanoen.2017.12.028/Fig5_B_stability_performance_curve_pattern/validation_result.json,10.1016/j.nanoen.2017.12.028,10.1016_j.nanoen.2017.12.028__Fig5__B__stability_performance_curve_pattern,PCDTBT8,Aging time,days,Normalized PCE,,24.0,axis_metadata:day,72,694.3578516711156,0.2383956310208319,0.9693965506815936,0.9693965506815936,False,2,2.9000603048931874,0.17943654564403227,True
C4a732be2e7,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.nanoen.2020.104635/Fig4_A_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2020.104635__Fig4__A__stability_performance_curve_pce__Spiro-OMeTAD__Series_2.csv,x_time_day/10.1016_j.nanoen.2020.104635/Fig4_A_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2020.104635__Fig4__A__stability_performance_curve_pce__Spiro-OMeTAD__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.nanoen.2020.104635/Fig4_A_stability_performance_curve_pce/validation_result.json,10.1016/j.nanoen.2020.104635,10.1016_j.nanoen.2020.104635__Fig4__A__stability_performance_curve_pce,Spiro-OMeTAD,Time,(day),Normalized PCE,,24.0,axis_metadata:day,65,690.4188491240907,0.0137334102731689,0.992915962643042,0.992915962643042,False,2,6.319258432684845,0.43675143035391606,False
C12a175e5cc,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2021.106258/Fig9_D_pce/accepted/10.1016_j.orgel.2021.106258__Fig9__D__pce__CH3NH3PbI3__Series_1.csv,x_time_day/10.1016_j.orgel.2021.106258/Fig9_D_pce/accepted/10.1016_j.orgel.2021.106258__Fig9__D__pce__CH3NH3PbI3__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.orgel.2021.106258/Fig9_D_pce/validation_result.json,10.1016/j.orgel.2021.106258,10.1016_j.orgel.2021.106258__Fig9__D__pce,CH3NH3PbI3,Time (day),(day),Normalized PCE,,24.0,axis_metadata:day,40,715.4998500154427,0.0601652820356202,0.9953387435106722,0.9953387435106722,False,2,2.653244570390695,0.3456708585162624,False
Ca4d91d176f,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solener.2018.05.086/Fig7_A_stability_performance_curve/accepted/10.1016_j.solener.2018.05.086__Fig7__A__stability_performance_curve__FMC__Series_2.csv,x_time_day/10.1016_j.solener.2018.05.086/Fig7_A_stability_performance_curve/accepted/10.1016_j.solener.2018.05.086__Fig7__A__stability_performance_curve__FMC__Series_2.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solener.2018.05.086/Fig7_A_stability_performance_curve/validation_result.json,10.1016/j.solener.2018.05.086,10.1016_j.solener.2018.05.086__Fig7__A__stability_performance_curve,FMC,Days,,PCE,(%),24.0,axis_metadata:day,52,529.4558321762731,-0.2142177642662588,5.70996545145269,5.70996545145269,False,2,4.967674505302347,0.2285882650763861,False
C972f1ab756,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solener.2018.05.086/Fig7_A_stability_performance_curve/accepted/10.1016_j.solener.2018.05.086__Fig7__A__stability_performance_curve__MAPI__Series_1.csv,x_time_day/10.1016_j.solener.2018.05.086/Fig7_A_stability_performance_curve/accepted/10.1016_j.solener.2018.05.086__Fig7__A__stability_performance_curve__MAPI__Series_1.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solener.2018.05.086/Fig7_A_stability_performance_curve/validation_result.json,10.1016/j.solener.2018.05.086,10.1016_j.solener.2018.05.086__Fig7__A__stability_performance_curve,MAPI,Days,,PCE,(%),24.0,axis_metadata:day,51,519.074345270856,-0.0290870387750414,2.2130517477296996,2.2130517477296996,False,2,4.8441958661491435,0.502157263983245,False
Cf7f490a3d6,True,,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acs.jpcc.0c05357/Fig1_C_stability_performance_curve_pce/accepted/10.1021_acs.jpcc.0c05357__Fig1__C__stability_performance_curve_pce__Cs15-U__Series_3.csv,x_time_day/10.1021_acs.jpcc.0c05357/Fig1_C_stability_performance_curve_pce/accepted/10.1021_acs.jpcc.0c05357__Fig1__C__stability_performance_curve_pce__Cs15-U__Series_3.csv,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acs.jpcc.0c05357/Fig1_C_stability_performance_curve_pce/validation_result.json,10.1021/acs.jpcc.0c05357,10.1021_acs.jpcc.0c05357__Fig1__C__stability_performance_curve_pce,Cs15-U,Time,(day),Normalized PCE,,24.0,axis_metadata:day,45,719.5911468370549,0.0812164929460554,1.005526485553675,1.005526485553675,False,2,1.2799300519460235,0.7400785377395757,False
