cluster,rank,curve_id,source_file,legend,distance
0,1,Caf8d7f81db,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.apsusc.2017.04.153/Fig5_D_pce/accepted/10.1016_j.apsusc.2017.04.153__Fig5__D__pce__spiro-OMeTAD__Series_2.csv,spiro-OMeTAD,0.10577279531506832
0,2,Cf50baf46a2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.nanoen.2021.105742/Fig5_C_stability/accepted/10.1016_j.nanoen.2021.105742__Fig5__C__stability__CsFAMA__Series_1.csv,CsFAMA,0.12001388316285543
0,3,C928af553d4,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.nanoen.2021.106495/Fig3_B_stability_performance_curve_pce/accepted/10.1016_j.nanoen.2021.106495__Fig3__B__stability_performance_curve_pce__63%__Series_1.csv,63%,0.15534515444264016
0,4,C0e65101db7,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acsami.1c04601/Fig6_A_stability_performance_curve_pce/accepted/10.1021_acsami.1c04601__Fig6__A__stability_performance_curve_pce__W_O4-ABSA__Series_1.csv,W/O4-ABSA,0.16053216611643129
0,5,Cf28cfd4de1,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adma.201606806/Fig5_A_stability_performance_curve_pce/accepted/10.1002_adma.201606806__Fig5__A__stability_performance_curve_pce__Control__Series_1.csv,Control,0.1943378828861729
0,6,Cf939008973,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_c9ta14139a/Fig5_A_stability_performance_curve_pce/accepted/10.1039_c9ta14139a__Fig5__A__stability_performance_curve_pce__HEA__Series_1.csv,HEA,0.20974467774155775
0,7,Cde6113848a,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.solener.2021.02.035/Fig6_A_stability_performance_curve_pce/accepted/10.1016_j.solener.2021.02.035__Fig6__A__stability_performance_curve_pce__Series_1__Series_1.csv,,0.21831136966061368
0,8,C9989b325e3,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.orgel.2019.03.002/Fig6_whole_stability/accepted/10.1016_j.orgel.2019.03.002__Fig6__whole__stability__C₆₀__Series_2.csv,C₆₀,0.21958632410053192
0,9,C26cf903652,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1126_sciadv.aav2012/Fig5_B_mppt_stability_performance_curve_jsc/accepted/10.1126_sciadv.aav2012__Fig5__B__mppt_stability_performance_curve_jsc__Spiro__Series_2.csv,Spiro,0.2502469036357585
0,10,Cf6be714a08,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1002_cssc.201800658/Fig6_C_stability_performance_curve_pce/accepted/10.1002_cssc.201800658__Fig6__C__stability_performance_curve_pce__FA__Series_3.csv,FA,0.27062274433586964
1,1,C13557d39f2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.1c07610/Fig5_A_stability_performance_curve/accepted/10.1021_acsami.1c07610__Fig5__A__stability_performance_curve__control__Series_2.csv,control,0.13673493458528213
1,2,Cea7e5947ae,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.1c12826/Fig4_B_stability_performance_curve_pce/accepted/10.1021_acsami.1c12826__Fig4__B__stability_performance_curve_pce__Pristine__Series_1.csv,Pristine,0.1369460752697302
1,3,Cf1908bb77d,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1016_j.solmat.2017.08.032/Fig8_A_stability_performance_curve_pce/accepted/10.1016_j.solmat.2017.08.032__Fig8__A__stability_performance_curve_pce__CA_Device__Series_2.csv,CA Device,0.14968737460103398
1,4,Cdf51bf71ec,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acsami.9b12961/Fig6_A_stability_performance_curve_pce/accepted/10.1021_acsami.9b12961__Fig6__A__stability_performance_curve_pce__TFTPA_device__Series_2.csv,TFTPA device,0.15456545266026292
1,5,Cfad9d932f0,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.3390_nano15090699/Fig12_A_stability_performance_curve_retention/accepted/10.3390_nano15090699__Fig12__A__stability_performance_curve_retention__PEACI_IPA__Series_2.csv,PEACI/IPA,0.15843242877997227
1,6,C164d714ef3,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1038_s41467-023-43016-5/Fig5_E_mppt_stability_performance_curve_pce/accepted/10.1038_s41467-023-43016-5__Fig5__E__mppt_stability_performance_curve_pce__Series_1__Series_1.csv,,0.15940166477676923
1,7,C16adfc9210,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.joule.2021.06.001/Fig4_E_stability_performance_curve_pce/accepted/10.1016_j.joule.2021.06.001__Fig4__E__stability_performance_curve_pce__Control__Series_1.csv,Control,0.15991843904653086
1,8,C5fd0cf11be,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.jechem.2020.06.019/Fig6_B_mppt_stability_performance_curve/accepted/10.1016_j.jechem.2020.06.019__Fig6__B__mppt_stability_performance_curve__SIP-KCI__Series_2.csv,SIP-KCI,0.16059744188347796
1,9,Cdf92c87867,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1002_adfm.201807604/Fig5_A_stability/accepted/10.1002_adfm.201807604__Fig5__A__stability__TA-SnO2__Series_2.csv,TA-SnO2,0.16219323343752395
1,10,C2b55024f1f,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1038_s41467-024-51760-5/Fig4_E_jv_curve_stability_performance_eqe/accepted/10.1038_s41467-024-51760-5__Fig4__E__jv_curve_stability_performance_eqe__2PACz__Series_2.csv,2PACz,0.17733170829926256
2,1,C17ef19a2e8,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1016_j.solener.2020.07.050/Fig4_A_stability_performance_curve_pce/accepted/10.1016_j.solener.2020.07.050__Fig4__A__stability_performance_curve_pce__PCBM_Ag__Series_2.csv,PCBM/Ag,0.8838549146868766
2,2,C08e44a8c11,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1039_c8ta02121j/Fig6_B_stability_performance_curve_pce/accepted/10.1039_c8ta02121j__Fig6__B__stability_performance_curve_pce__Without_CH₃CONH₂__Series_2.csv,Without CH₃CONH₂,0.9202986538510517
2,3,C3b62838ab2,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acsaem.8b01075/Fig6_A_retention/accepted/10.1021_acsaem.8b01075__Fig6__A__retention__VASP_withMAI__Series_2.csv,VASP withMAI,1.0720889878058406
2,4,Cf7f490a3d6,/Users/shunhao/Desktop/ML/lab/data_all/x_time_day/10.1021_acs.jpcc.0c05357/Fig1_C_stability_performance_curve_pce/accepted/10.1021_acs.jpcc.0c05357__Fig1__C__stability_performance_curve_pce__Cs15-U__Series_3.csv,Cs15-U,1.2799300519460235
2,5,C1f90a83fbf,/Users/shunhao/Desktop/ML/lab/data_all/x_time_h/10.1021_acsami.6b03724/Fig5_D_chart/accepted/10.1021_acsami.6b03724__Fig5__D__chart__wlo__Series_2.csv,wlo,1.3230649211281529
